Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-04 00:00:00+05:30,580.8499755859375,585.0,571.0,574.7999877929688,51907,0.0,0.0,2024-09-04,542.7625,37.51858537569483,580.2810853756948,505.2439146243052,617.7996707513897,467.72532924861036,-3.1222307958008106,117.38733976308792,2360509,68921.56014560738,74248.0652141035,494.97082283907685,69.87448444321589,576.9333292643229,582.8666585286458,568.8666585286458,590.9333292643229,562.9333292643229,596.8666585286458,554.8666585286458,-0.21659346212353162,-40.7684046741947,17.487585840147403,13.443632575060988,4.043953265086415,62.07840725650601,36.60326933363269,581.7599975585938,542.7625,531.6489996337891,513.3719995117187,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
2,2024-09-03 00:00:00+05:30,588.4500122070312,588.4500122070312,580.1500244140625,582.7000122070312,51991,0.0,0.0,2024-09-03,538.9650009155273,37.946449271146,576.9114501866733,501.0185516443813,614.8578994578193,463.0721023732353,38.026072010614705,143.71881249779207,2412416,69981.8821016199,75579.69148122752,494.6436243175442,74.76976809184953,583.7666829427084,587.3833414713542,579.0833536783855,592.0666707356771,575.4666951497396,595.683329264323,570.7833658854167,-0.20858423451666178,-35.14761129091864,18.141925692833297,12.432644258789384,5.709281434043913,66.37255973005881,35.43401681662747,583.7300048828125,538.9650009155273,530.3389996337891,512.5544995117187,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
3,2024-09-02 00:00:00+05:30,583.4500122070312,590.9500122070312,580.25,584.0,51828,0.0,0.0,2024-09-02,535.4074996948242,36.95263160388863,572.3601312987129,498.4548680909356,609.3127629026014,461.50223648704696,50.27050434394867,160.31464029838025,2464407,69918.11602389997,76979.14382612942,494.2806303043236,80.5602498249118,585.0666707356771,589.8833414713542,579.183329264323,595.7666829427084,574.3666585286459,600.5833536783855,568.4833170572917,-0.19121022626583886,-34.22268215119958,17.926768619616837,11.005323900278405,6.921444719338432,67.08160162353977,33.38571657315065,588.4599975585937,535.4074996948242,529.1079998779297,511.5999993896484,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
4,2024-08-30 00:00:00+05:30,589.8499755859375,590.3499755859375,581.2999877929688,583.0999755859375,22121,0.0,0.0,2024-08-30,531.5300003051758,35.630447972695436,567.1604482778712,495.89955233248037,602.7908962505667,460.26910435978493,59.6741108029543,174.67892489970924,2412579,29796.153249706178,78744.40077668677,493.91041919987555,79.11264290685016,584.9166463216146,588.5333048502605,579.4833170572917,593.9666341145834,575.8666585286459,597.5832926432292,570.433329264323,-0.18555422708846964,-34.86304109266619,17.251655559606206,9.274962720443797,7.976692839162409,66.85397172789888,31.171301765037676,584.4,531.5300003051758,527.8679998779297,510.49999938964845,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
5,2024-08-29 00:00:00+05:30,587.25,604.6500244140625,582.3499755859375,584.2000122070312,81243,0.0,0.0,2024-08-29,527.9275009155274,33.733831337130646,561.661332252658,494.19366957839674,595.3951635897887,460.4598382412661,81.92614380025151,207.03558840232347,2434700,109637.70446040948,90981.46265843192,493.753063281655,82.35933549388422,590.4000040690104,598.4500325520833,576.1499837239583,612.7000528971354,568.0999552408854,620.7500813802083,553.8499348958333,-0.16839861787041024,-34.080375339102325,16.21455631052902,7.280789510653195,8.933766799875825,67.38278832009064,28.702516667609153,580.5400024414063,527.9275009155274,526.6390008544922,509.3384997558594,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
6,2024-08-28 00:00:00+05:30,599.2999877929688,600.9500122070312,582.3499755859375,584.6500244140625,54728,0.0,0.0,2024-08-28,524.1725006103516,31.226957521518788,555.3994581318703,492.9455430888328,586.6264156533891,461.718585567314,100.89851170677868,225.23462978507322,2515943,73912.5132530815,86317.40220793751,493.1631781906851,79.87170108752599,589.3166707356771,596.2833658854167,577.683329264323,607.9167073567709,570.7166341145834,614.8834025065105,559.0832926432292,-0.09464731339182973,-33.760195868369024,14.532742963640203,5.047347810684238,9.485395152955965,67.5858691399963,25.964776489505837,570.4699951171875,524.1725006103516,525.371000366211,508.07099975585936,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
7,2024-08-26 00:00:00+05:30,565.25,632.0999755859375,556.25,606.3499755859375,175166,0.0,0.0,2024-08-26,520.1024993896484,28.075327801990547,548.1778271916389,492.02717158765785,576.2531549936296,463.95184378566734,160.82636036956782,284.67231040961616,2570671,245349.73740120637,89418.62444665152,492.75946959377137,89.50440214145567,598.2333170572916,640.2166341145833,564.3666585286458,674.0832926432291,522.3833414713541,716.0666097005208,488.51668294270826,-0.050789648621705416,-18.32088383951335,12.114999779981872,2.675999022445247,9.439000757536625,78.12970541036381,23.074200393601856,559.0599853515625,520.1024993896484,523.9710003662109,506.5629995727539,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
8,2024-08-23 00:00:00+05:30,568.3499755859375,568.3499755859375,550.3499755859375,563.7000122070312,34660,0.0,0.0,2024-08-23,516.1075012207032,19.54578990060744,535.6532911213106,496.56171132009575,555.199081021918,477.0159214194883,125.80591601794468,158.3649353894359,2395505,45132.46176614086,50435.84620801281,491.1321636912549,77.08537169637987,560.7999877929688,571.25,553.25,578.7999877929688,542.7999877929688,589.25,535.25,-0.21643789796141769,-34.19971878746856,6.698878849431821,0.31624883306109064,6.382630016370731,69.42416615394178,19.96127229032065,543.0299926757813,516.1075012207032,522.1050006103516,504.9104998779297,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
9,2024-08-22 00:00:00+05:30,600.0,601.2000122070312,558.4500122070312,563.7999877929688,139250,0.0,0.0,2024-08-22,514.2,16.238457255084672,530.4384572550847,497.9615427449154,546.6769145101694,481.7230854898307,246.32099633411067,235.17101386558468,2430165,181356.31648667585,51761.69231848079,490.9258714007634,86.59144976196202,574.4833374023438,590.5166625976562,547.7666625976562,617.2333374023438,531.7333374023438,633.2666625976562,505.01666259765625,-0.2880584549992678,-34.108541802810564,3.8634798264315577,-1.2794086710315922,5.14288849746315,69.48438390577411,17.883090369898767,529.7199890136719,514.2,521.116000366211,503.7074996948242,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
10,2024-08-21 00:00:00+05:30,521.0499877929688,540.0,521.0499877929688,533.8499755859375,24274,0.0,0.0,2024-08-21,512.5175018310547,12.025610553392571,524.5431123844472,500.4918912776621,536.5687229378399,488.46628072426955,135.98350220923953,49.316850368297715,2290915,29934.568006650832,19363.036276432023,490.08395817516765,67.26230700283116,531.6333211263021,542.2166544596355,523.2666422526042,550.5833333333334,512.6833089192709,561.1666666666667,504.316630045573,-0.01825642009215805,-12.693545644081356,0.16492621160512044,-2.5651307953973794,2.7300570070025,59.78294144681078,15.00465009509417,516.689990234375,512.5175018310547,520.0810003662109,502.6244998168945,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
11,2024-08-20 00:00:00+05:30,530.5,531.6500244140625,521.25,527.5999755859375,6033,0.0,0.0,2024-08-20,512.1700042724609,11.464035990731276,523.6340402631922,500.7059682817296,535.0980762539234,489.24193229099836,135.21945594452274,27.5606771103744,2266641,7352.762064189554,16720.153343877322,489.99563946565473,60.20498511662716,526.8333333333334,532.4166666666667,522.0166422526042,537.2333577473959,516.4333089192709,542.8166910807292,511.61661783854174,-0.04488345255779671,-15.276150093453387,-1.6232196568606696,-3.247645047148004,1.6244253902873345,57.14273990997938,14.17217965416366,509.5899963378906,512.1700042724609,519.6300006103515,501.76,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
12,2024-08-19 00:00:00+05:30,495.1499938964844,534.0999755859375,495.1499938964844,526.2000122070312,49062,0.0,0.0,2024-08-19,511.8675048828125,11.109806624008478,522.977311506821,500.75769825880406,534.0871181308295,489.64789163479554,108.00864325392402,-13.616029476077745,2260608,59636.00222427958,19062.001163799265,489.97676983232174,64.81402064469637,518.4833272298177,541.8166605631511,502.866678873698,557.4333089192709,479.5333455403646,580.7666422526042,463.91669718424487,-0.04109752025652776,-18.566311739839545,-3.272463690625841,-3.653751394719837,0.3812877040939959,56.5494244781107,13.795827588850743,506.0100036621094,511.8675048828125,518.9360009765625,500.86900024414064,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
13,2024-08-16 00:00:00+05:30,507.75,507.75,495.04998779296875,497.1499938964844,2853,0.0,0.0,2024-08-16,511.18250427246096,10.58977418472334,521.7722784571843,500.5927300877376,532.3620526419077,490.00295590301425,-67.43091377855099,-109.06543166324447,2211546,3276.435556905625,8918.500898679184,489.82834702467227,45.39161479570007,499.9833272298177,504.91666666666663,492.2166544596354,512.6833394368489,487.28331502278644,517.6166788736979,479.51664225260413,-0.23659313759823147,-84.1807846288065,-5.196537860317278,-3.7490733207433355,-1.4474645395739425,40.7429662805694,13.390525364667601,503.6600036621094,511.18250427246096,518.0460009765625,500.07450012207033,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
14,2024-08-14 00:00:00+05:30,499.45001220703125,502.5,491.54998779296875,498.6499938964844,14093,0.0,0.0,2024-08-14,512.4375045776367,10.323199797932448,522.7607043755692,502.11430477970424,533.0839041735015,491.79110498177175,-111.21809239232418,-128.26396694417264,2214399,16233.482243161157,10329.017234122573,489.8266020781768,43.44119363257266,497.56666056315106,503.58333333333337,492.6333211263021,508.5166727701823,486.6166483561198,514.5333455403646,481.68330891927087,-0.275171553684746,-85.72863094770729,-4.720213776378671,-3.3872071858498494,-1.3330065905288215,41.46622549934718,13.833255515792738,507.660009765625,512.4375045776367,517.6110009765625,499.63350006103514,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
15,2024-08-13 00:00:00+05:30,510.0,510.70001220703125,495.0,498.3500061035156,2539,0.0,0.0,2024-08-13,514.1500061035156,10.747745577667404,524.897751681183,503.4022605258482,535.6454972588504,492.65451494818075,-92.40395899101085,-115.66939665322042,2200306,2922.8706013781757,8852.900981862927,489.81620234579776,49.37325221377253,501.3500061035156,507.70001220703125,492.0,517.0500183105469,485.6499938964844,523.4000244140625,476.29998779296875,-0.3320264383476677,-92.0077834714854,-4.186583490481894,-3.053955538217644,-1.13262795226425,41.27261571395953,13.771865582754568,508.9200134277344,514.1500061035156,517.3850012207031,499.1770001220703,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
16,2024-08-12 00:00:00+05:30,522.0,522.0,507.95001220703125,509.70001220703125,1816,0.0,0.0,2024-08-12,516.0250045776368,11.111167817305182,527.1361723949419,504.9138367603316,538.2473402122471,493.8026689430264,63.170662933432155,-55.41355809408057,2202845,2138.1733315277033,10335.408576984115,489.81438983446895,51.699645047686225,513.2166748046875,518.4833374023438,504.433349609375,527.2666625976562,499.16668701171875,532.5333251953125,490.38336181640625,-0.29813043090366503,-69.88300997383698,-3.4103976828597524,-2.7707985501515813,-0.6395991327081711,46.699109301615955,13.976973916552975,509.2300109863281,516.0250045776368,516.9210009765625,498.77649993896483,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
17,2024-08-09 00:00:00+05:30,521.0,526.9500122070312,511.0,514.4500122070312,7722,0.0,0.0,2024-08-09,517.1750045776367,11.601504680029569,528.7765092576664,505.5734998976072,540.3780139376959,493.9719952175776,146.32680409775296,-31.630834759314588,2204661,9176.676022805912,12384.717388348216,489.8113685168122,53.74958839289215,517.4666748046875,523.933349609375,507.98333740234375,533.4166870117188,501.51666259765625,539.8833618164062,492.0333251953125,-0.30004433588974383,-60.623748511301024,-3.482775580525299,-2.610898766974538,-0.8718768135507613,49.21363335577276,14.75646970352521,507.060009765625,517.1750045776367,516.4320007324219,498.2024996948242,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
18,2024-08-08 00:00:00+05:30,507.0,519.5,506.1000061035156,517.1500244140625,9061,0.0,0.0,2024-08-08,518.4350051879883,12.614219646348939,531.0492248343372,505.82078554163934,543.6634444806862,493.2065658952904,52.39260170931881,-49.15872759889101,2212383,10824.431594555108,13186.72772973379,489.7954402463696,50.16286315272542,514.250010172526,522.4000142415364,509.000020345052,527.6500040690104,500.85001627604163,535.8000081380208,495.60002644856763,-0.28075380532872146,-55.360565568787116,-3.990474925558999,-2.3929295635868475,-1.5975453619721516,50.65322654364624,15.290934141569588,506.4800048828125,518.4350051879883,515.8330004882813,497.6499996948242,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
19,2024-08-07 00:00:00+05:30,505.8999938964844,507.0,500.54998779296875,504.95001220703125,10503,0.0,0.0,2024-08-07,519.245002746582,13.040292727429922,532.285295474012,506.2047100191521,545.3255882014419,493.1644172917222,-63.458544805077814,-106.04774569122617,2203322,12251.074273469787,13777.30176352846,489.774674007572,44.993384604030545,504.1666666666667,507.7833455403646,501.33333333333337,510.61667887369794,497.71665445963544,514.2333577473959,494.8833211263021,-0.36636416888577883,-79.14227143637292,-4.845932487308858,-1.9935432230938095,-2.852389264215048,43.74934519314661,16.395427968578694,504.3400024414062,519.245002746582,515.3809997558594,497.1229995727539,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
20,2024-08-06 00:00:00+05:30,498.1499938964844,507.25,498.1499938964844,499.8999938964844,5330,0.0,0.0,2024-08-06,521.3125015258789,13.903937138755229,535.2164386646342,507.4085643871237,549.1203758033894,493.5046272483685,-83.10121316428555,-123.79751356119444,2192819,6154.924936555652,14158.858636043127,489.7613084933594,34.258476686762194,501.76666259765625,505.3833312988281,496.2833251953125,510.8666687011719,492.6666564941406,514.4833374023438,487.1833190917969,-0.39816823691444964,-88.98636405278293,-4.666237822685275,-1.2804459070400473,-3.385791915645228,40.55255125781904,16.239207181826007,505.55999755859375,521.3125015258789,514.9269995117188,496.8399993896484,AARTIDRUGS.BO,2024-09-04 11:03:58.619823
