Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-08 00:00:00+05:30,507.0,519.3499755859375,504.79998779296875,517.2000122070312,173470,0.0,0.0,2024-08-08,518.6674942016601,12.629117050365815,531.296611252026,506.0383771512943,543.9257283023918,493.4092601009285,51.630314239131636,-52.082628474255124,85426505,212048.11825899789,168733.68816266643,484.3279261822574,50.30674588511116,513.7833251953125,522.7666625976562,508.2166748046875,528.3333129882812,499.23333740234375,537.316650390625,493.66668701171875,-0.25897174562621855,-45.62871327657186,-4.009814588510949,-2.40864174755127,-1.6011728409596788,50.59720319813351,18.031515161060668,506.64000244140624,518.6674942016601,516.0799957275391,497.7759982299805,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
2,2024-08-07 00:00:00+05:30,501.04998779296875,507.70001220703125,501.04998779296875,505.3500061035156,109917,0.0,0.0,2024-08-07,519.4574935913085,13.02059621544378,532.4780898067523,506.43689737586476,545.4986860221961,493.41630116042097,-62.27209368359644,-103.73674360399895,85253035,131283.05057646186,157905.08063858355,484.29878758741813,41.36683805422591,504.7000020345052,508.35001627604163,501.69999186197913,511.3500264485677,498.0499776204427,515.0000406901041,495.04996744791663,-0.35958579615878783,-74.01196142870509,-4.856364501474502,-2.00834853731135,-2.848015964163152,43.73618534634742,18.89689935059464,504.55,519.4574935913085,515.649995727539,497.2474981689453,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
3,2024-08-06 00:00:00+05:30,501.0,507.8999938964844,497.5,499.79998779296875,92498,0.0,0.0,2024-08-06,521.5049926757813,13.876970380788835,535.3819630565702,507.62802229499243,549.258933437359,493.75105191420363,-88.75282435668198,-125.02129692306346,85143118,109264.75632643941,164560.58815411397,484.28695708832856,33.739687800743155,501.7333272298177,505.9666544596354,495.566660563151,512.133321126302,491.3333333333333,516.3666483561198,485.16666666666663,-0.39244119407701816,-87.94087298997191,-4.699577584369763,-1.2963445462705616,-3.4032330380992013,40.11948533850979,18.41718088363831,505.5399963378906,521.5049926757813,515.1979956054688,496.95499816894534,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
4,2024-08-05 00:00:00+05:30,511.3999938964844,511.3999938964844,494.5,499.45001220703125,180345,0.0,0.0,2024-08-05,524.1174926757812,14.480880673972162,538.5983733497534,509.6366120018091,553.0792540237255,495.1557313278369,-103.17636461912676,-126.36884483584336,85050620,212886.26970824006,178384.5461110326,484.2796170996011,39.20541381565396,501.78333536783856,509.0666707356771,492.16667683919275,518.683329264323,484.8833414713542,525.9666646321615,475.26668294270837,-0.41522032631600136,-90.19799562964108,-3.881044385911082,-0.44553628674576135,-3.4355080991653204,39.893230916911875,17.900560996146876,507.5,524.1174926757812,515.0499957275391,496.7719982910156,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
5,2024-08-02 00:00:00+05:30,501.3999938964844,516.9500122070312,500.5,511.3999938964844,116907,0.0,0.0,2024-08-02,526.8674926757812,14.769366136168948,541.6368588119502,512.0981265396123,556.4062249481192,497.32876040344337,-64.89437208790214,-77.11336879899956,85230965,141303.44574434427,169759.1152117307,484.26560935477113,40.76183344510433,509.6166687011719,518.7333374023438,502.2833251953125,526.0666809082031,493.1666564941406,535.183349609375,485.83331298828125,-0.2627118894235029,-74.66668023003473,-2.7398028561493675,0.4133407380455688,-3.1531435941949364,45.32248891526522,17.34420111730995,508.25999755859374,526.8674926757812,514.8929956054687,496.68449829101564,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
6,2024-08-01 00:00:00+05:30,509.3999938964844,511.6000061035156,503.8999938964844,506.75,62452,0.0,0.0,2024-08-01,528.0774917602539,14.422716235928476,542.5002079961823,513.6547755243255,556.9229242321109,499.23205928839695,-95.74437456522591,-80.89202876047023,85114058,74798.28258143293,176873.0325785773,484.2493580683587,35.1909503031291,507.4166666666667,510.933339436849,503.23332722981775,515.116678873698,499.71665445963544,518.6333516438802,495.5333150227865,-0.3036364532622993,-85.32608695652173,-2.4140478388833344,1.201626636594303,-3.615674475477637,42.49468275042075,17.18430446070422,511.32000122070315,528.0774917602539,514.5739959716797,496.5424984741211,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
7,2024-07-31 00:00:00+05:30,513.9000244140625,514.1500244140625,507.6000061035156,510.29998779296875,88469,0.0,0.0,2024-07-31,529.402491760254,13.551190597385494,542.9536823576394,515.8513011628685,556.5048729550249,502.30011056548295,-85.70545175666525,-54.66137895466663,85176510,106700.92739453762,202391.72007786337,484.2421568250538,39.147935877765825,510.68333943684894,513.7666727701823,507.2166544596354,517.2333577473958,504.13332112630206,520.3166910807291,500.6666361490885,-0.33876574404212184,-77.60872218919837,-1.50245227638311,2.105545255463712,-3.6079975318468223,44.111973506863436,16.392852503342265,515.0899963378906,529.402491760254,514.32099609375,496.5029983520508,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
8,2024-07-30 00:00:00+05:30,513.9500122070312,520.0,507.6000061035156,509.6000061035156,266875,0.0,0.0,2024-07-30,531.1499923706054,13.207301125656912,544.3572934962624,517.9426912449485,557.5645946219192,504.73539011929165,-89.52123560025649,-40.78880364450995,85088041,321431.7959001217,226314.4182486948,484.23033750348674,36.874668774476156,512.4000040690104,517.2000020345051,504.80000813802076,524.7999979654948,500.000010172526,529.5999959309895,492.4000142415364,-0.24680063798895255,-82.18923607572432,-0.6621892967868916,3.0075446384254176,-3.6697339352123093,43.71978554378491,15.79296364326029,519.0999938964844,531.1499923706054,513.92599609375,496.37599853515627,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
9,2024-07-29 00:00:00+05:30,508.0,520.0,500.0,503.25,365213,0.0,0.0,2024-07-29,532.0599914550781,12.235586393225008,544.2955778483032,519.8244050618531,556.5311642415281,507.5888186686281,-154.5522595533834,-56.00356739151318,84821166,434391.71106888395,202535.07383583806,484.19557744550127,25.790877698265916,507.75,515.5,495.5,527.75,487.75,535.5,475.5,-0.14039465122528588,-94.0909090909091,0.4925727040331367,3.924978122228495,-3.4324054181953585,40.18401782653184,15.146929486248933,522.6999877929687,532.0599914550781,513.4369958496094,496.2869985961914,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
10,2024-07-26 00:00:00+05:30,526.9000244140625,532.5,525.0,526.7000122070312,83301,0.0,0.0,2024-07-26,532.1249908447265,12.076907300102013,544.2018981448285,520.0480835446245,556.2788054449305,507.9711762445225,3.773597435115283,38.48905157402289,85186379,103696.72996509373,144570.91452757656,484.15978306111356,41.85779786676478,528.0666707356771,531.1333414713542,523.6333414713542,535.5666707356771,520.5666707356771,538.6333414713542,516.1333414713542,-0.10456157336734241,-62.76867528050969,2.588934159155997,4.783079476777335,-2.194145317621338,51.21808933881962,14.451200394082857,526.3699829101563,532.1249908447265,512.9779956054688,496.4154983520508,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
11,2024-07-25 00:00:00+05:30,530.3499755859375,535.9500122070312,523.4000244140625,525.5999755859375,83909,0.0,0.0,2024-07-25,530.9674896240234,13.633330545394651,544.6008201694181,517.3341590786288,558.2341507148127,503.70082853323413,-6.078111269541914,42.418150240808544,85103078,104235.43894811958,154789.46066819728,484.1415479236915,54.437723834780016,528.3166707356771,533.2333170572917,520.683329264323,540.8666585286459,515.7666829427084,545.7833048502605,508.13334147135424,-0.1096506961718254,-64.6603969645125,2.924214908444128,5.331615806182668,-2.4074008977385404,50.62757279480103,15.533544215920447,523.6599853515625,530.9674896240234,511.92299560546877,496.28699798583983,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
12,2024-07-24 00:00:00+05:30,525.9500122070312,536.25,525.0499877929688,530.3499755859375,78836,0.0,0.0,2024-07-24,530.3324920654297,14.181242220875182,544.513734286305,516.1512498445545,558.6949765071801,501.97000762367935,4.571728279470327,54.39333312329194,85186987,98818.58978882105,167427.9660982167,484.1236390639371,51.6028250961148,530.5499877929688,536.0499877929688,524.8499755859375,541.75,519.3499755859375,547.25,513.6499633789062,-0.10913158948625692,-56.49187072937768,3.417506521224709,5.9334660306173035,-2.5159595093925944,53.210341716691325,16.69914525482247,523.3299926757812,530.3324920654297,510.84599609375,496.3359982299805,AARTIDRUGS.NS,2024-08-08 10:42:13.340332
