Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-27 00:00:00+05:30,28994.900390625,29480.0,29071.400390625,29257.19921875,700,0.0,0.0,2024-09-27,29153.1599609375,713.0281035486573,29866.18806448616,28440.131857388842,30579.216168034814,27727.103753840187,97.54160079883188,40.738640909143875,9499,1128.865046985175,1133.8733499817279,23527.530439285623,47.33784963972682,29269.533203125,29467.666015625,29059.06640625,29678.1328125,28860.93359375,29876.265625,28650.466796875,-0.07241898866258227,-37.08143100365262,-21.25820420281525,21.38269054844428,-42.64089475125953,55.43808121322825,25.961463552396232,28731.959765625,29153.1599609375,28598.171953125,27798.99552734375,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
2,2024-09-26 00:00:00+05:30,28994.900390625,29280.0,28659.0,29188.599609375,1348,0.0,0.0,2024-09-26,29199.12998046875,748.8275799530082,29947.95756042176,28450.302400515742,30696.785140374766,27701.474820562737,55.643313160255985,24.2754907975259,8799,2168.7744521051795,1135.125425730866,23513.785564711427,40.91214270381374,29042.533203125,29426.06640625,28805.06640625,29663.533203125,28421.533203125,30047.06640625,28184.06640625,-0.07894717604048324,-39.58662176918978,-64.15466583726811,32.04291423625916,-96.19758007352726,54.67092068976567,26.804384440086142,28523.95,29199.12998046875,28585.0849609375,27767.86802734375,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
3,2024-09-25 00:00:00+05:30,28261.0,28668.0,28149.75,28623.650390625,620,0.0,0.0,2024-09-25,29238.47998046875,768.6604168211534,30007.140397289902,28469.819563647598,30775.800814111055,27701.159146826445,-23.011329470792568,-19.456547445275426,7451,978.200646564926,876.7131691372874,23487.448603715307,31.509815587108946,28480.466796875,28811.18359375,28292.93359375,28998.716796875,27962.216796875,29329.43359375,27774.68359375,-0.2248688127763586,-60.21801571887199,-111.3470731302441,56.09230925464097,-167.43938238488508,47.79855788057892,28.07212829252343,28278.880078125,29238.47998046875,28573.128984375,27742.02552734375,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
4,2024-09-24 00:00:00+05:30,28386.0,28503.349609375,28139.849609375,28261.150390625,155,0.0,0.0,2024-09-24,29304.7099609375,769.9613025541169,30074.67126349162,28534.74865838338,30844.632566045733,27764.787355829267,-50.44077189290554,-31.8218780409729,6831,241.45309217646536,851.3412997803778,23476.461431419935,28.916812275140572,28301.449869791668,28463.050130208336,28099.550130208336,28664.949869791668,27937.949869791668,28826.550130208336,27736.050130208336,-0.27222849178618236,-73.45616183633629,-114.44164011890098,97.95215485086223,-212.3937949697632,42.61483035779453,29.746327595179267,28113.269921875,29304.7099609375,28550.28796875,27719.9465234375,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
5,2024-09-23 00:00:00+05:30,28322.0,28470.94921875,28225.0,28329.19921875,710,0.0,0.0,2024-09-23,29341.39248046875,734.2766838068873,30075.669164275634,28607.115796661863,30809.945848082523,27872.839112854974,-60.04240783259446,-29.37552705318139,6986,1108.6740552931542,1003.8133516813559,23473.901254987217,29.04220757320782,28341.716145833332,28458.432291666664,28212.483072916664,28587.665364583332,28095.766927083332,28704.381510416664,27966.533854166664,-0.22223015725444423,-70.97108506436122,-80.96890179197362,151.05060359330304,-232.01950538527666,43.36548347447317,31.152031061882553,28235.4796875,29341.39248046875,28541.5259765625,27700.111015625,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
6,2024-09-20 00:00:00+05:30,28050.0,28250.0,27780.0,28217.150390625,298,0.0,0.0,2024-09-20,29374.47998046875,700.3932108675046,30074.873191336254,28674.086769601246,30775.26640220376,27973.69355873374,-101.93019399972248,-48.4844258268624,6276,463.49030491729746,977.5981757784064,23461.971693394684,19.848211023556004,28082.383463541668,28384.766927083336,27914.766927083336,28552.383463541668,27612.383463541668,28854.766927083336,27444.766927083336,-0.19916121041400148,-75.72865612373825,-43.588630464626476,209.0554799396222,-252.64411040424866,41.797953583419364,32.8285343431276,28398.0796875,29374.47998046875,28537.4580078125,27675.46751953125,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
7,2024-09-19 00:00:00+05:30,28000.349609375,28176.44921875,27576.099609375,27963.25,797,0.0,0.0,2024-09-19,29422.43994140625,647.8426975299941,30070.282638936245,28774.597243876255,30718.125336466237,28126.754546346263,-160.7248006735578,-61.16030756014297,5978,1228.4492064136293,1106.1251434936835,23457.062824264623,15.378208099281963,27905.266276041668,28234.432942708336,27634.083333333336,28505.615885416668,27304.916666666668,28834.782552083336,27033.733723958336,-0.1940180513129969,-84.75334268219875,15.96498984504069,272.21650754068435,-256.25151769564366,38.198823592886434,34.12026523359724,28667.2296875,29422.43994140625,28539.391015625,27649.931015625,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
8,2024-09-18 00:00:00+05:30,28826.25,28899.94921875,27534.30078125,27795.599609375,2256,0.0,0.0,2024-09-18,29451.66748046875,589.0660068769207,30040.73348734567,28862.60147359183,30629.799494222592,28273.535466714908,-235.45547680415052,-46.95846769807458,5181,3456.4189673542737,1075.544127763697,23444.587075656516,24.773446093087387,28076.616536458332,28618.932291666664,27253.283854166664,29442.264973958332,26710.968098958332,29984.580729166664,25887.635416666664,-0.1903628077002992,-91.18900517457011,116.97511810843935,336.27938696459523,-219.3042688561559,35.76326308973667,35.3396207388179,29016.43984375,29451.66748046875,28538.00203125,27624.9205078125,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
9,2024-09-17 00:00:00+05:30,29265.30078125,29369.0,28807.900390625,28872.19921875,319,0.0,0.0,2024-09-17,29451.45751953125,589.6877667562649,30041.145286287516,28861.769752774984,30630.83305304378,28272.08198601872,-219.5815358887135,26.346110483110245,7437,507.6703341374934,480.32541786605276,23410.219778625637,50.56382354679737,29016.366536458332,29224.832682291664,28663.733072916664,29577.466145833332,28455.266927083332,29785.932291666664,28102.633463541664,-0.10435960643709778,-96.19983285313239,261.0373644601241,391.1054541786342,-130.06808971851012,46.749378480755205,36.65277282136322,29356.319921875,29451.45751953125,28538.9010546875,27604.40751953125,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
10,2024-09-16 00:00:00+05:30,29809.55078125,29809.55078125,29104.0,29142.19921875,317,0.0,0.0,2024-09-16,29414.71005859375,647.7286343198493,30062.4386929136,28766.9814242739,30710.167327233452,28119.25278995405,-187.91682848167207,53.869867522699366,7756,509.20519086411883,473.4891887981926,23404.112580392914,60.119369722654106,29351.916666666668,29599.833333333336,28894.282552083336,30057.467447916668,28646.365885416668,30305.384114583336,28188.731770833336,-0.06367960265849137,-97.26347101795017,335.49683402558003,423.6224766082617,-88.12564258268168,50.351372945420614,38.34342357023704,29536.35,29414.71005859375,28519.1680859375,27578.30001953125,ABBOTINDIA.BO,2024-09-27 11:02:00.377843
