Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-19 00:00:00+05:30,1499.449951171875,1506.5,1490.0,1496.300048828125,143308,0.0,0.0,2024-08-19,1517.5050109863282,37.974992395676516,1555.4800033820047,1479.5300185906517,1593.4549957776812,1441.5550261949752,-27.159995500759734,-6.051220897729004,46648204,255230.32930578105,344827.23484314623,849.3220818493605,34.668724152778154,1497.6000162760417,1505.2000325520835,1488.7000325520835,1514.1000162760417,1481.1000162760417,1521.7000325520835,1472.2000325520835,0.1084932403321006,-70.62863382840935,1.4879696111152043,9.676732611170648,-8.188763000055443,48.95292587048131,14.593148431169128,1487.6500244140625,1517.5050109863282,1482.4470043945312,1412.4304992675782,ADANIPORTS.BO,2024-08-19 11:08:05.066091
2,2024-08-16 00:00:00+05:30,1474.0,1496.9000244140625,1457.0,1494.25,164373,0.0,0.0,2024-08-16,1516.122509765625,39.26886673737913,1555.391376503004,1476.8536430282459,1594.6602432403831,1437.5847762908668,-81.79665295579929,-44.08748678891138,46504896,292345.828855146,367226.46122748754,848.8930029970358,32.80779774958887,1482.7166748046875,1508.433349609375,1468.5333251953125,1522.61669921875,1442.816650390625,1548.3333740234375,1428.63330078125,0.1036549113960414,-71.97116679816999,2.4900728849427196,11.723923361184509,-9.23385047624179,48.60751833025946,14.062161578797085,1495.0500244140626,1516.122509765625,1479.6250024414062,1409.875499267578,ADANIPORTS.BO,2024-08-19 11:08:05.066091
3,2024-08-14 00:00:00+05:30,1484.550048828125,1488.0,1451.449951171875,1461.75,237652,0.0,0.0,2024-08-14,1516.097509765625,39.28368083011758,1555.3811905957427,1476.8138289355074,1594.6648714258602,1437.53014810539,-129.22945635904915,-81.37928253043216,46340523,413483.06957709795,385946.61932057294,848.4017127098551,39.11399423832143,1467.066650390625,1482.683349609375,1446.13330078125,1503.61669921875,1430.5166015625,1519.2333984375,1409.583251953125,0.07343803745080324,-93.25471913049526,3.9372391142803735,14.032385980244955,-10.095146865964582,42.921935167836644,13.126708761104766,1499.8500244140625,1516.097509765625,1474.7000024414062,1407.600499267578,ADANIPORTS.BO,2024-08-19 11:08:05.066091
4,2024-08-13 00:00:00+05:30,1506.0,1517.5,1479.449951171875,1483.6500244140625,203176,0.0,0.0,2024-08-13,1517.9200073242187,37.43147061143421,1555.3514779356528,1480.4885367127845,1592.782948547087,1443.0570661013503,-98.58519704159198,-9.86307130798905,46578175,358795.53484579566,379062.5067564416,847.7258872115173,41.22721882957181,1493.5333251953125,1507.61669921875,1469.566650390625,1531.5833740234375,1455.4832763671875,1545.666748046875,1431.5166015625,0.09662405980514313,-82.0844413621978,8.93115286071611,16.5561726967361,-7.6250198360199875,46.11409941127546,11.78281952899091,1516.3600341796875,1517.9200073242187,1477.1650024414062,1405.8089990234375,ADANIPORTS.BO,2024-08-19 11:08:05.066091
5,2024-08-12 00:00:00+05:30,1480.0,1524.25,1457.3499755859375,1502.300048828125,458053,0.0,0.0,2024-08-12,1518.4750061035156,36.97612450757925,1555.4511306110949,1481.4988815959364,1592.427255118674,1444.5227570883571,-117.73000950590269,-2.2762214265951104,46781351,819059.7206085754,384129.24973410304,847.1262715558746,47.98062150157331,1494.6333414713542,1531.916707356771,1465.0166829427085,1561.5333658854167,1427.7333170572917,1598.8167317708335,1398.116658528646,0.1491652615846033,-69.38006928402626,13.032734679226678,18.462427655741095,-5.429692976514417,48.995560100605914,10.936911714101749,1518.280029296875,1518.4750061035156,1476.2460009765625,1403.6644982910157,ADANIPORTS.BO,2024-08-19 11:08:05.066091
6,2024-08-09 00:00:00+05:30,1542.449951171875,1542.449951171875,1519.050048828125,1533.300048828125,67523,0.0,0.0,2024-08-09,1517.6800048828125,37.509280646050776,1555.1892855288631,1480.1707242367618,1592.698566174914,1442.6614435907109,-38.560679788066686,88.87391682391923,47239404,123231.58506033204,275396.6320154849,845.7305728736665,61.566521746154166,1531.6000162760417,1544.1499837239585,1520.7500813802085,1554.9999186197917,1508.2001139322917,1567.5498860677085,1497.3501790364585,0.09087786842678418,-38.39065664616618,16.249791804885717,19.8198508998697,-3.570059094983982,54.22528687927827,10.025934067298037,1516.5500244140626,1517.6800048828125,1473.8680004882813,1400.7374975585938,ADANIPORTS.BO,2024-08-19 11:08:05.066091
7,2024-08-08 00:00:00+05:30,1537.9000244140625,1555.5,1513.5,1518.25,175902,0.0,0.0,2024-08-08,1515.2425048828125,38.02129365128806,1553.2637985341005,1477.2212112315244,1591.2850921853885,1439.1999175802364,-43.49971560473647,88.51666276320671,47171881,317875.62190009514,313437.8937542731,845.5145875953514,58.97155286721519,1529.0833333333333,1544.6666666666665,1502.6666666666665,1571.0833333333333,1487.0833333333333,1586.6666666666665,1460.6666666666665,0.07746847077485687,-46.54565249888546,17.069360521754334,20.712365673615693,-3.6430051518613595,51.911330557105636,10.662349723720855,1527.460009765625,1515.2425048828125,1471.3959985351562,1398.4069970703124,ADANIPORTS.BO,2024-08-19 11:08:05.066091
8,2024-08-07 00:00:00+05:30,1523.1500244140625,1547.050048828125,1514.300048828125,1544.300048828125,129572,0.0,0.0,2024-08-07,1513.6975036621093,38.51723075503105,1552.2147344171403,1475.1802729070782,1590.7319651721714,1436.6630421520472,-9.651607367884937,107.10347888823358,47347783,238169.42226039973,312328.4617178176,844.9636195147222,61.68413456206125,1535.2167154947917,1556.1333821614585,1523.3833821614585,1567.9667154947917,1502.4667154947917,1588.8833821614585,1490.6333821614585,0.14362438615419368,-32.43021389914501,19.342231937457882,21.62311696158103,-2.2808850241231475,56.50204451421819,11.347720430637736,1541.6900146484375,1513.6975036621093,1469.0449975585936,1396.4949975585937,ADANIPORTS.BO,2024-08-19 11:08:05.066091
9,2024-08-06 00:00:00+05:30,1515.300048828125,1540.0,1488.800048828125,1493.25,119276,0.0,0.0,2024-08-06,1510.3775024414062,38.60219507220387,1548.97969751361,1471.7753073692024,1587.5818925858139,1433.1731122969986,-59.458829612721345,51.8910694291117,47218211,211996.52660156364,330868.22158217203,844.5414656501629,57.483194725105264,1507.3500162760417,1525.8999837239585,1474.7000325520835,1558.5499674479167,1456.1500651041667,1577.0999348958335,1423.5000813802085,0.052662929597674886,-60.09211328756993,19.393596866347025,22.193338217611814,-2.799741351264789,48.159681842135804,11.825770620500641,1546.760009765625,1510.3775024414062,1466.7939965820312,1394.3264965820313,ADANIPORTS.BO,2024-08-19 11:08:05.066091
10,2024-08-05 00:00:00+05:30,1510.1500244140625,1562.1500244140625,1472.1500244140625,1493.6500244140625,252271,0.0,0.0,2024-08-05,1509.5,39.20676689373535,1548.7067668937354,1470.2932331062646,1587.9135337874707,1431.0864662125293,-45.78811901232122,59.16925467007568,47337487,448496.7855255986,360586.1453273241,844.1807894132415,61.906081585072215,1509.3166910807292,1546.483357747396,1456.483357747396,1599.3166910807292,1419.3166910807292,1636.483357747396,1366.483357747396,0.06263064036416169,-59.875356685985366,24.193173487673903,22.89327355542801,1.2998999322458928,48.22697793211323,12.12693819604561,1557.2300048828124,1509.5,1465.2439965820313,1392.6364965820312,ADANIPORTS.BO,2024-08-19 11:08:05.066091
