Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-28 00:00:00+05:30,108.0,108.33999633789062,104.2300033569336,105.55000305175781,2337,0.0,0.0,2023-11-28,111.51900024414063,7.431351550714053,118.95035179485468,104.08764869342657,126.38170334556874,96.65629714271252,-73.9558404203398,5.485389010787025,1047838,3110.597069850814,25729.144211603973,91.9612261213478,34.15692603650267,106.04000091552734,107.8499984741211,103.74000549316406,110.14999389648438,101.93000793457031,111.95999145507812,99.63001251220703,-0.19545630968150923,-93.77652167938773,1.017297057904429,2.6740701567389356,-1.6567730988345066,46.40378406163524,23.524658910861856,106.93000030517578,111.51900024414063,101.45820007324218,94.86680000305176,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
2,2023-11-24 00:00:00+05:30,107.80000305175781,108.43000030517578,105.0,106.51000213623047,14096,0.0,0.0,2023-11-24,111.13800010681152,7.931959011032587,119.0699591178441,103.20604109577893,127.0019181288767,95.27408208474634,-68.75386918112201,15.068632064113435,1050175,18932.722980255006,31383.78099704226,91.95585474621969,45.4402772296971,106.64666748046875,108.2933349609375,104.86333465576172,110.07666778564453,103.21666717529297,111.72333526611328,101.43333435058594,-0.19898989815239806,-92.6125148929944,1.4308886104520013,3.0882634314475617,-1.6573748209955603,47.96580792374406,25.235464024915345,107.15999908447266,111.13800010681152,101.06720001220702,94.71149993896485,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
3,2023-11-23 00:00:00+05:30,109.0,109.0,106.0999984741211,107.31999969482422,3027,0.0,0.0,2023-11-23,110.70200004577637,8.42412668418166,119.12612672995803,102.27787336159471,127.55025341413969,93.85374667741306,-64.32972419290829,25.719121309795668,1064271,4096.565278367067,34496.545501239074,91.92107184991048,44.14171665281032,107.47333272298177,108.84666697184244,105.94666544596353,110.37333424886067,104.57333119710286,111.74666849772134,103.04666392008463,-0.19266251317812408,-88.86710784200007,1.844185633645111,3.5026071366964517,-1.6584215030513407,49.26508754959645,27.061872218174834,107.25399932861328,110.70200004577637,100.69660003662109,94.55149993896484,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
4,2023-11-22 00:00:00+05:30,108.94999694824219,109.5,105.8499984741211,107.0,3849,0.0,0.0,2023-11-22,110.14799995422364,9.002705897735792,119.15070585195943,101.14529405648784,128.1534117496952,92.14258815875205,-72.82541257436695,28.766519317091884,1061244,5193.480254107904,42096.54055695708,91.9131649010678,63.62320850541281,107.4499994913737,109.05000050862631,105.3999989827474,111.10000101725261,103.7999979654948,112.70000203450522,101.7499974568685,-0.1929834084745682,-90.43650315540393,2.265616371452907,3.9172125124592863,-1.651596141006379,48.755879590351505,28.726215796659847,107.8220001220703,110.14799995422364,100.38800003051757,94.3532999420166,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
5,2023-11-21 00:00:00+05:30,108.0,109.9800033569336,107.0999984741211,108.2699966430664,17346,0.0,0.0,2023-11-21,109.51049995422363,9.664459932562771,119.17495988678641,99.84604002166085,128.8394198193492,90.18158008909809,-76.45943620575021,39.48610213872451,1065093,23682.866197935204,51322.30563266937,91.90330810601058,69.8465028360316,108.4499994913737,109.80000050862631,106.91999562581381,111.3300043741862,105.5699946085612,112.68000539143881,104.03999074300131,-0.21741875558267396,-63.6161626669124,2.802363022811406,4.330111547710881,-1.5277485248994749,50.62851179980668,30.518585804259093,108.6479995727539,109.51049995422363,100.06919998168945,94.1472999572754,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
6,2023-11-20 00:00:00+05:30,109.12000274658203,109.12000274658203,105.05000305175781,106.69999694824219,17546,0.0,0.0,2023-11-20,109.17150001525879,9.82779387387396,118.99929388913274,99.34370614138483,128.82708776300672,89.51591226751087,-114.98809305767966,31.06550459317811,1047747,23608.55074913344,58232.165491352906,91.85497658843138,68.59900169970248,106.95666758219402,108.86333211263022,104.793332417806,111.02666727701823,102.8866678873698,112.93333180745444,100.72333272298178,-0.2339044289312861,-69.04939541123112,3.322025914281866,4.71204867893575,-1.3900227646538834,48.3513399847006,32.12873328173047,111.08800048828125,109.17150001525879,99.73639999389648,93.94029998779297,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
7,2023-11-17 00:00:00+05:30,110.16000366210938,110.25,106.55000305175781,106.9800033569336,28513,0.0,0.0,2023-11-17,109.0310001373291,9.884906711627051,118.91590684895615,99.14609342570205,128.8008135605832,89.261186714075,-135.8207215622508,40.72460836616325,1065293,38465.582828860155,66888.06917690777,91.81050031279071,70.27842956996143,107.92666880289714,109.30333455403647,105.60333760579428,111.62666575113933,104.22667185465495,113.00333150227866,101.90334065755209,-0.2369261768994204,-66.714836343042,4.091639345059605,5.059554370099221,-0.9679150250396162,48.723501765059964,34.04265221804325,113.88800048828125,109.0310001373291,99.44200012207031,93.75139999389648,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
8,2023-11-16 00:00:00+05:30,115.0,115.0,109.19999694824219,110.16000366210938,45680,0.0,0.0,2023-11-16,108.80999984741212,9.982106879368969,118.79210672678109,98.82789296804314,128.77421360615006,88.84578608867417,-120.67800476364572,68.68229749895693,1093806,63456.604963820624,73993.69076391967,91.73628331734302,73.0108432717408,111.45333353678386,113.70667012532553,107.90666707356772,117.25333658854167,105.65333048502605,119.50667317708334,102.1066640218099,-0.2314654602511486,-53.25896646576904,4.987406828380301,5.301533126359124,-0.31412629797882285,53.027896175989625,35.74303735092548,116.68000030517578,108.80999984741212,99.12040008544922,93.55979995727539,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
9,2023-11-15 00:00:00+05:30,114.02999877929688,114.79000091552734,109.5,111.12999725341797,97296,0.0,0.0,2023-11-15,108.52699966430664,10.021971923791405,118.54897158809806,98.50502774051523,128.57094351188945,88.48305581672383,-98.74227179627879,74.83520608240391,1139486,136349.3543084914,76627.96221394443,91.59073405181228,76.52427128310407,111.80666605631511,114.11333211263022,108.82333119710287,117.09666697184245,106.51666514078777,119.40333302815756,103.53333028157553,-0.2242697806363181,-44.802767984253926,5.7455120333587075,5.380064700853829,0.3654473325048784,54.38884994254722,36.90879211369452,119.49599914550781,108.52699966430664,98.70600006103516,93.3366999053955,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
10,2023-11-13 00:00:00+05:30,123.8499984741211,123.91000366210938,118.47000122070312,120.47000122070312,11011,0.0,0.0,2023-11-13,108.28299980163574,10.014665340985179,118.29766514262091,98.26833446065056,128.3123304836061,88.25366911966537,56.75589424097245,143.48250784242134,1236782,16727.555263464277,61697.61419030767,91.25632368800983,85.0161059235264,120.9500020345052,123.43000284830728,117.99000040690103,126.39000447591145,115.50999959309895,128.87000528971353,112.54999796549478,-0.18397310629856164,-15.560428430838613,6.533533540083113,5.288702867727609,1.244830672355504,70.58645495074947,38.088245565681945,120.95,108.28299980163574,98.24940017700196,93.11219993591308,ADVANIHOTR.BO,2023-11-28 11:02:24.717107
