Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-16 00:00:00+05:30,104.26000213623047,104.4800033569336,102.81999969482422,103.88999938964844,18665,0.0,0.0,2024-10-16,106.38325424194336,2.683420342981656,109.06667458492502,103.6998338989617,111.75009492790667,101.01641355598005,-40.30980447934314,-87.59218290935692,3642670,17279.28980170015,32990.82521991372,123.17928040704064,38.97773669030979,103.73000081380208,104.64000193277994,102.97999827067056,105.39000447591145,102.0699971516927,106.30000559488931,101.31999460856119,-0.29120507344137064,-55.183394447577726,-1.4211998480700032,-1.2276375035098956,-0.19356234456010757,43.23440942685543,16.319183159914736,104.52200164794922,106.38325424194336,107.25375152587891,113.30254013061523,AHLADA.NS,2024-10-16 10:45:11.484735
2,2024-10-15 00:00:00+05:30,104.0,105.5999984741211,103.70999908447266,104.26000213623047,15668,0.0,0.0,2024-10-15,106.81323547363282,2.9396375086518125,109.75287298228463,103.873597964981,112.69251049093644,100.93396045632919,-8.366737910420897,-72.12096050472425,3661335,14556.448992592259,36918.70907446711,123.18954439319076,44.47604915398377,104.52333323160808,105.3366673787435,103.44666798909506,106.41333262125652,102.63333384195964,107.22666676839194,101.55666859944662,-0.2906256863470508,-56.372876703346655,-1.4171320534255898,-1.1792469173698685,-0.23788513605572126,43.95720616018158,16.62826314128343,104.7500015258789,106.81323547363282,107.27537673950195,113.5116088104248,AHLADA.NS,2024-10-16 10:45:11.484735
3,2024-10-14 00:00:00+05:30,104.58999633789062,106.5,103.20999908447266,103.61000061035156,19312,0.0,0.0,2024-10-14,107.25476989746093,3.1886005391214307,110.44337043658236,104.06616935833951,113.6319709757038,100.87756881921807,-26.410404481715904,-70.21033192783571,3645667,17830.07128721567,42509.27409493581,123.19800340686722,40.51463090595501,104.43999989827473,105.67000071207681,102.37999979654947,107.73000081380208,101.14999898274739,108.96000162760416,99.08999888102213,-0.30037556421343925,-61.10704543572834,-1.4268920102726383,-1.119775633355938,-0.30711637691670024,42.38596855537263,17.288798978535148,105.05600128173828,107.25476989746093,107.40016021728516,113.70810913085937,AHLADA.NS,2024-10-16 10:45:11.484735
4,2024-10-11 00:00:00+05:30,106.5999984741211,108.69999694824219,103.01000213623047,104.55000305175781,50450,0.0,0.0,2024-10-11,107.79088249206544,3.435376154607742,111.22625864667317,104.3555063374577,114.66163480128093,100.92013018284995,-1.3445767276403704,-49.57776662724426,3664979,47001.24597111348,48679.07479686585,123.20879840911424,39.39993945904057,105.42000071207683,107.82999928792319,102.14000447591147,111.10999552408855,99.73000590006511,113.5199940999349,96.45000966389975,-0.2821061974260773,-54.26070740528967,-1.353752834895218,-1.0429965391267628,-0.3107562957684551,44.044182068227585,18.00014526480623,104.29400177001953,107.79088249206544,107.52276916503907,113.89485092163086,AHLADA.NS,2024-10-16 10:45:11.484735
5,2024-10-10 00:00:00+05:30,105.5999984741211,107.5,104.19999694824219,106.30000305175781,48123,0.0,0.0,2024-10-10,108.20904846191407,3.527883017704483,111.73693147961855,104.68116544420958,115.26481449732303,101.1532824265051,10.135142943096625,-38.441888159639426,3715429,45583.75745377566,49098.53200330393,123.23569986568872,47.60550304725391,106.0,107.80000305175781,104.5,109.30000305175781,102.69999694824219,111.10000610351562,101.19999694824219,-0.27100037526791154,-46.2156313157767,-1.3321771184536004,-0.9653074651846489,-0.3668696532689515,47.238987629684566,18.766210496175084,104.25600128173828,108.20904846191407,107.67761993408203,114.09485618591309,AHLADA.NS,2024-10-16 10:45:11.484735
6,2024-10-09 00:00:00+05:30,106.25,106.25,103.16999816894531,105.02999877929688,36196,0.0,0.0,2024-10-09,108.54907569885253,3.6594733156571913,112.20854901450973,104.88960238319534,115.86802233016692,101.23012906753814,-35.89745577751329,-58.02934827733648,3667306,33876.46539034468,49977.225640685996,123.25902286849363,40.78070373802801,104.81666564941406,106.46333312988281,103.38333129882812,107.89666748046875,101.73666381835938,109.5433349609375,100.30332946777344,-0.31704492035770054,-54.722022785980926,-1.4567176463661724,-0.873590051867411,-0.5831275944987614,44.527454162316126,19.131291942890652,103.8,108.54907569885253,107.79530288696289,114.2719418334961,AHLADA.NS,2024-10-16 10:45:11.484735
7,2024-10-08 00:00:00+05:30,99.80000305175781,106.6500015258789,98.30000305175781,105.79000091552734,75835,0.0,0.0,2024-10-08,109.02601280212403,3.795747205445495,112.82176000756952,105.23026559667854,116.61750721301502,101.43451839123304,-79.93659895975293,-79.19015453124986,3703502,71488.87496329646,54002.41570327133,123.2779246521613,34.20624088492745,103.58000183105469,108.86000061035156,100.51000213623047,111.93000030517578,95.2300033569336,117.20999908447266,92.16000366210938,-0.3038253127729423,-49.991582026394674,-1.4690196038093433,-0.7278081532427206,-0.7412114505666226,45.836449211372454,19.0284317246643,104.23000030517578,109.02601280212403,107.92912353515625,114.44842506408692,AHLADA.NS,2024-10-16 10:45:11.484735
8,2024-10-07 00:00:00+05:30,104.19999694824219,104.95999908447266,98.2699966430664,99.80000305175781,104443,0.0,0.0,2024-10-07,109.23733024597168,3.723058542367997,112.96038878833967,105.51427170360368,116.68344733070766,101.79121316123569,-182.33657965420963,-125.13812165214198,3627667,92882.53139252875,49630.80088826503,123.31599889173235,24.200485252731454,101.00999959309895,103.7500025431315,97.06000010172525,107.7000020345052,94.3199971516927,110.44000498453775,90.369997660319,-0.39186956331177236,-90.3261617499567,-1.5373606596523075,-0.5425052906010649,-0.9948553690512426,30.988775335564384,18.917659181959,104.71600036621093,109.23733024597168,108.04321151733399,114.61977172851563,AHLADA.NS,2024-10-16 10:45:11.484735
9,2024-10-04 00:00:00+05:30,104.05999755859375,107.8499984741211,102.45999908447266,104.36000061035156,29366,0.0,0.0,2024-10-04,109.88560638427734,3.063725919453421,112.94933230373076,106.82188046482392,116.01305822318417,103.7581545453705,-132.7644763981004,-61.19391241736548,3732110,27308.82522255456,38817.868262199096,123.38672344177132,26.303278202543282,104.88999938964844,107.31999969482422,101.93000030517578,110.27999877929688,99.5,112.70999908447266,96.54000091552734,-0.36943527717120656,-86.25506956577105,-1.0116405451762205,-0.2937914483382542,-0.7178490968379663,38.43702860918965,18.14429743512738,106.51399993896484,109.88560638427734,108.26074234008789,114.77218894958496,AHLADA.NS,2024-10-16 10:45:11.484735
10,2024-10-03 00:00:00+05:30,106.19999694824219,106.19999694824219,102.79000091552734,104.0199966430664,52397,0.0,0.0,2024-10-03,110.29356536865234,2.8229948208451985,113.11656018949753,107.47057054780714,115.93955501034273,104.64757572696195,-213.47758448121104,-71.46900196829158,3702744,48567.68554959451,41695.12902211023,123.4028263258889,32.1275432076154,104.33666483561198,105.88332875569662,102.47333272298178,107.74666086832683,100.92666880289714,109.29332478841147,99.06333669026694,-0.34465069846911894,-91.04139587217469,-0.7723222711224906,-0.11432917412876262,-0.657993096993728,37.39522252365838,18.371522486291145,107.08999938964844,110.29356536865234,108.41151031494141,114.87752807617187,AHLADA.NS,2024-10-16 10:45:11.484735
