Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-04 00:00:00+05:30,670.0,685.9500122070312,669.0999755859375,676.75,30564,0.0,0.0,2024-09-04,696.5149993896484,10.540734051964874,707.0557334416133,685.9742653376836,717.5964674935782,675.4335312857187,-141.24868311424984,-126.93813090682953,23090728,74258.23758054124,103375.14090779591,496.1371964326506,41.11328415516729,677.2666625976562,685.433349609375,668.5833129882812,694.11669921875,660.4166259765625,702.2833862304688,651.7332763671875,-0.15765016923654437,-84.19540229885058,-7.039610188415168,-5.199164836182205,-1.8404453522329627,38.74587323130277,8.804744186598525,685.0699951171875,696.5149993896484,708.4721215820313,728.960234375,AJMERA.NS,2024-09-04 10:43:20.135481
2,2024-09-03 00:00:00+05:30,687.5,698.4000244140625,663.0,684.3499755859375,95585,0.0,0.0,2024-09-03,697.1174987792969,9.659030422912876,706.7765292022098,687.458468356384,716.4355596251226,677.7994379334712,-159.46304534344827,-114.6717221508708,23121292,234841.1415276981,110654.36673960957,496.0550910073274,41.50584172216275,681.9166666666666,700.8333333333333,665.4333089192708,717.3166910807291,646.5166422526041,736.2333577473958,630.0332845052083,-0.1667962638893718,-75.45979817708333,-6.157488333613514,-4.739053498123964,-1.4184348354895508,41.6598957387606,8.29375685547539,688.4099975585938,697.1174987792969,709.22759765625,730.022260131836,AJMERA.NS,2024-09-04 10:43:20.135481
3,2024-09-02 00:00:00+05:30,681.5,697.7999877929688,680.0,683.7000122070312,28531,0.0,0.0,2024-09-02,697.6600006103515,9.19788719169643,706.8578878020479,688.4621134186551,716.0557749937444,679.2642262269586,-146.4771482712357,-101.19800649132188,23025707,70030.74775887378,79607.67304258743,495.7870141862827,49.16576126438446,687.1666666666666,694.3333333333333,676.5333455403645,704.9666544596354,669.3666788736979,712.133321126302,658.7333577473958,-0.2398487047530836,-92.08331637912326,-5.683292216102018,-4.384444789251576,-1.2988474268504415,41.30934451334051,7.743462806573552,690.7700073242188,697.6600006103515,709.6470727539063,731.142060546875,AJMERA.NS,2024-09-04 10:43:20.135481
4,2024-08-30 00:00:00+05:30,688.0,709.0,688.0,692.7999877929688,34077,0.0,0.0,2024-08-30,699.3850006103515,9.6652381657242,709.0502387760757,689.7197624446273,718.7154769417999,680.0545242789032,-54.60474361938127,-71.18483042637486,23054238,84756.9671075771,82001.90436351585,495.7071247400287,49.625794278870046,696.5999959309896,705.1999918619792,684.1999918619792,717.5999959309896,675.5999959309896,726.1999918619792,663.1999918619792,-0.17243248981099807,-77.29731379328547,-4.9260554568789985,-4.0597329325389655,-0.866322524340033,44.80959093476265,8.089942714378054,694.9400024414062,699.3850006103515,709.8995227050781,732.2847717285156,AJMERA.NS,2024-09-04 10:43:20.135481
5,2024-08-29 00:00:00+05:30,692.0499877929688,698.0,681.0999755859375,687.75,17486,0.0,0.0,2024-08-29,701.6125,12.718948995965462,714.3314489959654,688.8935510040345,727.0503979919308,676.1746020080691,-118.37299226073996,-102.60089959075148,23020161,43174.49388945079,81313.13867750054,495.60699376826966,42.13215626696447,688.9499918619791,696.8000081380208,679.8999837239583,705.8500162760416,672.0499674479166,713.7000325520833,662.9999593098958,-0.146862676043269,-84.12162162162163,-4.778135452293554,-3.843152301453957,-0.9349831508395976,42.289777618008436,8.460175097574394,697.1800048828125,701.6125,709.7800036621094,732.8441534423828,AJMERA.NS,2024-09-04 10:43:20.135481
6,2024-08-28 00:00:00+05:30,706.5999755859375,708.0499877929688,690.0499877929688,693.4500122070312,48842,0.0,0.0,2024-08-28,704.6072082519531,15.929187605097917,720.536395857051,688.6780206468552,736.465583462149,672.7488330417573,-47.51829014036879,-71.1506340255752,23037647,121594.73808222148,90847.79987451297,495.5568906835211,48.123786374531456,697.1833292643229,704.316670735677,686.316670735677,715.1833292643229,679.1833292643229,722.316670735677,668.316670735677,-0.07619639142651871,-76.41890242293074,-4.01900974783814,-3.609406513744057,-0.4096032340940834,44.415148191933156,8.663119583015389,699.4,704.6072082519531,710.1822033691407,733.419721069336,AJMERA.NS,2024-09-04 10:43:20.135481
7,2024-08-27 00:00:00+05:30,704.0,704.0,695.0,696.1500244140625,29697,0.0,0.0,2024-08-27,706.4466369628906,16.67941672156737,723.1260536844579,689.7672202413232,739.8054704060253,673.0878035197559,-31.40149188179544,-63.36376622468472,23086489,74220.11173782493,83161.06532258584,495.4126492652706,56.3427927264903,698.3833414713541,701.7666829427083,692.7666829427083,707.3833414713541,689.3833414713541,710.7666829427083,683.7666829427083,-0.051228790146790645,-72.77023727829392,-3.547569559525982,-3.507005705220536,-0.04056385430544607,45.41916889972281,9.223075851989678,701.3299926757812,706.4466369628906,710.3500561523438,733.882094116211,AJMERA.NS,2024-09-04 10:43:20.135481
8,2024-08-26 00:00:00+05:30,704.0,712.0999755859375,693.0,704.5499877929688,58466,0.0,0.0,2024-08-26,708.2281463623046,17.408633975588337,725.636780337893,690.8195123867163,743.0454143134813,673.410878411128,10.485081489296642,-40.739201611625646,23116186,147884.06372991917,85396.30371877606,495.3236473857422,58.02632185083567,703.2166544596354,713.4333089192708,694.3333333333333,722.3166300455729,684.1166788736979,732.5332845052083,675.2333577473958,-0.0409518333411376,-60.64043336175397,-3.1561424970077496,-3.496864741644174,0.3407222446364244,48.59247067325884,9.507134738433528,704.7699829101563,708.2281463623046,710.5325354003907,734.1095941162109,AJMERA.NS,2024-09-04 10:43:20.135481
9,2024-08-23 00:00:00+05:30,695.5999755859375,706.6500244140625,693.2999877929688,704.0,18780,0.0,0.0,2024-08-23,709.2141937255859,17.744601301543625,726.9587950271296,691.4695924240423,744.7033963286732,673.7249911224986,-4.328985382358849,-43.490597351952914,23057720,47465.1031747511,69774.36371599027,495.14085531277556,43.664178863253326,701.3166707356771,709.3333536783855,695.9833170572917,714.6667073567709,687.9666341145834,722.6833902994792,682.633280436198,-0.10578478647073634,-61.374239503705674,-3.4344460225089506,-3.5820453028032797,0.14759928029432912,48.37316675154978,9.813044308449983,707.6499877929688,709.2141937255859,710.3669921875,734.2943713378907,AJMERA.NS,2024-09-04 10:43:20.135481
10,2024-08-22 00:00:00+05:30,700.0999755859375,708.0,695.0,698.8499755859375,16506,0.0,0.0,2024-08-22,709.7776824951172,17.74924534035538,727.5269278354726,692.0284371547618,745.276173175828,674.2791918144064,-13.461801203729877,-44.75995633523291,23038940,41412.55038395685,75351.67885130006,495.08222683842905,38.2070220124352,700.6166585286459,706.2333170572917,693.2333170572917,713.6166585286459,687.6166585286459,719.2333170572917,680.2333170572917,-0.1301748262806661,-68.2455184567188,-3.684556344146017,-3.618945122876862,-0.06561122126915508,46.38446257489462,10.43604162646405,706.7999877929688,709.7776824951172,710.4422021484374,734.4572967529297,AJMERA.NS,2024-09-04 10:43:20.135481
11,2024-08-21 00:00:00+05:30,710.0,713.9000244140625,679.5499877929688,703.0999755859375,36167,0.0,0.0,2024-08-21,711.0686218261719,17.851253062983442,728.9198748891554,693.2173687631885,746.7711279521388,675.366115700205,-22.43364430159372,-51.830639020425,23055446,91292.63684560565,83836.46096813587,495.03194120101267,29.429293541381924,698.8499959309896,718.1500040690105,683.7999674479167,733.2000325520834,664.4999593098959,752.5000406901042,649.449930826823,-0.06753643542744822,-64.8737525137665,-3.4417473614610117,-3.602542317559573,0.16079495609856131,47.79529978980768,11.014328710222664,703.2099975585937,711.0686218261719,710.4761938476563,734.6045861816406,AJMERA.NS,2024-09-04 10:43:20.135481
12,2024-08-20 00:00:00+05:30,732.0,732.0,708.2999877929688,713.3499755859375,18455,0.0,0.0,2024-08-20,710.9510498046875,17.914131271183674,728.8651810758712,693.0369185335038,746.7793123470549,675.1227872623201,113.02528653627613,14.371259793617599,23091613,47263.17385916812,81972.41699876841,494.9193720421668,50.77031620065873,717.8833211263021,727.4666544596355,703.7666422526042,741.5833333333334,694.1833089192709,751.1666666666667,680.066630045573,-0.0903201882732784,-55.26928852011823,-3.497291203910322,-3.6427410565842133,0.1454498526738912,51.288941517807714,11.637099415808862,701.5099975585938,710.9510498046875,710.28892578125,734.6218505859375,AJMERA.NS,2024-09-04 10:43:20.135481
13,2024-08-19 00:00:00+05:30,730.0,750.0,711.0,718.9500122070312,61107,0.0,0.0,2024-08-19,710.4552490234375,17.981337271480726,728.4365862949182,692.4739117519568,746.4179235663989,674.4925744804762,240.0687816221129,46.89310043574009,23110068,157723.2946850835,90649.7277836685,494.85905375273484,48.7276828328199,726.6500040690104,742.3000081380208,703.3000081380208,765.6500040690104,687.6500040690104,781.3000081380208,664.3000081380208,-0.06663091402154793,-48.72898297931848,-4.5248845900173364,-3.679103519752686,-0.8457810702646507,53.26412502986369,10.6558120534911,698.5700073242188,710.4552490234375,709.0950073242187,734.3585809326172,AJMERA.NS,2024-09-04 10:43:20.135481
14,2024-08-16 00:00:00+05:30,680.9000244140625,706.0,680.9000244140625,699.75,19005,0.0,0.0,2024-08-16,709.4183624267578,18.063437799111032,727.4818002258688,691.3549246276467,745.5452380249799,673.2914868285357,-28.049484407418557,-61.50762854578274,23048961,47743.797916806,73881.33605831474,494.6539686770264,48.93138658595785,695.5500081380209,710.1999918619792,685.1000162760417,720.6499837239584,670.4500325520834,735.2999674479167,660.0000406901042,-0.06743011890066028,-71.1527553075329,-6.3234754168830705,-3.4676582521865225,-2.855817164696548,46.733300392389886,9.421693412606626,694.510009765625,709.4183624267578,707.6219934082031,733.9512884521484,AJMERA.NS,2024-09-04 10:43:20.135481
15,2024-08-14 00:00:00+05:30,690.75,706.0,678.0,680.9000244140625,25154,0.0,0.0,2024-08-14,710.7960876464844,18.335961536912503,729.1320491833968,692.4601261095719,747.4680107203094,674.1241645726593,-96.38231426922815,-87.28692839920814,23029956,61488.88083678372,80415.72059369193,494.59557477141396,53.99966707662488,688.3000081380209,698.6000162760417,670.6000162760417,716.3000081380209,660.3000081380209,726.6000162760417,642.6000162760417,-0.0728048532848788,-93.1677184426433,-6.639496176088414,-2.753703961012385,-3.8857922150760293,38.956878366856124,10.002466018508722,695.660009765625,710.7960876464844,705.9988781738281,733.9180084228516,AJMERA.NS,2024-09-04 10:43:20.135481
16,2024-08-13 00:00:00+05:30,699.0,700.0,680.5,694.5999755859375,14347,0.0,0.0,2024-08-13,713.54150390625,17.72455131507715,731.2660552213272,695.8169525911728,748.9906065364044,678.0924012760956,-77.65762172232787,-78.44722573402852,23055110,35776.84539114951,85147.43053291898,494.52534255656354,58.58762218900802,691.6999918619791,702.8999837239583,683.3999837239583,711.1999918619791,672.1999918619791,722.3999837239583,663.8999837239583,-0.08047448203573475,-77.16748976188873,-5.087063095303165,-1.782255907243377,-3.304807188059788,43.214619525328814,10.627913440249442,698.3800048828125,713.54150390625,705.7841662597656,733.9215509033203,AJMERA.NS,2024-09-04 10:43:20.135481
17,2024-08-12 00:00:00+05:30,697.0,709.9000244140625,676.0,698.6500244140625,24221,0.0,0.0,2024-08-12,715.768521118164,18.015140467403015,733.7836615855671,697.753380650761,751.79880205297,679.738240183358,-69.65681818093016,-69.15159700961526,23069457,60751.629386030865,97490.07681836135,494.48231441416186,62.8000321147511,694.8500162760416,713.7000325520833,679.8000081380208,728.7500406901041,660.9499918619791,747.6000569661458,645.8999837239583,-0.07563473913712924,-72.43742126710056,-4.371639219477856,-0.9560541102284301,-3.4155851092494265,44.55122910416433,10.925088339575133,697.2200073242187,715.768521118164,705.1214001464843,733.8308618164062,AJMERA.NS,2024-09-04 10:43:20.135481
18,2024-08-09 00:00:00+05:30,710.9500122070312,722.0,688.0,698.6500244140625,28677,0.0,0.0,2024-08-09,718.0118469238281,18.556627236454506,736.5684741602826,699.4552196873736,755.1251013967371,680.8985924509191,-48.52454940924808,-41.40963744839946,23093678,71928.26373408228,106674.68867644398,494.40816011996617,69.99133855674643,702.8833414713541,717.7666829427083,683.7666829427083,736.8833414713541,668.8833414713541,751.7666829427083,649.7666829427083,-0.09088067292439002,-68.04137702108139,-3.78831135063092,-0.10215783291607361,-3.6861535177148466,44.55122910416433,11.24512284654126,696.5300048828125,718.0118469238281,704.62330078125,732.7547979736328,AJMERA.NS,2024-09-04 10:43:20.135481
19,2024-08-08 00:00:00+05:30,709.0,729.2000122070312,686.0499877929688,705.5,32072,0.0,0.0,2024-08-08,720.4839324951172,19.126057285293914,739.6099897804111,701.3578752098233,758.7360470657051,682.2318179245293,-42.65748911441483,-25.80751363954156,23122355,81232.39231275755,115361.2949120344,494.3202937960557,69.94799198395748,706.9166666666666,727.7833455403645,684.633321126302,750.0666910807291,663.7666422526041,770.933369954427,641.4832967122395,-0.0645753235398886,-60.52676942567549,-2.984076255658124,0.8193805465126379,-3.803456802170762,46.655709351591184,11.982797169031702,700.4400024414062,720.4839324951172,703.8178686523438,732.3162756347656,AJMERA.NS,2024-09-04 10:43:20.135481
20,2024-08-07 00:00:00+05:30,699.7000122070312,714.0,680.0,694.5,18998,0.0,0.0,2024-08-07,722.6284362792969,19.751844608538182,742.380280887835,702.8765916707588,762.1321254963733,683.1247470622205,-93.63915687542533,-66.58070696818247,23090283,47368.13824502903,123893.5205618536,494.2186382200851,64.07503907964167,696.1666666666666,712.3333333333333,678.3333333333333,730.1666666666666,662.1666666666666,746.3333333333333,644.3333333333333,-0.017033033372309325,-72.5940655076004,-2.5838171575935576,1.7702447470553282,-4.354061904648885,42.61356478725772,12.777215670175254,706.8099975585938,722.6284362792969,703.1638720703126,732.0206066894531,AJMERA.NS,2024-09-04 10:43:20.135481
21,2024-08-06 00:00:00+05:30,702.0,718.9000244140625,675.0499877929688,688.7999877929688,18053,0.0,0.0,2024-08-06,725.611376953125,19.785120672881103,745.3964976260062,705.8262562802439,765.1816182988872,686.0411356073629,-126.18324615381849,-74.07884625976355,23071285,44642.51930126343,143024.86614105973,494.1615133463776,59.7714039614091,694.25,713.4500122070312,669.5999755859375,738.1000366210938,650.3999633789062,757.300048828125,625.7499389648438,0.025511500861776962,-78.84713232331244,-0.9488821432898931,2.8587602232175495,-3.8076423665074426,40.44205864480978,13.05960379480089,717.4388305664063,725.611376953125,703.0909155273438,732.3720245361328,AJMERA.NS,2024-09-04 10:43:20.135481
22,2024-08-05 00:00:00+05:30,709.0,720.4000244140625,682.2999877929688,695.2000122070312,53329,0.0,0.0,2024-08-05,728.2900146484375,18.09322638442808,746.3832410328655,710.1967882640095,764.4764674172936,692.1035618795813,-114.29242243584834,-52.9972518517998,23089338,133100.41001103303,167620.4528510088,494.10874510345553,63.103397480748505,699.3000081380209,716.300028483073,678.1999918619792,737.4000447591146,661.1999715169271,754.4000651041667,640.0999552408855,0.013562940929700947,-71.82613327458151,1.7200719506140558,3.8106708148444097,-2.090598864230354,42.10312340412877,13.363714082859266,725.7265502929688,728.2900146484375,703.3030322265626,732.7610479736328,AJMERA.NS,2024-09-04 10:43:20.135481
23,2024-08-02 00:00:00+05:30,684.0,718.2000122070312,684.0,718.2000122070312,24592,4.0,0.0,2024-08-02,729.5545867919922,16.46977837488621,746.0243651668784,713.0848084171059,762.4941435417646,696.6150300422197,-77.57529150939655,-19.879840024499934,23142667,63408.20228653955,176250.46356100272,493.94756955399697,62.44349974376609,706.8000081380209,729.6000162760417,695.4000040690105,741.0000203450521,672.5999959309896,763.800028483073,661.1999918619792,-0.014859698867910057,-46.59451419419305,4.4807748338391775,4.3333205309019975,0.14745430293717998,48.790428201604556,14.020703668276497,733.0425903320313,729.5545867919922,703.5393225097656,732.9965570068359,AJMERA.NS,2024-09-04 10:43:20.135481
24,2024-08-01 00:00:00+05:30,753.2636465886925,754.9047681931864,723.6244464872289,737.3499755859375,73520,0.0,0.0,2024-08-01,729.2762878417968,16.71691258052628,745.9932004223231,712.5593752612706,762.7101130028494,695.8424626807442,83.42681420498171,90.55600705146696,23167259,194619.0511003769,204461.02887961848,493.8646543664076,60.83656145899489,738.626396755451,753.6283470236731,722.3480253177155,769.9067184614086,707.3460750494934,784.9086687296307,691.0677036117579,-0.0404096561223748,-25.586488916803884,5.682269058061593,4.296456955167702,1.3858121028938903,55.620548077784726,14.619721707388772,734.2567749023438,729.2762878417968,703.6567626953125,733.0652227783203,AJMERA.NS,2024-09-04 10:43:20.135481
25,2024-07-31 00:00:00+05:30,730.3380236083661,760.6734588396895,727.7520763627848,747.6441650390625,149849,0.0,0.0,2024-07-31,727.8440582275391,17.208627280586384,745.0526855081255,710.6354309469527,762.2613127887118,693.4268036663664,135.12176238296715,114.71676039348935,23240779,402211.959093843,206921.52332442885,493.59521462029505,68.06471587911845,745.3565667471789,762.961057131573,730.0396746546684,778.2779492240836,712.4351842702742,795.8824396084777,697.1182921777637,-0.01825148346725058,-14.293486002777692,5.248469526634949,3.950003929444229,1.2984655971907202,59.7972845250487,14.128994455528678,729.8407348632812,727.8440582275391,703.6309033203125,732.9732214355469,AJMERA.NS,2024-09-04 10:43:20.135481
26,2024-07-30 00:00:00+05:30,731.7802111548688,738.643006020919,725.3152823441225,730.2385864257812,41280,0.0,0.0,2024-07-30,725.1287841796875,18.177085859943826,743.3058700396314,706.9516983197436,761.4829558995751,688.7746124597999,63.19589961635234,78.69097153124811,23090930,108220.77718675687,158098.9143820753,493.02091930084873,53.469448391725905,731.3989582636076,737.4826341830927,724.1549105062962,744.7266819404041,718.0712345868111,750.8103578598892,710.8271868294997,-0.03370457209552062,-31.63490836784756,3.599730717884995,3.6253875301465484,-0.025656812261553252,54.419833997534106,13.331483763863906,725.245654296875,725.1287841796875,703.9481823730468,732.7643542480469,AJMERA.NS,2024-09-04 10:43:20.135481
