Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-04 00:00:00+05:30,1469.0,1485.8499755859375,1434.050048828125,1475.5,7669,0.0,0.0,2024-10-04,1493.9650024414063,38.11103133035892,1532.0760337717652,1455.8539711110475,1570.1870651021243,1417.7429397806884,-9.256452705766685,7.2795158576262695,3148573,20410.327692450486,15892.692072910693,1044.7638232491715,35.75753121886781,1465.1333414713542,1496.2166341145835,1444.416707356771,1516.9332682291667,1413.3334147135417,1548.016560872396,1392.6167805989585,-0.19711796640460616,-56.711409395973156,2.303289867288413,12.388960358391358,-10.085670491102945,51.0107005632719,15.985911314396722,1465.4,1493.9650024414063,1413.471826171875,1316.949180908203,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
2,2024-10-03 00:00:00+05:30,1485.0,1485.0,1416.050048828125,1452.800048828125,4616,0.0,0.0,2024-10-03,1499.882501220703,43.849190823159525,1543.7316920438625,1456.0333103975436,1587.5808828670222,1412.1841195743839,-85.89001552653426,2.5508765389466803,3140904,12096.052741548345,14763.283168025742,1044.3745348870739,27.13563651161529,1451.2833658854167,1486.5166829427085,1417.5667317708335,1520.2333170572917,1382.3334147135417,1555.4666341145835,1348.6167805989585,-0.2573316521103461,-71.94627595427852,2.425041655442328,14.910377981167095,-12.485336325724766,47.106793976726955,16.649848084891794,1460.910009765625,1499.882501220703,1407.9098120117187,1313.2945178222656,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
3,2024-10-01 00:00:00+05:30,1456.0999755859375,1509.9000244140625,1450.0999755859375,1476.0999755859375,4749,0.0,0.0,2024-10-01,1507.8149963378905,48.93837594938039,1556.7533722872708,1458.8766203885102,1605.6917482366514,1409.9382444391297,53.16121214472218,19.245126364555947,3145520,12644.159583829347,15430.09077464509,1044.1522364996426,26.072113078877337,1478.6999918619792,1507.300008138021,1447.499959309896,1538.5000406901042,1418.8999430338542,1567.100056966146,1387.699910481771,-0.15674100431921428,-57.727288580560064,4.779779035150568,18.031712062598285,-13.251933027447716,50.97877252938525,17.342309197313398,1461.65,1507.8149963378905,1402.652138671875,1309.7429663085939,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
4,2024-09-30 00:00:00+05:30,1444.0,1466.0,1440.0,1456.0999755859375,2590,0.0,0.0,2024-09-30,1517.2174987792969,59.45851521052414,1576.676013989821,1457.7589835687727,1636.1345292003452,1398.3004683582485,-84.15013686452724,9.517783690964364,3140771,6802.412819708596,16126.573572349025,1043.9102259600904,19.500938244940258,1454.0333251953125,1468.066650390625,1442.066650390625,1480.0333251953125,1428.0333251953125,1494.066650390625,1416.066650390625,-0.2332428746956058,-73.61802370999598,5.427445787035822,21.34469531946021,-15.917249532424389,47.5420023118978,18.461533514710748,1459.4,1517.2174987792969,1396.8600830078126,1306.111046142578,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
5,2024-09-27 00:00:00+05:30,1443.0,1472.0,1440.0,1466.5,3347,0.0,0.0,2024-09-27,1529.2849975585937,69.96498383896567,1599.2499813975594,1459.320013719628,1669.214965236525,1389.3550298806624,-73.12932820013016,13.937082269439626,3143361,8853.394277400213,18457.61376050913,1043.7842375540797,25.261937807216057,1459.5,1479.0,1447.0,1491.5,1427.5,1511.0,1415.0,-0.2774535668804133,-68.64406779661017,8.144118434721577,25.324007702566306,-17.17988926784473,49.20778677467642,18.926037159866357,1466.4199951171875,1529.2849975585937,1391.6612915039063,1302.4635607910157,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
6,2024-09-26 00:00:00+05:30,1443.0,1481.1500244140625,1421.0999755859375,1453.050048828125,3567,0.0,0.0,2024-09-26,1537.2349975585937,71.4725567813913,1608.707554339985,1465.7624407772023,1680.1801111213763,1394.2898839958111,-111.63554876148143,12.068581115018137,3140014,9348.796547632171,20858.66863128636,1043.6172018309421,19.849556132731095,1451.7666829427083,1482.433390299479,1422.383341471354,1511.8167317708333,1391.7166341145833,1542.483439127604,1362.333292643229,-0.3011145485566998,-76.88922225189093,10.47464209537793,29.618980019527488,-19.144337924149557,46.97672203434345,19.426271854649322,1471.839990234375,1537.2349975585937,1387.20595703125,1299.0034594726562,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
7,2024-09-25 00:00:00+05:30,1487.800048828125,1487.800048828125,1444.0,1456.5,6279,0.0,0.0,2024-09-25,1546.0524963378907,71.41816147192694,1617.4706578098176,1474.6343348659639,1688.8888192817446,1403.2161733940368,-92.41063132582555,18.46108244012808,3143581,16495.78539287485,23736.136652199908,1043.4447078572016,18.89733522767969,1462.7666829427083,1481.5333658854165,1437.7333170572915,1506.5667317708333,1418.9666341145833,1525.3334147135415,1393.9332682291665,-0.1840981812681196,-78.21402666083738,14.624328305184918,34.405064500564876,-19.78073619537996,47.47340301160284,19.964986141338667,1473.1599853515625,1546.0524963378907,1383.2009936523436,1295.9960009765625,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
8,2024-09-24 00:00:00+05:30,1500.0,1500.0,1450.1500244140625,1464.8499755859375,6973,0.0,0.0,2024-09-24,1550.9649963378906,68.24254955176572,1619.2075458896563,1482.722446786125,1687.450095441422,1414.4798972343592,-79.84328248059091,23.795725448584506,3149860,18424.03878618433,25546.224467031167,1043.138152429953,19.0017473446336,1471.6666666666667,1493.183308919271,1443.3333333333335,1521.5166422526042,1421.8166910807292,1543.0332845052085,1393.483357747396,-0.15564046378496624,-78.28630016696069,19.37583548406883,39.35024854940986,-19.974413065341032,48.62890856546143,21.01634316221597,1477.72998046875,1550.9649963378906,1379.4114770507813,1292.8445251464843,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
9,2024-09-23 00:00:00+05:30,1508.949951171875,1524.0,1459.0,1491.199951171875,5962,0.0,0.0,2024-09-23,1555.6449951171876,65.16620281429866,1620.8111979314863,1490.478792302889,1685.977400745785,1425.3125894885902,-44.73217039100984,33.79505788990891,3156833,16036.14144896801,27326.77088724287,1042.790292929718,12.081713796624669,1491.3999837239583,1523.7999674479165,1458.7999674479165,1556.3999837239583,1426.3999837239583,1588.7999674479165,1393.7999674479165,-0.0799433896928816,-67.81702773426287,24.343285178356837,44.34385181574511,-20.000566637388275,52.3636546785119,22.276532071694085,1481.02998046875,1555.6449951171876,1375.6809326171874,1290.0481127929688,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
10,2024-09-20 00:00:00+05:30,1470.0,1507.949951171875,1440.0,1493.5999755859375,5855,0.0,0.0,2024-09-20,1557.9449951171875,63.5640173585832,1621.5090124757708,1494.3809777586043,1685.073029834354,1430.8169604000211,-82.18585427222277,30.93519371860651,3162795,15773.68715685303,30149.42824681158,1042.4738162141728,5.758506369664886,1480.5166422526042,1521.0332845052085,1453.0833333333335,1548.4665934244792,1412.5666910807292,1588.9832356770835,1385.1333821614585,-0.15945785475693264,-75.91486008273517,27.739215067453415,49.34399347509218,-21.60477840763876,52.70600647524239,23.811903578579905,1484.789990234375,1557.9449951171875,1371.5403369140624,1287.0486572265625,ALBERTDAVD.NS,2024-10-04 10:46:12.321767
