Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-13 00:00:00+05:30,91.95999908447266,93.75,88.0,88.94999694824219,26725,0.0,0.0,2023-12-13,80.84299964904785,4.481342900529271,85.32434254957712,76.36165674851858,89.8056854501064,71.88031384798931,125.86788438630467,151.6416150059943,1938021,67342.45665212447,51525.861422918024,63.31350951321315,77.28497594930325,90.23333231608073,92.46666463216147,86.71666463216147,95.98333231608073,84.48333231608073,98.21666463216147,80.96666463216147,0.09467828091058822,-27.195482361403307,3.740681048400006,3.2058972911160186,0.5347837572839875,64.39866360681296,19.51205044454813,86.80599975585938,80.84299964904785,71.9718002319336,65.89960018157959,AMDIND.BO,2023-12-13 11:06:58.442199
2,2023-12-12 00:00:00+05:30,89.05000305175781,92.5,87.29000091552734,90.47000122070312,36826,0.0,0.0,2023-12-12,80.01199989318847,4.439670236720431,84.4516701299089,75.57232965646804,88.89134036662934,71.13265941974761,174.0987068518613,156.72011142731697,1964746,94380.97271843023,47571.7126156164,63.221952758458926,75.73744973647348,90.08666737874348,92.88333384195963,87.67333475748697,95.29666646321614,84.87666829427083,98.09333292643228,82.46333567301431,0.1519072891411037,-12.37804018550592,3.5121381129876,3.0722013517950213,0.43993676119257863,67.20044174458545,17.677257973758568,84.43200073242187,80.01199989318847,71.26080032348632,65.69310024261475,AMDIND.BO,2023-12-13 11:06:58.442199
3,2023-12-11 00:00:00+05:30,84.19000244140625,89.55000305175781,84.19000244140625,87.30000305175781,13865,0.0,0.0,2023-12-11,79.22449989318848,3.843895348737657,83.06839524192614,75.38060454445082,86.91229059066379,71.53670919571317,195.11856377784014,129.79348965601483,1927920,34289.364545986784,35869.397589912944,63.08719722021782,72.81152760386314,87.01333618164062,89.836669921875,84.47666931152344,92.37333679199219,81.65333557128906,95.19667053222656,79.11666870117188,0.1006041184910181,-16.728618841818598,3.016622295921934,2.9622171614968766,0.054405134425057344,64.18271022825658,15.911984342619075,81.94000091552735,79.22449989318848,70.5122003173828,65.47590023040772,AMDIND.BO,2023-12-13 11:06:58.442199
4,2023-12-08 00:00:00+05:30,86.0999984741211,86.13999938964844,81.5,82.52999877929688,24711,0.0,0.0,2023-12-08,78.73749961853028,3.3525208818091206,82.0900205003394,75.38497873672115,85.44254138214852,72.03245785491204,183.86616224572768,96.91113665913967,1914055,57773.33835446935,36264.40585089448,63.042029198595124,73.91597156678026,83.38999938964844,85.27999877929688,80.63999938964844,88.02999877929688,78.75,89.91999816894531,76.0,-0.07548720907411696,-41.00917977020827,2.6487022847124564,2.9486158778906124,-0.299913593178156,58.898993940516455,14.552241163135884,80.39199981689453,78.73749961853028,69.83160026550293,65.29270023345947,AMDIND.BO,2023-12-13 11:06:58.442199
5,2023-12-07 00:00:00+05:30,77.30999755859375,84.77999877929688,77.30000305175781,84.77999877929688,30318,0.0,0.0,2023-12-07,78.69299964904785,3.3051027461344544,81.9981023951823,75.3878969029134,85.30320514131675,72.08279415677895,172.1614756979606,89.2757372267226,1938766,72814.73253665608,30887.172725000757,62.97702082410564,75.74177365570925,82.28666687011719,87.27333068847656,79.7933349609375,89.76666259765625,74.80667114257812,94.75332641601562,72.31333923339844,0.09924409690265155,-18.500010172526043,2.6072944746985627,3.0235942761851513,-0.4162998014865886,62.96757720551565,13.832535230607263,79.3759994506836,78.69299964904785,69.24380027770997,65.16340023040772,AMDIND.BO,2023-12-13 11:06:58.442199
6,2023-12-06 00:00:00+05:30,79.56999969482422,79.56999969482422,76.5,77.08000183105469,4569,0.0,0.0,2023-12-06,78.34199981689453,2.9815687092486542,81.32356852614318,75.36043110764588,84.30513723539184,72.37886239839722,-117.529476856987,50.07193440119584,1908448,9976.729064524921,20405.282772086925,62.8874204435888,75.29488340917592,77.71666717529297,78.93333435058594,75.86333465576172,80.78666687011719,74.64666748046875,82.00333404541016,72.7933349609375,-0.035607785497093515,-62.98411535838294,2.293184559230781,3.1276692265567982,-0.8344846673260173,52.55220206431833,13.391459487582505,78.36600036621094,78.34199981689453,68.666000289917,65.0123002243042,AMDIND.BO,2023-12-13 11:06:58.442199
7,2023-12-05 00:00:00+05:30,79.30000305175781,79.56999969482422,77.80000305175781,78.01000213623047,1332,0.0,0.0,2023-12-05,78.58049964904785,3.06492087693475,81.6454205259826,75.5155787721131,84.71034140291735,72.45065789517835,-90.9089970804431,59.19344071461084,1913017,2943.6069430949874,23012.421198977427,62.878625256310094,77.3694579565135,78.46000162760417,79.12000020345053,77.35000356038412,80.22999827067058,76.69000498453777,80.88999684651694,75.58000691731772,-0.012030015194519295,-56.18748664855957,2.6146164947961807,3.3362903933883024,-0.7216738985921216,54.263835731364644,14.350957507601102,79.15800018310547,78.58049964904785,68.22400024414063,64.93810024261475,AMDIND.BO,2023-12-13 11:06:58.442199
8,2023-12-04 00:00:00+05:30,79.83999633789062,81.1500015258789,78.0,79.55999755859375,10623,0.0,0.0,2023-12-04,78.7004997253418,3.088302862253033,81.78880258759483,75.61219686308877,84.87710544984786,72.52389400083574,-39.574695428269656,71.37643292963294,1914349,23942.37598672879,28029.624762948035,62.87589109784931,75.70227559335052,79.56999969482422,81.13999938964844,77.98999786376953,82.72000122070312,76.41999816894531,84.29000091552734,74.83999633789062,-0.022367074973163887,-45.95430092325556,2.8949404353543287,3.5167088680363325,-0.6217684326820039,57.144260834898866,15.04754847216014,79.34199981689453,78.7004997253418,67.80240020751953,64.86870021820069,AMDIND.BO,2023-12-13 11:06:58.442199
9,2023-12-01 00:00:00+05:30,80.73999786376953,80.73999786376953,77.0999984741211,77.44999694824219,7087,0.0,0.0,2023-12-01,78.6154998779297,3.0867959846547945,81.70229586258449,75.5287038932749,84.78909184723928,72.44190790862011,-76.26102035575101,65.41646806861553,1903726,15549.239100150748,29051.43695700284,62.851813262177394,66.39145843959503,78.42999776204427,79.75999704996744,76.119997660319,82.0699971516927,74.78999837239583,83.39999643961588,72.47999827067056,0.05644407604668068,-58.987038984833575,3.057326227724772,3.672150976206833,-0.6148247484820608,54.06188689433174,15.7245096211708,79.23800048828124,78.6154998779297,67.36900024414062,64.77310024261475,AMDIND.BO,2023-12-13 11:06:58.442199
10,2023-11-30 00:00:00+05:30,78.01000213623047,81.0999984741211,78.01000213623047,79.7300033569336,10015,0.0,0.0,2023-11-30,78.3025001525879,3.5008128237082605,81.80331297629616,74.80168732887964,85.30412580000441,71.30087450517138,-2.5089650415317597,78.09627813178017,1910813,22620.283310980114,32426.98642121586,62.83774479106874,54.573837076071904,79.61333465576172,81.21666717529297,78.12667083740234,82.70333099365234,76.5233383178711,84.3066635131836,75.03667449951172,0.09831300232355591,-44.90423438401248,3.4267092155257046,3.8258571633273477,-0.3991479478016431,58.266885407240714,16.57981065957209,79.73800048828124,78.3025001525879,66.94680030822754,64.69790027618409,AMDIND.BO,2023-12-13 11:06:58.442199
