Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-27 00:00:00+05:30,8959.0498046875,9038.099609375,8802.150390625,8979.0498046875,85528,0.0,0.0,2024-08-27,8517.788330078125,340.0930689847876,8857.881399062913,8177.695261093338,9197.9744680477,7837.60219210855,126.32468202891943,114.71002294449097,22305862,589651.4348524521,766603.657301075,4433.981736907779,76.43371893331482,8939.7666015625,9077.3828125,8841.43359375,9175.7158203125,8703.8173828125,9313.33203125,8605.484375,0.02951545640868319,-7.044770976261219,103.13864958844715,31.216167562706357,71.92248202574079,62.23014579721801,14.723330575069081,8751.55,8517.788330078125,8470.529609375,8047.263056640625,APARINDS.NS,2024-08-27 10:42:15.611753
2,2024-08-26 00:00:00+05:30,8950.25,9050.0,8770.0,8992.150390625,104187,0.0,0.0,2024-08-26,8498.882666015625,323.1917800613753,8822.074446077,8175.690885954249,9145.266226138376,7852.499105892874,195.02919624036687,122.58600667601202,22391390,719339.2492668877,810841.7129132306,4428.718579118278,63.910263402972795,8937.383463541666,9104.766927083332,8824.766927083332,9217.383463541666,8657.383463541666,9384.766927083332,8544.766927083332,0.04123230552416269,-5.680642453999184,75.44680994968257,13.235547056271155,62.211262893411416,62.617027431460954,13.639655045966702,8627.0400390625,8498.882666015625,8460.1476953125,8026.835239257813,APARINDS.NS,2024-08-27 10:42:15.611753
3,2024-08-23 00:00:00+05:30,8518.5,8990.0,8440.0,8950.25,258431,0.0,0.0,2024-08-23,8456.78798828125,310.12673900492075,8766.914727286172,8146.66124927633,9077.041466291092,7836.534510271409,247.7015537059641,91.90572236039392,22287203,1775973.3192762185,833717.3288248163,4422.272200058722,52.41608591299527,8793.416666666666,9146.833333333332,8596.833333333332,9343.416666666666,8243.416666666666,9696.833333333332,8046.833333333332,0.03785758186870434,-4.1476939965650095,37.55952104030439,-2.3172686670816987,39.87678970738609,61.91378815587287,12.472619860779524,8488.1798828125,8456.78798828125,8442.251337890624,8006.7862890625,APARINDS.NS,2024-08-27 10:42:15.611753
4,2024-08-22 00:00:00+05:30,8364.0,8587.900390625,8303.5,8518.5,70199,0.0,0.0,2024-08-22,8405.776025390625,308.5908885567125,8714.366913947339,8097.185136833913,9022.95780250405,7788.594248277201,152.71746355934607,3.5796305729855424,22028772,459145.90566690126,598153.3312119656,4406.350697636207,38.521156125869254,8469.966796875,8636.43359375,8352.033203125,8754.3671875,8185.56640625,8920.833984375,8067.6328125,-0.038275483750958905,-36.97169708951309,-7.390219790306219,-12.28646609392822,4.896246303622002,53.5536250739307,11.384293408893555,8373.05546875,8405.776025390625,8424.71791015625,7987.356611328125,APARINDS.NS,2024-08-27 10:42:15.611753
5,2024-08-21 00:00:00+05:30,8380.0,8384.9501953125,8255.0,8317.7998046875,105658,0.0,0.0,2024-08-21,8381.726025390624,317.9449538529044,8699.670979243529,8063.78107153772,9017.615933096433,7745.836117684816,10.507841913650795,-40.62763974223398,21958573,674788.2501161519,632905.1875982317,4402.4192729564775,30.933634662521612,8319.25,8383.5,8253.5498046875,8449.2001953125,8189.2998046875,8513.4501953125,8123.599609375,-0.06478555111731576,-76.94683681192124,-22.30670282661231,-13.51052766983372,-8.796175156778588,48.692235736010595,11.54886625904719,8320.278515625,8381.726025390624,8417.814208984375,7965.224575195312,APARINDS.NS,2024-08-27 10:42:15.611753
6,2024-08-20 00:00:00+05:30,8348.0,8429.0,8203.2998046875,8356.5,93976,51.0,0.0,2024-08-20,8368.011694335937,326.6440672777574,8694.655761613694,8041.36762705818,9021.299828891451,7714.723559780422,32.30152266668857,-38.312676904622606,22064231,602973.2363424371,622434.4219687516,4396.777028346751,55.2229826730649,8329.599934895834,8455.900065104168,8230.199869791668,8555.300130208334,8103.899739583334,8681.600260416668,8004.499674479168,-0.06171828987861372,-79.29821897667296,-21.300412587370374,-11.311483880639074,-9.9889287067313,49.622193986751505,12.276885996009032,8350.7369140625,8368.011694335937,8411.671513671876,7943.7403955078125,APARINDS.NS,2024-08-27 10:42:15.611753
7,2024-08-19 00:00:00+05:30,8395.400435969495,8473.917854513546,8259.386789679791,8297.849609375,43066,0.0,0.0,2024-08-19,8357.10322265625,330.6669172731951,8687.770139929444,8026.436305383054,9018.43705720264,7695.769388109859,53.6982381848212,-34.188496312714534,21970255,274382.72068653477,627299.7183753302,4391.695266520786,70.20977706542266,8343.71808452278,8428.049379365768,8213.518314532013,8558.249149356534,8129.187019689025,8642.580444199522,7998.987249698259,-0.017307695851163894,-83.03568478608891,-23.500705492338966,-8.814251703956248,-14.686453788382718,48.23080844230512,13.060907251198708,8350.555859375,8357.10322265625,8397.032275390626,7921.296235351562,APARINDS.NS,2024-08-27 10:42:15.611753
8,2024-08-16 00:00:00+05:30,8357.583274551238,8443.505380122537,8289.799687013448,8374.6279296875,43500,0.0,0.0,2024-08-16,8340.751220703125,341.65507607872996,8682.406296781855,7999.096144624395,9024.061372860586,7657.441068545665,35.56589883799049,-27.398280053653462,22013321,279712.2204169278,715528.967797529,4389.396621140999,73.71318532153047,8369.310998941162,8448.822310868876,8295.116617759788,8523.01669205025,8215.605305832074,8602.528003977965,8141.4109246507,-0.048806536792284735,-78.14302603284885,-20.18550103650705,-5.142638256860567,-15.04286277964648,49.90636696391124,13.99502594390343,8336.4724609375,8340.751220703125,8382.2471484375,7898.412885742187,APARINDS.NS,2024-08-27 10:42:15.611753
9,2024-08-14 00:00:00+05:30,8472.128941286554,8541.452863779563,8163.376201471349,8254.615234375,73061,0.0,0.0,2024-08-14,8349.231591796875,344.63218038787545,8693.863772184752,8004.599411409,9038.495952572626,7659.9672310211245,-18.039800524100723,-42.306848230043876,21969821,463061.96407596255,824483.1546426793,4387.026398994194,73.83695245655521,8319.814766541971,8476.253331612592,8098.176669304379,8697.891428850184,7941.738104233757,8854.329993920806,7720.100006996166,-0.07497508813044865,-78.12612395729836,-23.196695043734508,-1.3819225619489472,-21.81477248178556,47.24642861836042,14.879284368500429,8309.0708984375,8349.231591796875,8364.94548828125,7875.36603515625,APARINDS.NS,2024-08-27 10:42:15.611753
10,2024-08-13 00:00:00+05:30,8398.38214569982,8564.511477802986,8341.779837592529,8470.091796875,90360,0.0,0.0,2024-08-13,8385.15830078125,370.71496220845165,8755.873262989702,8014.443338572798,9126.588225198153,7643.728376364346,1.369033287233696,-2.3564503660954714,22042882,587653.060141613,914838.4522843584,4383.159113672507,74.01443187936952,8458.79437075684,8575.80890392115,8353.077263710693,8681.526010967296,8236.062730546382,8798.540544131607,8130.345623500236,-0.05431266419798089,-65.62174705408118,-14.881038665487722,4.071770558497443,-18.952809223985163,51.83545788278121,15.83156267191258,8305.175,8385.15830078125,8359.02587890625,7853.356313476563,APARINDS.NS,2024-08-27 10:42:15.611753
