Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-10-10 00:00:00+05:30,387.45001220703125,404.0,387.29998779296875,399.6000061035156,78829,0.0,0.0,2025-10-10,397.5530242919922,18.773592704115288,416.3266169961075,378.7794315878769,435.10020970022276,360.0058388837616,157.86839516484406,-33.550894209927094,27989327,177931.18032827327,122883.31961250311,302.1962156854424,45.141134594582724,396.96666463216144,406.63334147135413,389.9333292643229,413.6666768391927,380.2666524251302,423.3333536783854,373.23331705729163,-0.1984744761992568,-33.06370488861241,-4.930488208235488,-4.6840644270754055,-0.24642378116008246,52.227360571614895,13.537950465880648,388.4,397.5530242919922,400.1212030029297,366.34866424560545,ARIES.NS,2025-10-10 10:53:20.866853
2,2025-10-09 00:00:00+05:30,383.0,389.25,380.0,386.70001220703125,25446,0.0,0.0,2025-10-09,398.4244644165039,19.271516695562983,417.6959811120669,379.1529477209409,436.96749780762985,359.88143102537794,12.21594546452524,-73.1865152314292,27910498,55582.01215668729,109121.35443356055,302.101964709668,35.449670894803575,385.31667073567706,390.63334147135413,381.38334147135413,394.56667073567706,376.06667073567706,399.88334147135413,372.13334147135413,-0.2510492809790761,-60.11843111311148,-6.309423309439808,-4.622458481785385,-1.686964827654423,46.0768221033958,13.656988410396448,382.77000122070314,398.4244644165039,399.7797998046875,365.5522946166992,ARIES.NS,2025-10-10 10:53:20.866853
3,2025-10-08 00:00:00+05:30,392.04998779296875,392.04998779296875,380.0,381.3500061035156,23067,0.0,0.0,2025-10-08,399.9683242797852,19.51804907909412,419.4863733588793,380.45027520069107,439.0044224379734,360.93222612159695,-6.063672115430113,-74.78964431911886,27885052,49688.447726951956,122506.19000277887,302.07553213202493,30.429433230125326,384.46666463216144,388.9333292643229,376.88334147135413,396.5166524251302,372.4166768391927,400.98331705729163,364.8333536783854,-0.25329542355628343,-74.02000932261186,-6.70882683088189,-4.200717274871779,-2.508109556010111,43.26379733508335,14.410465932558033,380.6200012207031,399.9683242797852,399.4351611328125,364.8081500244141,ARIES.NS,2025-10-10 10:53:20.866853
4,2025-10-07 00:00:00+05:30,387.95001220703125,395.0,381.04998779296875,389.29998779296875,51765,0.0,0.0,2025-10-07,401.8245544433594,19.41927903308825,421.2438334764476,382.40527541027114,440.6631125095359,362.98599637718286,16.705158752834837,-59.599244136509824,27908119,113831.1608203775,140710.62557173558,302.05307226583807,28.76175241180198,388.4499918619792,395.8499959309896,381.89998372395837,402.40000406901044,374.49997965494794,409.80000813802087,367.9499715169271,-0.25521239402239293,-65.96034149285218,-6.591640937823115,-3.5736898858692503,-3.017951051953865,46.61959058104125,15.221903264116662,378.6200012207031,401.8245544433594,398.88643432617187,364.05419067382815,ARIES.NS,2025-10-10 10:53:20.866853
5,2025-10-06 00:00:00+05:30,380.79998779296875,388.79998779296875,375.95001220703125,385.04998779296875,66101,0.0,0.0,2025-10-06,402.8844528198242,19.27768683818479,422.162139658009,383.60676598163946,441.4398264961938,364.32907914345463,-35.860684206734035,-78.03050846908492,27856354,143769.14828514063,147430.4917595751,301.99756559353534,35.14995022791166,383.26666259765625,390.58331298828125,377.73333740234375,396.11663818359375,370.41668701171875,403.43328857421875,364.88336181640625,-0.2601261812804448,-75.97174324404257,-7.1246868784315325,-2.819202122880784,-4.305484755550749,44.481913160445444,16.178432012023755,377.5400024414063,402.8844528198242,398.37812377929686,363.2690899658203,ARIES.NS,2025-10-10 10:53:20.866853
6,2025-10-03 00:00:00+05:30,377.75,379.1499938964844,366.5,371.45001220703125,48574,0.0,0.0,2025-10-03,404.25406646728516,18.91354527902346,423.16761174630864,385.3405211882617,442.08115702533206,366.42697590923825,-110.20913648965133,-118.12994627820865,27790253,101916.5706144385,148345.8276281837,301.9300394129811,41.53383321982763,372.3666687011719,378.23333740234375,365.5833435058594,385.01666259765625,359.7166748046875,390.8833312988281,352.933349609375,-0.3103759891956787,-93.58812708756855,-7.280636804234291,-1.7428309339930965,-5.537805870241194,36.983294679437556,16.692240117467485,378.11000366210936,404.25406646728516,398.0365734863281,362.4746411132812,ARIES.NS,2025-10-10 10:53:20.866853
7,2025-10-01 00:00:00+05:30,374.1499938964844,381.29998779296875,371.5,375.95001220703125,47789,0.0,0.0,2025-10-01,406.5629196166992,17.460989654581624,424.02390927128084,389.1019299621176,441.48489892586247,371.64094030753597,-112.74450153121654,-110.80593576355639,27838827,101484.2396899066,159953.14188162,301.88847852001487,41.261401212199075,376.25,381.0,371.20001220703125,386.04998779296875,366.45001220703125,390.79998779296875,361.4000244140625,-0.33556456202611645,-91.55413510941818,-6.030595752984425,-0.3583794664327976,-5.6722162865516275,38.584505924867145,16.367813768214884,383.36000366210936,406.5629196166992,398.0238562011719,361.7583615112305,ARIES.NS,2025-10-10 10:53:20.866853
8,2025-09-30 00:00:00+05:30,383.8999938964844,386.20001220703125,369.70001220703125,371.3500061035156,67318,0.0,0.0,2025-09-30,408.9982437133789,16.326356322302985,425.3246000356819,392.67188739107587,441.65095635798485,376.3455310687729,-138.88113605815377,-117.59300801831313,27791038,141206.66510362655,174570.36742954832,301.84489246482985,42.257365843881594,375.75001017252606,381.80000813802087,365.30000813802087,392.25001017252606,359.25001017252606,398.30000813802087,348.80000813802087,-0.3105030672903296,-97.77029991680133,-4.781973562323856,1.0596746052051094,-5.841648167528965,35.9523799908515,16.339564984559985,386.9100036621094,408.9982437133789,397.8523406982422,361.0314810180664,ARIES.NS,2025-10-10 10:53:20.866853
9,2025-09-29 00:00:00+05:30,388.1000061035156,395.70001220703125,375.6499938964844,383.8999938964844,58646,0.0,0.0,2025-09-29,411.58130798339846,13.973621007724823,425.5549289911233,397.60768697567363,439.5285499988481,383.6340659679488,-112.15599337067525,-84.93593993908505,27858356,127173.62697887508,182911.29301102876,301.78722444155073,43.19416988861364,385.0833333333333,394.51667277018225,374.4666544596354,405.1333516438802,365.03331502278644,414.56669108072913,354.4166361490885,-0.3331306906484281,-87.87669113495984,-2.6578737388996387,2.5200866470873504,-5.177960385986989,40.331358070261935,16.309143217547017,391.0800048828125,411.58130798339846,397.868544921875,360.0474880981445,ARIES.NS,2025-10-10 10:53:20.866853
10,2025-09-26 00:00:00+05:30,398.5,398.5,385.0,387.8999938964844,62303,0.0,0.0,2025-09-26,414.00550079345703,13.096676939938618,427.10217773339565,400.9088238535184,440.19885467333427,387.8121469135798,-113.5894309153587,-62.92983698169182,27917002,136511.51555234418,196845.70951906714,301.7278293952002,50.074339777640304,390.46666463216144,395.9333292643229,382.4333292643229,403.96666463216144,376.96666463216144,409.4333292643229,368.9333292643229,-0.12780899452542227,-95.05969640835075,-1.1340951303550355,3.8145767435840976,-4.9486718739391335,41.839575579972916,16.643142857651075,396.3800048828125,414.00550079345703,397.4433068847656,359.04069458007814,ARIES.NS,2025-10-10 10:53:20.866853
