Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-13 00:00:00+05:30,73.0,73.05000305175781,70.44999694824219,72.4000015258789,122819,0.0,0.0,2023-12-13,70.39250030517579,2.1540824181540272,72.54658272332982,68.23841788702175,74.70066514148384,66.08433546886774,67.04362521121058,111.73281302234238,41220448,292017.51998893055,355755.4977973484,62.98528776701468,56.03700898748425,71.96666717529297,73.48333740234375,70.88333129882812,74.5666732788086,69.36666107177734,76.08334350585938,68.2833251953125,0.05710079640171296,-46.0732996841192,0.7194864701627353,0.5621851737783718,0.1573012963843634,57.751417258153566,21.19188169162318,72.03999938964844,70.39250030517579,70.46900024414063,64.15071926116943,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
2,2023-12-12 00:00:00+05:30,72.1500015258789,72.75,71.0,71.69999694824219,44305,0.0,0.0,2023-12-12,70.20500030517579,2.1332513616115403,72.33825166678733,68.07174894356424,74.47150302839887,65.9384975819527,47.80301700067872,96.35350563281578,41097629,104322.18004528817,371689.9922494529,62.97792844587569,59.63910933468682,71.81666564941406,72.63333129882812,70.88333129882812,73.56666564941406,70.06666564941406,74.38333129882812,69.13333129882812,0.038751125803040014,-47.00463810672989,0.6620557474501112,0.5228598496822809,0.13919589776783026,55.52054507981773,20.612436779071434,71.58999938964844,70.20500030517579,70.38300018310547,63.81157115936279,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
3,2023-12-11 00:00:00+05:30,72.69999694824219,72.9000015258789,70.8499984741211,72.44999694824219,79188,0.0,0.0,2023-12-11,70.07250061035157,2.1177488839577965,72.19024949430937,67.95475172639377,74.30799837826716,65.83700284243598,49.57136316653776,89.01422123397919,41141934,188409.38062861926,438531.9453004941,62.97546830605404,57.322078976922995,72.06666564941406,73.28333282470703,71.23332977294922,74.11666870117188,70.01666259765625,75.33333587646484,69.1833267211914,0.05094470607400912,-38.8393243356469,0.6474357162072693,0.48806087524032327,0.15937484096694599,58.598988695587316,19.606357328916832,71.06000061035157,70.07250061035157,70.3570002746582,63.483886604309085,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
4,2023-12-08 00:00:00+05:30,72.5999984741211,73.6500015258789,70.05000305175781,71.6500015258789,135537,0.0,0.0,2023-12-08,69.8325008392334,2.1060859375358323,71.93858677676924,67.72641490169757,74.04467271430507,65.62032896416174,16.59044260893829,62.718311143583456,41062746,318917.8654127962,501062.58646846283,62.97068945447531,55.35301772909566,71.78333536783855,73.51666768391928,69.91666920979819,75.38333384195964,68.18333689371745,77.11666615804037,66.31667073567709,0.0141177507526183,-45.98213768735435,0.5450443774765574,0.44821716499858677,0.09682721247797066,56.19316733593036,18.522887151827263,70.41000061035156,69.8325008392334,70.3170002746582,63.1372953414917,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
5,2023-12-07 00:00:00+05:30,70.1500015258789,73.0,69.0,72.0,178066,0.0,0.0,2023-12-07,69.6825008392334,2.0764513938519515,71.75895223308535,67.60604944538144,73.8354036269373,65.52959805152949,-6.224895676087897,38.51972951428395,41198283,421035.0735014855,546598.7667323794,62.96319008383195,52.35321099693886,71.33333333333333,73.66666666666666,69.66666666666666,75.33333333333333,67.33333333333333,77.66666666666666,65.66666666666666,0.02150713438841923,-42.85715258850946,0.4844816160392611,0.4240103618790941,0.06047125416016702,57.55180852329796,17.35607311496157,70.03000030517578,69.6825008392334,70.30700027465821,62.79820812225342,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
6,2023-12-06 00:00:00+05:30,70.0,76.80000305175781,67.5,70.1500015258789,345617,0.0,0.0,2023-12-06,69.48750076293945,2.0299645862856543,71.5174653492251,67.45753617665379,73.54742993551076,65.42757159036813,16.959827355693445,37.445898337823124,41020217,796209.8700432155,577989.6900401028,62.95292006887688,54.03698431542707,71.48333485921223,75.46666971842447,66.16666666666666,80.78333791097005,62.18333180745442,84.76667277018228,56.866663614908845,0.0060168531734941955,-59.37498935631778,0.3651327518077778,0.40889254833905225,-0.04375979653127443,51.83622188994772,16.292785199895892,69.89000091552734,69.48750076293945,70.2670002746582,62.46553977966309,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
7,2023-12-05 00:00:00+05:30,69.1500015258789,69.94999694824219,68.4000015258789,69.05000305175781,120325,0.0,0.0,2023-12-05,69.36000061035156,2.065926580204381,71.42592719055594,67.29407403014719,73.49185377076033,65.2281474499428,-56.63876731289103,-29.214164925892547,40674600,272850.245210403,523434.64503932465,62.9370095085917,48.825138348159854,69.13333384195964,69.86666615804037,68.31667073567709,70.68332926432292,67.58333841959636,71.41666158040366,66.76667531331381,0.02556432699503946,-63.1015492977284,0.38899454426868374,0.4198324974718708,-0.030837953203187052,47.96802853030132,15.14770590674824,70.43000030517578,69.36000061035156,70.2220002746582,62.15385112762451,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
8,2023-12-04 00:00:00+05:30,71.3499984741211,71.3499984741211,69.0,69.19999694824219,80491,0.0,0.0,2023-12-04,69.35000038146973,2.0679891537710096,71.41798953524074,67.28201122769872,73.48597868901174,65.21402207392771,-21.65679440043518,-12.329806063222481,40794925,182918.7286659119,586080.744996555,62.9323010565913,51.03667523600984,69.8499984741211,70.69999694824219,68.3499984741211,72.19999694824219,67.5,73.04999542236328,66.0,0.026102681415931372,-61.49733623930354,0.5219841957908642,0.4275419857726675,0.09444221001819669,48.46085335497743,15.93117703365784,71.18999938964843,69.35000038146973,70.20500015258789,61.845227394104,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
9,2023-12-01 00:00:00+05:30,71.75,71.75,69.4000015258789,69.75,151939,0.0,0.0,2023-12-01,69.35000038146973,2.0679891537710096,71.41798953524074,67.28201122769872,73.48597868901174,65.21402207392771,0.9135524270090226,-1.421485616859855,40875416,348031.25825097994,686871.2490792157,62.929069978860596,53.435368025630225,70.3000005086263,71.19999949137369,68.8500010172526,72.64999898274739,67.9500020345052,73.54999796549478,66.5000025431315,0.04055716050825696,-55.614949699026454,0.6695702720133738,0.4039314332681183,0.2656388387452555,50.21749216757344,17.101101907096254,72.03000030517578,69.35000038146973,70.23000015258789,61.53807933807373,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
10,2023-11-30 00:00:00+05:30,73.9000015258789,73.9000015258789,69.69999694824219,71.30000305175781,177020,0.0,0.0,2023-11-30,69.31750030517578,2.066479078069081,71.38397938324486,67.2510212271067,73.45045846131394,65.18454214903763,43.80954892436921,32.744836362730425,41027355,414492.48488414637,771581.2467862746,62.92242600605847,52.35549641386996,71.63333384195964,73.56667073567709,69.36666615804037,75.83333841959636,67.43332926432292,77.76667531331381,65.16666158040366,0.053173937521476554,-39.03737424756614,0.7942132012916119,0.3375217235818044,0.4566914777098075,55.48026024393059,18.255193708493135,72.56000061035157,69.31750030517578,70.27600021362305,61.22443939208984,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
11,2023-11-29 00:00:00+05:30,73.80000305175781,73.80000305175781,71.0999984741211,72.8499984741211,373424,0.0,0.0,2023-11-29,69.15750007629394,2.0284343447130673,71.185934421007,67.12906573158088,73.21436876572008,65.1006313868678,81.18311848245952,59.150901413336435,41204375,893380.6662720081,860853.4372618066,62.91290793609173,56.354843475428666,72.58333333333333,74.06666819254556,71.36666361490884,75.28333791097005,69.88332875569661,76.76667277018228,68.66665903727213,0.05473733010698514,-22.459880393921615,0.7891085722960582,0.22334885415435246,0.5657597181417058,61.46129360093325,19.339563161985538,72.06999969482422,69.15750007629394,70.17800018310547,60.89827507019043,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
12,2023-11-28 00:00:00+05:30,74.0,74.75,72.5,72.8499984741211,427802,0.0,0.0,2023-11-28,68.99750022888183,1.8392273286394285,70.83672755752126,67.15827290024241,72.6759548861607,65.31904557160297,134.24751061545481,83.86825010844126,41577799,1023474.7520044175,852721.6300092561,62.889034676840055,62.31848802980531,73.36666615804036,74.23333231608072,71.98333231608072,75.61666615804036,71.11666615804036,76.48333231608072,69.73333231608072,0.036325758647465255,-22.459880393921615,0.6179658455114918,0.08190892461892596,0.5360569208925658,61.46129360093326,19.73949361576267,70.9,68.99750022888183,70.03400024414063,60.55512294769287,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
13,2023-11-24 00:00:00+05:30,73.69999694824219,74.94999694824219,72.5999984741211,73.4000015258789,405982,0.0,0.0,2023-11-24,68.84000015258789,1.612908774663717,70.45290892725161,67.22709137792417,72.06581770191532,65.61418260326046,224.94254921776226,96.9955378838588,42005601,978605.43544225,810033.3495104655,62.86154362465085,69.19851367823594,73.64999898274739,74.69999949137369,72.3500010172526,75.99999745686848,71.3000005086263,77.04999796549478,70.0000025431315,0.13096253421404966,-16.577493853644526,0.38948817492348553,-0.052105305604215515,0.44159348052770103,63.557660343597135,19.312527925254688,69.65,68.84000015258789,69.86700027465821,60.213458671569825,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
14,2023-11-23 00:00:00+05:30,69.75,73.44999694824219,67.25,72.4000015258789,893481,0.0,0.0,2023-11-23,68.59500007629394,1.204148671185105,69.79914874747905,67.39085140510883,71.00329741866415,66.18670273392374,238.60563338349178,28.13929000523399,41599619,2124362.7270799284,767890.3280275194,62.833869748595696,61.72763504540027,71.03333282470703,74.81666564941406,68.61666870117188,77.23332977294922,64.83333587646484,81.01666259765625,62.41667175292969,0.21323661883156275,-13.375740464469855,0.03689921771081117,-0.16250367573614077,0.19940289344695195,61.33085224422573,18.789870183754733,68.58000030517579,68.59500007629394,69.70600021362304,59.866294364929196,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
15,2023-11-22 00:00:00+05:30,68.25,69.75,65.94999694824219,68.8499984741211,462136,0.0,0.0,2023-11-22,68.2900001525879,0.9312691585056455,69.22126931109354,67.35873099408225,70.15253846959918,66.42746183557661,10.489248080560035,-53.85424531678737,40706138,1044909.1012447898,428772.22826441703,62.77826331963406,42.848980436445316,68.18333180745442,70.41666666666666,66.61666361490884,71.98333485921223,64.38332875569661,74.21666971842447,62.81666056315103,0.06347327625904974,-32.291709714438305,-0.31659572323133034,-0.21235439909787873,-0.10424132413345161,51.57712008450091,18.794879561346768,67.68000030517578,68.2900001525879,69.52700019836426,59.53656921386719,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
16,2023-11-21 00:00:00+05:30,66.8499984741211,67.94999694824219,65.5999984741211,67.0,214903,0.0,0.0,2023-11-21,68.23500022888183,0.9289350121344103,69.16393524101625,67.30606521674741,70.09287025315065,66.37713020461301,-170.56920903598535,-93.81590269822752,40244002,472848.54483155214,274738.0100193238,62.75995309575083,39.60044240072918,66.8499984741211,68.0999984741211,65.75,69.19999694824219,64.5,70.44999694824219,63.400001525878906,-0.029220766473209963,-74.07405314295644,-0.41475794974577695,-0.18629406806451582,-0.22846388168126114,44.84503616451905,19.825842856497086,67.57000122070312,68.23500022888183,69.39700019836425,59.22944957733154,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
17,2023-11-20 00:00:00+05:30,69.05000305175781,69.5,66.19999694824219,66.5999984741211,83604,0.0,0.0,2023-11-20,68.32750015258789,0.8908114998551842,69.21831165244308,67.4366886527327,70.10912315229825,66.54587715287752,-151.34102136800695,-77.7242914415748,40029099,182854.6680312468,225210.3763162667,62.753998755758474,43.30272010843503,67.43333180745442,68.66666666666666,65.36666361490884,70.73333485921223,64.13332875569661,71.96666971842447,62.06666056315103,-0.07208455541750187,-89.79592154493635,-0.3519543150327138,-0.12917809764420052,-0.22277621738851328,43.26130362940531,19.681165095370652,67.9000015258789,68.32750015258789,69.28600021362304,58.9393420791626,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
18,2023-11-17 00:00:00+05:30,68.0,68.8499984741211,66.0999984741211,68.05000305175781,112859,0.0,0.0,2023-11-17,68.48500022888183,0.8466800714164151,69.33168030029825,67.63832015746542,70.17836037171466,66.791640086049,-137.86395110085266,-72.64107536066851,40112703,252213.9610360528,235799.30338752162,62.75189645850146,48.42163245658869,67.66666666666667,69.23333485921225,66.48333485921225,70.41666666666667,64.91666666666667,71.98333485921225,63.73333485921225,-0.0005651355694444404,-60.204000604123294,-0.22681990038877586,-0.07348404329707217,-0.1533358570917037,47.89007911840051,19.828437552564502,68.39000244140625,68.48500022888183,69.17600021362304,58.65373054504394,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
19,2023-11-16 00:00:00+05:30,68.94999694824219,68.94999694824219,67.80000305175781,67.9000015258789,55692,0.0,0.0,2023-11-16,68.4775001525879,0.8513874632455251,69.32888761583342,67.62611268934236,70.18027507907894,66.77472522609685,-62.602494281325576,-59.24073261333912,39999844,124184.49468191419,231695.6389753888,62.74798413021076,59.216921697820894,68.21666717529297,68.63333129882812,67.48333740234375,69.36666107177734,67.0666732788086,69.7833251953125,66.33334350585938,-0.0568434624914875,-72.94114056755515,-0.2059767460984432,-0.035150079024146234,-0.17082666707429695,47.3489358743268,19.50398565113022,68.31000213623047,68.4775001525879,68.9110001373291,58.35411491394043,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
20,2023-11-15 00:00:00+05:30,68.6500015258789,69.30000305175781,68.0,68.30000305175781,53317,0.0,0.0,2023-11-15,68.525,0.8439405461870721,69.36894054618708,67.68105945381294,70.21288109237415,66.83711890762586,-17.337563470621273,-52.07678131729786,40055536,119588.99162504447,258573.42504875743,62.746106081644385,66.16423981107619,68.53333536783855,69.06667073567709,67.76666768391928,69.83333841959636,67.23333231608073,70.3666737874349,66.46666463216147,0.013712596160077277,-40.298480269465784,-0.16139745516140636,0.007556587744428009,-0.16895404290583438,48.598618700723314,20.023742996136974,68.46000213623047,68.525,68.65800010681153,58.055503349304196,ARIHANTCAP.NS,2023-12-13 10:42:40.020645
