Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-10-10 00:00:00+05:30,763.0,775.4500122070312,760.5,765.75,11870,0.0,0.0,2025-10-10,815.0600067138672,26.219021691875213,841.2790284057425,788.840985021992,867.4980500976176,762.6219633301168,-155.37767829761768,-184.67238797075137,2950724,6871.892973116846,5741.403314869322,1044.942115497035,26.7579854657848,767.2333374023438,773.9666748046875,759.0166625976562,782.183349609375,752.2833251953125,788.9166870117188,744.066650390625,-0.27269511772209243,-94.72361809045226,-18.393089310885784,-13.351748405969817,-5.041340904915968,31.525771429287815,17.851727731183548,780.739990234375,815.0600067138672,834.5340026855469,833.0277673339843,ASTEC.NS,2025-10-10 10:54:14.510978
2,2025-10-09 00:00:00+05:30,783.3499755859375,788.9500122070312,760.5999755859375,763.5999755859375,11442,0.0,0.0,2025-10-09,819.6675079345703,25.173622238531227,844.8411301731015,794.493885696039,870.0147524116327,769.3202634575078,-196.96194474285946,-189.99025111642774,2938854,6605.512393731826,5458.78090030744,1045.081010480308,26.71981425819895,771.0499877929688,781.5,753.1499633789062,799.4000244140625,742.699951171875,809.8500366210938,724.7999267578125,-0.27618686876884946,-96.98189208937903,-16.986619396718197,-12.091413179740824,-4.895206216977373,30.50334671381546,17.491921880234937,786.7299926757812,819.6675079345703,836.6810021972656,832.4962670898437,ASTEC.NS,2025-10-10 10:54:14.510978
3,2025-10-08 00:00:00+05:30,798.5499877929688,799.0999755859375,781.0,783.3499755859375,6366,0.0,0.0,2025-10-08,824.110009765625,22.451024859841997,846.5610346254671,801.658984905783,869.012059485309,779.207960045941,-134.8954086655797,-146.74421395904807,2950296,3770.171715937474,5172.098026951342,1045.2160597033983,37.807696918504504,787.816650390625,794.63330078125,776.5333251953125,805.9166259765625,769.7166748046875,812.7332763671875,758.433349609375,-0.26098170493948597,-97.67329149907178,-14.7167938537591,-10.86761162549648,-3.8491822282626202,34.95542432026906,17.10919728889027,794.5,824.110009765625,838.6730029296875,832.1572674560547,ASTEC.NS,2025-10-10 10:54:14.510978
4,2025-10-07 00:00:00+05:30,798.75,805.75,790.0,792.25,7205,0.0,0.0,2025-10-07,828.2675109863281,22.203314576675915,850.470825563004,806.0641964096523,872.6741401396799,783.8608818329764,-98.41576227627394,-127.92821140486377,2956662,4315.537507159302,5522.57960470481,1045.285979932116,43.59062074292571,796.0,802.0,786.25,811.75,780.25,817.75,770.5,-0.17273200767756539,-95.98930481283422,-13.532823365368245,-9.905316068430825,-3.62750729693742,37.22914170422925,17.760261318173967,798.7700073242188,828.2675109863281,841.00900390625,831.5922674560547,ASTEC.NS,2025-10-10 10:54:14.510978
5,2025-10-06 00:00:00+05:30,799.0999755859375,810.0,796.0999755859375,798.75,4756,0.0,0.0,2025-10-06,830.9625122070313,20.83016403765506,851.7926762446864,810.1323481693762,872.6228402823414,789.3021841317212,-77.93901676557492,-118.80443412730186,2963867,2872.045921400635,5824.340129091186,1045.3624699000645,43.60574733621197,801.6166585286459,807.1333414713542,793.2333170572917,815.5166829427084,787.7166341145834,821.0333658854167,779.3332926432292,-0.17190204089059102,-89.03743315508021,-12.68845713895928,-8.998439244196469,-3.6900178947628106,38.947195511295575,19.015056892642093,802.8000122070313,830.9625122070313,843.2530041503907,830.954267578125,ASTEC.NS,2025-10-10 10:54:14.510978
6,2025-10-03 00:00:00+05:30,809.0999755859375,815.9000244140625,790.0,795.7000122070312,7093,0.0,0.0,2025-10-03,833.5500122070313,19.807206695449583,853.3572189024809,813.7428055115817,873.1644255979304,793.9355988161321,-99.24426780259515,-130.691797520403,2959111,4266.954256393628,6562.413681013823,1045.4116887839475,39.94128073131725,800.5333455403646,811.0666910807292,785.1666666666667,826.4333699544271,774.6333211263021,836.9667154947917,759.2666422526042,-0.1707508617772719,-92.29945218499331,-12.055314665163564,-8.075934770505764,-3.9793798946578,37.694392844746595,20.193621631094416,806.8800170898437,833.5500122070313,845.1550036621094,829.8172674560547,ASTEC.NS,2025-10-10 10:54:14.510978
7,2025-10-01 00:00:00+05:30,796.6500244140625,806.4000244140625,795.0,802.4500122070312,10951,0.0,0.0,2025-10-01,836.4200103759765,18.12097372016393,854.5409840961404,818.2990366558126,872.6619578163044,800.1780629356487,-115.58027595091636,-135.96271529676204,2966204,6643.706364314606,7136.2785371688715,1045.4860374155141,39.62004200347209,801.2833455403646,807.5666910807292,796.1666666666667,812.6833699544271,789.8833211263021,818.9667154947917,784.7666422526042,-0.17167038558970862,-85.08020084809492,-10.761666568872784,-7.081089796841313,-3.68057677203147,39.35391974515455,21.462845195581533,813.560009765625,836.4200103759765,847.4850036621094,828.7747674560546,ASTEC.NS,2025-10-10 10:54:14.510978
8,2025-09-30 00:00:00+05:30,806.7999877929688,814.4000244140625,801.0,804.7000122070312,4719,0.0,0.0,2025-09-30,838.9700103759766,16.614885953230274,855.5848963292069,822.3551244227463,872.1997822824371,805.740238469516,-115.02014121255576,-125.31779037581356,2977155,2870.930292422413,7259.421580382437,1045.5978081964438,44.35997473602636,806.7000122070312,812.4000244140625,799.0,820.1000366210938,793.2999877929688,825.800048828125,785.5999755859375,-0.21811610831604472,-82.67378373579545,-9.607122164244743,-6.1609456038334445,-3.446176560411298,39.8976061139346,22.839858565063768,817.0000122070312,838.9700103759766,849.69900390625,827.5397674560547,ASTEC.NS,2025-10-10 10:54:14.510978
9,2025-09-29 00:00:00+05:30,819.0499877929688,819.0499877929688,803.2999877929688,812.4000244140625,9601,0.0,0.0,2025-09-29,841.6700103759765,15.06839576431766,856.7384061402942,826.6016146116589,871.8068019046118,811.5332188473412,-122.3831198159472,-115.39832856347832,2981874,5896.917609688402,8356.544402372443,1045.6455581256787,43.5304916246272,811.5833333333334,819.866678873698,804.116678873698,827.3333333333334,795.8333333333334,835.616678873698,788.366678873698,-0.2556487573826335,-74.4384765625,-8.204983916437072,-5.29940146373062,-2.9055824527064527,41.72961841793885,24.527835463739944,822.0400146484375,841.6700103759765,851.63400390625,825.9897674560547,ASTEC.NS,2025-10-10 10:54:14.510978
10,2025-09-26 00:00:00+05:30,831.5,834.3499755859375,788.5,819.1500244140625,16114,0.0,0.0,2025-09-26,844.6400085449219,14.847895732107272,859.4879042770292,829.7921128128146,874.3358000091364,814.9442170807074,-147.30408140258334,-112.74924259491668,2991475,9979.423891044657,8971.451100543454,1045.739659271574,53.24224894203355,814.0,839.5,793.6500244140625,859.8499755859375,768.1500244140625,885.3499755859375,747.800048828125,-0.31568292300641504,-67.2192252256016,-7.043838666278361,-4.573005850554006,-2.4708328157243553,43.34992913215274,26.21581930599744,829.6000122070312,844.6400085449219,853.5680029296875,824.4317669677735,ASTEC.NS,2025-10-10 10:54:14.510978
