Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-18 00:00:00+05:30,1908.550048828125,1920.0,1875.0,1895.6500244140625,8960,0.0,0.0,2024-09-18,1927.0525024414062,21.954845484496538,1949.0073479259026,1905.0976569569098,1970.9621934103993,1883.142811472413,-119.01564267452244,-68.23639654490584,43700,9534.649144476522,12896.640332883602,1770.65323472842,30.431809755785693,1896.8833414713542,1918.7666829427085,1873.7666829427085,1941.8833414713542,1851.8833414713542,1963.7666829427085,1828.7666829427085,-0.14573799098991624,-75.69154057277521,-32.99479704873784,-40.266313391027396,7.271516342289559,37.28085732895084,31.792131219900867,1916.0300048828126,1927.0525024414062,2060.8319897460938,2127.122490234375,ASTRAL.BO,2024-09-18 11:09:29.510634
2,2024-09-17 00:00:00+05:30,1914.5999755859375,1916.0,1900.0,1908.550048828125,15396,0.0,0.0,2024-09-17,1927.195001220703,21.748579162400624,1948.9435803831036,1905.4464220583025,1970.6921595455042,1883.6978428959019,-96.79104998257317,-63.33929297992638,52660,16494.911950740985,13737.138129985371,1770.562478530335,27.376078521614062,1908.183349609375,1916.36669921875,1900.36669921875,1924.183349609375,1892.183349609375,1932.36669921875,1884.36669921875,-0.12442196792286252,-61.483154730006966,-33.2737111463905,-42.08419247659979,8.810481330209292,39.13544835864156,31.466902418807834,1921.2800048828126,1927.195001220703,2071.0589892578123,2127.756989746094,ASTRAL.BO,2024-09-18 11:09:29.510634
3,2024-09-16 00:00:00+05:30,1949.050048828125,1949.050048828125,1897.9000244140625,1904.5,7153,0.0,0.0,2024-09-16,1926.1974975585938,23.066328500069407,1949.2638260586632,1903.1311690585244,1972.3301545587326,1880.064840558455,-70.19246942368855,-60.444403567287914,37264,7647.293316098853,13047.694674796465,1770.3901094112437,28.529200734799943,1917.1500244140625,1936.4000244140625,1885.25,1968.300048828125,1866.0,1987.550048828125,1834.0999755859375,-0.13362579152713042,-73.27951500937978,-34.39711552209769,-44.28681280915211,9.889697287054418,38.23977059203669,31.68253624145997,1928.0199951171876,1926.1974975585938,2080.25298828125,2128.292489013672,ASTRAL.BO,2024-09-18 11:09:29.510634
4,2024-09-13 00:00:00+05:30,1935.449951171875,1956.5,1930.3499755859375,1933.449951171875,3931,0.0,0.0,2024-09-13,1925.4399963378905,24.044407394632394,1949.4844037325229,1901.3955889432582,1973.5288111271552,1877.3511815486258,91.67907264889601,-50.40191638061556,44417,4266.5272560308595,14397.795014470865,1770.3122317775533,35.20990571083341,1940.0999755859375,1949.8499755859375,1923.699951171875,1966.25,1913.949951171875,1976.0,1897.5499267578125,-0.09966107154194208,-51.21746965711866,-34.915376686375794,-46.759237130915714,11.84386044453992,42.37928980561387,31.914757281239194,1930.6099853515625,1925.4399963378905,2090.2269873046876,2128.6879895019533,ASTRAL.BO,2024-09-18 11:09:29.510634
5,2024-09-12 00:00:00+05:30,1939.949951171875,1947.550048828125,1927.8499755859375,1938.0,4826,0.0,0.0,2024-09-12,1921.957501220703,27.603685223040486,1949.5611864437435,1894.3538159976627,1977.1648716667842,1866.750130774622,88.61872268877737,-54.175621039769396,48348,5250.245802077111,16930.611954080865,1770.260153122182,45.26893351639818,1937.8000081380208,1947.750040690104,1928.0499674479165,1957.5000813802083,1918.0999348958333,1967.4501139322915,1908.349894205729,-0.12042315099509003,-47.33020188262483,-37.90101872141054,-49.72020224205069,11.819183520640152,43.05956145531932,32.97528256106357,1923.8599853515625,1921.957501220703,2099.8469873046874,2129.2214904785155,ASTRAL.BO,2024-09-18 11:09:29.510634
6,2024-09-11 00:00:00+05:30,1946.050048828125,1959.949951171875,1914.800048828125,1921.9000244140625,26609,0.0,0.0,2024-09-11,1920.5100036621093,27.476919401852008,1947.9869230639613,1893.0330842602573,1975.4638424658133,1865.5561648584053,50.36474705207186,-59.75077181405677,43522,28707.666469497584,19850.7034920818,1770.194387924357,48.5296444567213,1932.2166748046875,1949.63330078125,1904.4833984375,1977.3665771484375,1887.0667724609375,1994.783203125,1859.33349609375,-0.1840532353851427,-61.08498092554392,-41.597398276287095,-52.674998122210724,11.07759984592363,39.88918287405494,33.76017064674197,1922.139990234375,1920.5100036621093,2108.635986328125,2129.705490722656,ASTRAL.BO,2024-09-18 11:09:29.510634
7,2024-09-10 00:00:00+05:30,1918.550048828125,1951.0,1916.5999755859375,1942.25,23705,0.0,0.0,2024-09-10,1921.3700012207032,27.790100356747352,1949.1601015774506,1893.5799008639558,1976.9502019341978,1865.7898005072086,49.18260023499747,-60.442653045333486,70131,25845.422487374093,17636.462747727855,1769.865731077441,48.721032307602115,1936.6166585286458,1956.633341471354,1922.2333170572915,1971.0166829427083,1902.2166341145833,1991.0333658854165,1887.833292643229,-0.24076424438487223,-43.699276442994595,-44.1140169551079,-55.44439808369163,11.330381128583731,42.67819371308982,34.60543473901101,1924.8499755859375,1921.3700012207032,2117.7739868164062,2130.1559899902345,ASTRAL.BO,2024-09-18 11:09:29.510634
8,2024-09-09 00:00:00+05:30,1910.0,1921.9000244140625,1876.3499755859375,1917.449951171875,23777,0.0,0.0,2024-09-09,1925.8424987792969,36.99940447450754,1962.8419032538045,1888.8430943047892,1999.841307728312,1851.8436898302818,-122.19641841105815,-78.67017799736058,46426,25592.908310422576,15584.222812816297,1769.5323898780848,48.90740398312122,1905.2333170572917,1934.116658528646,1888.566609700521,1950.7833658854167,1859.6832682291667,1979.666707356771,1843.016560872396,-0.30436450428357714,-64.88683601807953,-48.67182154168131,-58.27699336583756,9.605171824156251,37.75308922154644,35.1843716583315,1921.4399658203124,1925.8424987792969,2127.2509887695314,2130.3719897460937,ASTRAL.BO,2024-09-18 11:09:29.510634
9,2024-09-06 00:00:00+05:30,1931.050048828125,1939.0,1896.0,1899.699951171875,9236,0.0,0.0,2024-09-06,1934.0975036621094,50.85277096034157,1984.950274622451,1883.2447327017678,2035.8030455827925,1832.3919617414263,-110.04947268989955,-79.61810318436548,22649,9849.347989536784,13082.051438414728,1769.2449338855072,56.78503209746927,1911.566650390625,1927.13330078125,1884.13330078125,1954.566650390625,1868.566650390625,1970.13330078125,1841.13330078125,-0.378260872039735,-77.18291136631242,-51.327311672604765,-60.67828632187663,9.350974649271862,33.983352308342546,34.64966413862555,1921.02998046875,1934.0975036621094,2137.014987792969,2131.1434899902342,ASTRAL.BO,2024-09-18 11:09:29.510634
10,2024-09-05 00:00:00+05:30,1946.0,1946.0,1918.6500244140625,1929.4000244140625,4584,0.0,0.0,2024-09-05,1945.3625061035157,65.637219809935,2010.9997259134507,1879.7252862935807,2076.636945723386,1814.0880664836457,-42.1121151345452,-74.65026152300516,31885,4964.842029135563,13890.227300634213,1769.146381476103,63.4226557423491,1931.3500162760417,1944.050008138021,1916.7000325520835,1958.6999918619792,1904.0000406901042,1971.3999837239585,1889.350056966146,-0.3641927833380892,-48.70623143746592,-52.201351133066055,-63.01602998419459,10.814678851128534,37.51315329020387,34.43103488646578,1925.039990234375,1945.3625061035157,2146.7219897460936,2132.1234899902342,ASTRAL.BO,2024-09-18 11:09:29.510634
