Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-10-06 00:00:00+05:30,9339.0,9500.0,9206.0,9414.5,23894,0.0,0.0,2025-10-06,9031.0,167.22565907372245,9198.225659073723,8863.774340926277,9365.451318147445,8696.548681852555,142.3049400700249,145.7570001738568,8311006,47921.418163087044,33180.65250092477,7595.947970691273,59.45697102246622,9373.5,9541.0,9247.0,9667.5,9079.5,9835.0,8953.0,0.09299577631641728,-10.581683168316832,100.56299619001766,60.56376614968185,39.99923004033581,64.61358758032021,16.758610571638975,9192.9,9031.0,8847.7,8914.547978515626,ASTRAZEN.NS,2025-10-06 10:54:11.591707
2,2025-10-03 00:00:00+05:30,9248.0,9380.0,9156.0,9331.0,12069,0.0,0.0,2025-10-03,9014.775,141.87981153448754,9156.654811534487,8872.895188465513,9298.534623068976,8731.015376931024,169.49078901633618,133.9049099226034,8287112,23990.705494960835,29495.4610853842,7593.973271833221,51.22900341970964,9289.0,9422.0,9198.0,9513.0,9065.0,9646.0,8974.0,0.04805030551319365,-7.122093023255814,77.43480794494099,50.563958639597885,26.8708493053431,62.64346608898697,14.907205477797708,9072.3,9014.775,8838.12,8900.494223632813,ASTRAZEN.NS,2025-10-06 10:54:11.591707
3,2025-10-01 00:00:00+05:30,9100.0,9250.0,9080.0,9222.0,18001,0.0,0.0,2025-10-01,9003.875,123.4890656783596,9127.36406567836,8880.38593432164,9250.85313135672,8756.89686864328,153.42233524051667,111.96967763583866,8275043,35364.31843861318,30871.649982990035,7593.0200316562095,46.03752580424975,9184.0,9288.0,9118.0,9354.0,9014.0,9458.0,8948.0,0.012530977922355089,-5.017921146953405,54.873948632002794,43.846246313262114,11.02770231874068,59.93998777400129,13.384150937314061,9011.6,9003.875,8831.6,8888.80025390625,ASTRAZEN.NS,2025-10-06 10:54:11.591707
4,2025-09-30 00:00:00+05:30,8833.0,9158.0,8833.0,9105.5,18574,0.0,0.0,2025-09-30,8997.525,114.62989357060782,9112.154893570607,8882.895106429392,9226.784787141216,8768.265212858783,67.1946740128553,72.40114738026888,8257042,36029.04765162041,29748.482869084244,7591.685611652819,42.80469631234462,9032.166666666666,9231.333333333332,8906.333333333332,9357.166666666666,8707.166666666666,9556.333333333332,8581.333333333332,0.029655748590742145,-17.3,35.892637108132476,41.08932073357694,-5.196683625444464,56.84005755730296,12.327164588420876,8928.8,8997.525,8829.99,8877.498671875,ASTRAZEN.NS,2025-10-06 10:54:11.591707
5,2025-09-29 00:00:00+05:30,8812.0,8950.0,8735.5,8891.5,14571,0.0,0.0,2025-09-29,8988.55,112.74247553376874,9101.292475533768,8875.80752446623,9214.034951067537,8763.065048932462,-51.90343546889481,22.543320277074628,8238468,27599.927023444205,28178.341673450203,7590.404976317171,33.18659505456968,8859.0,8982.5,8768.0,9073.5,8644.5,9197.0,8553.5,0.06083449198552229,-60.1,22.520463458509766,42.38849163993805,-19.868028181428286,50.2770850445096,11.651978693017353,8859.9,8988.55,8830.26,8865.877163085937,ASTRAZEN.NS,2025-10-06 10:54:11.591707
6,2025-09-26 00:00:00+05:30,8900.0,8993.5,8738.5,8811.5,23653,0.0,0.0,2025-09-26,8982.175,121.76284920852132,9103.93784920852,8860.412150791479,9225.700698417042,8738.649301582956,-72.49245852187,15.884676173103427,8223897,44399.657512143094,28322.9453359517,7589.540935819198,31.771387497399388,8847.833333333334,8957.166666666668,8702.166666666668,9102.833333333334,8592.833333333334,9212.166666666668,8447.166666666668,0.10630504182019622,-76.1,26.13456744560608,47.35549868529512,-21.220931239689037,47.50619486454852,12.198265659794856,8853.2,8982.175,8839.67,8858.51341796875,ASTRAZEN.NS,2025-10-06 10:54:11.591707
7,2025-09-25 00:00:00+05:30,8867.5,9068.0,8770.0,9027.5,19131,0.0,0.0,2025-09-25,8964.625,165.20361240796177,9129.828612407962,8799.421387592038,9295.032224815923,8634.217775184077,-10.09985225941249,41.867714575004804,8247550,36791.60310260198,24303.76729190385,7588.222232683279,33.963200527958776,8955.166666666666,9140.333333333332,8842.333333333332,9253.166666666666,8657.166666666666,9438.333333333332,8544.333333333332,0.1815515181240528,-32.9,38.24452531627503,52.66073149521737,-14.416206178942339,55.22143610933498,12.763910677176286,8877.8,8964.625,8846.225234375,8852.009467773438,ASTRAZEN.NS,2025-10-06 10:54:11.591707
8,2025-09-24 00:00:00+05:30,8728.0,8829.0,8711.5,8808.0,4900,0.0,0.0,2025-09-24,8929.7,216.94326204650017,9146.6432620465,8712.756737953501,9363.586524093002,8495.813475907,-143.97040205513807,-4.7858973444267585,8228419,9194.263132010354,21181.808339229312,7586.964855197019,22.891593040221565,8782.833333333334,8854.166666666668,8736.666666666668,8900.333333333334,8665.333333333334,8971.666666666668,8619.166666666668,0.18447998034474752,-78.9090909090909,31.896751297412266,56.264783039952945,-24.36803174254068,47.11725044246809,13.145209182478217,8887.2,8929.7,8848.251171875,8843.320600585937,ASTRAZEN.NS,2025-10-06 10:54:11.591707
9,2025-09-23 00:00:00+05:30,8865.0,8884.0,8692.0,8761.0,6649,0.0,0.0,2025-09-23,8890.125,297.5357508373124,9187.660750837313,8592.589249162687,9485.196501674625,8295.053498325375,-231.92507590181697,-6.706274230009933,8223519,12409.479216543854,24178.694641034053,7586.691577100721,30.416524457561124,8779.0,8866.0,8674.0,8971.0,8587.0,9058.0,8482.0,0.054501836329801844,-87.45454545454545,44.90381711723967,62.356790975588105,-17.452973858348436,45.14324670156757,12.994491245822747,8953.2,8890.125,8855.15544921875,8838.401352539062,ASTRAZEN.NS,2025-10-06 10:54:11.591707
10,2025-09-22 00:00:00+05:30,8988.5,9080.5,8822.5,8858.0,10580,0.0,0.0,2025-09-22,8865.475,327.6902209725821,9193.165220972582,8537.784779027419,9520.855441945165,8210.094558054836,-209.44881889763948,30.25534223091311,8230168,19964.796434387543,27120.9984971566,7586.334837763555,42.79972720159034,8920.333333333334,9018.166666666668,8760.166666666668,9178.333333333334,8662.333333333334,9276.166666666668,8502.166666666668,0.04279934629823034,-91.53754469606675,65.50522991509206,66.72003444017521,-1.214804525083153,48.62141619089037,12.83217962173224,9004.3,8865.475,8864.13583984375,8834.405551757813,ASTRAZEN.NS,2025-10-06 10:54:11.591707
