Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-29 00:00:00+05:30,121.19999694824219,128.0,119.19999694824219,126.4000015258789,3475,0.0,0.0,2025-01-29,129.1299991607666,6.541130844460147,135.67113000522676,122.58886831630646,142.21226084968688,116.0477374718463,-74.99675715121262,-105.27056709055537,-79107,3140.4410235757587,4062.2730350004804,181.9842756855404,54.831401128799506,124.53333282470703,129.86666870117188,121.06666564941406,133.33333587646484,115.73332977294922,138.6666717529297,112.26666259765625,-0.11332635195053535,-64.70588096350504,-2.4523616944279354,-2.1315011793379113,-0.3208605150900241,45.70131674191114,17.18175460798578,125.41999969482421,129.1299991607666,136.52099929809572,141.9228343963623,ATAM.BO,2025-01-29 11:12:13.726669
2,2025-01-28 00:00:00+05:30,123.0,123.69999694824219,115.0,118.80000305175781,4398,0.0,0.0,2025-01-28,129.56249923706054,6.6363984145872,136.19889765164774,122.92610082247333,142.83529606623495,116.28970240788614,-134.28053021501344,-164.87640176977865,-82582,3735.6005495820086,4292.731037856661,182.02609749227574,48.33373020812608,119.16666666666667,123.33333333333334,114.63333638509116,127.86666361490886,110.46666971842448,132.03333028157553,105.93333943684897,-0.14826526683531294,-88.23528578103026,-2.5000780072454916,-2.0512860505654054,-0.4487919566800862,37.01780649157331,17.753383423359857,126.71999816894531,129.56249923706054,136.81299926757814,142.29179306030272,ATAM.BO,2025-01-29 11:12:13.726669
3,2025-01-27 00:00:00+05:30,135.0,135.0,121.0,122.5,4694,0.0,0.0,2025-01-27,130.37499923706054,6.231803588736607,136.60680282579713,124.14319564832392,142.83860641453376,117.91139205958731,-53.46402238521307,-100.60481939120201,-78184,4111.193592050136,4432.013659925324,182.086361967332,45.49149568578132,126.16666666666667,131.33333333333334,117.33333333333334,140.16666666666669,112.16666666666667,145.33333333333334,103.33333333333334,-0.14304629565410115,-87.63251016758247,-1.7748046791250545,-1.9390880613953836,0.16428338227032913,39.90257088826906,17.61020279761682,130.88999633789064,130.37499923706054,137.27799926757814,142.7188398742676,ATAM.BO,2025-01-29 11:12:13.726669
4,2025-01-24 00:00:00+05:30,131.0,132.10000610351562,127.5,128.75,902,0.0,0.0,2025-01-24,130.78999938964844,5.94975743038962,136.73975682003805,124.84024195925882,142.6895142504277,118.89048452886921,-5.056630686509013,-71.307660776643,-73490,830.3143219372754,4512.21867689412,182.14704143882415,44.74530244394412,129.45000203450522,131.40000406901044,126.79999796549481,134.05000813802084,124.84999593098959,136.00001017252606,122.19999186197919,-0.14313220577599048,-65.5477068954083,-1.1837376981897876,-1.9801589069629657,0.7964212087731781,45.45925330927343,18.27100183781017,135.1699951171875,130.78999938964844,137.65199920654297,143.08351165771484,ATAM.BO,2025-01-29 11:12:13.726669
5,2025-01-23 00:00:00+05:30,133.0500030517578,134.60000610351562,126.69999694824219,130.64999389648438,569,0.0,0.0,2025-01-23,131.19499969482422,6.077890194222718,137.27288988904695,125.1171095006015,143.35078008326965,119.03921930637878,12.477095444015882,-62.14412167329036,-72588,531.5087444261496,5432.6947656333305,182.15749250408123,42.99419565368351,130.6499989827474,134.60000101725262,126.69999186197919,138.55000813802084,122.74998982747397,142.50001017252606,118.79998270670575,-0.12595615652818637,-58.83394826785804,-1.0245877347470866,-2.17926420915626,1.1546764744091735,47.319380535384674,19.300561841193442,135.62999572753907,131.19499969482422,138.03199920654296,143.39115646362305,ATAM.BO,2025-01-29 11:12:13.726669
6,2025-01-22 00:00:00+05:30,138.1999969482422,139.60000610351562,131.4499969482422,132.89999389648438,7693,0.0,0.0,2025-01-22,131.19499969482422,6.077890194222718,137.27288988904695,125.1171095006015,143.35078008326965,119.03921930637878,62.10160983431997,-25.417255094922847,-72019,7309.866528900247,6657.991270935125,182.16385273929717,46.199074092868734,134.6499989827474,137.85000101725262,129.69999186197919,142.80000813802084,126.49998982747397,146.00001017252606,121.54998270670575,-0.13121883763576203,-50.88341908987534,-0.9924241087090877,-2.467933327758553,1.4755092190494654,49.54883191706619,20.409318767913884,134.9999969482422,131.19499969482422,138.43999938964845,143.73552673339844,ATAM.BO,2025-01-29 11:12:13.726669
7,2025-01-21 00:00:00+05:30,146.9499969482422,147.3000030517578,137.0,139.64999389648438,13703,0.0,0.0,2025-01-21,131.0625,6.06764122582157,137.13014122582157,124.99485877417843,143.19778245164315,118.92721754835686,151.15098598959534,36.29655267952255,-64326,13681.865998257317,6495.022456443843,182.24623624543415,44.66868120815312,141.31666564941406,145.63333129882812,135.3333282470703,151.61666870117188,131.01666259765625,155.93333435058594,125.0333251953125,-0.09631608968332275,-27.03183155592723,-1.1577991009982043,-2.8368106325209195,1.6790115315227152,57.03455156394324,20.743476471123152,132.81999816894532,131.0625,138.6679995727539,144.08326965332031,ATAM.BO,2025-01-29 11:12:13.726669
8,2025-01-20 00:00:00+05:30,137.0,144.0,132.6999969482422,143.89999389648438,9571,0.0,0.0,2025-01-20,130.56750030517577,5.7243075505428385,136.29180785571862,124.84319275463294,142.01611540626143,119.11888520409009,187.64406244806588,22.858002925293185,-50623,9847.065926384868,4698.311570990475,182.37349821399056,34.375179058374755,140.1999969482422,147.6999969482422,136.39999389648438,151.5,128.89999389648438,159.0,125.09999084472656,-0.05193863660397141,-0.4000244140625,-2.016759521413803,-3.2565635154015977,1.2398039939877945,62.560416177785704,19.935975670089896,128.96999969482422,130.56750030517577,138.4849996948242,144.37246841430664,ATAM.BO,2025-01-29 11:12:13.726669
9,2025-01-17 00:00:00+05:30,129.35000610351562,131.89999389648438,126.5999984741211,131.0500030517578,2115,0.0,0.0,2025-01-17,130.06000061035155,4.8656045325225845,134.92560514287413,125.19439607782897,139.79120967539671,120.32879154530639,48.07871557039541,-73.73715678688343,-60194,1981.6920216677772,3411.1229821418765,182.45395042043984,24.846277313536618,129.8499984741211,133.0999984741211,127.80000305175781,135.14999389648438,124.55000305175781,138.39999389648438,122.50000762939453,-0.192737436030733,-42.61903308686756,-3.504492794197205,-3.5665145138985457,0.06202171970134085,48.57099058561015,19.477898556808643,124.39000091552734,130.06000061035155,138.22999969482422,144.57787063598633,ATAM.BO,2025-01-29 11:12:13.726669
10,2025-01-16 00:00:00+05:30,127.0,130.0,123.5,127.5,3327,0.0,0.0,2025-01-16,130.32000045776368,5.056481151468396,135.3764816092321,125.2635193062953,140.43296276070046,120.20703815482689,-14.629463382834233,-103.7761936541638,-62309,3032.8556434105676,3768.4807222604013,182.47771479946925,20.339305447197148,127.0,130.5,124.0,133.5,120.5,137.0,117.5,-0.237294363081941,-59.523809523809526,-4.090614434580203,-3.5820199438238807,-0.5085944907563227,43.118700948368826,20.913325395948938,123.54000091552734,130.32000045776368,138.16599960327147,145.03864807128906,ATAM.BO,2025-01-29 11:12:13.726669
