Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-11-18 00:00:00+05:30,665.0,673.0,652.1500244140625,669.9000244140625,1135105,0.0,0.0,2024-11-18,710.9575012207031,20.296451756034017,731.2539529767371,690.6610494646691,751.5504047327711,670.3645977086351,-159.83593062533726,-166.35181850957505,66450884,207839.68734643675,99164.70900560034,944.1637114246475,36.48391803185158,665.0166829427084,677.8833414713542,657.0333658854167,685.8666585286459,644.1667073567709,698.7333170572917,636.1833902994792,0.02527232064121096,-82.2233306559768,-18.139218445506003,-16.0149179955587,-2.1243004499473024,33.029683315301185,20.651600284597222,687.1400146484375,710.9575012207031,753.4449987792968,814.6229974365234,ATGL.NS,2024-11-18 10:49:08.570182
2,2024-11-14 00:00:00+05:30,687.0999755859375,693.7000122070312,677.6500244140625,683.9000244140625,283810,0.0,0.0,2024-11-14,714.0924987792969,18.372017086762792,732.4645158660596,695.7204816925341,750.8365329528225,677.3484646057713,-132.34806432266947,-132.86286126001337,67585989,53052.12241076761,71995.96442039123,944.4843876893251,38.503212795856385,685.0833536783854,692.5166829427083,676.4666951497395,701.1333414713541,669.0333658854166,708.566670735677,660.4167073567708,-0.041941903317942376,-86.80683873728434,-16.546163998132442,-15.483842883071874,-1.062321115060568,36.07001222630154,19.578374982048494,695.6800048828125,714.0924987792969,756.9269982910156,816.8189971923828,ATGL.NS,2024-11-18 10:49:08.570182
3,2024-11-13 00:00:00+05:30,701.0,706.9000244140625,673.5499877929688,678.9000244140625,439495,0.0,0.0,2024-11-13,716.6524963378906,17.489464570625408,734.141960908516,699.1630317672652,751.6314254791414,681.6735671966399,-180.5831203831808,-137.0111464837674,67302179,81553.42653480808,76731.92492279713,944.5605895359017,31.360507197735984,686.4500122070312,699.3500366210938,666.0,719.800048828125,653.0999755859375,732.7000732421875,632.6499633789062,-0.05886475545815462,-93.81141021902758,-15.634659985993153,-15.21826260430673,-0.4163973816864228,34.05702039992825,19.396581350659186,704.0400024414063,716.6524963378906,760.3399975585937,819.0974969482422,ATGL.NS,2024-11-18 10:49:08.570182
4,2024-11-12 00:00:00+05:30,700.0499877929688,713.25,697.5999755859375,701.2000122070312,259021,0.0,0.0,2024-11-12,720.047494506836,16.327000404090192,736.3744949109262,703.7204941027458,752.7014953150164,687.3934936986556,-124.51271897533738,-104.40292835072312,67741674,49643.15112939874,75526.54951979438,944.6809453821302,57.03835506405734,704.0166625976562,710.433349609375,694.7833251953125,719.6666870117188,688.3666381835938,726.0833740234375,679.13330078125,-0.04722670043868481,-92.77952151557508,-13.738345607026986,-15.114163258885124,1.3758176518581386,39.1641417767404,19.200803593778396,716.7199951171875,720.047494506836,763.7839965820312,821.5379968261718,ATGL.NS,2024-11-18 10:49:08.570182
5,2024-11-11 00:00:00+05:30,708.75,712.3499755859375,700.0,701.7999877929688,256490,0.0,0.0,2024-11-11,722.2824951171875,16.667126580733058,738.9496216979206,705.6153685364544,755.6167482786536,688.9482419557214,-134.52726188354737,-106.67949091494961,68000695,49200.129286281604,81997.39911739329,944.7459736323336,55.004605483455954,704.7166544596354,709.4333089192708,697.0833333333333,717.0666300455729,692.3666788736979,721.7832845052083,684.7333577473958,-0.05242907962006977,-78.645559366781,-13.29854272861212,-15.458117671849656,2.159574943237537,39.31142389054631,20.112058775604012,720.889990234375,722.2824951171875,766.7169958496094,823.7834967041016,ATGL.NS,2024-11-18 10:49:08.570182
6,2024-11-08 00:00:00+05:30,720.9500122070312,726.0999755859375,710.5,712.5999755859375,269748,0.0,0.0,2024-11-08,724.9099945068359,17.394470078886872,742.3044645857228,707.515524427949,759.6989346646096,690.1210543490622,-35.99702011897484,-86.24234948955946,68257185,52539.5666784289,90196.7165751712,944.8102419855717,52.42223785735801,716.3999837239584,722.2999674479167,706.6999918619792,731.9999593098959,700.8000081380209,737.8999430338542,691.1000162760417,-0.04990432832369366,-66.8487387954972,-12.59305720367172,-15.998011407659039,3.4049542039873195,41.94813062184717,21.21899518159865,722.7999877929688,724.9099945068359,769.2879956054687,826.0394970703124,ATGL.NS,2024-11-18 10:49:08.570182
7,2024-11-07 00:00:00+05:30,742.2999877929688,746.6500244140625,722.0499877929688,725.7000122070312,314547,0.0,0.0,2024-11-07,727.147494506836,18.56634175734524,745.7138362641812,708.5811527494908,764.2801780215265,690.0148109921455,85.7759221696933,-57.79314828420502,68526933,62391.45704387755,99611.00404935676,944.8748635547265,52.14504919796621,731.4666748046875,740.8833618164062,716.2833251953125,756.0667114257812,706.8666381835938,765.4833984375,691.6832885742188,-0.06917531139433734,-52.53957618728562,-12.562653212659143,-16.849249958655868,4.286596745996725,45.376067065233656,22.732164811022706,724.8699951171875,727.147494506836,771.78599609375,828.3159973144532,ATGL.NS,2024-11-18 10:49:08.570182
8,2024-11-06 00:00:00+05:30,720.0499877929688,752.0,720.0499877929688,742.2999877929688,690233,0.0,0.0,2024-11-06,728.7424926757812,19.766864744136086,748.5093574199174,708.9756279316451,768.2762221640535,689.208763187509,116.49489274633741,-46.73009093993983,68841480,140041.78010945534,108915.89080072657,944.9460103056344,50.977111623379315,738.1166585286459,756.183329264323,724.2333170572917,770.0666707356771,706.1666463216146,788.1333414713542,692.2833048502605,-0.06111140773305037,-34.40743222296669,-13.623538782111837,-17.92089914515505,4.2973603630432144,50.2033770823968,23.693901176661015,723.3999877929688,728.7424926757812,774.2479956054688,830.5239971923828,ATGL.NS,2024-11-18 10:49:08.570182
9,2024-11-05 00:00:00+05:30,707.0,726.0,706.3499755859375,722.0499877929688,365382,0.0,0.0,2024-11-05,729.484994506836,20.565691794413077,750.050686301249,708.9193027124229,770.6163780956621,688.3536109180098,-1.2260275368792055,-90.0581100376021,68151247,72110.22717556494,101134.41847354437,945.0904618113155,45.60773558550572,718.1333211263021,729.9166666666667,710.2666422526042,737.7833455403646,698.4832967122396,749.5666910807292,690.6166178385417,-0.10423042486338915,-56.526495794873846,-16.4102226176459,-18.995239235915854,2.585016618269954,43.38033783255031,24.72961726273304,717.6499877929688,729.484994506836,776.5289953613282,832.5564971923828,ATGL.NS,2024-11-18 10:49:08.570182
10,2024-11-04 00:00:00+05:30,718.0,720.0499877929688,708.1500244140625,711.3499755859375,301856,0.0,0.0,2024-11-04,731.379995727539,21.566327660915974,752.946323388455,709.8136680666231,774.512651049371,688.2473404057071,-23.118032222337575,-103.93264799094416,67785865,58690.19923452431,108390.46629803922,945.1746561726154,45.39505333051965,713.1833292643229,718.2166341145833,706.316670735677,725.0832926432291,701.2833658854166,730.1165974934895,694.4167073567708,-0.0753149854248709,-68.21411309005937,-17.735064458327315,-19.641493390483344,1.9064289321560288,39.29955059986957,26.04488267902605,715.4199951171875,731.379995727539,779.2099951171875,834.8504815673828,ATGL.NS,2024-11-18 10:49:08.570182
