Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-10 00:00:00+05:30,6109.7998046875,6109.7998046875,5959.25,6025.5,1799,0.0,0.0,2025-02-10,6414.874975585937,264.3927194505359,6679.267695036473,6150.482256135401,6943.660414487009,5886.089536684865,-202.92734767939314,-150.66298946489178,137393,1534.4120986530195,1758.1741444581057,6943.913659609267,10.748415671560323,6031.5166015625,6103.783203125,5953.2333984375,6182.06640625,5880.966796875,6254.3330078125,5802.68359375,-0.04732558786668346,-92.34325339497255,-201.80202352811557,-190.31554742082844,-11.486476107287132,25.660944635117147,52.49645084186445,6150.4599609375,6414.874975585937,6829.7730078125,7225.2764892578125,ATUL.BO,2025-02-10 11:03:14.650936
2,2025-02-07 00:00:00+05:30,6153.0,6193.10009765625,6067.2001953125,6103.39990234375,326,0.0,0.0,2025-02-07,6450.272485351563,256.8005899453851,6707.073075296948,6193.471895406177,6963.873665242333,5936.671305460793,-169.1211088734312,-141.68655160235798,139192,281.6483339269374,1814.1146559093772,6945.4635525515005,11.114118021452555,6121.2333984375,6175.2666015625,6049.36669921875,6247.13330078125,5995.33349609375,6301.16650390625,5923.466796875,-0.03439048147743044,-95.21989748218833,-196.5824769677365,-187.44392839400663,-9.138548573729878,27.82440384414099,51.346252252290995,6180.0599609375,6450.272485351563,6856.4480078125,7244.076489257813,ATUL.BO,2025-02-10 11:03:14.650936
3,2025-02-06 00:00:00+05:30,6204.10009765625,6243.0498046875,6130.85009765625,6178.64990234375,997,0.0,0.0,2025-02-06,6475.8625,245.6749993284828,6721.537499328483,6230.187500671517,6967.212498656966,5984.512501343034,-91.80577114986536,-137.10570134586413,139518,871.97996415983,2197.231236404987,6945.721141694756,11.937893355691003,6184.183268229167,6237.516438802084,6125.316731770834,6296.382975260417,6071.983561197917,6349.716145833334,6013.117024739584,-0.0485758675417903,-86.67437499136425,-194.59331339068558,-185.15929125057414,-9.434022140111438,30.100746865203888,50.41260582285958,6201.4,6475.8625,6880.326005859375,7262.6294921875,ATUL.BO,2025-02-10 11:03:14.650936
4,2025-02-05 00:00:00+05:30,6243.0498046875,6251.0498046875,6176.9501953125,6201.7001953125,1588,0.0,0.0,2025-02-05,6506.602514648437,244.99146565184506,6751.593980300282,6261.611048996592,6996.585445952127,6016.619583344747,-63.41073160196192,-138.91554303242074,140515,1394.0521666839588,2528.544054466276,6946.439435928578,12.112747457291462,6209.900065104167,6242.849934895834,6168.750325520834,6283.999674479167,6135.800455729167,6316.949544270834,6094.650716145834,-0.05724196882409529,-83.70951716410693,-196.50918254748012,-182.80078571554628,-13.70839683193384,30.817870787521514,49.60787942327161,6222.4,6506.602514648437,6901.2180078125,7280.747495117187,ATUL.BO,2025-02-10 11:03:14.650936
5,2025-02-04 00:00:00+05:30,6196.2001953125,6263.39990234375,6091.2998046875,6243.0498046875,6329,0.0,0.0,2025-02-04,6542.325,250.22487421478542,6792.549874214786,6292.100125785214,7042.7747484295705,6041.875251570429,-70.68266525343387,-149.03091789692746,142103,5593.06228002071,2812.167026411855,6947.551870532641,7.988305724425729,6199.249837239583,6307.199869791666,6135.099772135416,6371.349934895833,6027.149739583333,6479.299967447916,5962.999674479166,-0.05819733284961929,-78.39089873371611,-198.25476838836767,-179.37368650756284,-18.881081880804828,32.091450666008186,48.893207873164094,6247.719921875,6542.325,6924.326005859375,7297.5119921875,ATUL.BO,2025-02-10 11:03:14.650936
6,2025-02-03 00:00:00+05:30,6207.4501953125,6308.2998046875,6136.5,6173.5,3816,0.0,0.0,2025-02-03,6573.355004882813,249.63806348988578,6822.993068372699,6323.716941392927,7072.631131862585,6074.078877903041,-71.65584048261724,-156.83781575554661,135774,3334.7062122709385,2116.943213009641,6951.771072504217,10.052606299425335,6206.099934895833,6275.699869791666,6103.900065104166,6377.899739583333,6034.300130208333,6447.499674479166,5932.100260416666,-0.21479845903330258,-87.33678428456405,-201.5580971172185,-174.65341603736164,-26.904681079856857,27.405886355202398,48.12356158843292,6252.169921875,6573.355004882813,6947.3630078125,7314.999995117188,ATUL.BO,2025-02-10 11:03:14.650936
7,2025-02-01 00:00:00+05:30,6292.10009765625,6337.4501953125,6174.0498046875,6210.10009765625,1619,0.0,0.0,2025-02-01,6610.410009765625,242.049017740255,6852.45902750588,6368.360992025369,7094.508045246134,6126.311974285115,-68.85286581032979,-159.16871395167436,139590,1423.191067355456,1812.5024631943168,6954.591554011455,12.800112199457601,6240.533365885417,6307.016927083334,6143.616536458334,6403.933756510417,6077.132975260417,6470.417317708334,5980.216145833334,-0.15863585060754126,-82.62907466188675,-195.88384635967213,-167.92724576739738,-27.956600592274754,28.36214594869135,47.43568147815894,6263.4798828125,6610.410009765625,6973.571005859375,7332.823994140625,ATUL.BO,2025-02-10 11:03:14.650936
8,2025-01-31 00:00:00+05:30,6342.89990234375,6343.0,6238.25,6283.64990234375,684,0.0,0.0,2025-01-31,6639.835009765625,226.0667907521647,6865.9018005177895,6413.76821901346,7091.968591269954,6187.701428261295,-67.4166629212952,-158.10153762050385,141209,608.3952880411653,1909.8303121540318,6955.738013821584,15.990976683715928,6288.299967447917,6338.349934895834,6233.599934895834,6393.049967447917,6183.549967447917,6443.099934895834,6128.849934895834,-0.16468888056965783,-73.16868669993681,-189.2557039262374,-160.9380956193287,-28.31760830690871,30.33742071279697,46.812527204305745,6287.5298828125,6639.835009765625,6994.58900390625,7349.608994140625,ATUL.BO,2025-02-10 11:03:14.650936
9,2025-01-30 00:00:00+05:30,6287.7998046875,6383.0,6274.5498046875,6328.2998046875,1496,0.0,0.0,2025-01-30,6669.7025146484375,215.75681346145524,6885.459328109892,6453.945701186983,7101.216141571348,6238.188887725527,-71.02970875784527,-155.7990928911542,141893,1340.0975073269713,2235.1890681822483,6956.175553278187,15.829752985080972,6328.616536458333,6382.683268229166,6274.233072916666,6437.066731770833,6220.166341145833,6491.133463541666,6165.782877604166,-0.1749005581706044,-67.42556609710479,-185.14570378862118,-153.85869354260151,-31.287010246019662,31.577116127302176,46.34645027967139,6339.9298828125,6669.7025146484375,7013.981005859375,7366.63599609375,ATUL.BO,2025-02-10 11:03:14.650936
10,2025-01-29 00:00:00+05:30,6228.85009765625,6280.4501953125,6190.0,6265.2998046875,324,0.0,0.0,2025-01-29,6702.360034179687,210.7342530719225,6913.09428725161,6491.625781107765,7123.828540323532,6280.891528035842,-123.16971715949603,-183.97532628908948,140397,287.34565057264194,2458.9619583960675,6957.0708335708105,9.817944942794071,6245.25,6300.5,6210.0498046875,6335.7001953125,6154.7998046875,6390.9501953125,6119.599609375,-0.16533542959752523,-78.09820820282901,-181.47575908887939,-146.0369409810966,-35.438818107782794,27.706595175801638,45.96231764861874,6424.84990234375,6702.360034179687,7033.136005859375,7382.47599609375,ATUL.BO,2025-02-10 11:03:14.650936
