Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-07 00:00:00+05:30,1190.0,1219.0999755859375,1176.449951171875,1191.699951171875,25072,0.0,0.0,2025-02-07,1176.7349853515625,27.606063077181172,1204.3410484287438,1149.1289222743812,1231.9471115059248,1121.5228591972002,99.4215716955567,-36.67338512902424,6217540,67848.9006449805,53090.6403733385,962.5004083072055,59.16471606207616,1195.7499593098958,1215.0499674479165,1172.399943033854,1238.3999837239583,1153.0999348958333,1257.699991861979,1129.7499186197915,-0.0005627860960551864,-41.55182373651903,-15.425750772011042,-20.56925519103617,5.143504419025128,48.96162473687647,16.74311652031774,1174.6399658203125,1176.7349853515625,1226.6019921875,1316.95099609375,AUROPHARMA.BO,2025-02-07 11:07:21.902505
2,2025-02-06 00:00:00+05:30,1187.8499755859375,1210.0,1184.5,1191.5,37937,0.0,0.0,2025-02-06,1175.2424865722655,27.561282831843346,1202.8037694041088,1147.6812037404222,1230.3650522359521,1120.119920908579,112.0187475604991,-37.39423706191769,6192468,102646.45277711724,49401.075305428,962.3265849001264,56.73227545556798,1195.3333333333333,1206.1666666666665,1180.6666666666665,1220.8333333333333,1169.8333333333333,1231.6666666666665,1155.1666666666665,-0.052605749528111374,-41.68003869931478,-17.94112684411334,-21.85513129579245,3.9140044516791086,48.92675094125866,17.447830650257117,1164.8999755859375,1175.2424865722655,1228.0159936523437,1320.7099963378905,AUROPHARMA.BO,2025-02-07 11:07:21.902505
3,2025-02-05 00:00:00+05:30,1180.3499755859375,1211.0,1163.6500244140625,1191.8499755859375,10805,0.0,0.0,2025-02-05,1175.6724853515625,27.893360796176935,1203.5658461477394,1147.7791245553856,1231.4592069439163,1119.8857637592087,68.09544350715791,-47.34761110053476,6230405,29243.76448469108,36089.73093750569,962.0632966910729,49.407754011152065,1188.8333333333333,1214.016642252604,1166.6666666666665,1236.1833089192708,1141.4833577473958,1261.3666178385415,1119.316691080729,-0.07432872104532631,-41.45562337676569,-20.870043035497247,-22.833632408712226,1.9635893732149796,48.981136626067524,18.442205518129086,1160.9499755859374,1175.6724853515625,1228.9299926757812,1324.3969958496093,AUROPHARMA.BO,2025-02-07 11:07:21.902505
4,2025-02-04 00:00:00+05:30,1130.050048828125,1173.699951171875,1130.050048828125,1171.199951171875,20719,0.0,0.0,2025-02-04,1178.5149841308594,32.19386631778091,1210.7088504486403,1146.3211178130784,1242.9027167664212,1114.1272514952975,-37.616882945675414,-90.60869550658875,6219600,55104.4599591541,37801.22255070933,961.9880831668961,50.82439740003847,1158.316650390625,1186.583251953125,1142.933349609375,1201.966552734375,1114.666748046875,1230.233154296875,1099.283447265625,-0.1444018520235662,-54.69706671091831,-24.33819783011927,-23.324529752015973,-1.0136680781032972,45.67269306741185,19.513070760452745,1159.0499755859375,1178.5149841308594,1229.5719921875,1327.5504956054688,AUROPHARMA.BO,2025-02-07 11:07:21.902505
5,2025-02-03 00:00:00+05:30,1135.1500244140625,1135.1500244140625,1100.550048828125,1126.949951171875,14030,0.0,0.0,2025-02-03,1184.0374877929687,39.51403577033199,1223.5515235633006,1144.5234520226368,1263.0655593336328,1105.0094162523046,-149.71915003487558,-147.88751432080954,6198881,35904.52739972369,33475.41319859814,961.8566896021445,42.89314354768443,1120.8833414713542,1141.2166341145835,1106.616658528646,1155.4833170572917,1086.2833658854167,1175.816609700521,1072.0166829427085,-0.20660433212846274,-83.0715545946826,-26.37601182442245,-23.071112732490146,-3.3048990919323025,37.62413528933248,20.388156165248823,1156.189990234375,1184.0374877929687,1230.7309936523438,1331.0229956054689,AUROPHARMA.BO,2025-02-07 11:07:21.902505
6,2025-02-01 00:00:00+05:30,1195.199951171875,1195.199951171875,1137.5,1143.0,10341,0.0,0.0,2025-02-01,1192.497491455078,44.4525898986275,1236.9500813537056,1148.0449015564504,1281.402671252333,1103.592311657823,-76.76252016632988,-104.97612712000591,6212911,26840.814031430527,32868.13464831674,961.786448592898,41.30160651220026,1158.566650390625,1179.63330078125,1121.933349609375,1216.2666015625,1100.86669921875,1237.333251953125,1064.2333984375,-0.29156473674333067,-91.75428035723097,-24.227440168274143,-22.24488795950707,-1.9825522087670713,39.60007158271045,20.117966238524502,1158.35,1192.497491455078,1233.023994140625,1334.9369958496093,AUROPHARMA.BO,2025-02-07 11:07:21.902505
7,2025-01-31 00:00:00+05:30,1183.5999755859375,1189.3499755859375,1161.5999755859375,1171.75,8918,0.0,0.0,2025-01-31,1201.032489013672,50.43376747867483,1251.4662564923467,1150.5987215349971,1301.9000239710215,1100.1649540563224,-40.20529907227961,-88.0401563479932,6223252,23729.541380564868,34374.9648025383,961.7296034781644,47.72369993769281,1174.2333170572917,1186.866658528646,1159.116658528646,1201.9833170572917,1146.4833170572917,1214.616658528646,1131.366658528646,-0.26134126965506815,-68.51255735925396,-22.690221566304672,-21.749249907315303,-0.9409716589893691,43.39041292938491,20.69972180659137,1164.810009765625,1201.032489013672,1234.6369946289062,1338.8919958496094,AUROPHARMA.BO,2025-02-07 11:07:21.902505
8,2025-01-30 00:00:00+05:30,1156.050048828125,1193.0999755859375,1156.050048828125,1182.3499755859375,15661,0.0,0.0,2025-01-30,1208.4124877929687,56.372823317092134,1264.7853111100608,1152.0396644758766,1321.158134427153,1095.6668411587843,-27.541963089164533,-88.74956904858057,6232170,42048.6881247188,37036.320658031655,961.6727723361714,39.40831519565955,1177.1666666666667,1198.2832845052085,1161.233357747396,1214.2165934244792,1140.1167399088542,1235.333211263021,1124.1834309895835,-0.2872512262938566,-59.943454877386884,-23.209764090051067,-21.51400699256796,-1.6957570974831064,44.86045358320277,21.993879324882016,1172.8300048828125,1208.4124877929687,1235.6059936523438,1342.5004956054688,AUROPHARMA.BO,2025-02-07 11:07:21.902505
9,2025-01-29 00:00:00+05:30,1147.5,1160.3499755859375,1132.800048828125,1156.9000244140625,12505,0.0,0.0,2025-01-29,1216.727490234375,64.06597577541316,1280.793466009788,1152.6615144589618,1344.8594417852014,1088.5955386835485,-99.20943044748569,-137.15988762034362,6216509,32852.349983263826,35783.22879135987,961.5678565527718,27.657943676463702,1150.0166829427083,1167.2333170572915,1139.683390299479,1177.5666097005208,1122.4667561848958,1194.783243815104,1112.1334635416665,-0.30979904060612495,-80.51739280603937,-24.567209854825705,-21.090067718197183,-3.4771421366285225,40.35535545670872,23.38758742150271,1185.42001953125,1216.727490234375,1236.9169946289062,1346.17599609375,AUROPHARMA.BO,2025-02-07 11:07:21.902505
10,2025-01-28 00:00:00+05:30,1178.5999755859375,1178.5999755859375,1135.0,1137.75,7658,0.0,0.0,2025-01-28,1226.452490234375,69.07295498047473,1295.52544521485,1157.3795352539003,1364.5984001953245,1088.3065802734257,-103.55220198604923,-146.9044976330742,6204004,19785.59525651265,36515.94849338388,961.4936766549683,25.910145638679623,1150.4499918619792,1165.8999837239585,1122.300008138021,1194.0499674479167,1106.8500162760417,1209.499959309896,1078.7000325520835,-0.31233685571043346,-98.28125,-23.42648674348402,-20.22078218404005,-3.2057045594439693,36.74427458736748,23.836903998376634,1192.2800048828126,1226.452490234375,1238.4819946289062,1350.1029956054688,AUROPHARMA.BO,2025-02-07 11:07:21.902505
