Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-31 00:00:00+05:30,262.29998779296875,268.1000061035156,258.0,266.45001220703125,87067,0.0,0.0,2025-01-31,281.5550018310547,27.71126276670931,309.266264597764,253.8437390643454,336.9775273644733,226.1324762976361,23.13256840765454,-95.57088925409731,4651532,52297.12104065217,199941.4890079446,370.08447944387484,50.06542412056695,264.18333943684894,270.3666788736979,260.26667277018225,274.28334554036456,254.08333333333331,280.4666849772135,250.16666666666663,-0.15139942727631556,-25.18406056413928,-12.602784454349262,-12.297777879591568,-0.30500657475769444,39.859086564240556,38.845430259181896,260.95000610351565,281.5550018310547,298.5140002441406,319.73549987792967,AWL.BO,2025-01-31 11:13:33.932345
2,2025-01-29 00:00:00+05:30,261.8999938964844,266.5,258.04998779296875,263.75,287108,0.0,0.0,2025-01-29,284.7525009155273,29.507858122712697,314.26035903824004,255.24464279281463,343.7682171609527,225.73678467010194,-18.345736895074968,-106.39841845679138,4564465,170704.99088841173,236852.5809997677,370.13925605488487,39.63545883582153,262.76666259765625,267.48333740234375,259.0333251953125,271.2166748046875,254.316650390625,275.933349609375,250.58331298828125,-0.14031138397463522,-62.41722929232324,-13.417563531048529,-12.221526235902145,-1.1960372951463842,37.950964091730626,37.73862445116226,259.9700012207031,284.7525009155273,299.7270001220703,320.79999969482424,AWL.BO,2025-01-31 11:13:33.932345
3,2025-01-28 00:00:00+05:30,258.29998779296875,265.0,252.6999969482422,260.75,386409,0.0,0.0,2025-01-28,288.01500091552737,30.648618183272593,318.6636190988,257.36638273225475,349.31223728207254,226.7177645489822,-80.50424449662664,-124.79951278758294,4277357,227132.8795394296,253389.47852760667,370.3250099953999,35.89666580741287,259.48333231608075,266.2666676839193,253.9666646321615,271.78333536783856,247.18332926432294,278.5666707356771,241.66666158040368,-0.06940820986649174,-77.56264662470558,-13.991520941720296,-11.922516912115547,-2.0690040296047485,35.851064707629135,36.28048891111654,260.6600036621094,288.01500091552737,300.95600036621096,321.8584997558594,AWL.BO,2025-01-31 11:13:33.932345
4,2025-01-27 00:00:00+05:30,252.0,270.0,241.0500030517578,261.95001220703125,1076421,0.0,0.0,2025-01-27,290.39000091552737,30.262605505250143,320.6526064207775,260.12739541027724,350.91521192602767,229.86478990502707,-140.70726880783099,-141.81416054882428,4663766,635636.8129176863,259953.62827465092,370.5831025369812,31.380772382083563,257.6666717529297,274.28334045410156,245.33334350585938,286.6166687011719,228.7166748046875,303.23333740234375,216.3833465576172,-0.09159706049842359,-76.22297272079457,-14.218913066872517,-11.40526590471436,-2.8136471621581567,36.30745304782592,34.46847637128401,262.14000244140624,290.39000091552737,302.3620001220703,323.01399963378907,AWL.BO,2025-01-31 11:13:33.932345
5,2025-01-24 00:00:00+05:30,262.54998779296875,267.3999938964844,251.0,251.85000610351562,307738,0.0,0.0,2025-01-24,293.76750030517576,30.6879794531895,324.45547975836524,263.0795208519863,355.1434592115547,232.39154139879676,-229.43995109533864,-158.61119631599806,3587345,174715.54578878413,166032.83211389207,371.3005993616936,16.946834617213412,256.75,262.5,246.10000610351562,273.1499938964844,240.35000610351562,278.8999938964844,229.70001220703125,-0.16791938320856595,-98.92062717013889,-14.412788837390622,-10.70185411417482,-3.710934723215802,29.27043051543285,32.51707825146436,262.50999755859374,293.76750030517576,303.6120001220703,324.01499938964844,AWL.BO,2025-01-31 11:13:33.932345
6,2025-01-23 00:00:00+05:30,267.79998779296875,267.79998779296875,260.6000061035156,261.54998779296875,72223,0.0,0.0,2025-01-23,297.67749938964846,30.041086160905934,327.7185855505544,267.6364132287425,357.7596717114603,237.5953270678366,-79.84738130905883,-150.90425816794436,3895083,42583.238296808224,163862.15369516908,371.5265772531372,17.598795274249298,263.31666056315106,266.0333150227865,258.83333333333337,270.5166422526042,256.11667887369794,273.2332967122396,251.63335164388025,-0.08192883333108024,-95.17752728696868,-13.447935414641222,-9.774120433370868,-3.673814981270354,32.46964651839245,30.815836404258476,265.68999633789065,297.67749938964846,305.24400024414064,325.13249938964844,AWL.BO,2025-01-31 11:13:33.932345
7,2025-01-22 00:00:00+05:30,268.29998779296875,269.3500061035156,262.04998779296875,267.20001220703125,190921,0.0,0.0,2025-01-22,300.6324996948242,29.195140340419705,329.8276400352439,271.4373593544045,359.0227803756636,242.24221901398482,-48.173541229276175,-155.72986036476306,3967306,115000.20926211237,194181.88254475928,371.5754273186337,18.913271038887217,266.2000020345052,270.35001627604163,263.04999796549475,273.50002034505206,258.8999837239583,277.6500345865885,255.74997965494788,-0.050799056712347336,-87.60884024608657,-12.9641752834969,-8.85566668805328,-4.10850859544362,34.50973052705798,29.44197808388541,267.42999877929685,300.6324996948242,306.56800048828126,326.1854995727539,AWL.BO,2025-01-31 11:13:33.932345
8,2025-01-21 00:00:00+05:30,266.20001220703125,270.54998779296875,264.45001220703125,268.1499938964844,263642,0.0,0.0,2025-01-21,303.25249938964845,28.37670957721647,331.6292089668649,274.875789812432,360.0059185440814,246.4990802352155,-47.58723617445211,-160.9407011053122,4158227,159367.89837275134,213977.300865421,371.6981292911241,23.552071274901294,267.71666463216144,270.98331705729163,264.88334147135413,273.81664021809894,261.61668904622394,277.08329264322913,258.78336588541663,-0.02085827147902403,-86.33625917826969,-12.704830621772885,-7.8285395391923736,-4.8762910825805115,34.8516185740536,28.036511814933714,268.68999633789065,303.25249938964845,307.8990002441406,327.2954995727539,AWL.BO,2025-01-31 11:13:33.932345
9,2025-01-20 00:00:00+05:30,268.6000061035156,270.0,262.45001220703125,263.79998779296875,111256,0.0,0.0,2025-01-20,305.6224990844727,27.247616641525337,332.870115725998,278.37488244294735,360.11773236752333,251.127265801422,-61.88002712388717,-186.27513112411643,3894585,66161.70206960224,227629.65148858842,371.8664982772592,29.96810178433188,265.4166666666667,268.3833211263021,260.83333333333337,272.96665445963544,257.86667887369794,275.93330891927087,253.28334554036462,0.04747887398334779,-92.16346140088164,-12.27385223456065,-6.609466768547245,-5.664385466013405,31.986666379718287,26.642362343656256,268.45,305.6224990844727,309.4460003662109,328.3864996337891,AWL.BO,2025-01-31 11:13:33.932345
10,2025-01-17 00:00:00+05:30,270.29998779296875,271.04998779296875,263.5,267.75,271054,0.0,0.0,2025-01-17,306.98249969482424,25.68423911126842,332.66673880609267,281.2982605835558,358.3509779173611,255.6140214722874,-68.55603542495325,-190.75570811626537,4005841,163603.9393630316,267996.638843335,371.94070066593986,26.907982444186032,267.43332926432294,271.36665852864587,263.8166707356771,274.9833170572917,259.8833414713542,278.9166463216146,256.26668294270837,0.03641556047084312,-86.87208493739706,-11.107692149305478,-5.193370402043893,-5.914321747261585,33.21839652192355,25.069479184283523,268.1800048828125,306.98249969482424,311.0380004882812,329.55549987792966,AWL.BO,2025-01-31 11:13:33.932345
