Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-08 00:00:00+05:30,877.0,888.2999877929688,876.0,877.1500244140625,3736566,0.0,0.0,2025-08-08,909.7549987792969,31.62437856593957,941.3793773452364,878.1306202133574,973.0037559111761,846.5062416474177,-50.225022538106195,-123.83041373499164,330612886,4613869.286983356,7230871.651418561,750.449662617785,30.684297242095482,880.4833374023438,884.9666748046875,872.6666870117188,892.7833251953125,868.183349609375,897.2666625976562,860.36669921875,0.08756047558917511,-90.45320805334366,-13.144691105799325,-9.30736800153732,-3.837323104262005,38.74856553534494,19.235492498521356,882.0200073242188,909.7549987792969,920.1340014648438,907.0057263183594,BAJFINANCE.NS,2025-08-08 11:02:55.522187
2,2025-08-07 00:00:00+05:30,871.0,882.0,867.25,879.0999755859375,5998002,0.0,0.0,2025-08-07,912.5724975585938,31.071987567194352,943.6444851257882,881.5005099913994,974.7164726929825,850.4285224242051,-99.25835792203752,-149.66337098120067,334349452,7422729.31328477,7885122.242527361,750.3649892490528,31.449389676862637,876.1166585286459,884.9833170572917,870.2333170572917,890.8666585286459,861.3666585286459,899.7333170572917,855.4833170572917,0.08603291541645064,-88.57283105976913,-12.778987408092235,-8.348037225471819,-4.430950182620416,39.2989761265624,19.199389370547866,881.7099975585937,912.5724975585938,920.9520007324219,906.6781158447266,BAJFINANCE.NS,2025-08-08 11:02:55.522187
3,2025-08-06 00:00:00+05:30,888.0,895.5,874.5999755859375,876.6500244140625,4212648,0.0,0.0,2025-08-06,916.0,30.96599792260309,946.965997922603,885.034002077397,977.9319958452062,854.0680041547938,-49.565660945414216,-142.1896270751675,328351450,5198764.805806046,8000720.474838009,750.2267390811287,37.95019754102119,882.25,889.9000244140625,869.0,903.1500244140625,861.3499755859375,910.800048828125,848.0999755859375,0.06622767730406616,-91.5978403220901,-12.309195480105132,-7.240299679816713,-5.068895800288418,38.27608022078304,18.68342519655088,882.1300048828125,916.0,921.6900012207032,906.1876940917969,BAJFINANCE.NS,2025-08-08 11:02:55.522187
4,2025-08-05 00:00:00+05:30,889.0,893.5999755859375,882.4000244140625,891.9000244140625,4446791,0.0,0.0,2025-08-05,919.1974975585938,29.97474895815219,949.172246516746,889.2227486004416,979.1469954748982,859.2479996422894,-35.242107891737845,-127.61961375021106,332564098,5583180.170967975,8701209.392096,750.1313118317208,37.76411066679136,889.3000081380209,896.1999918619792,885.0000406901042,900.4999593098959,878.1000569661459,907.3999430338542,873.8000895182292,0.10830886804378385,-76.78482605130746,-11.279933419314034,-5.973075729744609,-5.306857689569425,42.40642347709956,18.466701137768617,883.7699951171875,919.1974975585938,922.6033935546875,905.7239117431641,BAJFINANCE.NS,2025-08-08 11:02:55.522187
5,2025-08-04 00:00:00+05:30,874.0,886.75,873.7000122070312,885.2999877929688,3969985,0.0,0.0,2025-08-04,920.9849975585937,29.32002726011733,950.305024818711,891.6649702984764,979.6250520788284,862.344943038359,-59.502713515243116,-164.58019157080508,328117307,4947639.785455081,9480716.697378006,750.018263684406,34.055711033158815,881.9166666666666,890.133321126302,877.0833333333333,894.9666544596354,868.8666788736979,903.1833089192708,864.0333455403645,0.10471592940612914,-83.19573993038614,-11.293151941190558,-4.646361307352253,-6.646790633838306,39.79560740753797,18.609186503005784,882.6999877929687,920.9849975585937,923.0197082519531,905.1692333984375,BAJFINANCE.NS,2025-08-08 11:02:55.522187
6,2025-08-01 00:00:00+05:30,884.7999877929688,895.8499755859375,873.0,875.5999755859375,5300299,0.0,0.0,2025-08-01,922.9524993896484,28.094021842940432,951.0465212325888,894.8584775467081,979.1405430755293,866.7644557037676,-70.70415277246833,-176.75342067009714,324147322,6533183.544839359,10613985.925358735,749.9218866363848,34.12035744472705,881.4833170572916,889.9666341145833,867.1166585286458,904.3332926432291,858.6333414713541,912.8166097005208,844.2666829427083,0.08746217379148702,-92.61780020904317,-10.48896368543717,-2.9846636488926763,-7.504300036544494,35.82544561642963,18.282933468084284,881.739990234375,922.9524993896484,923.76408203125,904.6868756103515,BAJFINANCE.NS,2025-08-08 11:02:55.522187
7,2025-07-31 00:00:00+05:30,872.0,887.8499755859375,868.0,881.2000122070312,6999179,0.0,0.0,2025-07-31,925.4375,25.78856522760886,951.2260652276088,899.6489347723912,977.0146304552177,873.8603695447823,-91.02626718017586,-202.61500126634695,329447621,8682411.076681554,11634186.520488579,749.8022349468591,29.199992438199715,879.0166625976562,890.0333251953125,870.183349609375,898.8666381835938,859.1666870117188,909.88330078125,850.3333740234375,0.0818926225390265,-87.1782315280486,-8.345131099947707,-1.1085886397565523,-7.2365424601911545,37.13835357909629,17.93158404586113,889.3699951171875,925.4375,924.6507043457032,904.1899035644532,BAJFINANCE.NS,2025-08-08 11:02:55.522187
8,2025-07-30 00:00:00+05:30,890.9500122070312,892.5999755859375,875.0,884.8499755859375,5054496,0.0,0.0,2025-07-30,926.8850006103515,23.919600261459355,950.8046008718109,902.9654003488922,974.7242011332703,879.0458000874328,-103.64622384034037,-186.68680297523008,336446800,6296022.18284035,12372130.381440334,749.6368330989645,29.807738491573716,884.1499837239584,893.2999674479167,875.6999918619792,901.7499593098959,866.5500081380209,910.8999430338542,858.1000162760417,0.04093358738263794,-88.35302805111544,-6.025453122118847,0.7005469752912366,-6.7260000974100835,37.98076955683691,17.0153526754981,904.9199951171875,926.8850006103515,925.2173254394531,903.9228076171875,BAJFINANCE.NS,2025-08-08 11:02:55.522187
9,2025-07-29 00:00:00+05:30,875.0499877929688,894.0,873.5,886.5499877929688,11323854,0.0,0.0,2025-07-29,928.7925018310547,21.82004985701708,950.6125516880718,906.9724519740375,972.4326015450888,885.1524021170205,-131.19966088472657,-190.16258135609743,341501296,14132410.33000239,13891157.431090329,749.5138070795731,34.566376968451564,884.6833292643229,895.8666585286458,875.3666585286458,905.1833292643229,864.1833292643229,916.3666585286458,854.8666585286458,0.017089709456075006,-86.60853139223397,-3.3237337238498412,2.3820469996437574,-5.705780723493598,38.35705776488555,16.29030841378948,921.6099975585937,928.7925018310547,925.8273876953125,903.6609118652344,BAJFINANCE.NS,2025-08-08 11:02:55.522187
10,2025-07-28 00:00:00+05:30,909.25,913.75,879.0,880.5,14011284,0.0,0.0,2025-07-28,931.2975036621094,19.463848979588082,950.7613526416975,911.8336546825213,970.2252016212856,892.3698057029333,-152.0265068644614,-168.53059576872633,330177442,17367049.631674953,13830844.206362313,749.2338987027413,41.40184825370408,891.0833333333334,903.1666666666667,868.4166666666667,925.8333333333334,856.3333333333334,937.9166666666667,833.6666666666667,0.005980577374342776,-98.3686788462598,0.018219966027345436,3.808492180517157,-3.7902722144898116,36.27055604073067,15.509491516564811,934.8099975585938,931.2975036621094,926.1675830078125,903.2849328613281,BAJFINANCE.NS,2025-08-08 11:02:55.522187
