Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-08-13 00:00:00+05:30,117.69999694824219,118.69999694824219,115.0999984741211,115.69999694824219,1360512,0.0,0.0,2024-08-13,121.40250053405762,3.1489549099233223,124.55145544398094,118.2535456241343,127.70041035390426,115.10459071421099,-115.42093778970076,-186.55672290923857,105812359,3368652.8347922573,2408527.850747606,98.550104705303,27.99668316317367,116.49999745686848,117.89999643961588,114.29999796549478,120.09999593098958,112.89999898274739,121.49999491373697,110.69999949137369,-0.12132741126416818,-95.41985844268315,-1.0157406909272026,-0.3344951460790799,-0.6812455448481227,36.429102155067454,17.53325195332031,118.26000061035157,121.40250053405762,121.12704925537109,127.80568801879883,BANKINDIA.BO,2024-08-13 11:08:04.886791
2,2024-08-12 00:00:00+05:30,117.69999694824219,119.44999694824219,117.4000015258789,117.9000015258789,473419,0.0,0.0,2024-08-12,121.80000076293945,2.8816571291775164,124.68165789211696,118.91834363376194,127.56331502129449,116.03668650458441,-97.01788205236335,-134.45735795329253,107172871,1194483.1457586642,2168496.6047364427,98.51332569382389,34.42287613088968,118.25,119.0999984741211,117.05000305175781,120.29999542236328,116.20000457763672,121.14999389648438,115.00000762939453,-0.038819137004487136,-94.49542376060766,-0.6750834957469749,-0.16418375986704917,-0.5108997358799258,40.559556704915245,16.135985131551546,118.91000061035156,121.80000076293945,121.32973556518554,127.9231639099121,BANKINDIA.BO,2024-08-13 11:08:04.886791
3,2024-08-09 00:00:00+05:30,119.80000305175781,121.0999984741211,118.0,119.0,724703,0.0,0.0,2024-08-09,121.91750068664551,2.7595899015240266,124.67709058816953,119.15791078512149,127.43668048969356,116.39832088359746,-92.18752017865502,-98.86119457798152,107646290,1845557.3797660284,2411999.969480887,98.49884766210566,33.5271924301404,119.36666615804036,120.73333231608072,117.63333384195963,122.46666463216145,116.26666768391927,123.83333079020181,114.53333536783853,-0.06331050962661847,-82.88286678319251,-0.4453776361434052,-0.03645882589706773,-0.40891881024633747,42.81334906738563,15.343780368757635,119.78000030517578,121.91750068664551,121.47473358154296,127.99810722351074,BANKINDIA.BO,2024-08-13 11:08:04.886791
4,2024-08-08 00:00:00+05:30,118.75,121.3499984741211,117.30000305175781,119.80000305175781,1691939,0.0,0.0,2024-08-08,122.0675006866455,2.6728300391690265,124.74033072581453,119.39467064747647,127.41316076498356,116.72184060830745,-88.94666989965212,-98.74365728833719,108370993,4337725.465854887,2553610.6169096013,98.47538401106733,34.336188195902324,119.48333485921223,121.66666666666666,117.61667124430338,123.53333028157552,115.43333943684895,125.71666208902994,113.5666758219401,-0.03731377623307119,-75.67563109191772,-0.252869565069787,0.06577087666451664,-0.3186404417343036,44.482607418939736,14.695244158609288,121.21000061035156,122.0675006866455,121.62804138183594,128.17888969421386,BANKINDIA.BO,2024-08-13 11:08:04.886791
5,2024-08-07 00:00:00+05:30,122.80000305175781,122.80000305175781,118.4000015258789,118.9000015258789,614120,0.0,0.0,2024-08-07,122.20250053405762,2.619937714237608,124.82243824829523,119.58256281982001,127.44237596253284,116.9626251055824,-73.54836152255396,-77.7760613121656,106679054,1562628.1123657883,2107581.9046732797,98.4182512458453,37.636640355056215,120.03333536783855,121.66666920979819,117.26666768391928,124.43333689371745,115.63333384195964,126.06667073567709,112.86666615804037,-0.05618422903213509,-83.78375406127849,-0.08135772060970226,0.14543098709809255,-0.2267887077077948,42.1253864308603,13.996820547680299,122.46000061035156,122.20250053405762,121.78197052001953,128.38784828186036,BANKINDIA.BO,2024-08-13 11:08:04.886791
6,2024-08-06 00:00:00+05:30,122.4000015258789,124.75,118.0999984741211,118.94999694824219,686171,0.0,0.0,2024-08-06,122.43500061035157,2.515693234267655,124.95069384461922,119.9193073760839,127.46638707888687,117.40361414181626,-62.251709523316485,-54.25677586482818,107293174,1746696.0023351086,2243820.3527501523,98.39831414020392,47.06430535177219,120.5999984741211,123.0999984741211,116.44999694824219,127.25,113.94999694824219,129.75,109.79999542236328,-0.021885383555021523,-83.33334478888226,0.22809862023420635,0.20212816402504125,0.025970456209165105,42.217858430516635,13.600122991984097,123.84000091552734,122.43500061035157,121.99300888061524,128.6278059387207,BANKINDIA.BO,2024-08-13 11:08:04.886791
7,2024-08-05 00:00:00+05:30,124.94999694824219,124.94999694824219,119.55000305175781,122.25,1895749,0.0,0.0,2024-08-05,122.53250083923339,2.409044168409814,124.94154500764321,120.12345667082357,127.35058917605302,117.71441250241377,-15.026467943948429,19.783562786345666,107979345,4959640.926675298,2368101.440353913,98.37593753750564,51.83582327282478,122.25,124.94999694824219,119.55000305175781,127.64999389648438,116.85000610351562,130.34999084472656,114.15000915527344,0.054399277404742936,-53.603583478990636,0.6159166798662739,0.19563554997274996,0.4202811298935239,48.78038067672873,13.17291023969588,125.19000091552735,122.53250083923339,122.15416076660156,128.86041946411132,BANKINDIA.BO,2024-08-13 11:08:04.886791
8,2024-08-02 00:00:00+05:30,124.9000015258789,128.1999969482422,122.80000305175781,126.1500015258789,682132,0.0,0.0,2024-08-02,122.4425006866455,2.4533692995996783,124.89586998624517,119.98913138704583,127.34923928584486,117.53576208744614,72.70896273917411,157.75931999294318,109875094,1841519.0479170242,1720216.5687735667,98.30390479606677,66.8330651617544,125.71666717529297,128.63333129882812,123.23333740234375,131.11666107177734,120.3166732788086,134.0333251953125,117.83334350585938,0.0797003082675437,-18.468429767289688,0.7781089453604721,0.09056526749936897,0.6875436778611032,58.81298809004436,13.173041216737674,125.77000122070312,122.4425006866455,122.23366912841797,129.0434115600586,BANKINDIA.BO,2024-08-13 11:08:04.886791
9,2024-08-01 00:00:00+05:30,126.5,126.6500015258789,125.25,126.05000305175781,571043,0.0,0.0,2024-08-01,122.0675006866455,2.429927277400488,124.497427964046,119.63757340924501,126.92735524144648,117.20764613184453,98.93170810731145,169.46200432157522,109192962,1540395.3696371492,1689890.9489877024,98.27364072956671,65.97110336978429,125.98333485921223,126.71666971842447,125.31666819254556,127.38333638509114,124.58333333333333,128.11667124430338,123.91666666666666,0.07904683932429256,-9.136995288364048,0.589883605522374,-0.08132065196590685,0.6712042574882808,58.61030778958615,13.983547781131238,124.4000015258789,122.0675006866455,122.19117919921875,129.14536109924316,BANKINDIA.BO,2024-08-13 11:08:04.886791
10,2024-07-31 00:00:00+05:30,126.1500015258789,126.5,125.0,125.80000305175781,262585,0.0,0.0,2024-07-31,121.68000068664551,2.378820729915097,124.0588214165606,119.30117995673042,126.43764214647571,116.92235922681532,114.5352058430236,170.61586482080716,108621919,706921.3482297965,1727264.8438253405,98.2483457676876,59.81106376898,125.76666768391927,126.53333536783853,125.03333536783853,127.26666768391927,124.26666768391927,128.03333536783853,123.53333536783853,0.05618083628004909,-11.675066747530515,0.349808836733672,-0.24912171633797703,0.5989305530716491,58.132020786818025,13.703309484976108,122.9500015258789,121.68000068664551,122.08029251098633,129.21848960876466,BANKINDIA.BO,2024-08-13 11:08:04.886791
