Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-21 00:00:00+05:30,2049.75,2049.75,1970.0,1980.0999755859375,24096,0.0,0.0,2025-01-21,2077.6575134277346,86.74322641592862,2164.4007398436634,1990.914287011806,2251.1439662595917,1904.1710605958774,-39.236645747849245,-101.92872607887116,40219414,52775.79576508981,93959.20304701682,1766.476948187801,50.52469169164831,1999.9499918619792,2029.8999837239585,1950.1499837239585,2079.6999918619795,1920.1999918619792,2109.6499837239585,1870.3999837239585,-0.0056451548119011985,-83.87248037762441,-82.74964558802321,-88.10948572983695,5.359840141813734,33.687455681629686,17.512004810996455,2002.1199951171875,2077.6575134277346,2294.104020996094,2492.008009033203,BBTC.NS,2025-01-21 10:45:53.925678
2,2025-01-20 00:00:00+05:30,2005.0,2049.75,1995.300048828125,2034.699951171875,30324,0.0,0.0,2025-01-20,2084.8925170898438,84.17444266029804,2169.066959750142,2000.7180744295456,2253.24140241044,1916.5436317692477,2.3318513085148043,-94.56674853779239,40243510,68247.94518110862,104255.05486749858,1766.4191829680142,72.4410577981917,2026.5833333333333,2057.8666178385415,2003.4166666666665,2081.033284505208,1972.1333821614583,2112.3165690104165,1948.9667154947915,-0.020681034929216687,-71.04977826822805,-84.235710622115,-89.44944576529036,5.21373514317537,37.8553348360182,17.61240787005144,2001.560009765625,2084.8925170898438,2309.9430224609373,2497.9560083007814,BBTC.NS,2025-01-21 10:45:53.925678
3,2025-01-17 00:00:00+05:30,2001.0,2033.300048828125,1992.949951171875,2003.300048828125,25554,0.0,0.0,2025-01-17,2092.7150146484373,86.50187343050258,2179.21688807894,2006.2131412179347,2265.7187615094426,1919.7112677874322,-37.58614464863934,-106.54975944912027,40213186,56624.92105600025,113256.83228909607,1766.3278563754566,63.85791798158359,2009.8500162760417,2026.7500813802085,1986.3999837239585,2050.200113932292,1969.4999186197917,2067.1001790364585,1946.0498860677085,-0.056777093528764845,-79.58932314542403,-90.239295865558,-90.7528795510842,0.5135836855261999,33.459023949367534,18.060773607575307,1984.2000244140625,2092.7150146484373,2325.376025390625,2502.9360083007814,BBTC.NS,2025-01-21 10:45:53.925678
4,2025-01-16 00:00:00+05:30,2001.0,2027.0,1993.949951171875,2000.9000244140625,28219,0.0,0.0,2025-01-16,2106.6275146484377,93.46020513361832,2200.087719782056,2013.1673095148194,2293.5479249156742,1919.7071043812011,-53.33789313967602,-113.31211615343366,40187632,62455.36151300438,127414.81009737002,1766.2598574414378,65.98198686588168,2007.2833251953125,2020.61669921875,1987.566650390625,2040.3333740234375,1974.2332763671875,2053.666748046875,1954.5166015625,-0.05702695286521734,-81.72556521418724,-93.46602756208813,-90.88127547246575,-2.584752089622384,33.12324252879348,18.26056892391772,1984.87001953125,2106.6275146484377,2339.511025390625,2508.2605078125,BBTC.NS,2025-01-21 10:45:53.925678
5,2025-01-15 00:00:00+05:30,1991.0,2017.4000244140625,1979.9000244140625,1991.5999755859375,33478,0.0,0.0,2025-01-15,2122.452508544922,101.09908571500513,2223.551594259927,2021.3534228299166,2324.6506799749322,1920.2543371149116,-78.21720661018256,-124.42160085368985,40159413,73750.39229846928,143654.67224346142,1766.1854823616304,63.518870873132705,1996.3000081380208,2012.699991861979,1975.199991861979,2033.8000081380208,1958.8000081380208,2050.199991861979,1937.699991861979,-0.05720520348357991,-84.06490559548996,-95.94470395759299,-90.23508745006013,-5.709616507532857,31.886475578228257,18.37052393185422,1999.5800048828125,2122.452508544922,2352.8830249023435,2513.5245080566406,BBTC.NS,2025-01-21 10:45:53.925678
6,2025-01-14 00:00:00+05:30,1951.25,1991.699951171875,1951.25,1977.300048828125,41726,0.0,0.0,2025-01-14,2140.550012207031,108.56304801284614,2249.1130602198773,2031.986964194185,2357.6761082327234,1923.4239161813389,-110.15195522400589,-142.38480138714826,40125935,91260.33282096036,161130.74222970946,1766.100683864902,61.38491242511142,1973.4166666666667,1995.5833333333335,1955.1333821614585,2013.8666178385417,1932.9667154947917,2036.0332845052085,1914.6834309895835,-0.06349928858594849,-87.6619185502022,-96.74853932243741,-88.80768332317692,-7.940855999260492,30.039181882159937,18.33574005343166,2015.580029296875,2140.550012207031,2368.1800244140627,2519.257009277344,BBTC.NS,2025-01-21 10:45:53.925678
7,2025-01-13 00:00:00+05:30,2008.949951171875,2025.0,1928.25,1947.9000244140625,61360,0.0,0.0,2025-01-13,2161.862512207031,116.38565386304278,2278.248166070074,2045.4768583439884,2394.6338199331167,1929.0912044809456,-144.48190847539726,-155.2631618695427,40084209,132207.0855380597,178598.34458189673,1766.0016121113422,58.54865012613394,1967.0500081380208,2005.8500162760415,1909.1000162760415,2063.8000081380205,1870.3000081380208,2102.6000162760415,1812.3500162760415,-0.04314153087011926,-95.05721997218069,-94.90347909639377,-86.82246932336179,-8.08100977303198,26.219095531944802,17.893820803971884,2032.92001953125,2161.862512207031,2384.022021484375,2524.7010083007813,BBTC.NS,2025-01-21 10:45:53.925678
8,2025-01-10 00:00:00+05:30,2050.25,2094.5,2000.0,2006.6500244140625,47159,0.0,0.0,2025-01-10,2180.930010986328,110.58076895015554,2291.5107799364837,2070.349242036172,2402.091548886639,1959.768473086017,-108.66011464632973,-136.42455036345225,40145569,104674.02867962209,190196.15934285597,1765.876048315531,58.56822473333277,2033.7166748046875,2067.433349609375,1972.933349609375,2128.2166748046875,1939.2166748046875,2161.933349609375,1878.433349609375,-0.02172998701425664,-97.95886328501727,-88.20785444656849,-84.8022168801038,-3.4056375664646907,29.175110790965718,17.417907766092124,2061.3100341796876,2180.930010986328,2399.4800219726562,2530.3315075683595,BBTC.NS,2025-01-21 10:45:53.925678
9,2025-01-09 00:00:00+05:30,2088.550048828125,2126.0,2064.0,2074.449951171875,59868,0.0,0.0,2025-01-09,2197.785009765625,108.28545078835946,2306.0704605539845,2089.4995589772657,2414.355911342344,1981.2141081889063,-65.80291005990081,-119.33411551093762,40192728,137372.69830274163,211576.69200866442,1765.7482412749496,57.27364577193672,2088.1499837239585,2112.299967447917,2050.299967447917,2150.1499837239585,2026.1499837239585,2174.299967447917,1988.299967447917,-0.01333782350954544,-79.84436425341296,-84.08492812298073,-83.95080748848763,-0.13412063449310097,33.1843232402647,17.601631048383368,2098.750048828125,2197.785009765625,2414.2760205078125,2534.0640063476562,BBTC.NS,2025-01-21 10:45:53.925678
10,2025-01-08 00:00:00+05:30,2064.0,2134.0,2037.199951171875,2071.60009765625,70101,0.0,0.0,2025-01-08,2212.7275146484376,110.9569526323408,2323.6844672807783,2101.770562016097,2434.641419913119,1990.813609383756,-85.29540083043274,-129.73119152249396,40132860,160632.2910357198,230127.6904351451,1765.540076525611,53.63044990123593,2080.933349609375,2124.666748046875,2027.86669921875,2177.7333984375,1984.13330078125,2221.466796875,1931.066650390625,-0.016764572852570016,-80.7496543022023,-84.20958450873286,-83.91727732986435,-0.2923071788685121,32.8240009134354,18.515638465394396,2130.700048828125,2212.7275146484376,2426.597021484375,2536.1580078125,BBTC.NS,2025-01-21 10:45:53.925678
