Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-09-30 00:00:00+05:30,1500.0,1515.9000244140625,1461.800048828125,1493.199951171875,1012110,0.0,0.0,2025-09-30,1531.2830322265625,74.01045135698968,1605.2934835835522,1457.2725808695727,1679.3039349405417,1383.2621295125832,-167.54132470247598,-52.532903000223925,331967514,2988306.5612765807,4490273.437300172,1306.8555504687424,71.52975324060992,1490.3000081380208,1518.7999674479165,1464.699991861979,1544.3999837239583,1436.2000325520833,1572.899943033854,1410.6000162760415,0.08395283014023204,-70.07290218522493,-0.2385327711390346,1.949478677212238,-2.188011448351273,41.13808698094584,23.8132869733575,1541.7400146484374,1531.2830322265625,1557.0457373046875,1720.467442626953,BDL.NS,2025-09-30 10:57:49.217297
2,2025-09-26 00:00:00+05:30,1554.9000244140625,1554.9000244140625,1495.0,1497.800048828125,943640,0.0,0.0,2025-09-26,1529.5285888671874,75.36425329102289,1604.8928421582102,1454.1643355761646,1680.2570954492332,1378.8000822851416,-203.74170452334207,-24.270275058654423,332979624,2794728.6545710447,4865765.156306069,1306.6782911724106,72.0640825967673,1515.9000244140625,1536.800048828125,1476.9000244140625,1575.800048828125,1456.0,1596.7000732421875,1417.0,0.10191595583934111,-66.84535842271677,5.228143850480365,2.4964815393000563,2.7316623111803082,41.685530929518094,23.67514539696767,1568.6400146484375,1529.5285888671874,1562.0256665039062,1720.0675744628907,BDL.NS,2025-09-30 10:57:49.217297
3,2025-09-25 00:00:00+05:30,1556.0,1604.0,1550.0999755859375,1555.9000244140625,1279035,0.0,0.0,2025-09-25,1526.3946044921875,78.00992474677672,1604.4045292389642,1448.3846797454107,1682.414453985741,1370.374754998634,-80.49441402648748,37.530660173741964,333923264,3934989.5369805335,5383524.281739825,1306.5086361292774,75.02500708598002,1570.0,1589.9000244140625,1536.0,1623.9000244140625,1516.0999755859375,1643.800048828125,1482.0999755859375,0.1372468175373752,-41.981626627310305,11.694892273369987,1.8135659615049793,9.881326311865008,49.39474136190077,24.165459107656076,1595.4,1526.3946044921875,1568.0951171875,1719.5627294921876,BDL.NS,2025-09-30 10:57:49.217297
4,2025-09-24 00:00:00+05:30,1590.0,1605.0999755859375,1556.0,1566.4000244140625,1534898,0.0,0.0,2025-09-24,1520.0157592773437,80.64185661834095,1600.6576158956846,1439.3739026590029,1681.2994725140256,1358.7320460406618,-27.615821025077043,42.35641007472986,335202299,4754027.251354144,5745657.967929647,1306.208210461982,75.86954207270111,1575.8333333333333,1595.6666666666665,1546.566691080729,1624.9333089192708,1526.7333577473958,1644.766642252604,1497.4667154947915,0.1293036342008136,-37.488179233935554,14.075127245373096,-0.6567656164612727,14.73189286183437,50.97681142841843,26.015983650479445,1606.12998046875,1520.0157592773437,1573.354423828125,1719.2745617675782,BDL.NS,2025-09-30 10:57:49.217297
5,2025-09-23 00:00:00+05:30,1625.0,1633.5,1570.9000244140625,1595.4000244140625,1691145,0.0,0.0,2025-09-23,1515.5459289550781,80.41276591783844,1595.9586948729166,1435.1331630372397,1676.371460790755,1354.7203971194012,29.415354412060672,67.33042654110645,336737197,5334944.499663595,5993565.647073523,1305.8315287125401,78.40890305651224,1599.933349609375,1628.9666748046875,1566.36669921875,1662.5333251953125,1537.3333740234375,1691.566650390625,1503.7667236328125,0.08433527555818207,-25.077705480805268,15.875198880053404,-4.339738831919865,20.21493771197327,55.53892946388553,27.863385036145157,1617.6387939453125,1515.5459289550781,1578.4936938476562,1719.2432482910156,BDL.NS,2025-09-30 10:57:49.217297
6,2025-09-22 00:00:00+05:30,1630.0,1654.0,1613.0999755859375,1627.699951171875,1575867,0.0,0.0,2025-09-22,1511.7802307128907,78.20969521538697,1589.9899259282777,1433.5705354975037,1668.1996211436647,1355.3608402821167,73.24702318918948,99.08472841188562,338428342,5071931.47173391,6158220.933926005,1305.3689060829672,81.67861860049116,1631.5999755859375,1650.0999755859375,1609.199951171875,1672.5,1590.699951171875,1691.0,1568.2999267578125,0.07922966877602196,-11.255036747844489,15.083242126271898,-9.393473259913183,24.47671538618508,61.203830039540435,29.444314454556146,1619.42919921875,1511.7802307128907,1583.7027026367186,1718.1232568359376,BDL.NS,2025-09-30 10:57:49.217297
7,2025-09-19 00:00:00+05:30,1609.0,1644.0999755859375,1606.0999755859375,1631.5999755859375,2081434,0.65,0.0,2025-09-19,1506.2445983886719,73.33959927391122,1579.5841976625832,1432.9049991147606,1652.9237969364942,1359.5653998408495,82.1259675763819,89.81523874438263,340004209,6715151.265751109,6429793.299474028,1304.888328575241,81.13148101605364,1627.2666422526042,1648.433308919271,1610.433308919271,1665.2666422526042,1589.2666422526042,1686.433308919271,1572.433308919271,0.0872642475073249,-5.586003765435609,10.659710130111307,-15.512652106459452,26.17236223657076,61.911850773448116,29.836986340833203,1614.6996337890625,1506.2445983886719,1588.9894213867187,1717.1360815429687,BDL.NS,2025-09-30 10:57:49.217297
8,2025-09-18 00:00:00+05:30,1626.3431935450562,1635.739423246942,1599.8538913760678,1609.5499267578125,1293234,0.0,0.0,2025-09-18,1500.6289184570312,67.28597249034671,1567.914890947378,1433.3429459666845,1635.2008634377246,1366.0569734763378,86.60289536675735,72.22349455307466,337922775,4115864.1526788613,6358453.807904757,1304.2436769388282,80.1544285874097,1615.0477471269407,1630.2416028778136,1594.3560710069396,1650.9332789978148,1579.1622152560667,1666.1271347486877,1558.4705391360656,0.041985026760384285,-12.239215580235212,4.450644637731557,-22.055742665602143,26.5063873033337,59.44905947551323,30.468249619687004,1601.5531494140625,1500.6289184570312,1596.0453930664062,1716.1758801269532,BDL.NS,2025-09-30 10:57:49.217297
9,2025-09-17 00:00:00+05:30,1606.4511568999658,1635.9392471547558,1606.4511568999658,1623.944091796875,2588895,0.0,0.0,2025-09-17,1496.5955505371094,62.67281847376235,1559.2683690108718,1433.922732063347,1621.9411874846342,1371.2499135895846,117.23101142602205,73.91648523902093,339216009,8313137.727879194,6919101.22171123,1303.8689254306848,79.24349715048396,1622.1114986171988,1637.7718403344318,1608.2837500796418,1651.5995888719888,1592.6234083624088,1667.2599305892218,1578.7956598248518,0.022575723769186283,-5.381166660733071,-1.3946790192533172,-28.682339491435563,27.287660472182246,61.87349073850745,31.322223652722695,1575.8435302734374,1496.5955505371094,1603.2304907226562,1714.9393798828125,BDL.NS,2025-09-30 10:57:49.217297
10,2025-09-16 00:00:00+05:30,1602.252922969481,1621.5450582179697,1586.7591804229953,1604.35205078125,2036289,0.0,0.0,2025-09-16,1492.8220764160155,56.57727132427955,1549.399347740295,1436.244805091736,1605.9766190645746,1379.6675337674565,144.96086217327885,52.510751251667244,336627114,6459792.299638133,6570592.09516924,1303.0804912024214,71.8448547589058,1604.2187631407385,1621.6783458584816,1586.8924680635073,1639.0046409357128,1569.4328853457641,1656.464223653456,1552.106590268533,-0.05757765839001345,-8.245423846825126,-10.27494027303942,-35.50425460948112,25.229314336441703,59.80111825028974,32.043323979178226,1550.2738525390625,1492.8220764160155,1609.6019189453125,1712.8302319335937,BDL.NS,2025-09-30 10:57:49.217297
