Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-10-14 00:00:00+05:30,248.5500030517578,255.0,242.5500030517578,250.14999389648438,59709,0.0,0.0,2025-10-14,254.45249862670897,5.397914605531895,259.85041323224084,249.05458402117708,265.24832783777276,243.65666941564518,-80.06670602326257,-105.9331987354597,12889341,90909.63252922944,79068.87180588582,279.316117014587,55.32105332500776,249.23333231608072,255.91666158040363,243.46666463216144,261.6833292643229,236.78333536783853,268.3666585286458,231.01666768391925,-0.1406540964688514,-61.45253492047526,-4.836214795114586,-5.01980604648106,0.18359125136647414,41.87124759937206,29.186510958678532,249.02999877929688,254.45249862670897,268.96799102783206,285.42640731811525,BHAGCHEM.NS,2025-10-14 10:58:06.486531
2,2025-10-13 00:00:00+05:30,253.35000610351562,253.35000610351562,243.60000610351562,244.8000030517578,29358,0.0,0.0,2025-10-13,254.92999954223632,5.419637145647401,260.34963668788373,249.5103623965889,265.76927383353114,244.09072525094152,-101.17703119004479,-124.73468125985691,12829632,43742.89205486912,76108.68162504991,279.33749798821293,53.89989642539458,247.25000508626303,250.90000406901044,241.15000406901044,257.00000508626306,237.50000508626303,260.65000406901044,231.40000406901044,-0.22460006737004284,-81.3780197210681,-4.9682165750278955,-5.065703859322678,0.09748728429478248,35.67666561455147,29.040061839603588,250.35999755859376,254.92999954223632,269.9907943725586,285.9208177185059,BHAGCHEM.NS,2025-10-14 10:58:06.486531
3,2025-10-10 00:00:00+05:30,248.10000610351562,255.0,248.0500030517578,252.0500030517578,55503,0.0,0.0,2025-10-10,256.0799987792969,5.594389448796041,261.67438822809294,250.48560933050084,267.268777676889,244.8912198817048,-41.434236571100506,-98.72929728214312,12858990,85147.67088310301,84200.12901759511,279.3499512420915,53.35771185537273,251.70000203450522,255.35000101725262,248.40000406901044,258.64999898274743,244.75000508626303,262.2999979654948,241.45000712076825,-0.12301176710565459,-54.376148316616856,-4.535049807405585,-5.090075680396373,0.5550258729907878,41.20171020767644,28.46267470234646,254.12999572753907,256.0799987792969,271.3124951171875,286.4632312011719,BHAGCHEM.NS,2025-10-14 10:58:06.486531
4,2025-10-09 00:00:00+05:30,248.1999969482422,255.9499969482422,245.60000610351562,249.9499969482422,37625,0.0,0.0,2025-10-09,256.739998626709,5.865971152347247,262.60596977905624,250.87402747436175,268.4719409314035,245.0080563220145,-63.22027165388363,-111.28867898895521,12803487,57239.9508696958,83963.24355121813,279.36857382747024,45.94962336568481,250.5,255.39999389648438,245.0500030517578,260.84999084472656,240.15000915527344,265.74998474121094,234.70001220703125,-0.14428314385071428,-62.19740276567777,-4.625767357837503,-5.228832148644069,0.6030647908065658,38.6461264367606,28.40880026875126,256.0399963378906,256.739998626709,272.4971920776367,286.94313919067383,BHAGCHEM.NS,2025-10-14 10:58:06.486531
5,2025-10-08 00:00:00+05:30,260.20001220703125,263.0,247.10000610351562,248.1999969482422,81600,0.0,0.0,2025-10-08,257.63499908447267,6.134845944946876,263.76984502941957,251.5001531395258,269.9046909743664,245.36530719457892,-37.59440901528585,-100.61202289714284,12765862,123271.17582009477,90644.06672159869,279.3821839092736,44.06004630956928,252.76666768391928,258.43332926432294,242.53333536783856,268.6666615804037,236.8666737874349,274.3333231608073,226.63334147135419,-0.15244493938741688,-68.71509586330393,-4.465007145425545,-5.379598346345711,0.9145912009201655,36.510825055034246,28.350781647956428,258.2999969482422,257.63499908447267,273.57496765136716,287.5235049438477,BHAGCHEM.NS,2025-10-14 10:58:06.486531
6,2025-10-07 00:00:00+05:30,264.0,264.0,255.5,256.79998779296875,26857,0.0,0.0,2025-10-07,258.5849998474121,6.067647347456013,264.6526471948681,252.5173524999561,270.72029454232415,246.4497051525001,60.11647581501026,-63.66043464498748,12847462,41978.03505232986,82487.28944697467,279.4135019990896,57.10133027249903,258.76666259765625,262.0333251953125,253.5333251953125,267.26666259765625,250.26666259765625,270.5333251953125,245.0333251953125,-0.11727908730247158,-36.68532388140535,-4.019185250058342,-5.608246146575751,1.5890608965174087,43.40406353667993,28.479020429220427,259.8299987792969,258.5849998474121,274.4758560180664,288.0494090270996,BHAGCHEM.NS,2025-10-14 10:58:06.486531
7,2025-10-06 00:00:00+05:30,264.0,266.6499938964844,258.5,263.6499938964844,40468,0.0,0.0,2025-10-06,259.04250106811526,6.267634213341126,265.3101352814564,252.77486685477413,271.5777694947975,246.507232641433,143.5338616964945,-39.3516536013315,12874319,64939.52607889003,92614.60304563586,279.4209796929117,53.48146866876926,262.93332926432294,267.36665852864587,259.2166646321615,271.0833231608073,254.78333536783856,275.51665242513025,251.06667073567712,-0.12885568961930224,-11.173188167359138,-4.234470175545198,-6.005511370705102,1.7710411951599045,50.44870917711495,29.871969336409837,257.39000244140624,259.04250106811526,275.39464385986327,288.47931869506834,BHAGCHEM.NS,2025-10-14 10:58:06.486531
8,2025-10-03 00:00:00+05:30,260.8999938964844,263.8500061035156,256.0,261.6000061035156,17748,0.0,0.0,2025-10-03,259.3775016784668,6.691580356946801,266.0690820354136,252.68592132151997,272.76066239236036,245.99434096457318,125.61936877105428,-57.78206437552261,12833851,28258.99924132016,99533.3722873223,279.42884162246,45.26959966783762,260.48333740234375,264.9666748046875,257.1166687011719,268.3333435058594,252.63333129882812,272.8166809082031,249.26666259765625,-0.12980276730933932,-19.25920232657105,-5.1205632922262225,-6.448271669495078,1.3277083772688556,48.10822395763955,31.921339933982953,254.64000244140624,259.3775016784668,276.3043630981445,288.874210357666,BHAGCHEM.NS,2025-10-14 10:58:06.486531
9,2025-10-01 00:00:00+05:30,243.5,263.1000061035156,243.4499969482422,261.25,107949,0.0,0.0,2025-10-01,259.70000076293945,6.954589859234568,266.654590622174,252.74541090370488,273.6091804814086,245.7908210444703,39.15898522995947,-86.90587673292107,12816103,171650.28569327018,117351.96554882282,279.4327403772743,35.09775096942093,255.93333435058594,268.4166717529297,248.76666259765625,275.5833435058594,236.2833251953125,288.0666809082031,229.1166534423828,-0.1510743463087531,-38.36208314022343,-5.975553965150823,-6.780198763812291,0.8046447986614682,47.71671355212391,33.53942240044726,252.54000244140624,259.70000076293945,277.06318450927733,289.20164840698243,BHAGCHEM.NS,2025-10-14 10:58:06.486531
10,2025-09-30 00:00:00+05:30,243.0,264.0,239.8000030517578,255.85000610351562,141620,0.0,0.0,2025-09-30,260.385001373291,7.7450694563145275,268.13007082960553,252.63993191697648,275.87514028592005,244.89486246066195,-29.304738580087683,-104.38798416603007,12708154,220536.069272889,103777.38551271096,279.45695677329854,27.86969796743533,253.21666971842447,266.6333363850911,242.43333943684894,277.41666666666663,229.01667277018228,290.8333333333333,218.23334248860675,-0.22673019168779343,-53.879305619925525,-6.945192120061847,-6.981359963477657,0.03616784341580992,41.38053091722944,35.121669252264084,251.34000244140626,260.385001373291,277.8040194702148,289.4961061096191,BHAGCHEM.NS,2025-10-14 10:58:06.486531
