Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-26 00:00:00+05:30,335.0,340.8999938964844,329.1000061035156,337.0,53205,0.0,0.0,2025-08-26,331.95249633789064,6.016630778765184,337.96912711665584,325.93586555912543,343.985757895421,319.9192347803603,-34.44033013660568,21.242071447580663,18259138,49849.85856841627,88908.21575447288,379.71027625391065,64.14476911908537,335.6666666666667,342.23332722981775,330.433339436849,347.46665445963544,323.86667887369794,354.0333150227865,318.63335164388025,-0.07241819125852358,-40.74074074074074,0.8004012784239762,-0.37230812426734816,1.1727094026913245,52.068241265003756,8.868456680649352,337.84999389648436,331.95249633789064,335.65699951171877,338.90299896240236,BOROLTD.NS,2025-08-26 10:57:56.453182
2,2025-08-25 00:00:00+05:30,341.1000061035156,344.8500061035156,331.6000061035156,334.29998779296875,59715,0.0,0.0,2025-08-25,331.43249664306643,6.006842315530991,337.43933895859743,325.4256543275354,343.44618127412843,319.4188120120044,28.367307013181783,37.6806355930917,18205933,55501.0730081625,98672.80505098702,379.7321645074925,67.38633454989271,336.9166666666667,342.23332722981775,328.98332722981775,350.1666666666667,323.6666666666667,355.48332722981775,315.73332722981775,-0.09859491988291358,-50.740785951967595,0.712985668542558,-0.6654854749401792,1.378471143482737,49.78282059700991,8.786680047091552,338.6599914550781,331.43249664306643,335.73399963378904,338.8699990844727,BOROLTD.NS,2025-08-26 10:57:56.453182
3,2025-08-22 00:00:00+05:30,337.0,344.79998779296875,335.6499938964844,343.79998779296875,101973,0.0,0.0,2025-08-22,331.21749725341795,5.975678705588529,337.19317595900645,325.24181854782944,343.168854664595,319.2661398422409,110.02938020512622,99.14956469245054,18265648,97470.37462366528,109465.73806169315,379.75831158401076,68.26043532352995,341.4166564941406,347.1833190917969,338.0333251953125,350.566650390625,332.26666259765625,356.33331298828125,328.8833312988281,-0.11030160040524933,-15.053810486892205,0.8561746782726232,-1.0101032608108633,1.8662779390834865,58.96916997402127,9.079122652028863,338.6699951171875,331.21749725341795,335.9679998779297,338.8679992675781,BOROLTD.NS,2025-08-26 10:57:56.453182
4,2025-08-21 00:00:00+05:30,337.8999938964844,339.8500061035156,335.70001220703125,337.25,41081,0.0,0.0,2025-08-21,331.0024978637695,5.562195101871225,336.56469296564075,325.4403027618983,342.12688806751197,319.87810766002707,71.95284138498347,40.023014185508025,18163675,38518.959499584744,112464.57892120011,379.7936858813545,64.3971707661947,337.6000061035156,339.5,335.3500061035156,341.75,333.45001220703125,343.6499938964844,331.20001220703125,-0.15428786307826206,-38.53047437890152,0.0909215971198023,-1.4766727455817348,1.567594342701537,53.47240633443857,9.502763885447061,336.3199951171875,331.0024978637695,336.2279998779297,338.7619995117187,BOROLTD.NS,2025-08-26 10:57:56.453182
5,2025-08-20 00:00:00+05:30,340.1000061035156,340.1000061035156,335.5,336.8999938964844,62006,0.0,0.0,2025-08-20,330.95499725341796,5.509844123893214,336.4648413773112,325.4451531295247,341.97468550120436,319.93530900563155,86.1859209670311,33.377492760262776,18122594,58078.62168213746,130950.98377660394,379.8105534101468,61.9053013587118,337.5,339.5,334.8999938964844,342.1000061035156,332.8999938964844,344.1000061035156,330.29998779296875,-0.16021867169614296,-39.78497681647993,-0.2451372862171297,-1.8685713312571188,1.6234340450399891,53.16105846836092,9.664067712672992,335.80999755859375,330.95499725341796,336.89399963378906,338.78149963378905,BOROLTD.NS,2025-08-26 10:57:56.453182
6,2025-08-19 00:00:00+05:30,334.95001220703125,345.0,324.79998779296875,341.04998779296875,270687,0.0,0.0,2025-08-19,331.0974975585938,5.705086486771094,336.8025840453649,325.39241107182266,342.507670532136,319.68732458505156,93.04201213080695,21.76628696589959,18184600,256665.2180358612,149169.07430022056,379.8362474979224,60.99527406191074,336.9499918619792,349.0999959309896,328.89998372395837,357.15000406901044,316.74997965494794,369.30000813802087,308.6999715169271,-0.10465120593054796,-24.91044346754143,-0.6372099935337587,-2.274429842517116,1.6372198489833574,57.38931902552932,9.837779526608609,335.2099975585937,331.0974975585938,337.565,338.81349975585937,BOROLTD.NS,2025-08-26 10:57:56.453182
7,2025-08-18 00:00:00+05:30,342.0,348.0,332.3999938964844,334.3500061035156,312181,0.0,0.0,2025-08-18,330.7249984741211,5.245788287572555,335.97078676169366,325.4792101865485,341.2165750492662,320.23342189897596,138.71881918461628,35.65827688454204,17913913,290194.6389309158,122295.0383663104,379.93789982721273,75.56111378900657,338.25,344.1000061035156,328.5,353.8500061035156,322.6499938964844,359.70001220703125,312.8999938964844,-0.23332791927579274,-48.9247200093631,-1.5382386920469457,-2.6837348047629552,1.1454961127160095,51.620732161848636,10.024853787770041,331.7200012207031,330.7249984741211,338.1620001220703,338.8829998779297,BOROLTD.NS,2025-08-26 10:57:56.453182
8,2025-08-14 00:00:00+05:30,335.3999938964844,341.0,326.1000061035156,332.04998779296875,57276,0.0,0.0,2025-08-14,330.6924987792969,5.224116657625861,335.91661543692277,325.468382121671,341.14073209454864,320.24426546404516,81.19700018391599,-30.434431001807024,17601732,52875.894953119125,80320.13822515904,380.0761108589873,64.814346082877,333.0499979654948,339.999989827474,325.0999959309896,347.9499918619792,318.15000406901044,354.89998372395837,310.20000203450525,-0.1373186285879554,-42.82303741981833,-2.0086751367571765,-2.9701088329419574,0.9614336961847809,49.43882393956833,10.206699279818853,329.60999755859376,330.6924987792969,338.87599975585937,338.9754998779297,BOROLTD.NS,2025-08-26 10:57:56.453182
9,2025-08-13 00:00:00+05:30,335.0,340.5,333.20001220703125,334.70001220703125,147860,0.0,0.0,2025-08-13,330.92749938964846,5.391428582659648,336.31892797230813,325.5360708069888,341.71035655496775,320.1446422243292,153.85163296106873,6.653373596898986,17659008,137590.3616410312,87181.199043169,380.10283960362915,62.74745141760914,336.1333414713542,339.0666707356771,331.76668294270837,343.43332926432294,328.83335367838544,346.36665852864587,324.4666951497396,-0.16450947709912916,-28.43132121705335,-2.354024915888999,-3.2104672569881525,0.8564423410991533,51.94525900600997,10.432824852287652,328.92999877929685,330.92749938964846,339.6209997558594,339.04649993896487,BOROLTD.NS,2025-08-26 10:57:56.453182
10,2025-08-12 00:00:00+05:30,327.8999938964844,340.0,323.6499938964844,333.8999938964844,91574,0.0,0.0,2025-08-12,331.08499908447266,5.551081754441139,336.6360808389138,325.5339173300315,342.1871625933549,319.9828355755904,107.49295308089947,-40.17706162748832,17511148,85010.03167897099,74578.90839370346,380.16816564940655,61.30652211918299,332.51666259765625,341.3833312988281,325.0333251953125,348.8666687011719,316.1666564941406,357.73333740234375,308.6833190917969,-0.14283703176761037,-42.25945055576482,-3.0214974933459757,-3.4245778422629405,0.40308034891696476,51.25247099590945,10.5131505683435,328.5199951171875,331.08499908447266,340.33499938964843,339.10999969482424,BOROLTD.NS,2025-08-26 10:57:56.453182
