Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-16 00:00:00+05:30,46.04999923706055,47.380001068115234,45.939998626708984,46.13999938964844,42468,0.0,0.0,2024-10-16,47.27949962615967,1.047254859094982,48.326754485254654,46.232244767064685,49.37400934434963,45.18498990796971,-46.227093849711956,-107.10466075391312,36729562,57294.545332377784,75944.52017053126,54.41024176685707,37.89404761385677,46.48666636149088,47.03333409627278,45.59333165486653,47.92666880289713,45.04666392008463,48.47333653767903,44.15332921346028,-0.32234691732341747,-62.80376763852346,-0.5921034959173141,-0.5865907634566194,-0.005512732460694725,43.44216458512294,12.282414781350491,47.05799942016601,47.27949962615967,48.40559982299805,50.844599876403805,BRNL.NS,2024-10-16 10:47:17.712795
2,2024-10-15 00:00:00+05:30,47.970001220703125,47.970001220703125,45.060001373291016,46.029998779296875,48822,0.0,0.0,2024-10-15,47.437499618530275,1.1031722200550442,48.54067183858532,46.33432739847523,49.64384405864036,45.23115517842019,-71.44958871836111,-118.79974813311733,36687094,65709.84065117549,80607.01388006963,54.41385309146626,32.24524324137528,46.35333379109701,47.646666208903,44.73666636149089,49.26333363850912,43.4433339436849,50.55666605631511,41.82666651407878,-0.32176938627054447,-64.8598543997376,-0.5623615212539477,-0.5852125803414456,0.02285105908749796,42.92729918519266,11.394539936035422,47.22799987792969,47.437499618530275,48.46799980163574,51.02119987487793,BRNL.NS,2024-10-16 10:47:17.712795
3,2024-10-14 00:00:00+05:30,47.689998626708984,48.470001220703125,46.599998474121094,46.689998626708984,36658,0.0,0.0,2024-10-14,47.633499717712404,1.1851287428520851,48.81862846056449,46.44837097486032,50.003757203416576,45.26324223200823,3.2381312804350206,-80.64067555278297,36735916,50045.670510996526,84331.30718729316,54.418063883959384,41.82723644817759,47.2533327738444,47.906667073567704,46.03666432698567,49.12333552042643,45.38333002726237,49.776669820149735,44.16666158040364,-0.29456946133148154,-56.506900094779546,-0.5049287584116229,-0.5909253451133201,0.08599658670169719,45.22083803512669,10.438367025696115,47.322000122070314,47.633499717712404,48.55279983520508,51.20039989471436,BRNL.NS,2024-10-16 10:47:17.712795
4,2024-10-11 00:00:00+05:30,49.25,49.25,47.31999969482422,47.689998626708984,47534,0.0,0.0,2024-10-11,47.743499755859375,1.1950042843912012,48.93850404025058,46.54849547146817,50.13350832464178,45.35349118707697,85.9787922777768,-36.014667365619935,36772574,66283.51883484423,92902.71635636732,54.42097934946879,47.259803132872264,48.086666107177734,48.85333251953125,46.92333221435547,50.016666412353516,46.15666580200195,50.78333282470703,44.99333190917969,-0.279193215746185,-39.38361287094501,-0.4887469673448237,-0.6124244917887444,0.12367752444392066,48.89637303528398,10.348826114655512,46.90800018310547,47.743499755859375,48.64499984741211,51.34549991607666,BRNL.NS,2024-10-16 10:47:17.712795
5,2024-10-10 00:00:00+05:30,48.25,49.27000045776367,47.5099983215332,48.7400016784668,81360,0.0,0.0,2024-10-10,47.78999977111816,1.2108025385739374,49.0008023096921,46.579197232544225,50.211604848266035,45.36839469397029,140.84314580201251,-12.815570671104066,36820108,115949.89614319614,99557.5157367481,54.42427365269167,52.548319305646636,48.506666819254555,49.50333531697591,47.74333318074544,50.266668955485024,46.746664683024086,51.263337453206375,45.98333104451497,-0.27843400613233343,-21.404109029793176,-0.5591089626101322,-0.6433438728997245,0.08423491028959229,53.10480583961964,10.76152379357052,46.704000091552736,47.78999977111816,48.72319984436035,51.45159992218018,BRNL.NS,2024-10-16 10:47:17.712795
6,2024-10-09 00:00:00+05:30,47.0,49.5,46.54999923706055,46.9900016784668,90100,0.0,0.0,2024-10-09,47.771999740600585,1.1985502392791099,48.97054997987969,46.57344950132148,50.16910021915881,45.37489926204236,58.94600780257763,-51.98393479754981,36738748,123795.29405793987,95459.42063513608,54.429039395657405,44.10115809394305,47.68000030517578,48.810001373291016,45.86000061035156,50.630001068115234,44.72999954223633,51.76000213623047,42.90999984741211,-0.35454452813152154,-51.36986167150362,-0.7441316819091313,-0.6644026004721225,-0.07972908143700874,45.898415117135,11.342569563601534,46.46800003051758,47.771999740600585,48.76859977722168,51.51969989776612,BRNL.NS,2024-10-16 10:47:17.712795
7,2024-10-08 00:00:00+05:30,45.400001525878906,47.189998626708984,44.150001525878906,46.5,40912,0.0,0.0,2024-10-08,47.91449966430664,1.2680883045608953,49.18258796886754,46.64641135974574,50.45067627342843,45.37832305518485,-124.94393078968835,-138.49311748655856,36648648,55625.96367136718,88375.45227943512,54.43595276558575,36.281067555065235,45.9466667175293,47.74333190917969,44.70333480834961,48.986663818359375,42.90666961669922,50.783329010009766,41.66333770751953,-0.2501956451533808,-59.76030115205161,-0.7973936228008895,-0.6444703301128702,-0.1529232926880193,43.646868898149684,11.968311162096473,46.58999938964844,47.91449966430664,48.83679977416992,51.57929988861084,BRNL.NS,2024-10-16 10:47:17.712795
8,2024-10-07 00:00:00+05:30,46.65999984741211,47.290000915527344,44.33000183105469,44.619998931884766,72543,0.0,0.0,2024-10-07,47.96349964141846,1.228882078958775,49.192381720377234,46.73461756245968,50.42126379933601,45.50573548350091,-215.8713044487142,-174.81457370186132,36607736,94645.27807915496,96562.8244314521,54.43930304736013,31.077181657461722,45.413333892822266,46.496665954589844,43.53666687011719,48.37333297729492,42.45333480834961,49.4566650390625,40.57666778564453,-0.23681031971524205,-95.65221618530168,-0.8052455845057196,-0.6062395069408655,-0.1990060775648541,33.83700132144874,10.707681913188878,46.69599914550781,47.96349964141846,48.916799774169924,51.61879989624023,BRNL.NS,2024-10-16 10:47:17.712795
9,2024-10-04 00:00:00+05:30,46.560001373291016,48.4900016784668,46.5,46.66999816894531,52012,0.0,0.0,2024-10-04,48.074499702453615,0.9875462934249273,49.06204599587854,47.08695340902869,50.04959228930347,46.09940711560376,-71.31883731582487,-89.50895446304645,36680279,70976.60498866465,97042.21101952638,54.44665889948495,41.18648434758627,47.21999994913737,47.939999898274735,45.94999821980794,49.210001627604164,45.22999827067057,49.93000157674153,43.95999654134114,-0.2222068079197238,-86.60003662109375,-0.6179461638512294,-0.556487987549652,-0.06145817630157735,41.07733702728853,9.448990058239172,47.22799911499023,48.074499702453615,49.0397998046875,51.68709991455078,BRNL.NS,2024-10-16 10:47:17.712795
10,2024-10-03 00:00:00+05:30,46.0,48.52000045776367,46.0,47.560001373291016,88252,0.0,0.0,2024-10-03,48.148999786376955,0.9305738585624989,49.07957364493945,47.21842592781446,50.010147503501955,46.287852069251954,-67.1922199501861,-85.13839054093059,36732291,122727.05109831489,103558.61252724181,54.450838038317755,47.41644048614344,47.36000061035156,48.720001220703125,46.20000076293945,49.880001068115234,44.84000015258789,51.2400016784668,43.68000030517578,-0.19052070308339933,-68.79997253417969,-0.5706771916048226,-0.5411234434742577,-0.029553748130564883,44.95525640779504,9.503955209150936,47.2859992980957,48.148999786376955,49.142399826049804,51.745399932861325,BRNL.NS,2024-10-16 10:47:17.712795
