Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-14 00:00:00+05:30,270.04998779296875,285.8999938964844,268.79998779296875,284.1000061035156,62315,0.0,0.0,2025-01-14,298.4974990844727,14.132786859550173,312.63028594402283,284.3647122249225,326.76307280357304,270.2319253653723,-87.82277659187262,-63.70454917628163,533496,45686.946787975736,48573.43497547635,292.173513713573,49.82572778007206,279.59999593098956,290.4000040690104,273.29999796549475,296.7000020345052,262.49998982747394,307.500010172526,256.19999186197913,-0.18149852234021627,-71.85384108399724,-2.742435071611453,0.9373229026699967,-3.6797579742814497,42.82690170506211,19.7238834925095,284.22999877929686,298.4974990844727,292.93499938964845,300.2664993286133,CAMPUS.BO,2025-01-14 11:12:55.823784
2,2025-01-13 00:00:00+05:30,279.20001220703125,281.25,263.29998779296875,271.8500061035156,78844,0.0,0.0,2025-01-13,299.2824981689453,13.721020802477943,313.00351897142326,285.5614773664674,326.7245397739012,271.84045656398945,-149.13866068563266,-102.31442654228701,471181,55312.88227413062,49295.057022351495,292.18379250646626,47.87704511764582,272.1333312988281,280.9666748046875,263.01666259765625,290.0833435058594,254.18331909179688,298.91668701171875,245.066650390625,-0.20733608173385704,-88.43029027616954,-2.101679515345552,1.8572623962403592,-3.958941911585911,33.51579567664842,19.74458117199149,287.75999755859374,299.2824981689453,292.89299926757815,300.2124993896484,CAMPUS.BO,2025-01-14 11:12:55.823784
3,2025-01-10 00:00:00+05:30,286.75,288.5,277.5,283.6499938964844,33719,0.0,0.0,2025-01-10,300.2874984741211,12.26480854136911,312.5523070154902,288.022689932752,324.81711555685933,275.75788139138285,-135.9992285872084,-47.31667131004694,550025,24682.30746889179,47790.60070940672,292.2166000952151,52.00479277113857,283.21666463216144,288.9333292643229,277.9333292643229,294.21666463216144,272.21666463216144,299.9333292643229,266.9333292643229,-0.21217580913485612,-89.69850479233227,-0.043035212014956414,2.8469978741368367,-2.890033086151793,39.230513210360215,19.26012790354184,293.4699951171875,300.2874984741211,293.1209991455078,300.3464993286133,CAMPUS.BO,2025-01-14 11:12:55.823784
4,2025-01-09 00:00:00+05:30,290.1000061035156,295.70001220703125,284.45001220703125,286.75,42051,0.0,0.0,2025-01-09,300.9024993896484,11.681131318220459,312.5836307078689,289.22136807142795,324.26476202608933,277.5402367532075,-149.2911579633199,-18.793157799272162,583744,31117.74000000004,53567.674019535436,292.2225153120729,52.498625011529356,288.9666748046875,293.48333740234375,282.23333740234375,300.2166748046875,277.7166748046875,304.73333740234375,270.98333740234375,-0.2271323697460245,-87.13297225273394,1.4311853666085312,3.5695061456747847,-2.1383207790662535,40.93312296865426,19.79296817019,298.30999755859375,300.9024993896484,293.13799926757815,300.36499938964846,CAMPUS.BO,2025-01-14 11:12:55.823784
5,2025-01-08 00:00:00+05:30,298.6000061035156,302.5,288.45001220703125,294.79998779296875,25315,0.0,0.0,2025-01-08,301.84749908447264,11.231798668467567,313.0792977529402,290.6157004160051,324.3110964214078,279.3839017475375,-130.5597142518445,11.980493737393992,625795,19258.997912203904,59180.15752441928,292.22723186416704,53.245519487472116,295.25,302.04998779296875,288.0,309.29998779296875,281.20001220703125,316.0999755859375,273.95001220703125,-0.18850369713741708,-73.22971767826158,2.9916461825816896,4.104086340441348,-1.112440157859658,45.717471805946154,20.98717441261927,303.35999755859376,301.84749908447264,293.1309991455078,300.4134994506836,CAMPUS.BO,2025-01-14 11:12:55.823784
6,2025-01-07 00:00:00+05:30,297.5,306.0,297.29998779296875,301.75,52216,0.0,0.0,2025-01-07,302.04749908447263,11.134896863178389,313.182395947651,290.91260222129426,324.31729281082943,279.77770535811584,-71.2238892591156,43.535958400790506,651110,40661.10451612908,69160.44742747312,292.22589630469326,53.744592855019604,301.68332926432294,306.0666707356771,297.36665852864587,310.3833414713542,292.9833170572917,314.76668294270837,288.6666463216146,-0.17470496952231662,-61.22624742524514,4.151379093382445,4.3821963799062615,-0.23081728652381628,50.444233718355335,22.54913304877816,308.44000244140625,302.04749908447263,292.99699951171874,300.40449951171877,CAMPUS.BO,2025-01-14 11:12:55.823784
7,2025-01-06 00:00:00+05:30,312.79998779296875,317.8500061035156,298.8500061035156,300.3999938964844,131235,0.0,0.0,2025-01-06,302.0499984741211,11.134832180603746,313.1848306547248,290.91516629351736,324.3196628353286,279.7803341129136,-22.03117483677077,61.72876686123803,598894,101736.75664259399,76285.28315530912,292.21568738705287,54.903452578258786,305.7000020345052,312.54999796549475,293.54999796549475,324.7000020345052,286.7000020345052,331.54999796549475,274.54999796549475,-0.17941952151722917,-63.557863201192454,4.888818071012395,4.439900701537216,0.44891736947517913,49.502527488205104,23.31073321577168,312.6600036621094,302.0499984741211,292.71299926757814,300.3574993896484,CAMPUS.BO,2025-01-14 11:12:55.823784
8,2025-01-03 00:00:00+05:30,312.04998779296875,315.54998779296875,305.54998779296875,307.8500061035156,66551,0.0,0.0,2025-01-03,302.1199981689453,11.128312060976265,313.2483102299216,290.99168610796903,324.37662229089784,279.86337404699276,15.841740628309052,83.0856860200252,730129,52871.55033856798,69922.4147834879,292.1935790984255,64.51902821536049,309.6499938964844,313.75,303.75,319.6499938964844,299.6499938964844,323.75,293.75,-0.09617953418498162,-50.69083545392638,5.891845574218053,4.32767135916842,1.5641742150496327,54.843008008383514,23.960117393916672,316.4800048828125,302.1199981689453,292.6239996337891,300.3654995727539,CAMPUS.BO,2025-01-14 11:12:55.823784
9,2025-01-02 00:00:00+05:30,321.0,321.1499938964844,311.0,312.0,60826,0.0,0.0,2025-01-02,301.48499755859376,11.146466776346807,312.6314643349406,290.33853078224695,323.7779311112874,279.19206400590014,49.942716501050874,113.6307617800226,796680,48974.74064516134,74185.13089471788,292.17210246814943,65.6702298594077,314.71666463216144,318.4333292643229,308.2833353678385,324.8666585286458,304.56667073567706,328.58332316080725,298.13334147135413,-0.0775400983619873,-43.5233187931278,6.353041015141628,3.9366278054060118,2.416413209735616,58.08430557997253,23.90032911422865,318.07000122070315,301.48499755859376,292.50099975585937,300.21949951171877,CAMPUS.BO,2025-01-14 11:12:55.823784
10,2025-01-01 00:00:00+05:30,320.20001220703125,327.3999938964844,314.8500061035156,320.20001220703125,80926,0.0,0.0,2025-01-01,300.76749725341796,10.892963816188171,311.66046106960613,289.8745334372298,322.5534248857943,278.9815696210416,92.50590810007601,150.88918778142306,857506,66870.98371062256,80487.728457107,292.1472121953862,69.10189747209765,320.81667073567706,326.7833353678385,314.23334757486975,333.3666585286458,308.2666829427083,339.33332316080725,301.683359781901,-0.03615794905237168,-29.360954804487296,6.438541218410592,3.332524502972107,3.106016715438485,65.14887377615315,23.170077547720684,316.22999877929686,300.76749725341796,292.3089996337891,300.03949951171876,CAMPUS.BO,2025-01-14 11:12:55.823784
11,2024-12-31 00:00:00+05:30,317.95001220703125,323.95001220703125,308.25,322.8500061035156,123481,0.0,0.0,2024-12-31,299.61999664306643,9.901864656414705,309.52186129948115,289.7181319866517,319.42372595589586,279.816267330237,108.50506679670826,148.70668376180078,938432,102879.59123527294,83891.91464372812,292.10028182736227,68.51273764577985,318.3500061035156,328.45001220703125,312.75,334.0500183105469,302.6499938964844,344.1500244140625,297.04998779296875,3.191842989220869e-05,-24.78411062643759,5.642876773139619,2.5560203241124855,3.0868564490271337,67.61677994379315,21.89428321232991,311.1199951171875,299.61999664306643,292.0309991455078,299.9404992675781,CAMPUS.BO,2025-01-14 11:12:55.823784
