Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-20 00:00:00+05:30,246.0,262.0,240.5,246.24000549316406,440519,0.0,0.0,2024-09-20,244.81301193237306,6.870308929523276,251.68332086189633,237.94270300284978,258.5536297914196,231.0723940733265,96.04979760815878,-47.88866516417359,17330869,374226.417635646,282600.6515083707,238.3943258623321,58.67894823320358,249.5800018310547,258.6600036621094,237.16000366210938,271.0800018310547,228.0800018310547,280.1600036621094,215.66000366210938,-0.1464390360736463,-54.122215321043754,-4.134886287119201,-5.532183815121366,1.3972975280021647,46.883032764783025,26.877096726568176,247.31400146484376,244.81301193237306,263.08163177490235,242.87020736694336,CANTABIL.NS,2024-09-20 10:45:40.717503
2,2024-09-19 00:00:00+05:30,244.5,247.0500030517578,238.02000427246094,245.36000061035156,127461,0.0,0.0,2024-09-19,245.47496490478517,7.612714145089918,253.08767904987508,237.86225075969526,260.700393194965,230.24953661460532,32.55836592492855,-78.44841019130973,16890350,107892.75204150428,259694.20997655185,238.3536513284986,50.95396731393399,243.47666931152344,248.93333435058594,239.90333557128906,252.5066680908203,234.44667053222656,257.9633331298828,230.8733367919922,-0.13711989621884477,-56.96736455176517,-4.632771927984464,-5.8815081971219065,1.2487362691374422,46.0082534120968,26.266823328132848,245.30800170898436,245.47496490478517,263.407490234375,242.51707275390626,CANTABIL.NS,2024-09-20 10:45:40.717503
3,2024-09-18 00:00:00+05:30,248.14999389648438,250.5,239.9499969482422,242.77999877929688,191432,0.0,0.0,2024-09-18,246.18590774536133,8.239547411355389,254.42545515671674,237.94636033400593,262.6650025680721,229.70681292265056,54.203194840510726,-78.19936414690436,16762889,160338.79927278447,297644.5744603137,238.34312569059142,50.611368768255474,244.40999857584634,248.8700002034505,238.3199971516927,254.96000162760416,233.85999552408853,259.4200032552083,227.76999409993488,-0.1978226814295543,-65.30878443278316,-5.113355761118584,-6.193692264406267,1.0803365032876835,43.47390336221938,27.098175738634577,243.21600036621095,246.18590774536133,263.747356262207,242.23261795043945,CANTABIL.NS,2024-09-20 10:45:40.717503
4,2024-09-17 00:00:00+05:30,253.0,254.25,240.5500030517578,249.19000244140625,328511,0.0,0.0,2024-09-17,247.28532943725585,9.175046659655498,256.4603760969114,238.11028277760036,265.63542275656687,228.93523611794487,122.69862839853073,-65.7531115940969,16954321,282417.57263713883,331971.01825719606,238.33309220428185,49.77069865847322,247.99666849772134,255.44333394368488,241.7433369954427,261.6966654459635,234.29667154947916,269.14333089192706,228.0433400472005,-0.19240157495250423,-44.584561937693046,-5.397082522283114,-6.463776390228187,1.066693867945073,48.75347163259283,27.665770239443336,241.9740020751953,247.28532943725585,264.0703598022461,241.99242599487306,CANTABIL.NS,2024-09-20 10:45:40.717503
5,2024-09-16 00:00:00+05:30,237.85000610351562,262.9800109863281,237.82000732421875,253.0,1440846,0.0,0.0,2024-09-16,248.02932205200196,9.911370803743765,257.94069285574574,238.11795124825818,267.8520636594895,228.20658044451443,201.1595592008107,-53.9209793182149,17282832,1257619.526213123,344359.37966221035,238.2907956363724,52.49711289101346,251.26667277018228,264.7133382161458,239.55333455403644,276.42667643229163,226.1066691080729,289.8733418782552,214.39333089192706,-0.22861917213216948,-32.26643526066968,-6.309853016219932,-6.730449857214454,0.42059684099452177,52.25605652491186,28.177876644496493,240.18600158691407,248.02932205200196,264.21446502685546,241.66617813110352,CANTABIL.NS,2024-09-20 10:45:40.717503
6,2024-09-13 00:00:00+05:30,235.9499969482422,237.72000122070312,234.0,236.2100067138672,104554,0.0,0.0,2024-09-13,248.4106590270996,10.253495122590795,258.6641541496904,238.1571639045088,268.9176492722812,227.90366878191801,-93.51053195993653,-127.69796606125334,15841986,85202.06681884389,116044.34302448214,238.03508979712424,12.138532942883359,235.97666931152344,237.95333862304688,234.23333740234375,239.69667053222656,232.2566680908203,241.67333984375,230.51333618164062,-0.427474070484352,-84.83358955441928,-7.758099044285103,-6.835599067463085,-0.9224999768220181,32.37552008116063,28.729375849938354,236.71000061035156,248.4106590270996,264.2596157836914,241.26690048217773,CANTABIL.NS,2024-09-20 10:45:40.717503
7,2024-09-12 00:00:00+05:30,238.0,239.0500030517578,233.82000732421875,234.89999389648438,130026,0.0,0.0,2024-09-12,249.8111358642578,10.410994403622945,260.22213026788074,239.40014146063487,270.6331246715037,228.9891470570119,-103.40427852796316,-136.12772842526508,15737432,105371.79866698183,123754.91207589168,238.03739497999098,6.823623133253378,235.92333475748697,238.0266621907552,232.79666646321613,241.15333048502603,230.6933390299479,243.25665791829425,227.56667073567706,-0.5071730654690035,-90.46001682494946,-7.841185922578404,-6.60497407325758,-1.2362118493208243,30.271968666049034,28.657121530662025,237.2239990234375,249.8111358642578,264.78707214355467,241.04350677490234,CANTABIL.NS,2024-09-20 10:45:40.717503
8,2024-09-11 00:00:00+05:30,240.8000030517578,246.38999938964844,233.00999450683594,236.57000732421875,183122,0.0,0.0,2024-09-11,251.1299087524414,10.088274664042139,261.21818341648355,241.04163408839926,271.30645808052566,230.95335942435713,-71.90929347227943,-131.14404903172692,15867458,149455.32442675138,128350.69042811914,238.0423308651671,6.619038080673263,238.65666707356772,244.3033396402995,230.923334757487,252.03667195638022,225.27666219075522,257.683344523112,217.5433298746745,-0.42202989205943764,-86.41309064914168,-7.699740043490806,-6.295921110927374,-1.403818932563432,31.429263154576105,28.57930918682598,238.28200073242186,251.1299087524414,265.33494079589843,240.81824325561524,CANTABIL.NS,2024-09-20 10:45:40.717503
9,2024-09-10 00:00:00+05:30,235.5800018310547,242.9600067138672,235.5800018310547,240.25,137954,0.0,0.0,2024-09-10,252.76687469482422,10.25619136867289,263.02306606349714,242.51068332615134,273.27925743217,232.25449195747845,-70.5459634492665,-134.23256953040598,16050580,114342.81481182024,123074.53192846107,238.0456002941164,6.146541025390064,239.59666951497397,243.61333719889325,236.23333231608075,246.97667439778647,232.21666463216147,250.99334208170575,228.85332743326825,-0.4314496367273255,-77.29264186114159,-7.5664547473374455,-5.944966377786516,-1.6214883695509297,34.096487360395244,28.49551127807947,239.40599975585937,252.76687469482422,265.9314440917969,240.5283757019043,CANTABIL.NS,2024-09-20 10:45:40.717503
10,2024-09-09 00:00:00+05:30,237.60000610351562,240.0,232.0500030517578,235.6199951171875,132269,0.0,0.0,2024-09-09,254.7213333129883,11.405484479150735,266.12681779213904,243.31584883383755,277.5323022712898,231.91036435468683,-128.95966216410483,-162.43999362091574,15912626,107518.05469826542,125257.46120762128,238.04190643869,12.48180490993613,235.88999938964844,239.72999572753906,231.77999877929688,243.83999633789062,227.94000244140625,247.67999267578125,223.8300018310547,-0.4531765502297829,-90.63181928402875,-7.643589446129596,-5.539594285398783,-2.103995160730813,26.843318089155105,27.657394823879194,240.0019989013672,254.7213333129883,266.0850888061523,240.16428329467774,CANTABIL.NS,2024-09-20 10:45:40.717503
