Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-05 00:00:00+05:30,3073.949951171875,3073.949951171875,2947.050048828125,2965.449951171875,3953,0.0,0.0,2025-02-05,2971.745007324219,79.01586820071792,3050.7608755249366,2892.729139123501,3129.776743725655,2813.713270922783,86.28814079973407,-44.95276971135959,1306388,7542.394182583736,7855.510344189988,2416.8994455121506,43.197831997330155,2995.4833170572915,3043.916585286458,2917.016682942708,3122.3832194010415,2868.5834147135415,3170.816487630208,2790.116780598958,0.19047021957867916,-41.18298070287855,-28.58461340023223,-38.60559378294704,10.02098038271481,48.015578807240715,31.723861472005712,2959.710009765625,2971.745007324219,3071.862001953125,2994.7859936523437,CEATLTD.BO,2025-02-05 11:02:57.036380
2,2025-02-04 00:00:00+05:30,3000.25,3096.0,3000.25,3054.75,2158,0.0,0.0,2025-02-04,2979.0625122070314,84.95556438740003,3064.0180765944315,2894.1069478196314,3148.9736409818315,2809.1513834322313,198.66774208124843,-7.770216054385161,1310341,4241.49468035141,7933.78938459155,2416.5544481032866,50.245835866064525,3050.3333333333335,3100.416666666667,3004.666666666667,3146.0833333333335,2954.5833333333335,3196.166666666667,2908.916666666667,0.23444078644717545,-13.012618296529968,-31.34929158540399,-41.11083887862574,9.761547293221753,54.38809070969327,32.78524680222195,2947.230029296875,2979.0625122070314,3071.9900048828126,2993.6904931640624,CEATLTD.BO,2025-02-05 11:02:57.036380
3,2025-02-03 00:00:00+05:30,2904.0,3060.89990234375,2904.0,3002.10009765625,5149,0.0,0.0,2025-02-03,2982.4050170898436,89.29443642912389,3071.6994535189674,2893.1105806607197,3160.9938899480912,2803.816144231596,183.2812814540017,-53.44294993135884,1308183,9945.803470047716,8856.863060651584,2416.3352550690447,27.802763035497335,2989.0,3074.0,2917.10009765625,3145.89990234375,2832.10009765625,3230.89990234375,2760.2001953125,0.229935826564817,-27.435312054569348,-43.20862995577454,-43.55122570193118,0.3425957461566398,50.814295908007615,34.54496410986434,2922.0900390625,2982.4050170898436,3069.4820068359377,2991.5794921875,CEATLTD.BO,2025-02-05 11:02:57.036380
4,2025-02-01 00:00:00+05:30,2889.85009765625,2952.050048828125,2875.5,2917.89990234375,5309,0.0,0.0,2025-02-01,2989.347509765625,96.04852583876426,3085.3960356043895,2893.2989839268607,3181.444561443154,2797.2504580880964,11.04079962127614,-105.03403999178441,1303034,9967.24027375339,8584.627958302548,2415.8548320859745,26.176210521618188,2915.1499837239585,2954.799967447917,2878.249918619792,2991.7000325520835,2838.5999348958335,3031.350016276042,2801.699869791667,0.24423033967324587,-54.82194685205846,-52.55228294223116,-43.63687463847034,-8.91540830376082,44.33778877015605,35.9018942206313,2889.380029296875,2989.347509765625,3067.6600048828127,2990.0619921875,CEATLTD.BO,2025-02-05 11:02:57.036380
5,2025-01-31 00:00:00+05:30,2888.75,2922.550048828125,2850.14990234375,2858.35009765625,2766,0.0,0.0,2025-01-31,2996.872509765625,96.05181569455976,3092.924325460185,2900.820694071065,3188.9761411547447,2804.7688783765057,-75.22971462591373,-138.09689413250862,1297725,5086.97273305057,8238.974879439837,2415.429918682878,21.178310057787343,2877.0166829427085,2903.883463541667,2831.483317057292,2949.4168294270835,2804.6165364583335,2976.283610026042,2759.083170572917,0.21858678566311873,-74.19088949150927,-55.42629998589882,-41.408022562530135,-14.018277423368687,39.068807899847606,35.34496618181367,2881.9400390625,2996.872509765625,3066.2400048828126,2989.4754931640623,CEATLTD.BO,2025-02-05 11:02:57.036380
6,2025-01-30 00:00:00+05:30,2951.0,2962.39990234375,2882.550048828125,2903.050048828125,2893,0.0,0.0,2025-01-30,3012.847509765625,98.34244434314921,3111.189954108774,2914.505065422476,3209.5323984519237,2816.1626210793265,-27.868917108011743,-122.23078976385277,1300491,5403.744041255287,9026.975416037154,2415.2345233490078,20.1257157502435,2916.0,2949.449951171875,2869.60009765625,2995.849853515625,2836.150146484375,3029.2998046875,2789.750244140625,0.22386994829940787,-61.33103804651,-52.401366800070264,-37.903453206687956,-14.497913593382307,41.82862859244664,34.08607700773653,2900.330029296875,3012.847509765625,3064.157001953125,2989.7969921875,CEATLTD.BO,2025-02-05 11:02:57.036380
7,2025-01-29 00:00:00+05:30,2826.14990234375,2960.0,2826.14990234375,2929.050048828125,3047,0.0,0.0,2025-01-29,3026.922509765625,101.88168003814688,3128.804189803772,2925.040829727478,3230.6858698419187,2823.159149689331,-51.906459261381755,-139.38607300246198,1303384,5742.3685125499205,9932.78325973262,2415.0093375334195,16.7839433993652,2905.066650390625,2983.9833984375,2850.13330078125,3038.916748046875,2771.216552734375,3117.83349609375,2716.283203125,0.19910373899133998,-55.99705312958211,-52.13684349120058,-34.27897480834238,-17.857868682858197,43.48783189878326,32.971867308429786,2914.2900390625,3026.922509765625,3062.63,2989.734992675781,CEATLTD.BO,2025-02-05 11:02:57.036380
8,2025-01-28 00:00:00+05:30,2934.64990234375,2934.64990234375,2779.0,2838.550048828125,2921,0.0,0.0,2025-01-28,3040.400012207031,105.99875171889904,3146.3987639259303,2934.401260488132,3252.397515644829,2828.402508769233,-129.16845962807034,-194.69586723714684,1300337,5334.821906207686,10980.386946528293,2414.7592925466265,13.412612582403085,2850.7333170572915,2922.466634114583,2766.816731770833,3006.3832194010415,2695.0834147135415,3078.116536458333,2611.166829427083,0.17438033191555133,-83.02933445396393,-53.56882738376635,-29.814507637627834,-23.754319746138513,35.17697465408621,31.720611363926402,2898.57001953125,3040.400012207031,3059.2169970703126,2988.922492675781,CEATLTD.BO,2025-02-05 11:02:57.036380
9,2025-01-27 00:00:00+05:30,2948.64990234375,2948.64990234375,2861.300048828125,2880.699951171875,4878,0.0,0.0,2025-01-27,3060.1175048828127,103.11367809403534,3163.2311829768482,2957.003826788777,3266.3448610708833,2853.890148694742,-107.54511943281369,-176.46299789756938,1303258,9041.315701705102,12391.778206608444,2414.5615802032135,16.28172884996529,2896.88330078125,2932.466552734375,2845.11669921875,2984.233154296875,2809.533447265625,3019.81640625,2757.766845703125,0.19197427877807555,-85.19691131070357,-45.67767301313006,-23.875927701093204,-21.801745312036857,37.566248895826156,29.843984247732426,2922.889990234375,3060.1175048828127,3058.0349951171875,2988.533991699219,CEATLTD.BO,2025-02-05 11:02:57.036380
10,2025-01-24 00:00:00+05:30,2970.0,2970.5,2895.050048828125,2950.300048828125,4720,0.0,0.0,2025-01-24,3078.060009765625,101.45854512771076,3179.518554893336,2976.6014646379144,3280.9771000210467,2875.1429195102037,-79.80634833463894,-150.73967060283,1308136,8959.83470996489,13229.393832834277,2414.198129187152,21.881823509100897,2938.61669921875,2982.183349609375,2906.7333984375,3014.066650390625,2863.166748046875,3057.63330078125,2831.283447265625,0.21017616267633804,-64.57677943024412,-39.03364495104688,-18.42549137308399,-20.60815357796289,41.933359035699795,28.36772967157917,2949.72998046875,3078.060009765625,3054.41099609375,2987.274992675781,CEATLTD.BO,2025-02-05 11:02:57.036380
