Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-11-27 00:00:00+05:30,56.09000015258789,56.83000183105469,55.81999969482422,56.349998474121094,320115,0.0,0.0,2024-11-27,54.65900020599365,2.5307471316008696,57.18974733759452,52.12825307439278,59.72049446919539,49.59750594279191,97.17966646059301,12.767346902853948,172632744,706007.0567586664,1185279.565536735,46.85912997050345,76.29664842836195,56.333333333333336,56.84666697184245,55.836664835611984,57.343335469563804,55.32333119710287,57.85666910807292,54.826662699381515,-0.009708557916292255,-37.997738955710005,-0.4251186242626943,-0.7658195361502196,0.34070091188752527,53.41996738866509,20.420614569220582,54.60799942016602,54.65900020599365,56.588200073242184,59.01619995117188,CENTRALBK.BO,2024-11-27 11:13:58.536491
2,2024-11-26 00:00:00+05:30,56.790000915527344,56.790000915527344,55.689998626708984,55.939998626708984,464899,0.0,0.0,2024-11-26,54.469000244140624,2.5397404557830634,57.008740699923685,51.92925978835756,59.54848115570675,49.389519332574494,96.27710344627701,3.737818532809167,172312629,1017864.9784003035,1305097.6927312522,46.85551403578298,69.26217912052718,56.13999938964844,56.59000015258789,55.48999786376953,57.2400016784668,55.03999710083008,57.69000244140625,54.38999557495117,-0.04371205791451714,-42.66213011203236,-0.6261571500270051,-0.8509947641221008,0.22483761409509573,52.34992607883764,21.25910393654718,53.85799942016602,54.469000244140624,56.63780014038086,59.080099983215334,CENTRALBK.BO,2024-11-27 11:13:58.536491
3,2024-11-25 00:00:00+05:30,53.900001525878906,57.86000061035156,53.630001068115234,56.88999938964844,1863313,0.0,0.0,2024-11-25,54.31500034332275,2.539229827941601,56.854230171264355,51.77577051538115,59.39345999920595,49.23654068743955,93.74155705677998,-0.27527728902786797,172777528,4148879.788574097,1376905.8713139892,46.850484731985496,67.23829956144314,56.12666702270508,58.62333297729492,54.393333435058594,60.356666564941406,51.89666748046875,62.85333251953125,50.163333892822266,0.021288791779717937,-31.854381804018235,-0.833681381373637,-0.9072041676458746,0.07352278627223763,55.07191266823029,22.179347322377453,53.23199996948242,54.31500034332275,56.69220016479492,59.14150001525879,CENTRALBK.BO,2024-11-27 11:13:58.536491
4,2024-11-22 00:00:00+05:30,51.11000061035156,52.72999954223633,51.11000061035156,52.33000183105469,224882,0.0,0.0,2024-11-22,54.121500396728514,2.4794272926523564,56.60092768938087,51.64207310407616,59.08035498203323,49.1626458114238,-69.21577051828281,-120.18593132029353,170914215,460590.05178761546,683912.3919989623,46.82815866528788,61.78234795382856,52.05666732788086,53.003334045410156,51.38333511352539,53.676666259765625,50.436668395996094,54.62333297729492,49.763336181640625,-0.13239120596710074,-83.73150424542528,-1.1803044287452096,-0.9255848642139339,-0.25471956453127564,41.518650135902185,23.170378660963898,52.24400024414062,54.121500396728514,56.71580017089844,59.20130001068115,CENTRALBK.BO,2024-11-27 11:13:58.536491
5,2024-11-21 00:00:00+05:30,52.63999938964844,52.63999938964844,50.97999954223633,51.529998779296875,150562,0.0,0.0,2024-11-21,54.325500297546384,2.492083019291,56.817583316837386,51.83341727825538,59.30966633612839,49.34133425896438,-92.08052340473681,-139.31435392177676,170689333,303657.92203057196,739742.977051799,46.82668162220345,63.65776439589156,51.71666590372721,52.453332265218094,50.793332417805985,53.37666575113932,50.0566660563151,54.113332112630204,49.133332570393875,-0.19099239961078562,-92.83279338785589,-1.1571128975829836,-0.8619049730811149,-0.2952079245018687,38.49613276358967,23.032580852396524,52.194000244140625,54.325500297546384,56.85280014038086,59.31119998931885,CENTRALBK.BO,2024-11-27 11:13:58.536491
6,2024-11-19 00:00:00+05:30,53.4900016784668,54.70000076293945,52.13999938964844,52.599998474121094,515071,0.0,0.0,2024-11-19,54.700500297546384,2.6107475734375387,57.31124787098392,52.08975272410885,59.92199544442146,49.479005150671306,-68.60901320199319,-106.95382052252515,170839895,1060381.0028599047,848764.2408071057,46.82583609425029,67.31717875567207,53.14666620890299,54.15333302815755,51.59333165486653,55.70666758219401,50.58666483561198,56.71333440144856,49.033330281575516,-0.1626431412839616,-74.71023971096727,-1.0311005170191052,-0.7881029919556477,-0.2429975250634575,41.13665285525417,22.824673673937482,52.86600036621094,54.700500297546384,57.02780014038086,59.437400016784665,CENTRALBK.BO,2024-11-27 11:13:58.536491
7,2024-11-18 00:00:00+05:30,52.0099983215332,54.13999938964844,50.900001525878906,52.810001373291016,546675,0.0,0.0,2024-11-18,55.01900043487549,2.726977683357243,57.74597811823273,52.292022751518246,60.472955801589976,49.565045068161,-106.47488257478204,-131.59383060727558,171354966,1129937.70500266,795860.0502939059,46.822282796553914,58.954185230832444,52.61666742960612,54.33333333333333,51.0933354695638,55.85666529337565,49.376669565836586,57.57333119710286,47.853337605794266,-0.09947891976092119,-67.05651441461305,-0.9595225070447029,-0.7273536106897833,-0.23216889635491955,41.65738599957208,23.05791926129669,53.48400039672852,55.01900043487549,57.17660018920898,59.55680004119873,CENTRALBK.BO,2024-11-27 11:13:58.536491
8,2024-11-14 00:00:00+05:30,52.31999969482422,53.189998626708984,51.7599983215332,51.95000076293945,306962,0.0,0.0,2024-11-14,55.24800033569336,2.724014824550064,57.97201516024343,52.523985511143295,60.69602998479349,49.799970686593234,-155.5417437105187,-153.15429496212457,170808291,624136.0708560265,712340.6366167173,46.81836943617546,57.87407828901869,52.29999923706055,52.84000015258789,51.40999984741211,53.72999954223633,50.869998931884766,54.27000045776367,49.97999954223633,-0.1201641072961258,-75.43858801151251,-0.8740248478738479,-0.6693113866010535,-0.20471346127279444,38.70690876933205,22.96624891346375,54.08400039672851,55.24800033569336,57.33400016784668,59.68110000610351,CENTRALBK.BO,2024-11-27 11:13:58.536491
9,2024-11-13 00:00:00+05:30,53.59000015258789,54.619998931884766,51.79999923706055,52.08000183105469,315428,0.0,0.0,2024-11-13,55.50200023651123,2.635718985118947,58.13771922163018,52.86628125139228,60.77343820674912,50.23056226627334,-148.2325806310628,-147.9348113397239,171115253,642954.6500235385,734391.77805689,46.81648553238299,53.23332961312139,52.833333333333336,53.866667429606125,51.046667734781906,55.653333028157554,50.01333363850912,56.68666712443034,48.22666803995769,-0.102100204986508,-74.17152086353457,-0.6666221052208741,-0.6181330212828549,-0.048489083938019206,38.983634105548134,22.272467052166245,55.21399993896485,55.50200023651123,57.5110001373291,59.81200000762939,CENTRALBK.BO,2024-11-27 11:13:58.536491
10,2024-11-12 00:00:00+05:30,55.689998626708984,56.58000183105469,54.5,54.88999938964844,258969,0.0,0.0,2024-11-12,55.751000213623044,2.528475216462525,58.27947543008557,53.22252499716052,60.80795064654809,50.694049780697995,-30.174904432025777,-71.11517223236201,171430681,556352.590074412,757251.0600652278,46.814499168839504,53.26895602615777,55.323333740234375,56.14666748046875,54.06666564941406,57.40333557128906,53.24333190917969,58.22666931152344,51.986663818359375,-0.07523033647663717,-46.78362594842276,-0.403786545877729,-0.6060107502983499,0.20222420442062095,45.51481128426565,21.53808431380196,56.51999969482422,55.751000213623044,57.691800079345704,59.941099967956546,CENTRALBK.BO,2024-11-27 11:13:58.536491
11,2024-11-11 00:00:00+05:30,55.939998626708984,56.459999084472656,54.97999954223633,55.689998626708984,258575,0.0,0.0,2024-11-11,55.85600032806396,2.5344349854645483,58.39043531352851,53.32156534259941,60.924870298993056,50.78713035713487,2.7202930317657974,-61.44299448076621,171689650,563602.4197610888,807475.6775629318,46.81199632176343,50.58894637828122,55.709999084472656,56.439998626708984,54.959999084472656,57.189998626708984,54.22999954223633,57.91999816894531,53.47999954223633,-0.057659166788323606,-38.98636115373419,-0.337901588612354,-0.6565668014035052,0.31866521279115123,47.62409430453006,21.694197730921363,56.736000061035156,55.85600032806396,57.821600112915036,60.04630001068115,CENTRALBK.BO,2024-11-27 11:13:58.536491
