Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-08 00:00:00+05:30,258.95001220703125,263.6499938964844,252.60000610351562,255.6999969482422,26227,0.0,0.0,2023-12-08,251.6425003051758,5.203319422762635,256.8458197279384,246.43918088241315,262.0491391507011,241.23586145965052,149.76593549106596,33.7907655420858,4530910,24598.83478222859,28998.373245092676,320.00288910406266,54.625077200373624,257.31666564941406,262.0333251953125,250.98333740234375,268.3666534423828,246.2666778564453,273.08331298828125,239.933349609375,-0.2327023963413931,-31.92770641347284,-0.2951870835462955,-1.2557946460621654,0.9606075625158699,53.49443187738548,13.545541403116879,252.57000122070312,251.6425003051758,254.64200103759765,257.74056854248045,COASTCORP.NS,2023-12-08 10:45:10.489422
2,2023-12-07 00:00:00+05:30,252.0,262.79998779296875,252.0,257.1000061035156,58756,0.0,0.0,2023-12-07,251.72500076293946,5.283501352072268,257.0085021150117,246.44149941086718,262.292003467084,241.15799805879493,193.32871433985324,35.65719387498408,4557137,55410.17293474638,30098.2578608087,320.06851045059506,52.79844797962662,257.2999979654948,262.5999959309896,251.80000813802087,268.09998575846356,246.50001017252606,273.39998372395837,241.00002034505212,-0.22733862583156864,-23.700559594959838,-0.6859563273500839,-1.4959465366911329,0.8099902093410489,55.023108720891834,12.54726939586774,251.3800018310547,251.72500076293946,254.8430010986328,257.9459053039551,COASTCORP.NS,2023-12-08 10:45:10.489422
3,2023-12-06 00:00:00+05:30,251.85000610351562,253.14999389648438,249.3000030517578,251.5500030517578,18137,0.0,0.0,2023-12-06,251.81750106811523,5.397520512803326,257.2150215809186,246.4199805553119,262.6125420937219,241.02246004250858,66.98690993426872,-26.746144077844747,4498381,16734.971474164588,23770.27909232428,320.2128002550459,39.60295691300456,251.33333333333334,253.36666361490887,249.5166727701823,255.1833241780599,247.48334248860678,257.21665445963544,245.66668192545575,-0.22986986504100984,-36.31841211471569,-1.3137457861886048,-1.6984440890263952,0.3846983028377904,49.73564384557662,11.57981170037771,250.16000061035157,251.81750106811523,254.98200073242188,258.25115798950196,COASTCORP.NS,2023-12-08 10:45:10.489422
4,2023-12-05 00:00:00+05:30,249.0,252.75,247.3000030517578,250.5500030517578,24483,0.0,0.0,2023-12-05,252.09250030517578,5.521852266299254,257.614352571475,246.57064803887653,263.1362048377743,241.04879577257728,26.22871171022164,-40.14349399702849,4480244,22500.60737155054,25529.1059968642,320.26140227174017,28.669315075485855,250.20000203450522,253.10000101725262,247.65000406901044,255.6499989827474,244.75000508626303,258.5499979654948,242.20000712076825,-0.1813856813777942,-58.95651112432065,-1.5510100839044298,-1.7946186647358426,0.2436085808314128,48.727162789882684,11.984139995257264,250.58999938964843,252.09250030517578,255.0590005493164,258.29006088256835,COASTCORP.NS,2023-12-08 10:45:10.489422
5,2023-12-04 00:00:00+05:30,251.10000610351562,253.25,245.5500030517578,247.9499969482422,29511,0.0,0.0,2023-12-04,251.95750045776367,5.594081255003953,257.55158171276764,246.36341920275973,263.14566296777156,240.76933794775576,-20.529686184497724,-55.437054659106984,4455761,26840.044396575177,26286.230653192615,320.32807541740505,31.8219888494757,248.91666666666666,252.2833302815755,244.58333333333331,256.6166636149088,241.21666971842447,259.9833272298177,236.88333638509113,-0.18796397050941463,-72.61906167546923,-1.7327952819814811,-1.855520809943696,0.12272552796221481,46.11712342270859,12.489890397136461,249.98999938964843,251.95750045776367,255.31400024414063,258.23599166870116,COASTCORP.NS,2023-12-08 10:45:10.489422
6,2023-12-01 00:00:00+05:30,252.10000610351562,254.60000610351562,248.39999389648438,249.75,26557,0.0,0.0,2023-12-01,251.82000045776368,5.729915958631031,257.5499164163947,246.09008449913264,263.27983237502576,240.36016854050163,22.91718540388053,-36.514789089351645,4485272,24328.74503137566,26147.77721734697,320.41161156562265,33.19111530955965,250.91666666666666,253.43333943684894,247.2333272298177,257.1166788736979,244.7166544596354,259.6333516438802,241.03331502278644,-0.17380224755962914,-67.26191070885237,-1.683219740809875,-1.8862021919342493,0.2029824511243743,47.67734486912928,13.03454467608329,249.51000061035157,251.82000045776368,255.52449493408204,258.17011657714846,COASTCORP.NS,2023-12-08 10:45:10.489422
7,2023-11-30 00:00:00+05:30,253.6999969482422,254.0,249.0,251.0,14992,0.0,0.0,2023-11-30,251.58500061035156,5.912743887850841,257.4977444982024,245.67225672250072,263.41048838605326,239.75951283464988,33.29117713781294,-34.121039867099306,4511829,13802.84119991609,26602.535263839796,320.4850794155703,33.50876250918208,251.33333333333334,253.66666666666669,248.66666666666669,256.33333333333337,246.33333333333334,258.6666666666667,243.66666666666669,-0.15315162227785922,-63.541673289403775,-1.7715177236374018,-1.9369478047153428,0.165430081077941,48.74067569255248,13.103966909078459,248.4200012207031,251.58500061035156,255.86215301513673,257.9121340942383,COASTCORP.NS,2023-12-08 10:45:10.489422
8,2023-11-29 00:00:00+05:30,248.8000030517578,256.0,248.8000030517578,253.6999969482422,31189,0.0,0.0,2023-11-29,251.18250045776367,6.220641363349611,257.40314182111325,244.96185909441405,263.62378318446287,238.74121773106444,63.214238417622575,-20.586178108234247,4526821,29023.989539375896,29802.45877982072,320.52588700024273,37.59790282968821,252.83333333333334,256.8666636149089,249.66666666666669,260.03333028157556,245.63333638509116,264.06666056315106,242.4666697184245,-0.16046070148166117,-55.505969546005694,-1.9808307815962678,-1.978305324984828,-0.00252545661143988,51.023077261234114,13.178729313842487,247.2300018310547,251.18250045776367,256.2404745483398,257.5720086669922,COASTCORP.NS,2023-12-08 10:45:10.489422
9,2023-11-28 00:00:00+05:30,248.60000610351562,253.9499969482422,246.0,247.5500030517578,36495,0.0,0.0,2023-11-28,250.7925003051758,6.298522320717399,257.0910226258932,244.49397798445838,263.3895449466106,238.195455663741,-38.26889541366026,-59.41477127203365,4495632,33138.39730339924,29997.07608993193,320.60763307260726,34.89226763432512,249.16666666666666,252.33333333333331,244.38333638509113,257.1166636149088,241.21666971842447,260.2833302815755,236.43333943684894,-0.20154472151820746,-73.80951948447101,-2.484711126740308,-1.9776739608319678,-0.5070371659083401,45.638954127407914,13.259242672819134,246.72000122070312,250.7925003051758,256.34691345214844,257.18896484375,COASTCORP.NS,2023-12-08 10:45:10.489422
10,2023-11-24 00:00:00+05:30,247.85000610351562,247.85000610351562,243.8000030517578,245.5500030517578,10384,0.0,0.0,2023-11-24,250.9125,6.256215057212648,257.16871505721264,244.65628494278735,263.4249301144253,238.4000698855747,-109.04427997250083,-96.3941313047376,4459137,9352.760639392263,29211.7457865651,320.7123559882982,38.55849698311664,245.73333740234375,247.6666717529297,243.61666870117188,249.78334045410156,241.68333435058594,251.7166748046875,239.56666564941406,-0.17418774846234727,-79.76189935558875,-2.4865023041764402,-1.8509146693548826,-0.6355876348215577,43.7723882471245,13.603675579335372,247.98999938964843,250.9125,256.5683932495117,256.8465280151367,COASTCORP.NS,2023-12-08 10:45:10.489422
