Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-27 00:00:00+05:30,1269.0,1271.550048828125,1216.75,1242.6500244140625,1243276,0.0,0.0,2023-12-27,1219.1175048828125,34.25990525551643,1253.377410138329,1184.857599627296,1287.6373153938453,1150.5976943717797,38.444027475731524,92.9895649312804,39964715,2117660.0402496853,731406.9545340005,944.8702573095826,38.783134920257126,1243.6500244140625,1270.550048828125,1215.75,1298.4500732421875,1188.8499755859375,1325.35009765625,1160.949951171875,0.2029473036762159,-29.932687517858543,23.602936132414015,25.56065142050818,-1.957715288094164,60.22576040947115,26.826189030986196,1225.5199951171876,1219.1175048828125,1153.6,1128.0684997558594,COROMANDEL.NS,2023-12-27 10:43:17.677534
2,2023-12-26 00:00:00+05:30,1231.050048828125,1266.3499755859375,1227.3499755859375,1263.199951171875,175434,0.0,0.0,2023-12-26,1213.1975036621093,39.76656673795567,1252.9640704000649,1173.4309369241537,1292.7306371380207,1133.6643701861979,77.34822210635595,107.93420839997697,41207991,303756.6011451266,384843.6831050792,943.2343934097589,69.13852349874294,1252.2999674479167,1277.249959309896,1238.249959309896,1291.2999674479167,1213.2999674479167,1316.249959309896,1199.249959309896,0.23271960695623684,-4.130487856657608,24.09978972282329,26.05008024253172,-1.9502905197084317,66.42381918438845,28.036766253156983,1224.1099853515625,1213.1975036621093,1151.7580004882811,1125.9364990234376,COROMANDEL.NS,2023-12-27 10:43:17.677534
3,2023-12-22 00:00:00+05:30,1213.5,1232.699951171875,1211.0,1231.050048828125,154368,0.0,0.0,2023-12-22,1206.7900085449219,41.569141413267424,1248.3591499581894,1165.2208671316544,1289.9282913714567,1123.651725718387,-43.82493183417704,84.13750686455529,41032557,260479.07798479157,405115.4535950673,942.9861725854735,72.84058852069484,1224.9166666666667,1238.8333333333335,1217.1333821614585,1246.6166178385417,1203.2167154947917,1260.5332845052085,1195.4334309895835,0.20459659569862698,-39.07603388247283,22.346908127989536,26.53765287245883,-4.190744744469292,60.52156683495279,28.759282352532363,1219.3199951171875,1206.7900085449219,1149.4680004882812,1123.0994995117187,COROMANDEL.NS,2023-12-27 10:43:17.677534
4,2023-12-21 00:00:00+05:30,1178.0,1234.0,1175.0,1202.949951171875,487071,0.0,0.0,2023-12-21,1201.7300048828124,44.5155343760165,1246.245539258829,1157.2144705067958,1290.7610736348454,1112.6989361307794,-161.3734256621483,65.28648742920545,40878189,803118.611315386,441274.54749763623,942.789400334951,73.13475160741808,1203.9833170572917,1232.9666341145835,1173.9666341145835,1262.9833170572917,1144.9833170572917,1291.9666341145835,1114.9666341145835,0.19982939176551764,-60.567422059692674,22.930377254397627,27.58533905857615,-4.654961804178523,53.95197926778736,30.83641047632335,1221.77998046875,1201.7300048828124,1148.2830004882812,1120.8344989013672,COROMANDEL.NS,2023-12-27 10:43:17.677534
5,2023-12-20 00:00:00+05:30,1234.0,1247.0,1178.0,1187.75,159722,0.0,0.0,2023-12-20,1197.7625061035155,47.8148927980942,1245.5773989016097,1149.9476133054213,1293.392291699704,1102.1327205073271,-268.03836197032683,69.52548335305426,40391118,260033.70119467864,350813.53154319874,942.2274621542118,82.96585252318471,1204.25,1230.5,1161.5,1273.25,1135.25,1299.5,1092.5,0.23072439639276401,-73.04147465437788,26.09739844671094,28.749079509620778,-2.6516810629098373,49.751974500444526,33.073317686559804,1229.55,1197.7625061035155,1147.4640014648437,1118.7329992675782,COROMANDEL.NS,2023-12-27 10:43:17.677534
6,2023-12-19 00:00:00+05:30,1238.0,1244.0,1227.199951171875,1235.5999755859375,88545,0.0,0.0,2023-12-19,1194.3525085449219,50.898967014728,1245.2514755596499,1143.453541530194,1296.1504425743778,1092.554574515466,-58.53413893281926,112.13807804949569,40550840,149962.19622177928,373508.4891303287,942.0534343459316,88.04439703590592,1235.5999755859375,1244.0,1227.199951171875,1252.4000244140625,1218.7999267578125,1260.800048828125,1210.39990234375,0.23687052935942532,-24.265856638161587,31.25369503642264,29.41199977534824,1.8416952610744026,67.8392710462524,35.604006298664174,1242.6800048828125,1194.3525085449219,1147.1380004882812,1116.5284991455078,COROMANDEL.NS,2023-12-27 10:43:17.677534
7,2023-12-18 00:00:00+05:30,1243.4000244140625,1254.9000244140625,1235.0,1239.25,101934,0.0,0.0,2023-12-18,1188.2025085449218,53.0387470718446,1241.2412556167665,1135.163761473077,1294.280002688611,1082.1250144012326,40.60762368900192,129.92879312350203,40639385,173148.14896335974,429395.062357466,941.9380427335931,90.85646752065198,1243.0500081380208,1251.1000162760415,1231.199991861979,1262.9500325520833,1223.1499837239583,1271.000040690104,1211.2999674479165,0.2294007674006329,-18.444671988160515,32.66927875590159,28.951575960079634,3.7177027958219533,69.63235515323873,35.03761635499056,1244.0,1188.2025085449218,1145.7480004882811,1113.873999633789,COROMANDEL.NS,2023-12-27 10:43:17.677534
8,2023-12-15 00:00:00+05:30,1252.75,1267.0,1235.199951171875,1243.3499755859375,426016,0.0,0.0,2023-12-15,1182.2250061035156,53.71523767057545,1235.940243774091,1128.5097684329403,1289.6554814446665,1074.7945307623647,69.4634914824716,146.68140949260933,40741319,726037.6781944275,493456.7907059926,941.8034377149548,87.7204368749005,1248.5166422526042,1261.8333333333335,1230.0332845052085,1280.3166910807292,1216.7165934244792,1293.6333821614585,1198.2332356770835,0.21756569283794266,-15.477759722881306,33.62719370815421,28.022150261124143,5.6050434470300665,71.60649639886552,33.6896485580226,1245.0,1182.2250061035156,1143.8460009765624,1111.2854998779296,COROMANDEL.NS,2023-12-27 10:43:17.677534
9,2023-12-14 00:00:00+05:30,1259.0,1259.0,1234.199951171875,1241.800048828125,132061,0.0,0.0,2023-12-14,1176.0325073242188,53.43586026155134,1229.4683675857702,1122.5966470626674,1282.9042278473216,1069.160786801116,60.78725599521379,153.60062193354648,40315303,224784.3714993456,435311.56883388385,941.2317845717952,87.26534385306664,1245.0,1255.800048828125,1231.0,1269.800048828125,1220.199951171875,1280.60009765625,1206.199951171875,0.2675221175680633,-13.019745092018669,33.940326714951425,26.620889399366625,7.3194373155848,71.32107059632274,32.21921479596764,1241.2800048828126,1176.0325073242188,1141.907001953125,1108.498500366211,COROMANDEL.NS,2023-12-27 10:43:17.677534
10,2023-12-13 00:00:00+05:30,1246.0,1260.9000244140625,1240.0,1253.4000244140625,183378,0.0,0.0,2023-12-13,1169.7050048828125,52.72611957044443,1222.4311244532569,1116.9788853123682,1275.1572440237014,1064.2527657419237,81.86885156294338,176.4770702872902,40447364,315048.0453181675,487943.3681675184,941.0550484435506,90.12262406657871,1251.433349609375,1262.86669921875,1241.9666748046875,1272.3333740234375,1230.5333251953125,1283.7667236328125,1221.066650390625,0.2822717816404033,-5.112471885149118,33.97962877987834,24.79103007047042,9.18859870940792,76.67761154946575,30.865101055930182,1241.0300048828126,1169.7050048828125,1139.997001953125,1105.5904998779297,COROMANDEL.NS,2023-12-27 10:43:17.677534
11,2023-12-12 00:00:00+05:30,1243.949951171875,1254.0,1237.75,1242.199951171875,110215,0.0,0.0,2023-12-12,1162.6125061035157,50.36284232545744,1212.9753484289731,1112.2496637780582,1263.3381907544306,1061.8868214526008,81.6843301111763,182.3217462272103,40263986,187660.15539416714,531167.1988798562,940.7998111483969,86.92945275210234,1244.6499837239583,1251.5499674479165,1235.2999674479165,1260.8999837239583,1228.3999837239583,1267.7999674479165,1219.0499674479165,0.2834002769729282,-8.194478352864584,32.37268263439137,22.493880393118438,9.878802241272929,74.99381603666062,28.894701970620858,1236.8800048828125,1162.6125061035157,1137.4040014648438,1102.6394995117187,COROMANDEL.NS,2023-12-27 10:43:17.677534
12,2023-12-11 00:00:00+05:30,1224.75,1248.0,1222.0,1244.25,207410,0.0,0.0,2023-12-11,1155.377508544922,48.69371249803945,1204.0712210429615,1106.6837960468824,1252.7649335410008,1057.9900835488431,86.23664563015859,187.84033836770263,40374201,353734.32141169877,617043.9597512784,940.6517095033713,87.21165667627625,1238.0833333333333,1254.1666666666665,1228.1666666666665,1264.0833333333333,1212.0833333333333,1280.1666666666665,1202.1666666666665,0.26589222894338543,-6.086011992697127,30.92784693963631,20.024179832800204,10.903667106836107,75.92547071987616,26.94554671026946,1229.5500244140626,1155.377508544922,1135.0960034179689,1099.8220001220702,COROMANDEL.NS,2023-12-27 10:43:17.677534
