Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-09-22 00:00:00+05:30,1363.0,1393.0,1353.0999755859375,1360.5999755859375,122729,0.0,0.0,2025-09-22,1350.7999938964845,35.74498115882676,1386.5449750553112,1315.0550127376578,1422.2899562141379,1279.310031578831,82.5609896708785,69.92561751554464,124358056,130300.54123844884,284285.01411747606,1111.6078176955098,53.89600506729485,1368.8999837239583,1384.699991861979,1344.7999674479165,1408.8000081380208,1328.9999593098958,1424.6000162760415,1304.899943033854,-0.0019093786135115564,-29.185203269675927,8.907053419412932,8.184921165451488,0.7221322539614441,55.30128819945626,17.68219324742985,1359.2999755859375,1350.7999938964845,1317.3019995117188,1249.1260021972657,CREDITACC.NS,2025-09-22 11:01:01.304787
2,2025-09-19 00:00:00+05:30,1385.0,1385.0,1348.0,1363.4000244140625,203611,0.0,0.0,2025-09-19,1352.6999938964843,37.27068022994342,1389.9706741264276,1315.429313666541,1427.2413543563712,1278.1586334365975,92.96079412427336,64.82545822473324,124480785,216617.28067408243,322781.1323372328,1111.5231519108945,48.418437864443035,1365.4666748046875,1382.933349609375,1345.933349609375,1402.4666748046875,1328.4666748046875,1419.933349609375,1308.933349609375,0.03222684227422476,-29.20861552945144,8.290000270567134,8.004388101961126,0.2856121686060078,55.930635079654884,17.550469379205357,1351.5999755859375,1352.6999938964843,1315.6939990234375,1246.4055029296876,CREDITACC.NS,2025-09-22 11:01:01.304787
3,2025-09-18 00:00:00+05:30,1360.0,1400.0,1360.0,1388.699951171875,449063,0.0,0.0,2025-09-18,1354.3199951171875,38.445863848563256,1392.7658589657508,1315.8741312686243,1431.211722814314,1277.428267420061,158.69181679894507,92.89895304406312,124684396,486613.6182905933,349322.09525302035,1111.3809813529278,58.28549469512423,1382.8999837239583,1405.7999674479165,1365.7999674479165,1422.8999837239583,1342.8999837239583,1445.7999674479165,1325.7999674479165,0.07497133405836337,-22.687530517578125,7.0986168049482785,7.932985059809624,-0.8343682548613458,61.83490705184261,17.63015147584635,1337.4399658203124,1354.3199951171875,1314.0819995117188,1244.2420031738282,CREDITACC.NS,2025-09-22 11:01:01.304787
4,2025-09-17 00:00:00+05:30,1330.0,1388.800048828125,1330.0,1360.199951171875,551587,0.0,0.0,2025-09-17,1353.054998779297,37.663374456245045,1390.718373235542,1315.391624323052,1428.381747691787,1277.728249866807,106.82500811908685,63.20138188073539,124235333,585443.9767576985,314999.2144936271,1111.035322271365,61.97737948991179,1359.6666666666667,1389.3333333333335,1330.5332845052085,1418.4667154947917,1300.8666178385417,1448.1333821614585,1271.7332356770835,0.057463688382568504,-40.500030517578125,2.9740706901675367,8.14157712352496,-5.167506433357424,57.09752259881035,17.246564436712376,1319.3599853515625,1353.054998779297,1312.2619995117188,1241.3060034179687,CREDITACC.NS,2025-09-22 11:01:01.304787
5,2025-09-16 00:00:00+05:30,1329.9000244140625,1342.0,1317.5,1323.5999755859375,253191,0.0,0.0,2025-09-16,1352.4400024414062,37.64098042468364,1390.08098286609,1314.7990220167226,1427.7219632907736,1277.158041592039,-3.11421617506473,18.948198301449562,123683746,261501.13597012017,247388.02392760923,1110.653266339646,54.309670375217486,1327.6999918619792,1337.8999837239585,1313.3999837239585,1352.1999918619792,1303.1999918619792,1362.3999837239585,1288.8999837239585,0.08717502137578692,-63.37501525878906,0.45515830548333724,9.433453731864317,-8.97829542638098,49.64372804252288,17.116500471503308,1306.6599853515625,1352.4400024414062,1310.76,1238.9110034179687,CREDITACC.NS,2025-09-22 11:01:01.304787
6,2025-09-15 00:00:00+05:30,1290.0,1328.199951171875,1265.0,1322.0999755859375,394348,0.0,0.0,2025-09-15,1353.5850036621093,37.06135784669048,1390.6463615087998,1316.5236458154188,1427.7077193554903,1279.4622879687283,-67.80606275215457,-11.97458955282505,123430555,406829.56380073895,243859.74591698145,1110.5032800666108,48.9698170656851,1305.0999755859375,1345.199951171875,1282.0,1368.2999267578125,1241.9000244140625,1408.39990234375,1218.800048828125,0.15976690300242677,-64.31251525878906,0.8278338584727862,11.67802758845956,-10.850193729986774,49.3085657776885,18.38709172920392,1302.9599853515624,1353.5850036621093,1310.0980004882813,1237.16150390625,CREDITACC.NS,2025-09-22 11:01:01.304787
7,2025-09-12 00:00:00+05:30,1300.0,1309.5,1282.0,1292.5999755859375,188446,0.0,0.0,2025-09-12,1354.1900024414062,36.6164281939716,1390.8064306353779,1317.5735742474346,1427.4228588293495,1280.957146053463,-102.71259906611603,-27.096838500481738,123036207,190072.6510406674,203117.29144604207,1110.2709007188053,40.73473957379213,1294.6999918619792,1307.3999837239585,1279.8999837239585,1322.1999918619792,1267.1999918619792,1334.8999837239585,1252.3999837239585,0.15869929218125625,-92.58742966018356,1.4401558337624465,14.390576020956253,-12.950420187193806,42.29459204105249,19.3426360078985,1305.87998046875,1354.1900024414062,1308.4760009765625,1235.29900390625,CREDITACC.NS,2025-09-22 11:01:01.304787
8,2025-09-11 00:00:00+05:30,1296.699951171875,1315.800048828125,1295.0,1298.300048828125,78483,0.0,0.0,2025-09-11,1354.4000061035156,36.25486304724586,1390.6548691507614,1318.1451430562697,1426.9097321980073,1281.8902800090239,-109.28481425857244,-15.31176341391811,123224653,79509.53878139796,206378.45154738572,1110.1751637141883,47.672239019751096,1303.0333658854167,1311.0667317708335,1290.2666829427085,1323.8334147135417,1282.2333170572917,1331.8667805989585,1269.4666341145835,0.12584642108994665,-94.83531012352312,5.107596001614411,17.628181067754703,-12.520585066140292,43.371305667231184,19.633043937831207,1315.3599853515625,1354.4000061035156,1307.9880004882812,1233.8255041503905,CREDITACC.NS,2025-09-22 11:01:01.304787
9,2025-09-10 00:00:00+05:30,1314.800048828125,1330.0,1291.4000244140625,1296.699951171875,209128,0.0,0.0,2025-09-10,1354.5800048828125,35.96949122212923,1390.5494961049417,1318.6105136606834,1426.518987327071,1282.641022438554,-129.79814611911254,-11.12734394535304,123146170,211602.23174404976,238095.67973888264,1110.1340152330379,52.54138807191604,1306.0333251953125,1320.6666259765625,1282.066650390625,1344.63330078125,1267.433349609375,1359.2666015625,1243.4666748046875,0.17629892626272473,-96.03298822880147,9.164272094154967,20.758327334289774,-11.594055240134807,42.993034064210605,20.349322075011063,1327.0599853515625,1354.5800048828125,1307.1680004882812,1232.5225036621093,CREDITACC.NS,2025-09-22 11:01:01.304787
10,2025-09-09 00:00:00+05:30,1340.9000244140625,1351.5,1300.9000244140625,1305.0999755859375,314425,0.0,0.0,2025-09-09,1352.7000061035155,39.91960944431465,1392.61961554783,1312.780396659201,1432.539224992145,1272.8607872148862,-139.51075089745086,7.741224528723978,123355298,320205.96383501095,244719.04173759083,1110.0252150323622,58.11492577368004,1319.1666666666667,1337.433308919271,1286.8333333333335,1369.7666422526042,1268.5666910807292,1388.0332845052085,1236.233357747396,0.22253163806043647,-96.61567123438587,14.376779556141628,23.656841144323472,-9.280061588181844,44.44019822622833,21.120698530435522,1344.2,1352.7000061035155,1305.4280004882812,1230.76150390625,CREDITACC.NS,2025-09-22 11:01:01.304787
