Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-12-12 00:00:00+05:30,5499.9501953125,5577.60009765625,5450.0,5525.60009765625,2126,0.0,0.0,2024-12-12,5346.960034179688,101.15509325815006,5448.115127437838,5245.804940921537,5549.2702206959875,5144.649847663388,190.18667375326174,88.07892660514847,287849,4155.1450235233215,4152.585286492963,4187.164464616859,35.43528632918323,5517.7333984375,5585.466796875,5457.86669921875,5645.33349609375,5390.13330078125,5713.06689453125,5330.2666015625,-0.12348850719075968,-21.67380150442818,66.61786708471755,68.85265829820932,-2.234791213491775,60.84124827247652,37.05071161379788,5397.980078125,5346.960034179688,5099.374013671875,4792.491489257813,CRISIL.BO,2024-12-12 11:05:34.909708
2,2024-12-11 00:00:00+05:30,5450.0,5491.9501953125,5393.4501953125,5456.4501953125,1726,0.0,0.0,2024-12-11,5343.792529296875,96.13410237391318,5439.926631670788,5247.658426922962,5536.060734044701,5151.524324549048,165.9955242874167,67.41918689744094,285723,3331.1520938608132,4151.945352235372,4185.072809982684,39.278432024165255,5447.283528645833,5501.116861979166,5402.616861979166,5545.783528645833,5348.783528645833,5599.616861979166,5304.116861979166,-0.15406823299508826,-45.73129302091773,58.05454480012122,69.41135610158226,-11.356811301461036,58.23047265300471,36.55886312797449,5369.380078125,5343.792529296875,5080.67701171875,4782.394487304688,CRISIL.BO,2024-12-12 11:05:34.909708
3,2024-12-10 00:00:00+05:30,5285.0,5447.0498046875,5264.5,5424.5,2433,0.0,0.0,2024-12-10,5348.175024414062,103.272963320369,5451.447987734431,5244.902061093693,5554.7209510548,5141.629097773324,102.33574092097813,49.56655385472971,283997,4668.155322558461,4357.143666829012,4183.4577232356405,47.55018163511677,5378.683268229167,5492.866536458334,5310.316731770834,5561.233072916667,5196.133463541667,5675.416341145834,5127.766927083334,-0.15701816648376948,-52.41683431435756,53.02150066960439,72.25055892694752,-19.229058257343127,57.00049226237203,36.45261118854796,5352.7400390625,5348.175024414062,5062.451005859375,4770.939985351562,CRISIL.BO,2024-12-12 11:05:34.909708
4,2024-12-09 00:00:00+05:30,5339.9501953125,5339.9501953125,5197.10009765625,5284.85009765625,1920,0.0,0.0,2024-12-09,5350.6400146484375,105.74929490616721,5456.389309554605,5244.89071974227,5562.138604460772,5139.141424836103,-85.65726067517242,24.6199037562299,281564,3589.032386370164,4279.390752896649,4181.23140290083,43.35790069002854,5273.966796875,5350.83349609375,5207.9833984375,5416.81689453125,5131.11669921875,5493.68359375,5065.13330078125,-0.2017165875901126,-81.63841432700649,48.92093309131542,77.0578234912833,-28.136890399967882,51.1638139111861,36.57561800029842,5315.980078125,5350.6400146484375,5046.615009765625,4759.653984375,CRISIL.BO,2024-12-12 11:05:34.909708
5,2024-12-06 00:00:00+05:30,5449.7001953125,5449.7001953125,5272.85009765625,5298.5,1232,0.0,0.0,2024-12-06,5361.590014648437,109.83775605465061,5471.427770703088,5251.752258593787,5581.265526757738,5141.914502539136,15.499247492405882,43.52096763507107,283484,2308.910622785718,4451.9803445282705,4179.6668347116465,47.14820532031223,5340.35009765625,5407.85009765625,5231.0,5517.2001953125,5163.5,5584.7001953125,5054.14990234375,-0.2089663374541681,-66.56060549820407,56.6831372091583,84.09204609127525,-27.408908882116947,51.80201264549188,37.32847091450454,5315.72001953125,5361.590014648437,5033.81701171875,4749.852983398438,CRISIL.BO,2024-12-12 11:05:34.909708
6,2024-12-05 00:00:00+05:30,5350.5,5410.89990234375,5310.5,5382.60009765625,1804,0.0,0.0,2024-12-05,5371.990014648438,113.34104899386048,5485.331063642298,5258.648965654577,5598.672112636159,5145.307916660717,24.602911006589235,51.9917602008263,284716,3434.5680333458545,4987.747774963909,4178.648136594554,42.93837815501257,5368.0,5425.5,5325.10009765625,5468.39990234375,5267.60009765625,5525.89990234375,5224.7001953125,-0.1714278189901815,-51.69273452221976,64.41796668664574,90.94427331180448,-26.52630662515874,55.782829804867944,37.27608041796265,5330.25,5371.990014648438,5020.595009765625,4740.4434814453125,CRISIL.BO,2024-12-12 11:05:34.909708
7,2024-12-04 00:00:00+05:30,5250.0,5423.0,5232.39990234375,5373.25,1913,0.0,0.0,2024-12-04,5377.6300048828125,116.65489162848174,5494.284896511294,5260.975113254331,5610.939788139776,5144.320221625849,-17.474557018661425,48.99011129518389,282912,3635.762389476326,5376.042710368422,4177.040845428759,37.46656562288314,5342.88330078125,5453.36669921875,5262.7666015625,5533.4833984375,5152.283203125,5643.966796875,5072.16650390625,-0.1947361190415594,-53.34571768680764,65.06227713203134,97.57584996809416,-32.51357283606282,55.42923439144019,37.42920546007129,5310.47001953125,5377.6300048828125,5005.866005859375,4729.16248046875,CRISIL.BO,2024-12-12 11:05:34.909708
8,2024-12-03 00:00:00+05:30,5284.0498046875,5335.89990234375,5227.10009765625,5240.7001953125,2954,0.0,0.0,2024-12-03,5381.647509765625,117.87334297987313,5499.520852745498,5263.774166785752,5617.394195725371,5145.900823805879,-85.10979804920758,36.23307125033852,280999,5475.745841936736,5811.112790591446,4175.345000200974,32.75985977930601,5267.900065104167,5308.700032552084,5199.900227864584,5376.699869791667,5159.100260416667,5417.499837239584,5091.100423177084,-0.22055626360892802,-76.77890562483869,65.82224062094883,105.70424317710984,-39.88200255616101,50.18530829411609,37.5941093515729,5291.6400390625,5381.647509765625,4992.081005859375,4718.142978515625,CRISIL.BO,2024-12-12 11:05:34.909708
9,2024-12-02 00:00:00+05:30,5246.0498046875,5361.35009765625,5246.0498046875,5283.5498046875,1771,0.0,0.0,2024-12-02,5393.3625,114.72899343953844,5508.091493439539,5278.633506560462,5622.820486879077,5163.904513120923,-60.134103680991124,44.15429704887931,283953,3309.693996076586,5894.954527755123,4173.007665984546,37.440431666803335,5296.983235677083,5347.916666666666,5232.616373697916,5412.283528645833,5181.682942708333,5463.216959635416,5117.316080729166,-0.1089892497845865,-69.20361758934992,78.85206493400165,115.67474381615008,-36.82267888214844,52.02262990155027,38.23447960678019,5315.7400390625,5393.3625,4981.927998046875,4708.922475585938,CRISIL.BO,2024-12-12 11:05:34.909708
10,2024-11-29 00:00:00+05:30,5245.0498046875,5475.9501953125,5245.0498046875,5371.14990234375,2665,0.0,0.0,2024-11-29,5389.560009765625,119.71214575677774,5509.2721555224025,5269.847864008848,5628.984301279181,5150.13571825207,14.58155910771702,59.504908946028515,285724,5063.0004021515715,6541.269660674758,4171.5450136206455,37.54874552705443,5364.049967447917,5483.050130208334,5252.149739583334,5594.950358072917,5133.149576822917,5713.950520833334,5021.249348958334,-0.08649794847063454,-53.71698932453768,90.11942294281016,124.88041353668717,-34.76099059387701,55.908180234934974,38.7337811461959,5317.46005859375,5389.560009765625,4970.796005859375,4698.898979492187,CRISIL.BO,2024-12-12 11:05:34.909708
