Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-02 00:00:00+05:30,475.0,486.20001220703125,472.3999938964844,481.79998779296875,55964,0.0,0.0,2024-09-02,415.50500335693357,29.217357695827786,444.72236105276136,386.2876456611058,473.93971874858914,357.070287965278,167.47889166774888,283.0168429312892,1138013,77645.78713783012,111691.99287378236,397.27423212380046,97.14466432739928,480.1333312988281,487.8666687011719,474.066650390625,493.933349609375,466.33331298828125,501.66668701171875,460.2666320800781,-0.24920824432317357,-14.597334422954132,14.77408968216588,7.764871079711302,7.0092186024545775,73.51270879974554,25.334294087845066,451.4200012207031,415.50500335693357,412.8576544189453,398.52470703125,DALMIASUG.BO,2024-09-02 11:01:58.416467
2,2024-08-30 00:00:00+05:30,464.04998779296875,499.20001220703125,462.95001220703125,467.70001220703125,347005,0.0,0.0,2024-08-30,411.43500366210935,24.83764568775837,436.2726493498677,386.597357974351,461.1102950376261,361.7597122865926,224.15725380889614,311.6125195869653,1082049,467353.4771775699,120203.54430777041,396.62910004037167,96.38111987608724,476.61667887369794,490.2833455403646,454.0333455403646,512.866678873698,440.36667887369794,526.5333455403646,417.7833455403646,-0.3143339896012061,-26.426171790393415,11.699475343717609,6.0125664290976575,5.686908914619951,70.47045983059951,23.074419562457567,440.1800048828125,411.43500366210935,411.8395617675781,397.5191638183594,DALMIASUG.BO,2024-09-02 11:01:58.416467
3,2024-08-29 00:00:00+05:30,453.5,453.5,434.6000061035156,442.1000061035156,51904,0.0,0.0,2024-08-29,408.457502746582,21.012520191871925,429.47002293845395,387.44498255471007,450.48254313032584,366.4324623628382,102.10274419618489,183.56781024933443,735044,66079.03826694052,33416.061090320545,393.098622261803,91.60080525306422,443.40000406901044,452.20000203450525,433.30000813802087,462.2999979654948,424.50001017252606,471.0999959309896,414.4000142415365,0.0909590856290771,-15.510195777529763,8.974406470475174,4.5908392004426695,4.383567270032504,63.37924445641408,20.640708535117184,433.8300048828125,408.457502746582,410.8741632080078,396.5379739379883,DALMIASUG.BO,2024-09-02 11:01:58.416467
4,2024-08-28 00:00:00+05:30,422.0,449.0,422.0,445.54998779296875,29500,0.0,0.0,2024-08-28,406.98000183105466,19.50744029998034,426.487442131035,387.47256153107435,445.99488243101536,367.965121231094,92.34754086922062,175.0147827550176,786948,37849.5583698205,25250.31679616555,392.7318014035864,90.03860246204417,438.84999593098956,455.69999186197913,428.69999186197913,465.84999593098956,411.84999593098956,482.69999186197913,401.69999186197913,0.14951389224510703,-4.775103400735294,7.87072940098102,3.494947382934544,4.3757820180464755,65.342860541323,19.816654503878986,431.65000610351564,406.98000183105466,410.4975317382812,395.738508605957,DALMIASUG.BO,2024-09-02 11:01:58.416467
5,2024-08-26 00:00:00+05:30,418.20001220703125,429.75,418.20001220703125,419.95001220703125,3787,0.0,0.0,2024-08-26,405.1125030517578,17.281505003433765,422.3940080551916,387.83099804832403,439.67551305862537,370.54949304489026,35.13934872416412,93.51776344219546,757448,4579.681418665155,22100.506402751813,392.50611672517823,88.73751745672564,422.6333414713542,427.0666707356771,415.51668294270837,434.18332926432294,411.08335367838544,438.61665852864587,403.9666951497396,0.0638274839882795,-35.73464423951378,5.998663904697992,2.4010018784229246,3.597662026275067,55.936415193017496,19.190578412862017,428.33001098632815,405.1125030517578,410.1835021972656,394.6722470092773,DALMIASUG.BO,2024-09-02 11:01:58.416467
6,2024-08-23 00:00:00+05:30,437.0,440.8999938964844,423.1499938964844,425.6000061035156,10547,0.0,0.0,2024-08-23,404.2900024414063,16.925962977454372,421.21596541886066,387.3640394639519,438.141928396315,370.43807648649755,73.19327191214771,143.0920087719506,761235,12926.261453309382,26480.71264877348,392.491054958303,87.51758579147022,429.8833312988281,436.6166687011719,418.8666687011719,447.6333312988281,412.1333312988281,454.3666687011719,401.1166687011719,0.07889441037266932,-27.67473924016026,6.032173646637091,1.501586371854158,4.530587274782933,59.23104012732658,19.872590363065775,428.28001098632814,404.2900024414063,409.84409973144534,393.8983749389648,DALMIASUG.BO,2024-09-02 11:01:58.416467
7,2024-08-22 00:00:00+05:30,434.20001220703125,445.0,429.5,435.95001220703125,37331,0.0,0.0,2024-08-22,402.9925018310547,16.184819882758838,419.17732171381357,386.80768194829585,435.36214159657237,370.62286206553705,119.40656334404252,191.3121004126869,771782,46865.006573020546,29869.3254476395,392.44037064661245,90.17779539228411,436.81667073567706,444.13334147135413,428.63334147135413,452.31667073567706,421.31667073567706,459.63334147135413,413.13334147135413,0.09250773248156152,-12.91010985021138,5.42724090754723,0.36893955315842464,5.058301354388805,65.82606543533322,20.080382810657035,424.65001220703124,402.9925018310547,409.3737512207031,393.169196472168,DALMIASUG.BO,2024-09-02 11:01:58.416467
8,2024-08-21 00:00:00+05:30,429.8500061035156,437.0,428.95001220703125,431.20001220703125,15720,0.0,0.0,2024-08-21,401.26500091552737,14.204656206932388,415.46965712245975,387.060344708595,429.67431332939213,372.8556885016626,146.2162491728323,167.79714854812366,734451,19519.72390764777,25620.40516629424,392.2033348809078,80.19693255484103,432.3833414713542,435.8166707356771,427.76668294270837,440.43332926432294,424.33335367838544,443.86665852864587,419.7166951497396,0.13135775353107362,-9.339753982150413,3.551193982797315,-0.8956357854387765,4.446829768236092,64.12373893704478,19.584645934059907,414.40001220703124,401.26500091552737,408.3534411621094,392.4102944946289,DALMIASUG.BO,2024-09-02 11:01:58.416467
9,2024-08-20 00:00:00+05:30,418.8999938964844,431.0,418.0,428.95001220703125,50123,0.0,0.0,2024-08-20,399.3199996948242,12.444146511259607,411.7641462060838,386.87585318356463,424.20829271734345,374.431706672305,178.23450529497254,131.61332169088502,718731,61913.60694645985,27145.575480955857,392.11366711381544,80.06177711706732,425.98333740234375,433.9666748046875,420.9666748046875,438.98333740234375,412.98333740234375,446.9666748046875,407.9666748046875,0.1717840403741592,-3.6541667913299625,1.5632824809160297,-2.0073432274977994,3.570625708413829,63.32006353580979,19.63296886021064,407.70001220703125,399.3199996948242,407.388251953125,391.6580163574219,DALMIASUG.BO,2024-09-02 11:01:58.416467
10,2024-08-19 00:00:00+05:30,407.0,423.0,405.29998779296875,419.70001220703125,33346,0.0,0.0,2024-08-19,397.6849990844727,10.31172450281182,407.9967235872845,387.37327458166084,418.3084480900963,377.06155007884905,203.22815027850564,63.696596087176836,668608,40301.8601907656,18453.56761457986,391.84160657081844,74.62541352548024,416.0,426.70001220703125,409.0,433.70001220703125,398.29998779296875,444.4000244140625,391.29998779296875,0.0541678767933398,-6.860680611696543,-0.7839418280215682,-2.899999654601257,2.1160578265796888,59.890012707016744,20.16679229592769,400.94000854492185,397.6849990844727,406.22679321289064,390.9392050170898,DALMIASUG.BO,2024-09-02 11:01:58.416467
11,2024-08-16 00:00:00+05:30,387.0,414.04998779296875,386.75,407.45001220703125,24908,0.0,0.0,2024-08-16,396.61499786376953,8.924009419581926,405.53900728335145,387.6909884441876,414.4630167029334,378.7669790246057,151.40221012510028,-24.160752263259976,635262,29225.06976840236,12991.494470533424,391.70404688873276,70.9577277320144,402.75,418.75,391.45001220703125,430.04998779296875,375.45001220703125,446.04998779296875,364.1500244140625,-0.09415377945225183,-25.769637902200397,-2.866237468585325,-3.429014111246179,0.5627766426608538,54.678199956882146,21.452260759831727,394.7900085449219,396.61499786376953,405.4497308349609,390.31787841796876,DALMIASUG.BO,2024-09-02 11:01:58.416467
12,2024-08-14 00:00:00+05:30,407.0,407.0,382.0,384.70001220703125,7115,0.0,0.0,2024-08-14,396.72749786376954,9.080597817787188,405.8080956815567,387.64690004598236,414.8886934993439,378.5663022281952,5.320671662774872,-96.99211106719127,610354,7882.055143947775,8933.100646066188,391.64575554173945,68.32436404881935,391.23333740234375,400.4666748046875,375.4666748046875,416.23333740234375,366.23333740234375,425.4666748046875,350.4666748046875,-0.1808183160975996,-77.65104459184745,-4.282339652813391,-3.5697082719113924,-0.7126313809019988,41.589837128785895,22.45117086641556,390.81000366210935,396.72749786376954,404.41020446777344,389.83550201416017,DALMIASUG.BO,2024-09-02 11:01:58.416467
13,2024-08-13 00:00:00+05:30,399.0,406.0,388.0,397.70001220703125,14067,0.0,0.0,2024-08-13,398.0649978637695,9.185233487574962,407.2502313513445,388.87976437619454,416.4354648389194,379.6945308886196,37.822285792448,-66.09488277951347,617469,16110.145254836229,9195.86202159579,391.6531082795202,74.75107913147582,397.23333740234375,406.4666748046875,388.4666748046875,415.23333740234375,379.23333740234375,424.4666748046875,370.4666748046875,-0.19080998654952724,-48.00452648347771,-3.789965333335431,-3.3915504266858925,-0.3984149066495384,49.11609867580672,22.6984574195662,391.8299987792969,398.0649978637695,404.3311480712891,389.55869232177736,DALMIASUG.BO,2024-09-02 11:01:58.416467
14,2024-08-12 00:00:00+05:30,380.0,399.0,380.0,395.1499938964844,3188,0.0,0.0,2024-08-12,398.45499725341796,9.333318420306156,407.7883156737241,389.1216788331118,417.12163409403024,379.7883604128057,-19.127615167666747,-105.90874991261003,603402,3627.6272595060464,7467.291213285681,391.64042592456605,72.18183112938488,391.3833312988281,402.76666259765625,383.76666259765625,410.3833312988281,372.3833312988281,421.76666259765625,364.76666259765625,-0.25063810999477715,-53.81984679273174,-4.382456313195689,-3.291946700023508,-1.0905096131721814,47.38173257862422,23.493773034420425,389.0199951171875,398.45499725341796,403.76777099609376,389.1947528076172,DALMIASUG.BO,2024-09-02 11:01:58.416467
15,2024-08-09 00:00:00+05:30,382.0,392.70001220703125,382.0,388.95001220703125,3778,0.0,0.0,2024-08-09,399.81749725341797,10.712554155138653,410.53005140855663,389.1049430982793,421.2426055636953,378.39238894314065,-49.87001721145463,-134.38327874445798,600214,4231.536657189919,8427.207201730589,391.63875697276114,62.917465312562335,387.8833414713542,393.76668294270837,383.0666707356771,398.58335367838544,377.18332926432294,404.4666951497396,372.36665852864587,-0.2749656691855652,-67.9589136718035,-4.823485289960047,-3.0193192967304627,-1.8041659932295842,42.995011058479385,23.471953228805077,386.09999389648436,399.81749725341797,403.1267834472656,388.7451498413086,DALMIASUG.BO,2024-09-02 11:01:58.416467
16,2024-08-08 00:00:00+05:30,382.75,393.3999938964844,382.75,387.54998779296875,5380,0.0,0.0,2024-08-08,401.5699966430664,11.665702405475903,413.2356990485423,389.90429423759053,424.90140145401824,378.2385918321146,-60.985604006280624,-142.12711747693308,596436,6004.161531004529,9476.124837865756,391.6402730738954,62.78449888963095,387.8999938964844,393.04998779296875,382.3999938964844,398.54998779296875,377.25,403.6999816894531,371.75,-0.26178271883781973,-71.15167129823917,-4.704448657614364,-2.5682777984230665,-2.1361708591912976,41.98080337793731,22.564800305226644,387.5299926757813,401.5699966430664,402.7872583007813,388.59632385253906,DALMIASUG.BO,2024-09-02 11:01:58.416467
17,2024-08-07 00:00:00+05:30,376.75,392.6000061035156,376.75,389.79998779296875,9386,0.0,0.0,2024-08-07,402.9199966430664,11.519213153281864,414.4392097963482,391.40078348978454,425.9584229496301,379.88157033650265,-86.25321161661027,-156.7196473198886,601816,10535.732500601302,10344.115664581062,391.64356008659,55.02905156813455,386.3833312988281,396.01666259765625,380.1666564941406,402.23333740234375,370.5333251953125,411.8666687011719,364.316650390625,-0.2660560620413434,-66.02054316409824,-4.342884979095686,-2.0342350836252416,-2.3086498954704444,43.12584546741938,21.639483789436103,390.09999389648436,402.9199966430664,402.43685119628907,388.5073590087891,DALMIASUG.BO,2024-09-02 11:01:58.416467
18,2024-08-06 00:00:00+05:30,374.8999938964844,387.8500061035156,374.8999938964844,383.6499938964844,2366,0.0,0.0,2024-08-06,404.43249664306643,11.690531484278328,416.12302812734475,392.7419651587881,427.8135596116231,381.0514336745098,-145.44681581781964,-183.86134573839536,592430,2613.9200519619662,10296.211455576004,391.64614839208417,50.69852102878142,382.1333312988281,389.3666687011719,376.4166564941406,395.0833435058594,369.1833190917969,402.3166809082031,363.4666442871094,-0.2509599358769715,-80.0456128116742,-4.035763527369511,-1.4570726097576303,-2.5786909176118806,38.89575137382109,20.535589812807277,393.7699951171875,404.43249664306643,402.1341632080078,388.5299884033203,DALMIASUG.BO,2024-09-02 11:01:58.416467
19,2024-08-05 00:00:00+05:30,385.0,387.3999938964844,377.0,380.54998779296875,7561,0.0,0.0,2024-08-05,405.4374969482422,10.6253293950208,416.062826343263,394.8121675532214,426.6881557382838,384.1868381582006,-179.1858717649513,-186.61310909226182,590064,8285.778414286327,12216.784306479512,391.6489792916108,55.02231769801021,381.6499938964844,386.29998779296875,375.8999938964844,392.04998779296875,371.25,396.6999816894531,365.5,-0.26471800634711906,-92.18924787787063,-2.9757258527426416,-0.81239988035466,-2.1633259723879816,36.69182667697538,18.712201341457153,399.54999389648435,405.4374969482422,401.98338806152344,388.60265258789065,DALMIASUG.BO,2024-09-02 11:01:58.416467
20,2024-08-02 00:00:00+05:30,402.0,402.0,393.0,396.1000061035156,4474,0.0,0.0,2024-08-02,406.617497253418,8.883682285520399,415.5011795389384,397.73381496789756,424.38486182445877,388.8501326823772,-61.2563394055375,-83.70736847743558,597625,5103.207098879856,13199.535779527809,391.6615506707697,49.389600300684236,397.03333536783856,401.0666707356771,392.0666707356771,406.03333536783856,388.03333536783856,410.0666707356771,383.0666707356771,-0.26454869224588173,-62.07302361894519,-1.2681660189309696,-0.27156838725766463,-0.996597631673305,44.10075481421456,16.85809887220129,405.0799987792969,406.617497253418,401.8587219238281,388.8085073852539,DALMIASUG.BO,2024-09-02 11:01:58.416467
21,2024-08-01 00:00:00+05:30,415.95001220703125,415.95001220703125,398.75,400.3999938964844,17935,0.0,0.0,2024-08-01,407.2849975585938,8.546993302594371,415.83199086118816,398.7380042559994,424.3789841637825,390.19101095340505,30.866275525923783,-26.416485739103315,602099,20679.393990697456,15223.617949689797,391.6585739425743,52.97031352472141,405.03333536783856,411.3166707356771,394.11665852864587,422.2333475748698,387.8333231608073,428.51668294270837,376.9166463216146,-0.2763827436158173,-62.22223352502893,-0.5941985498784561,-0.022418979339338424,-0.5717795705391177,46.512369339061074,15.83147549606506,406.55999755859375,407.2849975585938,401.42205810546875,388.8174871826172,DALMIASUG.BO,2024-09-02 11:01:58.416467
22,2024-07-31 00:00:00+05:30,416.0,418.75,406.3999938964844,408.1499938964844,15187,0.0,0.0,2024-07-31,408.0749984741211,8.60710531938634,416.68210379350745,399.4678931547348,425.2892091128938,390.86078783534845,93.57796107733164,15.407254064617337,620034,17849.8327707371,13859.67393943788,391.6350091357309,61.770277104663684,411.09999593098956,415.79999796549475,403.44999186197913,423.4500020345052,398.74998982747394,428.1500040690104,391.0999857584635,-0.22125504875994875,-47.870381673177086,-0.14579659487071694,0.12052591329544099,-0.26632250816615793,51.19794507189952,15.152392708815782,406.4099975585938,408.0749984741211,401.0549237060547,388.65784759521483,DALMIASUG.BO,2024-09-02 11:01:58.416467
23,2024-07-30 00:00:00+05:30,400.1499938964844,418.6000061035156,400.1499938964844,412.54998779296875,9674,0.0,0.0,2024-07-30,408.3099990844727,8.673169594278567,416.98316867875127,399.6368294901941,425.6563382730298,390.96365989591555,76.9258576204267,15.100444938881928,635221,11492.778220334096,12862.134231613074,391.5972238079427,56.02725313272577,410.43332926432294,420.7166646321615,402.26665242513025,428.8833414713542,391.9833170572917,439.16667683919275,383.816640218099,-0.1852595645208765,-39.722244827835645,-0.3327547495218255,0.1871065403369805,-0.519861289858806,54.06947217230154,15.051739686144206,405.05999755859375,408.3099990844727,400.50288024902346,388.4177166748047,DALMIASUG.BO,2024-09-02 11:01:58.416467
