Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-11 00:00:00+05:30,234.1999969482422,244.9499969482422,234.1999969482422,239.9499969482422,118460,0.0,0.0,2025-08-11,251.31999816894532,8.333137095779778,259.6531352647251,242.98686107316553,267.98627236050487,234.65372397738577,-90.83475098790484,-132.05723683111066,139760320,183147.40462248906,150417.77068017595,213.04951473070233,46.74675681321878,239.6999969482422,245.1999969482422,234.4499969482422,250.4499969482422,228.9499969482422,255.9499969482422,223.6999969482422,-0.046513786042784964,-77.08334657880755,-3.744827742753756,-2.105615458841793,-1.6392122839119634,42.11513984634771,21.42277004309291,241.45999755859376,251.31999816894532,256.4139987182617,237.09109954833986,DCAL.NS,2025-08-11 11:03:02.595803
2,2025-08-08 00:00:00+05:30,239.64999389648438,244.39999389648438,234.0,236.14999389648438,55351,0.0,0.0,2025-08-08,251.80999832153321,7.906587083216178,259.71658540474937,243.90341123831703,267.6231724879656,235.99682415510085,-126.01326985739098,-152.60327387597238,139641860,84221.25366744318,142235.36219459766,213.0422219364183,39.13482339998107,238.1833292643229,242.36665852864581,231.96666463216144,248.58332316080728,227.78333536783853,252.7666524251302,221.56667073567706,-0.09024164832007951,-88.39287741654216,-3.4878267863607846,-1.6958123878638016,-1.792014398496983,38.61437284633495,20.9537737737418,243.5199981689453,251.80999832153321,257.0139990234375,236.7904995727539,DCAL.NS,2025-08-11 11:03:02.595803
3,2025-08-07 00:00:00+05:30,245.0,245.0,234.0,239.64999389648438,206456,0.0,0.0,2025-08-07,252.74499893188477,7.012356209915038,259.7573551417998,245.73264272196974,266.7697113517148,238.72028651205468,-147.60641039084916,-144.38216280570765,139697211,318796.26361328346,156738.88932638627,213.03929441061652,39.00226151376037,239.54999796549478,245.09999593098956,234.09999593098956,250.54999796549478,228.54999796549478,256.09999593098956,223.09999593098956,-0.05826061605214583,-77.9762126420861,-2.7316990979063576,-1.2478087882395559,-1.4838903096668017,40.720635511468394,20.34353837491217,245.21999816894532,252.74499893188477,257.6173992919922,236.49199966430663,DCAL.NS,2025-08-11 11:03:02.595803
4,2025-08-06 00:00:00+05:30,248.0,249.0,240.1999969482422,241.9499969482422,48220,0.0,0.0,2025-08-06,253.49749908447265,6.304999617904951,259.8024987023776,247.1924994665677,266.10749832028256,240.88749984866274,-104.81957002285533,-106.9101492856397,139903667,75172.86779802597,116224.54575466194,213.02671366852948,43.93804495966961,243.71666463216147,247.23333231608075,238.43332926432294,252.51666768391928,234.91666158040366,256.03333536783856,229.63332621256512,-0.08177360710210575,-71.6788410270301,-2.0669341165077526,-0.8768362108228556,-1.190097905684897,42.122656131574914,19.686361791557182,248.13999938964844,253.49749908447265,258.1397991943359,236.2304997253418,DCAL.NS,2025-08-11 11:03:02.595803
5,2025-08-05 00:00:00+05:30,250.0,255.0,244.10000610351562,249.60000610351562,31551,0.0,0.0,2025-08-05,254.38249893188475,5.8226024009934765,260.20510133287826,248.55989653089128,266.0277037338717,242.7372941298978,-23.0966658530931,-56.946235129825126,139951887,50741.816671544846,126487.46524382093,213.0235195927566,49.104267596271555,249.5666707356771,255.03333536783856,244.13334147135419,260.4666646321615,238.66667683919272,265.93332926432294,233.2333475748698,-0.056470333933073394,-52.78909903805272,-1.4110317648673742,-0.5793117344016312,-0.831720030465743,47.13488923379035,19.61496164857427,250.95,254.38249893188475,258.64859954833986,235.91209976196288,DCAL.NS,2025-08-11 11:03:02.595803
6,2025-08-04 00:00:00+05:30,248.0,252.1999969482422,242.0500030517578,250.25,64571,0.0,0.0,2025-08-04,254.85499801635743,5.797455805870619,260.65245382222804,249.05754221048682,266.4499096280987,243.26008640461617,-51.488079830094655,-70.51463873725045,139983438,104116.57904470741,145423.87738688994,213.02087647255718,53.95113775302612,248.16666666666666,254.2833302815755,244.13333638509113,258.316660563151,238.01667277018228,264.4333241780599,233.98334248860675,-0.09899245581104253,-51.02040816326531,-1.3033087198795386,-0.37138172678519543,-0.9319269930943431,47.581595194537975,19.983233764579616,251.6699981689453,254.85499801635743,258.99279937744143,235.56439971923828,DCAL.NS,2025-08-11 11:03:02.595803
7,2025-08-01 00:00:00+05:30,256.5,256.5,242.39999389648438,244.64999389648438,63666,0.0,0.0,2025-08-01,255.64249801635742,6.195080051664844,261.83757806802225,249.4474179646926,268.0326581196871,243.25233791302773,-69.50859870311139,-75.55867110090229,139918867,100360.09547479567,155750.70197243558,213.01536983672403,53.903790178488116,247.8499959309896,253.2999979654948,239.19999186197919,261.95000203450525,233.74998982747397,267.40000406901044,225.09998575846356,-0.10650159767356425,-66.25852000956633,-1.2096580275430995,-0.13839997851160957,-1.0712580490314898,43.28132953681415,19.928633373022365,249.8499969482422,255.64249801635742,259.42539947509766,235.20039978027344,DCAL.NS,2025-08-11 11:03:02.595803
8,2025-07-31 00:00:00+05:30,253.9499969482422,257.8999938964844,246.10000610351562,254.25,71043,0.0,0.0,2025-07-31,256.5299980163574,5.795991349874978,262.32598936623236,250.73400666648243,268.1219807161074,244.93801531660745,-18.89197799757814,-40.77809546680205,139982533,116383.26743024198,169598.35359684555,213.010755602706,51.51064354164468,252.75,259.3999938964844,247.60000610351562,264.54998779296875,240.95001220703125,271.1999816894531,235.80001831054688,-0.04188888825790494,-40.136054421768705,-0.5199128578033765,0.12941453374626294,-0.6493273915496394,49.782416613355394,19.90621875387063,250.92999877929688,256.5299980163574,259.57379974365233,234.84309982299806,DCAL.NS,2025-08-11 11:03:02.595803
9,2025-07-30 00:00:00+05:30,257.70001220703125,265.8500061035156,252.0,256.0,194928,0.0,0.0,2025-07-30,256.61499786376953,5.773215420925852,262.3882132846954,250.84178244284368,268.16142870562123,245.06856702191783,34.29182311230509,-4.8938187640673165,140053576,321530.7279718681,182902.12513849643,213.0040423644947,50.642252142052065,257.9500020345052,263.9000040690104,250.04999796549475,271.8000081380208,244.09999593098956,277.750010172526,236.19999186197913,-0.038571343728800354,-35.374149659863946,-0.5744077058645871,0.2917463816336728,-0.8661540874982598,51.08117510984242,20.26374201466639,250.78999938964844,256.61499786376953,259.39359985351564,234.32669982910156,DCAL.NS,2025-08-11 11:03:02.595803
10,2025-07-29 00:00:00+05:30,241.14999389648438,253.1999969482422,232.25,253.1999969482422,95722,0.0,0.0,2025-07-29,256.49999771118166,5.808907936568693,262.30890564775035,250.69108977461298,268.11781358431904,244.8821818380443,-115.46469129100386,-90.55510670569689,139858648,156165.01665243207,148244.9744301535,212.9848293308512,39.64769888268462,246.21666463216147,260.18332926432294,239.23333231608075,267.1666615804037,225.26666768391928,281.1333262125651,218.28333536783856,0.00258918995383163,-42.99320558301446,-0.807822962763197,0.5082849035082377,-1.3161078662714347,49.10860673103826,21.30991789920891,251.81000061035155,256.49999771118166,258.6743997192383,233.7901998901367,DCAL.NS,2025-08-11 11:03:02.595803
