Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-03 00:00:00+05:30,153.10000610351562,153.10000610351562,146.64999389648438,149.5,10726,0.0,0.0,2025-02-03,161.25499954223633,10.111157204041058,171.3661567462774,151.14384233819527,181.47731395031846,141.0326851341542,-45.71392322104477,-99.80727328966503,756291,16866.62846260181,33277.28608967919,147.8624390939685,40.92303276968638,149.75,152.85000610351562,146.39999389648438,156.20001220703125,143.29998779296875,159.30001831054688,139.94998168945312,-0.23795606899740296,-71.10552985374183,-4.2214605000120855,-2.303042539959444,-1.9184179600526416,40.17307311102277,26.2506461742564,149.02000122070314,161.25499954223633,161.75800079345703,153.7347917175293,DEVIT.BO,2025-02-03 11:16:54.189763
2,2025-02-01 00:00:00+05:30,152.5500030517578,152.5500030517578,147.0,150.10000610351562,7689,0.0,0.0,2025-02-01,162.48999938964843,10.108263818941634,172.59826320859005,152.3817355707068,182.7065270275317,142.27347175176516,-52.74799589053907,-102.27821468483202,767017,12139.4738503174,37379.95049644853,147.86034394498446,47.22331860304675,149.88333638509116,152.7666727701823,147.2166697184245,155.43333943684897,144.33333333333334,158.31667582194012,141.66666666666669,-0.2759488523802834,-69.59797694542836,-4.0756221520762494,-1.823438049946283,-2.2521841021299664,40.63978768576667,27.648883261841725,148.12000122070313,162.48999938964843,162.2040008544922,153.5473945617676,DEVIT.BO,2025-02-03 11:16:54.189763
3,2025-01-31 00:00:00+05:30,155.39999389648438,155.39999389648438,146.39999389648438,148.0,9692,0.0,0.0,2025-01-31,163.5799987792969,9.874574050327855,173.45457282962474,153.70542472896904,183.3291468799526,143.83085067864118,-63.07090649404069,-106.27427398559838,759328,15087.747730680016,43690.06965798131,147.85828790984084,52.479851645691355,149.9333292643229,153.46666463216144,144.46666463216144,158.9333292643229,140.9333292643229,162.46666463216144,135.46666463216144,-0.34855985757527086,-74.87437378586246,-3.8862445326852537,-1.2603920244137912,-2.6258525082714623,38.3105680622461,29.05809451587859,148.68999938964845,163.5799987792969,162.40933380126953,153.36745223999023,DEVIT.BO,2025-02-03 11:16:54.189763
4,2025-01-30 00:00:00+05:30,150.35000610351562,153.4499969482422,146.85000610351562,149.0,8080,0.0,0.0,2025-01-30,165.48249893188478,10.367996391381627,175.85049532326641,155.11450254050314,186.21849171464802,144.74650614912153,-79.5893751559607,-112.54312807420254,769020,12663.300777403683,50840.650139806625,147.85812373700244,45.66325599380303,149.76666768391928,152.68332926432294,146.08333841959637,156.36665852864584,143.16667683919272,159.2833201090495,139.4833475748698,-0.18041192948352275,-72.36181116444871,-3.3780825168659305,-0.6039288973459254,-2.774153619520005,38.987010667517914,30.5757066356106,150.72999877929686,165.48249893188478,162.49789764404298,153.2359178161621,DEVIT.BO,2025-02-03 11:16:54.189763
5,2025-01-29 00:00:00+05:30,147.1999969482422,152.25,147.1999969482422,148.5,21766,0.0,0.0,2025-01-29,166.32749862670897,9.615318577482642,175.9428172041916,156.71218004922633,185.55813578167425,147.0968614717437,-104.16497957206887,-123.85313210189881,760940,33998.078444634055,60384.987480407355,147.85701983364862,37.97833496571556,149.31666564941406,151.43333435058594,146.38333129882812,154.36666870117188,144.26666259765625,156.48333740234375,141.3333282470703,-0.17829328067492867,-73.61809247515559,-2.7747829281750853,0.08960950753407593,-2.8643924357091612,38.48270375355214,31.900373701448736,153.96999816894532,166.32749862670897,162.67829864501954,153.07843688964843,DEVIT.BO,2025-02-03 11:16:54.189763
6,2025-01-28 00:00:00+05:30,151.0,152.39999389648438,138.0,145.0,49024,0.0,0.0,2025-01-28,167.15749893188476,8.664937501097299,175.82243643298204,158.49256143078748,184.48737393407936,149.82762392969016,-185.07750734501678,-172.0797711775153,739174,74769.7690130229,66981.71473935067,147.85534099357844,38.428404353999575,145.13333129882812,152.26666259765625,137.86666870117188,159.5333251953125,130.73333740234375,166.66665649414062,123.4666748046875,-0.17151013024762674,-84.84848384764594,-1.911092046772751,0.8057076164613661,-2.7167996632341174,34.989962687396456,33.13951570825689,158.30999755859375,167.15749893188476,162.9056460571289,152.95336380004883,DEVIT.BO,2025-02-03 11:16:54.189763
7,2025-01-27 00:00:00+05:30,157.85000610351562,157.89999389648438,148.25,152.9499969482422,33881,0.0,0.0,2025-01-27,168.19749908447267,6.942613363026307,175.14011244749898,161.25488572144636,182.0827258105253,154.31227235842005,-222.32456376456068,-110.53788510678334,788198,54507.33965111925,65034.70117093262,147.87223222917652,37.52370749576542,153.03333028157553,157.81666056315106,148.16666666666669,162.6833241780599,143.38333638509116,167.46665445963544,138.5166727701823,-0.17424234995508645,-86.92629388812229,-0.43165308426867455,1.4849075322698955,-1.91656061653857,39.75012859878749,34.47397633097336,163.87999877929687,168.19749908447267,163.2109817504883,152.89767517089842,DEVIT.BO,2025-02-03 11:16:54.189763
8,2025-01-24 00:00:00+05:30,162.0,165.5,156.6999969482422,158.1999969482422,31312,0.0,0.0,2025-01-24,168.80499954223632,6.006683694501546,174.81168323673785,162.79831584773478,180.8183669312394,156.79163215323322,-180.91303984249367,-43.39601045508346,822079,52103.46096715069,67666.54155088596,147.85138719131862,52.96112183708518,160.13333129882812,163.56666564941406,154.76666259765625,168.93333435058594,151.3333282470703,172.36666870117188,145.96665954589844,-0.18771538596768397,-95.34883720930233,0.6860630559175149,1.964047686404538,-1.277984630487023,43.368021545743304,37.1222454574444,166.81999816894532,168.80499954223632,163.55003692626954,152.749031829834,DEVIT.BO,2025-02-03 11:16:54.189763
9,2025-01-23 00:00:00+05:30,176.3000030517578,176.3000030517578,163.60000610351562,165.1999969482422,24164,0.0,0.0,2025-01-23,169.4724998474121,5.485303629318574,174.95780347673067,163.98719621809354,180.44310710604927,158.50189258877495,1.5459537139585384,40.62025395294991,853391,41988.28681617257,71557.31169681977,147.81197618614226,46.77481091852155,168.36666870117188,173.13333129882812,160.43333435058594,181.06666564941406,155.6666717529297,185.8333282470703,147.73333740234375,-0.23779197376407066,-76.73667961815062,1.5896380678844082,2.2835438440262936,-0.6939057761418854,48.8756376854716,38.679836116800324,168.40999755859374,169.4724998474121,163.36969512939453,152.5219755554199,DEVIT.BO,2025-02-03 11:16:54.189763
10,2025-01-22 00:00:00+05:30,173.0,177.0,166.75,170.1999969482422,20435,0.0,0.0,2025-01-22,170.0175003051758,5.57915108795576,175.59665139313154,164.43834921722004,181.17580248108732,158.85919812926426,54.2694422921929,71.52924875974446,877555,36583.350933800844,78949.56791698157,147.76072287550258,58.98930701415371,171.31666564941406,175.88333129882812,165.63333129882812,181.56666564941406,161.06666564941406,186.13333129882812,155.38333129882812,-0.1688157826050742,-63.03031227805398,2.033008529146798,2.4570202880617646,-0.42401175891496656,53.37124838517692,39.04311078743336,168.9999969482422,170.0175003051758,163.14721130371095,152.18505340576172,DEVIT.BO,2025-02-03 11:16:54.189763
