Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-12-05 00:00:00+05:30,17.760000228881836,18.469999313354492,17.6200008392334,17.989999771118164,378683,0.0,0.0,2024-12-05,17.28699998855591,0.650822136203578,17.937822124759485,16.636177852352333,18.588644260963065,15.985355716148753,89.97156923962613,28.851473975007227,41409380,470925.6989265021,386020.31369568506,19.49622064992269,59.294043547881216,18.02666664123535,18.433332443237305,17.58333396911621,18.876665115356445,17.176668167114258,19.2833309173584,16.733335494995117,-0.19462084214810738,-15.14194558639705,-0.03194451144022992,-0.2017475225309528,0.16980301109072288,56.47506450348107,16.4450538801461,17.863999938964845,17.28699998855591,18.037600021362305,18.950212211608886,DPSCLTD.NS,2024-12-05 10:51:49.352851
2,2024-12-04 00:00:00+05:30,17.850000381469727,17.979999542236328,17.610000610351562,17.75,197588,0.0,0.0,2024-12-04,17.29350004196167,0.6588129802327687,17.95231302219444,16.634687061728904,18.61112600242721,15.975874081496134,82.31403296092427,3.3763598648173483,41030697,242440.0399205903,364793.9673879808,19.497510355292356,49.90285708453459,17.78000005086263,17.949999491373696,17.58000055948893,18.149998982747395,17.410001118977863,18.31999842325846,17.210001627604164,-0.15036416722366144,-18.060226910641376,-0.08654212133009054,-0.2441982753036335,0.15765615397354296,53.628248335014575,16.696559412785977,17.672000122070312,17.29350004196167,18.044800033569334,18.956293296813964,DPSCLTD.NS,2024-12-05 10:51:49.352851
3,2024-12-03 00:00:00+05:30,17.979999542236328,18.06999969482422,17.520000457763672,17.65999984741211,359373,0.0,0.0,2024-12-03,17.303999996185304,0.6680797343189364,17.97207973050424,16.635920261866367,18.640159464823178,15.96784052754743,102.46222424744684,-0.8390057036791112,40833109,438714.0718706693,395382.44925482833,19.498291444133,44.67079146067944,17.75,17.979999542236328,17.43000030517578,18.299999237060547,17.200000762939453,18.529998779296875,16.880001068115234,-0.14338840205093295,-21.070264729081604,-0.13149602136183347,-0.28361231379701923,0.15211629243518576,52.547493902021074,17.819789834430807,17.481999969482423,17.303999996185304,18.055800018310546,18.963876876831055,DPSCLTD.NS,2024-12-05 10:51:49.352851
4,2024-12-02 00:00:00+05:30,18.260000228881836,18.290000915527344,17.530000686645508,17.84000015258789,234656,0.0,0.0,2024-12-02,17.330000019073488,0.6923415919988947,18.02234161107238,16.637658427074594,18.714683203071278,15.945316835075698,164.26620749887053,8.446627592549586,41192482,289382.28478162654,384549.543600868,19.499787105106144,44.34556002909556,17.886667251586914,18.24333381652832,17.483333587646484,18.64666748046875,17.126667022705078,19.003334045410156,16.72333335876465,-0.10303812103445617,-15.050189092201148,-0.17819462044515433,-0.3216413869058156,0.1434467664606613,54.92481268064916,19.029422596202163,17.27599983215332,17.330000019073488,18.061000022888184,18.96887020111084,DPSCLTD.NS,2024-12-05 10:51:49.352851
5,2024-11-29 00:00:00+05:30,17.030000686645508,18.219999313354492,16.899999618530273,18.079999923706055,614212,0.0,0.0,2024-11-29,17.33150005340576,0.6935361891574003,18.02503624256316,16.637963864248363,18.718572431720563,15.94442767509096,225.8584811441652,-8.230352752591465,41427138,767648.0403177185,408341.35830567835,19.50066934787544,38.97672772205776,17.733332951863606,18.566666285196938,17.24666659037272,19.053332646687824,16.413333257039387,19.886665980021156,15.9266668955485,-0.11135675537002994,-9.740238226685365,-0.2530103626533098,-0.35750307852098095,0.10449271586767117,58.18387056538782,20.314426819797923,17.01599998474121,17.33150005340576,18.069381103515624,18.971963806152345,DPSCLTD.NS,2024-12-05 10:51:49.352851
6,2024-11-28 00:00:00+05:30,16.969999313354492,17.5,16.799999237060547,17.030000686645508,277983,0.0,0.0,2024-11-28,17.316500091552733,0.6795996210158746,17.996099712568608,16.636900470536858,18.675699333584483,15.957300849520983,123.03517454429672,-61.631302022935486,40812926,327248.9992856445,318514.6878026683,19.502648686436736,34.2973056064573,17.109999974568684,17.42000071207682,16.719999949137367,17.810000737508137,16.40999921162923,18.120001475016274,16.019999186197914,-0.17401711977736828,-44.19352208910089,-0.36860003486851767,-0.3836262574878987,0.015026222619381024,44.90226374810848,21.809838357438625,16.738000106811523,17.316500091552733,18.074358291625977,18.968768253326417,DPSCLTD.NS,2024-12-05 10:51:49.352851
7,2024-11-27 00:00:00+05:30,16.959999084472656,17.0,16.700000762939453,16.799999237060547,164434,0.0,0.0,2024-11-27,17.326000022888184,0.6767057500197705,18.002705772907955,16.649294272868413,18.679411522927726,15.972588522848643,8.58895600231647,-86.8234126794617,40534943,190961.715583858,316331.10993192426,19.504208825185877,34.18733083499038,16.833333333333332,16.96666590372721,16.666666666666664,17.13333257039388,16.533334096272785,17.266665140787758,16.366667429606117,-0.12597732065994677,-51.61292505810493,-0.4075959776931093,-0.387382813142744,-0.020213164550365315,41.09687548671742,22.294759456693704,16.71800003051758,17.326000022888184,18.106518211364747,18.97258243560791,DPSCLTD.NS,2024-12-05 10:51:49.352851
8,2024-11-26 00:00:00+05:30,16.700000762939453,16.799999237060547,16.469999313354492,16.6299991607666,164950,0.0,0.0,2024-11-26,17.338000106811524,0.6689709848370474,18.006971091648573,16.669029121974475,18.67594207648562,16.00005813713743,-45.44726180610785,-104.6156844265587,40370509,189622.54510111944,347673.45851894084,19.50521848897609,37.20207939324203,16.63333257039388,16.796665827433266,16.46666590372721,16.963332494099934,16.303332646687824,17.12666575113932,16.136665980021156,-0.07876337074921558,-57.096799499167076,-0.42869524691557714,-0.38232952200515263,-0.04636572491042451,38.16577617101516,21.75730954708309,16.6560001373291,17.338000106811524,18.1478653717041,18.97899580001831,DPSCLTD.NS,2024-12-05 10:51:49.352851
9,2024-11-25 00:00:00+05:30,16.899999618530273,17.09000015258789,15.300000190734863,16.540000915527344,483451,0.0,0.0,2024-11-25,17.341500186920165,0.6652444823437977,18.006744669263963,16.676255704576366,18.67198915160776,16.01101122223257,-94.71880219045501,-131.4344836413893,40205559,552755.9375079855,387186.1868733962,19.506295774443828,31.90452323674738,16.3100004196167,17.320000648498535,15.530000686645508,18.100000381469727,14.520000457763672,19.110000610351562,13.74000072479248,-0.04088358836351482,-60.50953537539077,-0.4324708909530308,-0.3707380907775465,-0.061732800175484326,36.615225161217886,20.717561752488898,16.620000457763673,17.341500186920165,18.19739917755127,18.98671028137207,DPSCLTD.NS,2024-12-05 10:51:49.352851
10,2024-11-22 00:00:00+05:30,17.190000534057617,17.239999771118164,16.520000457763672,16.690000534057617,190361,0.0,0.0,2024-11-22,17.35000009536743,0.6554790050821183,18.00547910044955,16.694521090285313,18.660958105531666,16.039042085203196,-46.83438539774532,-101.89404944445221,40689010,219623.9773641015,345793.7492147489,19.50955677944513,38.6084498469681,16.816666920979817,17.11333338419596,16.39333407084147,17.53666623433431,16.096667607625324,17.833332697550453,15.673334757486977,-0.07762747427193592,-76.08691866323123,-0.4218888066523796,-0.3553048907336754,-0.06658391591870422,38.0935598589332,19.597833358310538,16.588000106811524,17.35000009536743,18.23357521057129,18.99612253189087,DPSCLTD.NS,2024-12-05 10:51:49.352851
11,2024-11-21 00:00:00+05:30,16.649999618530273,17.600000381469727,16.139999389648438,16.93000030517578,296954,0.0,0.0,2024-11-21,17.37800006866455,0.6375166633123349,18.015516731976888,16.740483405352215,18.65303339528922,16.102966742039882,-49.42469177219898,-102.8162099680306,40879371,347529.41535353183,377336.19217741076,19.510777823852838,45.61150277671366,16.890000025431316,17.640000661214195,16.179999669392906,18.350001017252605,15.429999033610027,19.100001653035484,14.719998677571617,-0.05794581264942835,-65.65215119793874,-0.41672096711282336,-0.3386589117539993,-0.07806205535882405,40.52443902853111,19.99713890263029,16.631999969482422,17.37800006866455,18.27572624206543,19.00184087753296,DPSCLTD.NS,2024-12-05 10:51:49.352851
12,2024-11-19 00:00:00+05:30,16.670000076293945,17.059999465942383,16.170000076293945,16.489999771118164,211981,0.0,0.0,2024-11-19,17.404000091552735,0.6288285981888656,18.0328286897416,16.77517149336387,18.661657287930467,16.146342895175003,-94.53827864572882,-133.91761686280574,40582417,241636.7636244758,384787.88638338045,19.51252246437396,46.888665932738775,16.573333104451496,16.976666132609047,16.08666674296061,17.463332494099934,15.683333714803059,17.866665522257485,15.196667353312172,-0.11406756971573316,-85.90309998706029,-0.4274269535380135,-0.3191433979142933,-0.10828355562372022,33.27588489081269,20.42716025805156,16.755999755859374,17.404000091552735,18.311481742858888,19.011940326690674,DPSCLTD.NS,2024-12-05 10:51:49.352851
