Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-11-12 00:00:00+05:30,1288.0,1288.199951171875,1257.0,1263.0999755859375,123722,0.0,0.0,2024-11-12,1305.582501220703,29.324901769204523,1334.9074029899075,1276.2575994514987,1364.2323047591121,1246.932697682294,-52.18058225045172,-156.35552169816376,-982231,178976.40818862955,94312.46589414864,1140.3284978738359,34.39233233536913,1269.4333089192708,1281.8666178385415,1250.6666666666665,1300.6332600911458,1238.2333577473958,1313.0665690104165,1219.4667154947915,-0.19400158830730782,-63.78809380807861,-14.987756527770443,-12.924346970745226,-2.063409557025217,37.26654170821777,25.38188645533695,1284.6599853515625,1305.582501220703,1324.46419921875,1329.8180017089844,DRREDDY.BO,2024-11-12 11:01:10.535280
2,2024-11-11 00:00:00+05:30,1299.449951171875,1299.449951171875,1263.3499755859375,1288.199951171875,19499,0.0,0.0,2024-11-11,1308.4400024414062,27.70722087461736,1336.1472233160237,1280.7327815667888,1363.854444190641,1253.0255606921714,-0.015568217831417798,-123.89196459389262,-858509,28767.80638557101,73146.48032052841,1139.9188593529118,36.264301980159686,1283.6666259765625,1303.9832763671875,1267.88330078125,1319.7666015625,1247.566650390625,1340.083251953125,1231.7833251953125,-0.12240367234128816,-46.99271667503533,-13.734712516331228,-12.408494581488922,-1.3262179348423064,43.37879493495236,25.506730472683696,1285.62998046875,1308.4400024414062,1326.949599609375,1329.17490234375,DRREDDY.BO,2024-11-12 11:01:10.535280
3,2024-11-08 00:00:00+05:30,1288.800048828125,1290.0,1259.5999755859375,1281.8499755859375,24394,0.0,0.0,2024-11-08,1309.8545043945312,27.33923149486586,1337.193735889397,1282.5152728996654,1364.532967384263,1255.1760414047994,-39.055642338591134,-158.23388571569532,-878008,35812.228632103666,84241.14880426775,1139.8408434882558,37.13867084313837,1277.1499837239583,1294.699991861979,1264.2999674479165,1307.5500081380208,1246.7499593098958,1325.1000162760415,1233.899943033854,-0.1494435190038799,-51.51837777632183,-14.39430205914391,-12.076940097778346,-2.317361961365565,41.109761586436235,25.85677897995015,1279.7,1309.8545043945312,1329.1723999023438,1328.4618029785156,DRREDDY.BO,2024-11-12 11:01:10.535280
4,2024-11-07 00:00:00+05:30,1304.050048828125,1311.5999755859375,1281.0,1287.1500244140625,42566,0.0,0.0,2024-11-07,1312.4515075683594,27.003903881729325,1339.4554114500886,1285.4476036866301,1366.459315331818,1258.4436998049007,4.099411843006346,-113.11025703147976,-853614,62748.46980159632,96348.37884730878,1139.7473093697392,47.89133216305766,1293.25,1305.5,1274.9000244140625,1323.8499755859375,1262.6500244140625,1336.0999755859375,1244.300048828125,-0.19419584937803538,-48.05782413540314,-14.395304680355139,-11.497599607436955,-2.8977050729181837,42.427492069426805,25.73578157991747,1278.1800048828125,1312.4515075683594,1331.4010009765625,1327.8335034179688,DRREDDY.BO,2024-11-12 11:01:10.535280
5,2024-11-06 00:00:00+05:30,1272.25,1322.0,1251.5,1303.0,132066,0.0,0.0,2024-11-06,1314.6905090332032,26.649767285494757,1341.340276318698,1288.0407417477084,1367.9900436041926,1261.3909744622138,-12.676200502489559,-127.2652508610749,-811048,197081.82235404203,104748.35610873687,1139.5777044246456,49.74915219965016,1292.1666666666667,1332.8333333333335,1262.3333333333335,1362.6666666666667,1221.6666666666667,1403.3333333333335,1191.8333333333335,-0.15897118960039172,-36.92487749668823,-14.70045216815538,-10.773173339207409,-3.927278828947971,46.57307137322261,26.31340529051916,1275.7699951171876,1314.6905090332032,1333.43580078125,1327.0885034179687,DRREDDY.BO,2024-11-12 11:01:10.535280
6,2024-11-04 00:00:00+05:30,1262.8499755859375,1276.75,1250.0999755859375,1267.949951171875,46754,0.0,0.0,2024-11-04,1315.597509765625,26.539411552694563,1342.1369213183198,1289.0580982129304,1368.6763328710142,1262.518686660236,-94.0587373932929,-256.53368391365535,-943114,67894.09650062308,81664.98954741057,1138.9922060441143,33.18120763649446,1264.9333089192708,1279.766642252604,1253.1166178385415,1291.5833333333333,1238.2832845052083,1306.4166666666665,1226.466593424479,-0.2548584043506177,-61.54386325929546,-16.429381741785164,-9.791353631970416,-6.638028109814748,33.16308506641188,26.935461594244053,1277.65,1315.597509765625,1335.1886010742187,1326.1300036621094,DRREDDY.BO,2024-11-12 11:01:10.535280
7,2024-11-01 00:00:00+05:30,1281.949951171875,1285.0,1213.199951171875,1258.550048828125,64942,0.0,0.0,2024-11-01,1318.5550109863282,24.137269234957518,1342.6922802212857,1294.4177417513706,1366.8295494562433,1270.280472516413,-154.03839657595518,-359.96952399149615,-989868,93606.77430644714,85107.71280910744,1138.828433626024,33.06601385682988,1252.25,1291.300048828125,1219.5,1324.050048828125,1180.449951171875,1363.10009765625,1147.699951171875,-0.28628287264217944,-68.14630946715883,-14.942106739468727,-8.13184660451673,-6.810260134951998,28.70681731865399,24.870261798227414,1284.6260009765624,1318.5550109863282,1337.7206030273437,1325.6530041503906,DRREDDY.BO,2024-11-12 11:01:10.535280
8,2024-10-31 00:00:00+05:30,1262.1500244140625,1283.25,1247.4000244140625,1274.25,65061,0.0,0.0,2024-10-31,1322.9745056152344,20.37027981118437,1343.3447854264189,1302.60422580405,1363.715065237603,1282.2339459928658,-165.43286078608284,-343.1647602408267,-924926,94948.1497244801,82982.9474347725,1138.6168707025026,33.34055929434945,1268.3000081380208,1289.199991861979,1253.3500162760415,1304.1499837239583,1232.4500325520833,1325.0499674479165,1217.500040690104,-0.3080288385455801,-75.17796526009786,-11.885800532353414,-6.42928157077873,-5.456518961574685,32.01760082212289,22.646200479440264,1296.2219970703125,1322.9745056152344,1340.7892016601563,1325.185604248047,DRREDDY.BO,2024-11-12 11:01:10.535280
9,2024-10-29 00:00:00+05:30,1325.050048828125,1333.6500244140625,1264.25,1275.0999755859375,66618,0.0,0.0,2024-10-29,1326.7315063476562,17.659674956921645,1344.391181304578,1309.0718313907346,1362.0508562614996,1291.412156433813,-147.45404629282672,-242.38691554648693,-859865,97285.2405639992,79991.6468623456,1138.376325118275,33.938722481073526,1291.0,1317.75,1248.3499755859375,1360.4000244140625,1221.5999755859375,1387.1500244140625,1178.949951171875,-0.33459053095824953,-88.11872320687401,-9.338921859377933,-5.065151830385059,-4.273770028992875,32.204322393074065,21.117698858798544,1305.6260009765624,1326.7315063476562,1343.1636010742188,1324.2372045898437,DRREDDY.BO,2024-11-12 11:01:10.535280
10,2024-10-28 00:00:00+05:30,1328.9000244140625,1328.9000244140625,1291.5999755859375,1312.4000244140625,21828,0.0,0.0,2024-10-28,1330.5555053710937,13.73545045631055,1344.290955827404,1316.8200549147832,1358.0264062837148,1303.0846044584725,-102.8113578699894,-129.8574864464856,-793247,32808.87239524967,75668.24843693219,1138.127590931674,43.191003350675636,1310.9666748046875,1330.3333740234375,1293.0333251953125,1348.2667236328125,1273.6666259765625,1367.6334228515625,1255.7332763671875,-0.2833750970876068,-66.05958378397563,-6.020356277298788,-3.9967093231368405,-2.0236469541619475,42.242671810919354,20.026656870898435,1317.016015625,1330.5555053710937,1345.3026025390625,1323.1320043945314,DRREDDY.BO,2024-11-12 11:01:10.535280
