Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-17 00:00:00+05:30,566.4000244140625,570.7000122070312,554.2999877929688,560.2000122070312,23457,0.0,0.0,2024-10-17,540.6174926757812,18.636601753207664,559.2540944289889,521.9808909225736,577.8906961821966,503.34428916936594,86.11720179511236,49.63677483963151,18078645,70688.46906444707,74661.33844756239,400.6324180930821,48.80986579817025,561.7333374023438,569.1666870117188,552.7666625976562,578.1333618164062,545.3333129882812,585.5667114257812,536.3666381835938,0.10431894902141013,-13.87970470773327,2.4329857996850706,-1.5712162575227344,4.004202057207805,57.83814828952466,16.130409782047202,556.789990234375,540.6174926757812,546.9569995117188,564.0252276611328,DYCL.NS,2024-10-17 10:48:26.741887
2,2024-10-16 00:00:00+05:30,555.0,565.0999755859375,550.0,558.0499877929688,23476,0.0,0.0,2024-10-16,538.5274932861328,18.668738926541117,557.1962322126739,519.8587543595917,575.864971139215,501.1900154330505,88.54624965073435,36.56051325704348,18055188,70474.2070488751,75654.55579334122,400.56202617232753,42.22170821758027,557.7166544596354,565.4333089192708,550.3333333333333,572.8166300455729,542.6166788736979,580.5332845052083,535.2333577473958,0.09888469249349269,-10.064224156333673,1.3099168830798362,-2.5722667718246854,3.8821836549045217,56.98306927018886,15.984958879302283,554.5699829101562,538.5274932861328,546.2309997558593,564.0532708740234,DYCL.NS,2024-10-17 10:48:26.741887
3,2024-10-15 00:00:00+05:30,558.0,559.0,548.0999755859375,554.7999877929688,18116,0.0,0.0,2024-10-15,536.7499938964844,18.40262726767033,555.1526211641548,518.347366628814,573.555248431825,499.9447393611437,93.8311067465256,23.99250614039982,18031712,54066.93481684624,76949.64297945774,400.49246467902003,34.56030909979671,553.9666544596354,559.8333333333333,548.9333089192708,564.8666788736979,543.0666300455729,570.7333577473958,538.0332845052083,0.07130504141189371,-15.666945495676714,0.06394594906737439,-3.5428126855508157,3.60675863461819,55.722610036290945,16.167112389160792,549.1699829101562,536.7499938964844,545.6919995117188,564.0863287353516,DYCL.NS,2024-10-17 10:48:26.741887
4,2024-10-14 00:00:00+05:30,561.4000244140625,564.0,547.0499877929688,555.0499877929688,22890,0.0,0.0,2024-10-14,535.3924957275391,17.997994414652453,553.3904901421915,517.3945013128866,571.388484556844,499.3965068982342,124.27978321016859,30.996002272170063,18049828,68345.65096433129,82670.32002011061,400.4398514569203,48.8364062141471,555.3666585286459,563.683329264323,546.7333170572917,572.3166707356771,538.4166463216146,580.6333414713542,529.7833048502605,0.04217813591186275,-24.859145294180145,-1.2121675338586329,-4.444502344205363,3.23233481034673,55.83947994727965,16.74511620739086,541.339990234375,535.3924957275391,545.7629992675782,564.146390991211,DYCL.NS,2024-10-17 10:48:26.741887
5,2024-10-11 00:00:00+05:30,549.0999755859375,559.0,540.9000244140625,555.8499755859375,25584,0.0,0.0,2024-10-11,534.4099975585938,17.394653239893223,551.804650798487,517.0153443187005,569.1993040383802,499.62069107880734,119.49025661232903,20.050611944664038,18072718,76499.57661242764,86251.48728405543,400.37321431158995,61.56184049427826,551.9166666666666,562.9333089192708,544.8333333333333,570.0166422526041,533.8166910807291,581.0332845052083,526.7333577473958,0.03539421975491978,-23.857282518881906,-2.8522345304252212,-5.252586046792045,2.4003515163668236,56.189661264261325,17.367581857792477,532.639990234375,534.4099975585938,545.7309997558593,564.3198516845703,DYCL.NS,2024-10-17 10:48:26.741887
6,2024-10-10 00:00:00+05:30,539.0499877929688,559.1500244140625,524.5,549.0999755859375,29925,0.0,0.0,2024-10-10,533.3899993896484,16.65360133764241,550.0436007272908,516.736398052006,566.6972020649332,500.0827967143636,84.90355439408935,-6.470671166559936,18047134,88393.14326474347,88689.46495196238,400.29828084547086,54.74993619724398,544.25,564.0,529.3499755859375,578.9000244140625,509.5999755859375,598.6500244140625,494.699951171875,0.018950478358900458,-32.310628673286644,-4.98758827790607,-5.852673925883751,0.865085647977681,53.92586192543906,18.33538637438166,526.1299926757813,533.3899993896484,545.8220007324219,564.3354443359375,DYCL.NS,2024-10-17 10:48:26.741887
7,2024-10-09 00:00:00+05:30,523.2999877929688,538.6500244140625,523.0499877929688,531.0499877929688,17963,0.0,0.0,2024-10-09,532.6475006103516,16.242271802737555,548.8897724130892,516.405228807614,565.1320442158267,500.1629570048765,-10.217026569722687,-54.26097566773023,18017209,51315.34668325292,88763.54537376709,400.2143486036345,48.75112603368839,530.9166666666666,538.7833455403645,523.1833089192708,546.5167032877604,515.3166300455729,554.3833821614583,507.583272298177,-0.015546297338044269,-54.91548717650809,-6.981145904939922,-6.06894533787817,-0.9122005670617517,47.14408208452795,19.37763739224693,521.5699951171875,532.6475006103516,546.7960009765625,564.629351196289,DYCL.NS,2024-10-17 10:48:26.741887
8,2024-10-08 00:00:00+05:30,500.0,521.7999877929688,495.04998779296875,515.6500244140625,38619,0.0,0.0,2024-10-08,532.9575012207031,16.269321175674417,549.2268223963775,516.6881800450286,565.4961435720519,500.41885886935427,-125.81333692073838,-131.16802008100345,17999246,107124.5623980376,98125.59504639563,400.170034824697,45.30795276213502,510.8333333333333,526.6166788736979,499.8666788736979,537.5833333333333,484.0833333333333,553.3666788736979,473.1166788736979,-0.023381593445426,-74.20159402199711,-7.650078525017534,-5.840895196112732,-1.809183328904802,40.16677730730327,19.947399725193076,523.8,532.9575012207031,548.0180017089843,565.3555364990234,DYCL.NS,2024-10-17 10:48:26.741887
9,2024-10-07 00:00:00+05:30,525.0,530.9000244140625,501.04998779296875,511.54998779296875,28948,0.0,0.0,2024-10-07,533.8850006103515,15.751216154567892,549.6362167649195,518.1337844557836,565.3874329194873,502.38256830121577,-141.39114283395435,-124.82290059297578,17960627,79659.87797709806,95875.85320848513,400.0858840780974,45.74537873870931,514.5,527.9500122070312,498.0999755859375,544.3500366210938,484.64996337890625,557.800048828125,468.24993896484375,-0.060986138828072786,-85.78199757181855,-6.873941644845672,-5.388599363886532,-1.4853422809591406,38.1482985749675,19.224516465795446,527.1699951171875,533.8850006103515,549.5780017089844,566.0338989257813,DYCL.NS,2024-10-17 10:48:26.741887
10,2024-10-04 00:00:00+05:30,521.0499877929688,537.9500122070312,506.79998779296875,523.2999877929688,28967,0.0,0.0,2024-10-04,535.5825012207031,15.030391393574087,550.6128926142771,520.552109827129,565.6432840078512,505.5217184335549,-98.22119231711878,-100.17063344718149,17989575,81543.10381123547,99929.84701633189,400.02496671564245,45.4723256946435,522.6833292643229,538.566670735677,507.4166463216145,553.8333536783854,491.5333048502604,569.7166951497395,476.266621907552,-0.07956168053432473,-75.1092102656317,-5.372309128838424,-5.017263793646746,-0.3550453351916776,41.910803682849995,18.73995337812468,533.1799926757812,535.5825012207031,550.9340014648437,566.1432989501953,DYCL.NS,2024-10-17 10:48:26.741887
