Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-21 00:00:00+05:30,168.9499969482422,170.0500030517578,160.89999389648438,162.14999389648438,75766,0.0,0.0,2025-01-21,175.3949996948242,12.067463399296255,187.46246309412047,163.32753629552795,199.52992649341672,151.2600728962317,-20.5119104584448,-107.23965833169095,8263921,131845.43699335816,124285.72651657855,143.7948511374701,50.17408512393208,164.36666361490884,167.83333333333331,158.68332417805988,173.51667277018228,155.2166544596354,176.98334248860675,149.53331502278644,-0.29162232345516925,-82.82208588957056,-9.491505329450433,-9.081817512733023,-0.40968781671741006,36.01053773140282,30.799484690033204,163.62999877929687,175.3949996948242,193.64500030517578,192.80399978637695,EKC.BO,2025-01-21 11:09:09.326470
2,2025-01-20 00:00:00+05:30,165.10000610351562,170.39999389648438,162.0,168.6999969482422,94744,0.0,0.0,2025-01-20,176.9849998474121,12.322733633294572,189.30773348070667,164.66226621411752,201.63046711400125,152.33953258082295,-2.3344623159774396,-104.22584992805184,8339687,171530.2018534252,122395.79889738365,143.76828550089604,56.672591091447096,167.03333028157553,172.06666056315106,163.66666666666669,175.4333241780599,158.63333638509116,180.46665445963544,155.2666727701823,-0.2810057070718009,-66.74845876869249,-9.624962101683593,-8.97939555855367,-0.6455665431299238,39.955243572866785,30.701891434301054,163.8,176.9849998474121,194.17800048828124,193.05449981689452,EKC.BO,2025-01-21 11:09:09.326470
3,2025-01-17 00:00:00+05:30,167.0,167.0,161.89999389648438,162.85000610351562,21517,0.0,0.0,2025-01-17,178.53249969482422,13.143561734684692,191.6760614295089,165.38893796013954,204.81962316419362,152.24537622545483,-44.488074731713006,-122.10776492213589,8244943,37604.80203337533,110112.19815837326,143.72308131794875,57.03813278026405,163.91666666666666,165.93333943684894,160.83333333333331,169.01667277018228,158.81666056315103,171.03334554036456,155.7333272298177,-0.36543300799619705,-81.1042645226227,-10.295070510599402,-8.818003922771188,-1.4770665878282134,33.95521330504313,30.724636644571312,161.33999938964843,178.53249969482422,194.67800048828124,193.26449981689453,EKC.BO,2025-01-21 11:09:09.326470
4,2025-01-16 00:00:00+05:30,161.0,167.10000610351562,161.0,163.6999969482422,57414,0.0,0.0,2025-01-16,180.71749954223634,14.003507998179435,194.72100754041577,166.7139915440569,208.7245155385952,152.71048354587748,-55.06137513805965,-131.39136660050727,8266460,100864.9514834828,128239.04718962274,143.71520214646358,51.9597927788231,163.93333435058594,166.86666870117188,160.76666259765625,170.03334045410156,157.8333282470703,172.9666748046875,154.66665649414062,-0.3498440634686836,-79.01839741899923,-10.420890958357973,-8.448737275814135,-1.972153682543837,34.419256290492555,29.991551119099025,161.63999938964844,180.71749954223634,195.0400003051758,193.52353469848632,EKC.BO,2025-01-21 11:09:09.326470
5,2025-01-15 00:00:00+05:30,166.3000030517578,166.89999389648438,160.0,160.75,34302,0.0,0.0,2025-01-15,182.85,14.513778068980258,197.36377806898025,168.33622193101974,211.8775561379605,153.82244386203948,-75.21450950601502,-147.84385065657477,8209046,59175.81280671773,135082.57111615772,143.69321095222617,48.59650785136174,162.54999796549478,165.09999593098956,158.2000020345052,169.44999186197916,155.6500040690104,171.99998982747394,151.30000813802081,-0.3746760789407297,-86.25765373370399,-10.507798191205922,-7.955698855178177,-2.5520993360277444,31.397859069634052,29.20207439935964,162.77999877929688,182.85,195.52000030517578,193.78801818847657,EKC.BO,2025-01-21 11:09:09.326470
6,2025-01-14 00:00:00+05:30,156.9499969482422,163.6999969482422,156.39999389648438,163.0,30822,0.0,0.0,2025-01-14,185.3474998474121,14.80541782616166,200.15291767357377,170.54208202125045,214.95833549973543,155.7366641950888,-104.24425883723843,-163.1886708931056,8243348,53916.566550458105,154059.26069351772,143.68198989828923,44.96450183837821,161.03333028157553,165.66666666666669,158.36666361490887,168.33333333333334,153.73332722981772,172.9666697184245,151.06666056315106,-0.3757354666628421,-80.73618134106596,-10.169326718794878,-7.317674021171241,-2.8516526976236367,32.45690403054516,28.310380567834272,165.4,185.3474998474121,195.97300018310546,193.90365966796875,EKC.BO,2025-01-21 11:09:09.326470
7,2025-01-13 00:00:00+05:30,164.0,164.89999389648438,155.14999389648438,156.39999389648438,175088,0.0,0.0,2025-01-13,187.9849998474121,15.30493674093312,203.28993658834523,172.68006310647897,218.59487332927833,157.37512636554587,-154.48255827663945,-174.70258320883528,8212526,293877.89563042583,179094.9342292826,143.67056382695,41.095365801460616,158.81666056315103,162.4833272298177,152.7333272298177,168.56666056315103,149.06666056315103,172.2333272298177,142.9833272298177,-0.42615535817378514,-96.93251533742331,-9.803490868226248,-6.604760846765331,-3.198730021460917,25.623677862414127,26.69387870434582,169.4200012207031,187.9849998474121,196.24000030517578,193.9574464416504,EKC.BO,2025-01-21 11:09:09.326470
8,2025-01-10 00:00:00+05:30,170.9499969482422,170.9499969482422,163.14999389648438,164.35000610351562,104123,0.0,0.0,2025-01-10,190.9375,14.569161746726301,205.5066617467263,176.3683382532737,220.07582349345262,161.79917650654738,-165.63968138724593,-147.87166449916617,8387614,183649.69218874336,150399.19387899677,143.6276496563518,45.38009414311713,166.1499989827474,169.15000406901044,161.35000101725262,173.95000203450522,158.3499959309896,176.95000712076825,153.5499979654948,-0.3100763828290088,-96.97348819685796,-8.53657177861831,-5.805078341400102,-2.731493437218208,28.89315503559766,24.95303054366595,173.6700012207031,190.9375,196.66100036621094,194.05830322265626,EKC.BO,2025-01-21 11:09:09.326470
9,2025-01-09 00:00:00+05:30,173.75,174.75,168.0,169.39999389648438,70801,0.0,0.0,2025-01-09,193.47749938964844,14.110964562962753,207.5884639526112,179.3665348266857,221.69942851557394,165.25557026372294,-174.82809024947952,-132.86140300412052,8491737,128714.23794202213,142086.5693015601,143.58602096449366,45.445095692591124,170.71666463216147,173.43332926432294,166.68332926432294,177.46666463216147,163.96666463216147,180.18332926432294,159.93332926432294,-0.3305304798672379,-96.50001525878906,-7.568145180060924,-5.12220498209555,-2.445940197965374,31.244696964245236,23.663887844909745,178.7,193.47749938964844,196.83200012207033,193.9874998474121,EKC.BO,2025-01-21 11:09:09.326470
10,2025-01-08 00:00:00+05:30,183.4499969482422,183.4499969482422,172.0500030517578,173.85000610351562,59611,0.0,0.0,2025-01-08,196.2375,14.545390268226225,210.78289026822623,181.6921097317738,225.32828053645247,167.14671946354756,-142.8109474290359,-110.6660135919038,8562538,111217.96012424726,145429.65214144462,143.5507111984971,47.17337080637585,176.45000203450522,180.85000101725262,169.45000712076825,187.8499959309896,165.05000813802084,192.249994913737,158.05001322428387,-0.3020021048866572,-95.1285434359327,-6.710944087578184,-4.510719932604206,-2.200224154973978,33.473891184178825,22.68981145656938,182.8300018310547,196.2375,197.03200012207031,193.8940936279297,EKC.BO,2025-01-21 11:09:09.326470
11,2025-01-07 00:00:00+05:30,178.10000610351562,184.5,177.3000030517578,183.10000610351562,61363,0.0,0.0,2025-01-07,198.6875,14.701906036812032,213.38940603681203,183.98559396318797,228.09131207362407,169.28368792637593,-96.42146087800364,-90.55268167081839,8622149,120578.18720490884,153982.57514574393,143.51577626041762,46.988692609007785,181.63333638509116,185.9666697184245,178.7666727701823,188.83333333333334,174.43333943684897,193.16666666666669,171.56667582194012,-0.3103546148690434,-82.60866587711905,-5.9500447382347375,-3.960663893860711,-1.9893808443740264,38.819805375571335,22.018751624053397,185.78999938964844,198.6875,197.26100006103516,193.72380676269532,EKC.BO,2025-01-21 11:09:09.326470
12,2025-01-06 00:00:00+05:30,190.0,190.0500030517578,176.89999389648438,177.64999389648438,45810,0.0,0.0,2025-01-06,200.875,15.494019967389445,216.36901996738945,185.38098003261055,231.8630399347789,169.8869600652211,-129.1896399205301,-93.90507535144422,8560786,87337.20641129279,162333.6721309527,143.46873861279,39.37034680712158,181.53333028157553,186.16666666666669,173.01665751139325,194.68333943684897,168.3833211263021,199.31667582194012,159.8666483561198,-0.34363204220545784,-98.12265389028342,-5.796695650996043,-3.4633186827672047,-2.333376968228838,32.96241409813189,21.836287312399186,186.17999877929688,200.875,197.21899993896486,193.50386184692383,EKC.BO,2025-01-21 11:09:09.326470
13,2025-01-03 00:00:00+05:30,187.0,195.89999389648438,187.0,189.5,83948,0.0,0.0,2025-01-03,203.27000045776367,15.416946867326802,218.68694732509047,187.85305359043687,234.10389419241727,172.43610672311007,7.090983708025688,-53.249800208530985,8606596,170723.5275941064,181082.78856086766,143.43838918214595,48.5167907431167,190.79999796549478,194.59999593098956,185.7000020345052,199.69999186197916,181.9000040690104,203.49998982747394,176.80000813802081,-0.33534312168782626,-77.28893612682248,-4.9757900014752465,-2.8799744407099945,-2.095815560765252,40.860778877931715,21.639787284463882,186.85,203.27000045776367,197.51100006103516,193.3707975769043,EKC.BO,2025-01-21 11:09:09.326470
