Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-24 00:00:00+05:30,500.0,510.3500061035156,494.04998779296875,503.8999938964844,11246,0.0,0.0,2023-11-24,505.55249481201173,8.723824538997045,514.2763193510087,496.82867027301467,523.0001438900058,488.10484573401766,18.415761962204254,-65.50151719165999,1431053,10867.502538498253,112064.79298365796,468.06718073284173,92.24264443422254,502.76666259765625,511.48333740234375,495.1833190917969,519.0666809082031,486.4666442871094,527.7833557128906,478.88330078125,-0.327388943263596,-63.21245850086366,-4.367805533004798,-3.759579258871419,-0.6082262741333793,48.85234752879783,14.261264052496719,495.1699951171875,505.55249481201173,516.0719982910156,492.5309979248047,EMAMILTD.BO,2023-11-27 11:03:39.404211
2,2023-11-23 00:00:00+05:30,490.1499938964844,498.0,490.1499938964844,494.5,5487,0.0,0.0,2023-11-23,505.25999450683594,8.878842091652025,514.138836598488,496.3811524151839,523.01767869014,487.5023103235319,-64.48532732550896,-134.34794943794475,1419807,5203.4163131301775,137364.11559494789,468.03039258922735,92.22755022061286,494.21666463216144,498.2833353678385,490.4333292643229,502.06667073567706,486.3666585286458,506.13334147135413,482.58332316080725,-0.334407321434325,-82.69429881402125,-5.051392406594857,-3.607522690338074,-1.443869716256783,41.4551763140088,14.882543776220542,492.8199951171875,505.25999450683594,517.3549981689453,491.245498046875,EMAMILTD.BO,2023-11-27 11:03:39.404211
3,2023-11-22 00:00:00+05:30,498.8999938964844,498.8999938964844,490.1499938964844,492.29998779296875,15204,0.0,0.0,2023-11-22,506.07999420166016,8.585259773586252,514.6652539752464,497.4947344280739,523.2505137488326,488.90947465448767,-83.45367365287983,-145.95237040943644,1414320,14354.068154537788,170404.29041540233,468.0171269265976,91.52504115196035,493.7833251953125,497.4166564941406,488.6666564941406,502.5333251953125,485.0333251953125,506.1666564941406,479.9166564941406,-0.3301028548357503,-87.25390672189555,-4.924297529089017,-3.2465552612738784,-1.6777422678151388,39.55537674774172,14.852291816911514,494.1499938964844,506.07999420166016,518.2459979248047,490.125498046875,EMAMILTD.BO,2023-11-27 11:03:39.404211
4,2023-11-21 00:00:00+05:30,492.29998779296875,499.0,492.29998779296875,494.5,1058873,0.0,0.0,2023-11-21,506.2999954223633,8.26391807505431,514.5639134974176,498.03607734730895,522.827831572472,489.77215927225467,-91.74690064739303,-142.5602933506543,1429524,1004147.4470080355,209416.84598061844,467.9833587415854,92.75239142796204,495.26666259765625,498.23333740234375,491.5333251953125,501.9666748046875,488.566650390625,504.933349609375,484.83331298828125,-0.32963334800033356,-82.69429881402125,-4.470299134785421,-2.8271196943200936,-1.6431794404653273,40.78430831403568,14.819712783809484,496.6999938964844,506.2999954223633,518.9989984130859,489.0994982910156,EMAMILTD.BO,2023-11-27 11:03:39.404211
5,2023-11-20 00:00:00+05:30,495.0,498.0,488.54998779296875,490.6499938964844,7658,0.0,0.0,2023-11-20,507.0574951171875,7.8070851057789215,514.8645802229664,499.2504100114086,522.6716653287453,491.44332490562965,-144.64810707241594,-170.3111279060874,370651,7205.671809951888,10734.19572376417,465.1398675222022,46.558229256465594,492.3999938964844,496.25,486.79998779296875,501.8500061035156,482.9499816894531,505.70001220703125,477.3499755859375,-0.26852223058585717,-90.67358102838797,-4.0379796786075985,-2.4163248342037615,-1.621654844403837,37.635753800615255,15.016369263825663,499.7899963378906,507.0574951171875,519.6759979248047,488.09549835205075,EMAMILTD.BO,2023-11-27 11:03:39.404211
6,2023-11-17 00:00:00+05:30,503.95001220703125,503.95001220703125,486.1499938964844,492.1499938964844,18001,0.0,0.0,2023-11-17,507.77249603271486,6.817438324480285,514.5899343571951,500.95505770823456,521.4073726816754,494.13761938375427,-194.74835110439983,-160.77808717086762,378309,16989.532712127428,11616.32670221724,465.1200680132283,51.240602441122334,494.0833333333333,502.01667277018225,484.2166544596354,511.8833516438802,476.28331502278644,519.8166910807291,466.4166361490885,-0.2516256414889701,-87.56477470451729,-3.0441309907517393,-2.0109111231028023,-1.033219867648937,38.373923929581245,15.093463765678464,504.37999267578124,507.77249603271486,520.3009985351563,487.13449829101563,EMAMILTD.BO,2023-11-27 11:03:39.404211
7,2023-11-16 00:00:00+05:30,503.1499938964844,508.6499938964844,500.0,501.1499938964844,12026,0.0,0.0,2023-11-16,508.2899963378906,5.900278097616691,514.1902744355073,502.3897182402739,520.090552533124,496.48944014265726,-161.2845917602081,-93.8609853560462,396310,11557.828527207479,10273.025199739692,465.0706641409117,58.43067705710152,503.26666259765625,506.5333251953125,497.8833312988281,511.9166564941406,494.6166687011719,515.1833190917969,489.23333740234375,-0.23836842270147754,-96.65699685953052,-1.8733075799249264,-1.7526061561905681,-0.12070142373435822,43.08169330872719,15.176488613827635,509.7099914550781,508.2899963378906,520.9249981689453,486.1669982910156,EMAMILTD.BO,2023-11-27 11:03:39.404211
8,2023-11-15 00:00:00+05:30,510.20001220703125,511.70001220703125,503.5,505.04998779296875,5690,0.0,0.0,2023-11-15,508.26749725341796,5.929721973701,514.1972192271189,502.33777527971694,520.1269412008199,496.408053306016,-149.10198488138266,-71.80339118882415,408336,5511.044900313533,9951.824367872745,465.02655487880673,57.95953610270566,506.75,510.0,501.79998779296875,514.9500122070312,498.54998779296875,518.2000122070312,493.5999755859375,-0.31739682117179674,-74.77710522530508,-1.2322790072766452,-1.7224308002569784,0.4901517929803332,45.318843829029646,15.907948566607079,511.5199951171875,508.26749725341796,521.6109985351562,485.0974984741211,EMAMILTD.BO,2023-11-27 11:03:39.404211
9,2023-11-13 00:00:00+05:30,508.04998779296875,515.0999755859375,508.0,509.95001220703125,7150,0.0,0.0,2023-11-13,508.0024978637695,6.193635739616649,514.1961336033862,501.8088621241529,520.3897693430029,495.61522638453624,-68.00274401085474,-48.211779696284594,414026,6992.314703087286,11062.019234762547,465.0033901071674,62.17047855849749,511.01666259765625,514.0333251953125,506.933349609375,518.1166381835938,503.91668701171875,521.13330078125,499.8333740234375,-0.3579830435279764,-58.915648740727995,-0.7769875971416127,-1.8449687485020616,1.067981151360449,48.241444887182084,16.234311997885545,512.9199951171875,508.0024978637695,521.9899987792969,483.92099853515623,EMAMILTD.BO,2023-11-27 11:03:39.404211
10,2023-11-10 00:00:00+05:30,513.2000122070312,520.0,511.5,513.5999755859375,4759,0.0,0.0,2023-11-10,507.99749755859375,6.192020860258957,514.1895184188527,501.8054766983348,520.3815392791116,495.6134558380758,47.53502517941732,-29.483716274185976,421176,4687.356844557987,12079.445367681363,464.97067709813797,61.488873469352995,515.0333251953125,518.566650390625,510.066650390625,523.5333251953125,506.5333251953125,527.066650390625,501.566650390625,-0.3797943134589092,-47.16560443438726,-0.6648822477152407,-2.1119640363421737,1.447081788626933,50.4938217593915,15.96139423177603,514.689990234375,507.99749755859375,522.187998046875,482.74149841308594,EMAMILTD.BO,2023-11-27 11:03:39.404211
