Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-11-21 00:00:00+05:30,6213.7001953125,6256.0,6161.9501953125,6220.14990234375,5165,0.0,0.0,2023-11-21,5976.34248046875,308.0198030790975,6284.362283547847,5668.322677389653,6592.382086626945,5360.302874310555,15.753696473295829,104.12292378064895,1091373,12302.228401837247,26369.755450365723,3722.4410721348104,35.81329842183014,6212.700032552083,6263.449869791666,6169.400065104166,6306.749837239583,6118.650227864583,6357.499674479166,6075.350260416666,0.28508070672099484,-31.031060065172817,188.12319851981283,215.4338410631009,-27.310642543288083,63.9835752073435,27.006638807921647,6014.519921875,5976.34248046875,5461.54998046875,5119.5298999023435,ESABINDIA.NS,2023-11-21 10:53:25.793060
2,2023-11-20 00:00:00+05:30,6050.0,6250.89990234375,5970.0,6146.39990234375,13680,0.0,0.0,2023-11-20,5944.9324951171875,313.82457461550257,6258.75706973269,5631.107920501685,6572.581644348193,5317.283345886182,-16.620570218858923,96.64740791402204,1086208,32197.304846877592,29886.637212497844,3719.5508246016934,36.47886054966213,6122.433268229167,6274.866536458334,5993.966634114584,6403.333170572917,5841.533365885417,6555.766438802084,5713.066731770834,0.30518916969361914,-39.37210437863372,187.48610327877032,222.2615016989229,-34.775398420152584,62.07696148616558,27.458207798461785,5967.57998046875,5944.9324951171875,5439.436982421875,5097.677590332031,ESABINDIA.NS,2023-11-21 10:53:25.793060
3,2023-11-17 00:00:00+05:30,5860.0,5978.0,5860.0,5953.39990234375,6239,0.0,0.0,2023-11-17,5912.760009765625,324.87157542890566,6237.631585194531,5587.888434336719,6562.503160623436,5263.016858907814,-74.98880714591726,72.58112321024736,1072528,14223.047175285614,29308.970303902905,3712.090033825694,33.38753368862591,5930.466634114583,6000.933268229166,5882.933268229166,6048.466634114583,5812.466634114583,6118.933268229166,5764.933268229166,0.322854146629749,-61.18082142975555,191.09298735230277,230.95535130396104,-39.86236395165827,56.47838348808805,27.966168015755326,6019.3099609375,5912.760009765625,5421.178984375,5076.364609375,ESABINDIA.NS,2023-11-21 10:53:25.793060
4,2023-11-16 00:00:00+05:30,5850.0,5921.2998046875,5845.25,5854.14990234375,7353,0.0,0.0,2023-11-16,5883.617504882813,346.4590705466343,6230.076575429447,5537.158434336178,6576.5356459760815,5190.699363789544,-88.19807767448017,67.54323134408564,1066289,16483.180473230885,33080.451086057226,3708.9431390308496,32.98924200696399,5873.566569010417,5901.883138020834,5825.833333333334,5949.616373697917,5797.516764322917,5977.932942708334,5749.783528645834,0.3355659125564988,-67.47059867981284,211.82311942595788,240.92094229187558,-29.097822865917692,53.177601948508666,29.825829957024798,6108.4099609375,5883.617504882813,5410.020986328125,5056.853664550781,ESABINDIA.NS,2023-11-21 10:53:25.793060
5,2023-11-15 00:00:00+05:30,6048.0,6048.0,5856.0,5898.5,8047,0.0,0.0,2023-11-15,5849.2550048828125,381.81312718890456,6231.068132071717,5467.441877693908,6612.881259260622,5085.628750505003,-61.267207905605005,80.90546636486377,1073642,18175.57646210178,37229.76873926381,3705.387494812308,32.649335009945275,5934.166666666667,6012.333333333334,5820.333333333334,6126.166666666667,5742.166666666667,6204.333333333334,5628.333333333334,0.35131132406502635,-49.98081745120933,244.9291503471386,248.195398008355,-3.266247661216397,54.905450398381674,32.09050125553312,6229.35,5849.2550048828125,5400.938984375,5038.148002929687,ESABINDIA.NS,2023-11-21 10:53:25.793060
6,2023-11-13 00:00:00+05:30,6080.5498046875,6179.89990234375,5945.64990234375,5985.4501953125,14341,0.0,0.0,2023-11-13,5814.907495117188,407.2043223100454,6222.111817427233,5407.703172807142,6629.316139737279,5000.498850497097,-23.111574532979265,102.70738417964262,1081689,32869.179726828195,41993.316808554315,3701.4021309431655,37.6339968255134,6037.0,6128.35009765625,5894.10009765625,6271.25,5802.75,6362.60009765625,5659.85009765625,0.38428021610130164,-42.5710274439441,279.236041676334,249.01195992365908,30.224081752674948,58.35739717622885,34.52962366296489,6326.2599609375,5814.907495117188,5391.30998046875,5018.949047851563,ESABINDIA.NS,2023-11-21 10:53:25.793060
7,2023-11-10 00:00:00+05:30,6415.10009765625,6433.0498046875,6363.0,6405.0498046875,4086,0.0,0.0,2023-11-10,5765.4224853515625,443.87354217628587,6209.296027527848,5321.548943175277,6653.169569704134,4877.675400998991,76.41202821961339,172.2579214978141,1096030,10021.517340540327,44274.35107898585,3693.98106118214,38.3206942313932,6400.366536458333,6437.733072916666,6367.683268229166,6470.416341145833,6330.316731770833,6507.782877604166,6297.633463541666,0.43176927652314057,-6.813258511683879,310.36513267799273,241.45593948549032,68.90919319250241,81.24692070731844,36.66676503843877,6388.5599609375,5765.4224853515625,5382.173974609375,4998.965236816406,ESABINDIA.NS,2023-11-21 10:53:25.793060
8,2023-11-09 00:00:00+05:30,6458.85009765625,6458.85009765625,6250.0,6398.89990234375,79908,0.0,0.0,2023-11-09,5694.677490234375,449.28469997954085,6143.962190213916,5245.392790254834,6593.246890193457,4796.108090275293,88.02507053914088,186.08594047649052,1091944,195797.97072257922,52837.55951359722,3691.469041987043,39.66892098350997,6369.25,6488.5,6279.64990234375,6578.10009765625,6160.39990234375,6697.35009765625,6070.7998046875,0.4359720289002624,-7.33734571779766,304.1930962541237,224.22864118736467,79.96445506675903,81.14627553500989,35.86780052195854,6314.77998046875,5694.677490234375,5365.8959765625,4973.863786621094,ESABINDIA.NS,2023-11-21 10:53:25.793060
9,2023-11-08 00:00:00+05:30,6415.0,6485.0,6399.2001953125,6458.85009765625,4643,0.0,0.0,2023-11-08,5621.8,447.25057583514814,6069.050575835148,5174.549424164852,6516.301151670296,4727.298848329704,130.342753600684,222.50984360924542,1171852,11483.294364706517,17097.45671135171,3641.5031573492915,75.26443478474474,6447.683430989583,6496.166666666666,6410.366861979166,6533.483235677083,6361.883626302083,6581.966471354166,6324.567057291666,0.43190043507125564,-2.2284629077747993,292.2877052111435,204.2375274206749,88.05017779046858,85.2895687077374,35.007377196518306,6217.9,5621.8,5351.6759765625,4948.601762695313,ESABINDIA.NS,2023-11-21 10:53:25.793060
10,2023-11-07 00:00:00+05:30,6343.9501953125,6435.0,6243.0,6383.0498046875,7633,0.0,0.0,2023-11-07,5545.669995117188,426.37016643911437,5972.040161556302,5119.299828678073,6398.410327995416,4692.929662238959,155.92047190066583,232.6770823209419,1167209,18656.75482513712,18500.997298013008,3638.4788152653773,76.42144997009247,6353.683268229167,6464.366536458334,6272.366536458334,6545.683268229167,6161.683268229167,6656.366536458334,6080.366536458334,0.4223039130422858,-4.113400156658246,266.71240948577633,182.22498297305773,84.4874265127186,84.35147593522446,32.590749994596415,6084.02001953125,5545.669995117188,5335.229970703125,4923.2769921875,ESABINDIA.NS,2023-11-21 10:53:25.793060
