Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2023-12-15 00:00:00+05:30,365.6000061035156,372.3500061035156,345.6000061035156,355.8500061035156,110254,0.0,0.0,2023-12-15,353.27000122070314,18.842256159186956,372.1122573798901,334.4277450615162,390.954513539077,315.58548890232925,-235.66166573430107,70.77653582566295,6801179,274747.09898092033,186321.6958885289,237.05677384859098,63.16907846183078,357.93333943684894,370.26667277018225,343.51667277018225,384.68333943684894,331.18333943684894,397.01667277018225,316.76667277018225,-0.17745821188830238,-69.89719919336768,10.814337122074733,12.158104944823746,-1.3437678227490135,55.590380331444095,38.8694758439561,363.9200012207031,353.27000122070314,327.07500122070314,315.44200103759766,FCL.BO,2023-12-15 11:07:56.801975
2,2023-12-14 00:00:00+05:30,368.0,373.20001220703125,363.3500061035156,365.1499938964844,59480,0.0,0.0,2023-12-14,352.01000061035154,19.492019961742738,371.5020205720943,332.5179806486088,390.994040533837,313.0259606868661,3.2433312218460078,100.83739890625894,6911433,152094.68608408092,164215.34511543103,236.73346071290672,75.75461156858218,367.23333740234375,371.1166687011719,361.26666259765625,377.0833435058594,357.3833312988281,380.9666748046875,351.4166564941406,-0.15983647409276774,-26.678929846637256,12.113589605698962,12.494046900511,-0.3804572948120377,62.96771851722929,40.664581142058594,365.47999877929686,352.01000061035154,326.3080010986328,314.7945010375977,FCL.BO,2023-12-15 11:07:56.801975
3,2023-12-13 00:00:00+05:30,378.0,378.0,361.29998779296875,365.6499938964844,53150,0.0,0.0,2023-12-13,350.2225006103516,19.859357938198176,370.08185854854975,330.3631426721534,389.9412164867479,310.50378473395523,49.242183525232264,111.33269272935465,6970913,136094.51512794578,167245.50987326854,236.54463230540694,80.37512837204287,368.31666056315106,375.33333333333337,358.6333211263021,385.0166727701823,351.6166483561198,392.0333455403646,341.93330891927087,-0.12119925422605386,-23.06425736934375,12.677579372460343,12.589161224214008,0.0884181482463351,63.387677873921724,40.050471660423746,365.64000244140624,350.2225006103516,325.4020013427734,314.15200103759764,FCL.BO,2023-12-15 11:07:56.801975
4,2023-12-12 00:00:00+05:30,371.8999938964844,374.29998779296875,360.1000061035156,362.5,57432,0.0,0.0,2023-12-12,348.0650009155273,20.430783338881326,368.49578425440865,327.634217576646,388.92656759329,307.20343423776467,-22.559936334680305,111.72771891630124,6917763,145792.01369102305,175033.25855959923,236.37477118166206,79.19463881862212,365.6333312988281,371.1666564941406,356.9666748046875,379.83331298828125,351.433349609375,385.36663818359375,342.7666931152344,-0.07882607306165833,-27.728362496490604,13.15833021971605,12.567056687152423,0.5912735325636262,61.90120706063017,39.38912298789392,366.32000122070315,348.0650009155273,324.4200012207031,313.55400115966796,FCL.BO,2023-12-15 11:07:56.801975
5,2023-12-11 00:00:00+05:30,364.3999938964844,378.70001220703125,363.8500061035156,370.45001220703125,97702,0.0,0.0,2023-12-11,345.8875015258789,21.120462198459517,367.0079637243384,324.7670393274194,388.12842592279793,303.6465771289599,134.41746475456335,136.9127295827585,6975195,253457.32716499304,182343.56977674327,236.19520679015938,80.50791021461583,371.00001017252606,378.1500142415365,363.30000813802087,385.8500162760417,356.15000406901044,393.0000203450521,348.45000203450525,-0.0771945541572585,-14.802868210697504,13.884695018209015,12.419238304011516,1.465456714197499,68.41033354767495,38.89145548869364,366.2200012207031,345.8875015258789,323.53900146484375,312.96500122070313,FCL.BO,2023-12-15 11:07:56.801975
6,2023-12-08 00:00:00+05:30,368.1000061035156,371.8500061035156,361.0,363.6499938964844,51700,0.0,0.0,2023-12-08,343.20250091552737,21.246544046790074,364.44904496231743,321.9559568687373,385.6955890091075,300.70941282194724,27.29024308797406,131.6823312841324,6877493,131657.59301583446,164565.1304296808,235.86925698500946,75.410662109337,365.5,370.0,359.1499938964844,376.3500061035156,354.6499938964844,380.8500061035156,348.29998779296875,-0.03989458328902487,-25.744169865324906,13.821332156220251,12.05287412546214,1.7684580307581115,65.53159747469178,37.751080004907664,365.6700012207031,343.20250091552737,322.47400146484375,312.1585009765625,FCL.BO,2023-12-15 11:07:56.801975
7,2023-12-07 00:00:00+05:30,369.20001220703125,370.6000061035156,364.20001220703125,365.95001220703125,11845,0.0,0.0,2023-12-07,340.35250091552734,22.16259632909566,362.515097244623,318.1899045864317,384.67769357371867,296.027308257336,52.3560822483541,148.1740668946439,6929193,30354.886568323003,172792.0147831424,235.70488353574106,78.54846535228405,366.9166768391927,369.63334147135413,363.23334757486975,373.31667073567706,360.5166829427083,376.0333353678385,356.8333536783854,-0.034456058339778724,-22.043415985320134,14.200493141436766,11.61075961777261,2.5897335236641563,67.46246855609687,36.88102089499505,365.3400024414062,340.35250091552734,321.5220013427734,311.4430010986328,FCL.BO,2023-12-15 11:07:56.801975
8,2023-12-06 00:00:00+05:30,362.0,379.6499938964844,361.54998779296875,369.04998779296875,124163,0.0,0.0,2023-12-06,337.35,22.576041405723675,359.9260414057237,314.77395859427634,382.5020828114474,292.19791718855265,70.13464994916943,173.65916673621817,6941038,320884.8225145353,208401.29683684724,235.66648626943817,80.29476773120375,370.0833231608073,378.61665852864587,360.51665242513025,388.18332926432294,351.9833170572917,396.7166646321615,342.4166463216146,-0.029064358986967482,-17.05552235639919,14.244258157963998,10.963326236856568,3.2809319211074293,70.04551386011127,35.42101878608489,364.4099975585938,337.35,320.48700134277345,310.7965008544922,FCL.BO,2023-12-15 11:07:56.801975
9,2023-12-05 00:00:00+05:30,373.8999938964844,373.8999938964844,359.3500061035156,362.0,22067,0.0,0.0,2023-12-05,333.87250061035155,22.79167495673005,356.6641755670816,311.0808256536215,379.45585052381165,288.28915069689145,57.2531637247853,173.88834483644968,6816875,55940.15286613588,180280.41541742522,235.25301796142244,79.37770374634403,365.0833333333333,370.816660563151,356.26667277018225,379.63332112630206,350.53334554036456,385.36664835611975,341.7166849772135,-0.016965910632085485,-24.831096580897857,13.779167922054796,10.14309325657971,3.6360746654750855,67.41045162725729,33.84870882264318,363.99000244140626,333.87250061035155,319.40100158691405,310.15700103759764,FCL.BO,2023-12-15 11:07:56.801975
10,2023-12-04 00:00:00+05:30,366.0,374.45001220703125,362.8500061035156,367.70001220703125,99046,0.0,0.0,2023-12-04,330.5650009155273,23.28938235753505,353.85438327306235,307.2756185579923,377.14376563059744,283.9862362004572,76.50931798427088,207.52307037032458,6838942,255036.51702204443,211365.48105524754,235.18315159351687,76.80357828392971,368.3333435058594,373.8166809082031,362.2166748046875,379.933349609375,356.73333740234375,385.41668701171875,350.6166687011719,-0.017190963555079073,-14.263073105310783,13.669253191720259,9.23407459021094,4.435178601509319,72.17729238686087,32.41364649822542,362.86000366210936,330.5650009155273,318.56800170898435,309.50900115966795,FCL.BO,2023-12-15 11:07:56.801975
