Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-21 00:00:00+05:30,69.30000305175781,70.5,68.30999755859375,69.25,1961611,0.0,0.0,2025-08-21,67.17659721374511,2.038392482494075,69.21498969623919,65.13820473125104,71.25338217873326,63.09981224875696,131.61420748976303,132.62486790096924,34412206,1690820.229616579,1161499.0096859315,83.73368615433283,48.28558772473941,69.35333251953125,70.39666748046875,68.2066650390625,71.5433349609375,67.163330078125,72.586669921875,66.01666259765625,-0.2751584190580396,-26.57344224336163,0.8929459261430281,0.764377724282833,0.12856820186019513,61.33126582319592,29.6972536490746,68.37799987792968,67.17659721374511,65.27402313232422,63.64729335784912,GATEWAY.NS,2025-08-21 11:04:42.999213
2,2025-08-20 00:00:00+05:30,69.0,69.43000030517578,68.16999816894531,68.83999633789062,525005,0.0,0.0,2025-08-20,66.93474655151367,2.0662009778465666,69.00094752936023,64.8685455736671,71.06714850720681,62.802344595820536,117.71550327371871,121.36428512019452,32450595,449851.3699404029,1029168.7047032695,83.77986941997655,30.703396238119097,68.8133316040039,69.4566650390625,68.19666290283203,70.07333374023438,67.55332946777344,70.71666717529297,66.93666076660156,-0.2674439213353177,-44.33100450752219,0.8256064994090053,0.7322356738177842,0.09337082559122112,59.917646150220186,28.694581498336312,67.98399963378907,66.93474655151367,65.21323715209961,63.54725143432617,GATEWAY.NS,2025-08-21 11:04:42.999213
3,2025-08-19 00:00:00+05:30,68.08999633789062,69.0,67.61000061035156,68.80000305175781,861791,0.0,0.0,2025-08-19,66.66133155822754,2.160467506480352,68.8217990647079,64.50086405174719,70.98226657118825,62.34039654526684,103.99139979738894,116.20080431749501,31925590,737997.9935641626,1173998.0383939862,83.79263009888285,75.25490967865275,68.47000122070312,69.33000183105469,67.94000244140625,69.86000061035156,67.08000183105469,70.72000122070312,66.55000305175781,-0.27495189346095145,-56.95112852047106,0.7672615864586732,0.7088929674199789,0.05836861903869428,59.7844603338413,28.055514527180787,67.80800018310546,66.66133155822754,65.16968887329102,63.46614307403564,GATEWAY.NS,2025-08-21 11:04:42.999213
4,2025-08-18 00:00:00+05:30,67.30000305175781,68.69000244140625,67.1500015258789,68.08000183105469,677153,0.0,0.0,2025-08-18,66.43019256591796,2.1668938593950497,68.59708642531301,64.26329870652292,70.76398028470807,62.096404847127864,59.125127681784434,103.90254187048701,31063799,573813.993271676,1282998.0496014422,83.81368011621066,78.20637578647067,67.97333526611328,68.79666900634766,67.25666809082031,69.51333618164062,66.43333435058594,70.336669921875,65.71666717529297,-0.2902558360521185,-52.92001388315346,0.6848759747783788,0.6943008126603053,-0.009424837881926496,57.41961832746285,27.55522580500422,67.35,66.43019256591796,65.1188850402832,63.39545467376709,GATEWAY.NS,2025-08-21 11:04:42.999213
5,2025-08-14 00:00:00+05:30,67.26000213623047,69.30000305175781,66.37999725341797,66.91999816894531,1257098,0.0,0.0,2025-08-14,66.26059494018554,2.1637087599183715,68.4243037001039,64.09688618026718,70.58801246002228,61.9331774203488,15.57501529911122,92.58174928917792,30386646,1047104.0157445024,1460294.0636838838,83.8310568929895,76.84805679708593,67.53333282470703,68.6866683959961,65.76666259765625,70.45333862304688,64.61332702636719,71.60667419433594,62.846656799316406,-0.2949932456140902,-61.60266438448921,0.639929728911838,0.6966570221307868,-0.05672729321894887,53.31237096951182,27.150626687106275,67.00199890136719,66.26059494018554,65.0685317993164,63.319785079956056,GATEWAY.NS,2025-08-21 11:04:42.999213
6,2025-08-13 00:00:00+05:30,67.97000122070312,68.58999633789062,67.0,67.27999877929688,680029,0.0,0.0,2025-08-13,66.16471519470215,2.1754062117117963,68.34012140641396,63.98930898299036,70.51552761812574,61.81390277127856,2.3213872984810684,103.03489243186522,31643744,569479.6086415283,1563591.5756687291,83.86580118278869,77.47308724126543,67.62333170572917,68.24666341145834,66.65666707356772,69.2133280436198,66.03333536783855,69.83665974934897,65.06667073567709,-0.2937926080722878,-58.90805265001742,0.6869317940493431,0.7108388454355241,-0.02390705138618099,54.836677356760696,26.714904560139257,66.75199890136719,66.16471519470215,65.01131866455079,63.25434020996094,GATEWAY.NS,2025-08-21 11:04:42.999213
7,2025-08-12 00:00:00+05:30,66.51000213623047,68.27999877929688,66.12000274658203,67.95999908447266,1030220,0.0,0.0,2025-08-12,66.06557083129883,2.1670710055005893,68.23264183679942,63.89849982579824,70.3997128423,61.73142882029765,-21.00625161858384,102.68861921367333,32323773,871461.3094878495,1812119.567425529,83.88425517658932,76.49500228364369,67.45333353678386,68.78666432698569,66.62666829427084,69.6133295694987,65.29333750406902,70.94666035970053,64.466672261556,-0.2767359170788874,-53.81823683003404,0.7012460174248787,0.7168156082820694,-0.015569590857190674,57.73189919015936,26.53281548669721,66.52199859619141,66.06557083129883,64.9508349609375,63.18342887878418,GATEWAY.NS,2025-08-21 11:04:42.999213
8,2025-08-11 00:00:00+05:30,66.52999877929688,66.9800033569336,65.5,66.51000213623047,688556,0.0,0.0,2025-08-11,65.90492057800293,2.138141771206066,68.043062349209,63.766778806796864,70.18120412041506,61.6286370355908,-54.551179131441266,59.307826512017265,31293553,570021.1869345611,2047284.1319099488,83.91114254186256,76.34069121781545,66.33000183105469,67.16000366210938,65.68000030517578,67.81000518798828,64.8499984741211,68.64000701904297,64.19999694824219,-0.2988182147744185,-64.67149285053378,0.6419778943061658,0.7207080059963671,-0.07873011169020128,52.79729902339453,26.462438002471377,66.41599884033204,65.90492057800293,64.86908882141114,63.07496982574463,GATEWAY.NS,2025-08-21 11:04:42.999213
9,2025-08-08 00:00:00+05:30,65.68000030517578,67.38999938964844,65.1500015258789,66.33999633789062,1086286,0.0,0.0,2025-08-08,65.81726112365723,2.147945138576379,67.96520626223361,63.66931598508086,70.11315140080998,61.521370846504475,-37.50050242031957,61.42697306276743,30604997,896983.37741134,2416599.8681537956,83.93080177034047,74.73725414499484,66.29333241780598,67.43666330973306,65.19666544596353,68.53333028157552,64.05333455403645,69.6766611735026,62.956667582194,-0.2940033749992306,-65.94398963515708,0.6991725286355148,0.7403905339189173,-0.04121800528340247,52.189643496466836,26.936855310432563,66.94399871826172,65.81726112365723,64.83736503601074,62.98258251190185,GATEWAY.NS,2025-08-21 11:04:42.999213
10,2025-08-07 00:00:00+05:30,65.86000061035156,66.43000030517578,64.0,65.66999816894531,1275775,0.0,0.0,2025-08-07,65.71550788879395,2.169968614777767,67.88547650357172,63.545539274016186,70.05544511834948,61.37557065923842,-52.03531515920876,22.3353137128844,29518711,1042811.6179127757,2796503.990839409,83.96221077368608,73.40181533582073,65.36666615804036,66.73333231608072,64.30333201090494,67.79666646321614,62.93666585286458,69.1633326212565,61.87333170572916,-0.3027667440337434,-70.95893926635793,0.7785484644143565,0.7506950352397678,0.027853429174588773,49.82583691556092,27.447766257467684,67.34399871826172,65.71550788879395,64.7626742553711,62.90731822967529,GATEWAY.NS,2025-08-21 11:04:42.999213
