Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-20 00:00:00+05:30,19.860000610351562,20.170000076293945,19.81999969482422,20.079999923706055,201205,0.0,0.0,2025-01-20,21.122500038146974,0.916158345236477,22.03865838338345,20.2063416929105,22.954816728619928,19.29018334767402,-46.56730011353338,-149.82527560006466,134519874,234895.12822316922,245350.5971778381,22.466292946573095,39.90604660206139,20.023333231608074,20.22666676839193,19.876666386922203,20.3733336130778,19.673332850138348,20.576667149861656,19.526666005452476,-0.31786104007098537,-72.84265102060081,-0.646098828493173,-0.5171098251761872,-0.12898900331698582,37.08540841725298,13.962857756277938,19.905999755859376,21.122500038146974,21.85020004272461,23.449000034332276,GENUSPAPER.NS,2025-01-20 10:48:52.451871
2,2025-01-17 00:00:00+05:30,20.0,20.190000534057617,19.729999542236328,19.850000381469727,227069,0.0,0.0,2025-01-17,21.240500068664552,0.9267401010064311,22.167240169670983,20.31375996765812,23.093980270677413,19.38701986665169,-65.04557813821857,-165.64217301846233,134318669,262053.46143540804,247964.4644165053,22.467075205105935,34.97542342850467,19.923333485921223,20.116667429606117,19.65666643778483,20.383334477742512,19.463332494099934,20.576668421427406,19.19666544596354,-0.3769873643721829,-78.68020206274402,-0.6563624893204789,-0.48486257434694074,-0.17149991497353817,33.94517415395359,13.95104501796311,19.793999862670898,21.240500068664552,21.91580005645752,23.521500034332277,GENUSPAPER.NS,2025-01-20 10:48:52.451871
3,2025-01-16 00:00:00+05:30,20.450000762939453,20.450000762939453,19.530000686645508,19.809999465942383,247530,0.0,0.0,2025-01-16,21.395500087738036,0.9410660306503634,22.3365661183884,20.45443405708767,23.277632149038762,19.51336802643731,-80.77270171828458,-170.8154561750814,134091600,285091.21804054495,244442.2151617796,22.468043756016225,36.4301247092822,19.93000030517578,20.329999923706055,19.40999984741211,20.850000381469727,19.010000228881836,21.25,18.489999771118164,-0.4265400831981079,-79.69545358825964,-0.6369067291091213,-0.44198759560355616,-0.1949191335055651,33.40841745395451,13.93832360747022,19.997999954223634,21.395500087738036,21.966000061035157,23.59950002670288,GENUSPAPER.NS,2025-01-20 10:48:52.451871
4,2025-01-15 00:00:00+05:30,19.8799991607666,20.469999313354492,19.799999237060547,19.90999984741211,129725,0.0,0.0,2025-01-15,21.57450008392334,0.9638163036856856,22.538316387609026,20.610683780237654,23.50213269129471,19.646867476551968,-91.60560178825168,-164.21437058333157,134339130,150164.22183949553,234279.96444208827,22.469116543672513,42.42853928130019,20.059999465942383,20.31999969482422,19.649999618530273,20.729999542236328,19.389999389648438,20.989999771118164,18.979999542236328,-0.4160018379986679,-77.1573731843278,-0.5984078742925121,-0.3932578122271648,-0.20515006206534725,34.05074246583726,13.924623626939415,20.292000198364256,21.57450008392334,22.0092000579834,23.674800033569337,GENUSPAPER.NS,2025-01-20 10:48:52.451871
5,2025-01-14 00:00:00+05:30,19.520000457763672,20.18000030517578,19.399999618530273,19.8799991607666,181880,0.0,0.0,2025-01-14,21.77450008392334,1.0139524951414138,22.788452579064753,20.760547588781925,23.802405074206167,19.74659509364051,-148.51421888668148,-184.83627388732353,134209405,210219.42366136817,255308.9000927364,22.46965795751243,37.507083991774316,19.81999969482422,20.239999771118164,19.459999084472656,20.600000381469727,19.03999900817871,21.020000457763672,18.67999839782715,-0.36216118508177586,-77.91881182846451,-0.5498994102509513,-0.341970296710828,-0.20792911354012333,33.69562035185015,14.215836812829801,20.698000335693358,21.77450008392334,22.06460006713867,23.73870002746582,GENUSPAPER.NS,2025-01-20 10:48:52.451871
6,2025-01-13 00:00:00+05:30,20.43000030517578,20.84000015258789,19.010000228881836,19.520000457763672,285838,0.0,0.0,2025-01-13,21.981500148773193,1.0293086905855753,23.01080883935877,20.952191458187617,24.040117529944343,19.922882767602044,-228.88521944983853,-194.49693028443056,134027525,324392.88624151825,266581.26920057845,22.470426330193852,31.440447078750225,19.790000279744465,20.570000330607094,18.74000040690104,21.62000020345052,17.96000035603841,22.40000025431315,16.910000483194985,-0.10662449795140437,-87.05583350881906,-0.4765074544182468,-0.2899880183257971,-0.1865194360924497,29.4632898986806,14.119158067007326,20.980000686645507,21.981500148773193,22.11540008544922,23.80530004501343,GENUSPAPER.NS,2025-01-20 10:48:52.451871
7,2025-01-10 00:00:00+05:30,21.0,21.25,20.700000762939453,20.8700008392334,128426,0.0,0.0,2025-01-10,22.108000087738038,0.850873171787257,22.958873259525294,21.25712691595078,23.80974643131255,20.406253744163525,-158.15727428564395,-104.36415900347133,134313363,155828.5237727707,252128.36494034342,22.471802752346356,32.84562217732008,20.940000534057617,21.18000030517578,20.630001068115234,21.489999771118164,20.39000129699707,21.729999542236328,20.080001831054688,-0.09918190203481751,-92.44444105360243,-0.3398692833303514,-0.24335815930268465,-0.09651112402766673,37.88377685431693,14.01504249458312,21.326000595092772,22.108000087738038,22.171600074768065,23.875900039672853,GENUSPAPER.NS,2025-01-20 10:48:52.451871
8,2025-01-09 00:00:00+05:30,22.100000381469727,22.100000381469727,21.200000762939453,21.280000686645508,97763,0.0,0.0,2025-01-09,22.185000038146974,0.8011734749782041,22.986173513125177,21.38382656316877,23.787346988103383,20.582653088190565,-67.47553155313312,-57.0526216135201,134441789,120953.29156095836,276203.3252322366,22.47213856710973,31.637610027052204,21.52666727701823,21.853333791097008,20.953334172566734,22.426666895548504,20.626667658487957,22.75333340962728,20.05333455403646,-0.10684763167908182,-88.33330286873228,-0.2927360672590744,-0.21923037829576794,-0.07350568896330648,41.20477738891485,14.192239493448511,21.50400047302246,22.185000038146974,22.197000045776367,23.920200023651123,GENUSPAPER.NS,2025-01-20 10:48:52.451871
9,2025-01-08 00:00:00+05:30,21.690000534057617,22.950000762939453,21.350000381469727,21.940000534057617,323092,0.0,0.0,2025-01-08,22.26850004196167,0.7888184726518178,23.05731851461349,21.47968156930985,23.846136987265304,20.690863096658035,83.87512136400147,-9.895617845976156,134539552,412130.135937174,315015.83365005616,22.47232885377036,26.207205030488055,22.080000559488933,22.81000073750814,21.210000356038414,23.68000094095866,20.480000178019207,24.410001118977867,19.609999974568687,-0.11094642953084705,-65.0557491659783,-0.2683346457878173,-0.20085395605494133,-0.06748068973287596,47.418286301711056,13.550260281213523,21.656000518798827,22.26850004196167,22.201400032043455,23.95730001449585,GENUSPAPER.NS,2025-01-20 10:48:52.451871
10,2025-01-07 00:00:00+05:30,21.25,21.469999313354492,21.030000686645508,21.290000915527344,118556,0.0,0.0,2025-01-07,22.316499996185303,0.7969434025186436,23.113443398703946,21.51955659366666,23.91038680122259,20.722613191148017,-170.14544816751618,-83.05333806359741,134216460,146747.51375475514,290737.25807827665,22.472609812330838,16.116907690672846,21.263333638509113,21.49666659037272,21.056667963663735,21.703332265218098,20.82333501180013,21.936665217081703,20.61666933695475,-0.11898680107278248,-89.89544143810058,-0.2980277404555345,-0.18398378362172232,-0.11404395683381216,39.00718712482965,12.5973577262922,21.612000274658204,22.316499996185303,22.185400009155273,23.989400005340578,GENUSPAPER.NS,2025-01-20 10:48:52.451871
11,2025-01-06 00:00:00+05:30,21.600000381469727,21.920000076293945,21.0,21.25,435124,0.0,0.0,2025-01-06,22.405499935150146,0.7753742254409256,23.18087416059107,21.630125709709223,23.956248386031998,20.854751484268295,-215.15392758561032,-75.39705713428557,134097904,537580.4994103846,326734.694159157,22.472838891337222,29.717561430859973,21.390000025431316,21.780000050862633,20.859999974568687,22.31000010172526,20.46999994913737,22.700000127156578,19.939999898274742,-0.14256518760548723,-92.64705799855153,-0.267513213766442,-0.15547279441326928,-0.11204041935317272,38.44452634149847,13.513096958613028,21.7,22.405499935150146,22.200599975585938,24.030399990081786,GENUSPAPER.NS,2025-01-20 10:48:52.451871
