Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-18 00:00:00+05:30,146.5,148.5500030517578,140.0,141.39999389648438,208084,0.0,0.0,2024-10-18,148.32000122070312,10.66221176299284,158.98221298369594,137.6577894577103,169.6444247466888,126.99557769471744,87.87951260764673,-25.09602498518597,6626631,614902.3462533455,556477.2796879492,92.92305748172738,55.666583201136476,143.31666564941406,146.63333129882812,138.0833282470703,151.86666870117188,134.76666259765625,155.18333435058594,129.5333251953125,-0.05422715241707789,-69.26714169714516,-1.3741765694259414,0.04254855719114342,-1.4167251266170848,47.51181437013754,24.841534165510012,141.18000183105468,148.32000122070312,139.66100036621094,122.13650016784668,GEOJITFSL.BO,2024-10-18 11:10:30.171318
2,2024-10-17 00:00:00+05:30,145.85000610351562,152.89999389648438,142.75,149.0,285339,0.0,0.0,2024-10-17,148.885001373291,10.575258592475185,159.4602599657662,138.3097427808158,170.03551855824136,127.73448418834063,76.60019928520295,4.782715408345254,6834715,888516.4546660089,541871.0130466002,92.73729221539172,61.931368158110175,148.21666463216147,153.68332926432294,143.53333536783856,158.36665852864584,138.0666707356771,163.8333231608073,133.38334147135419,-0.018598597148070797,-51.30022549097765,-1.233724552348889,0.3967298388454146,-1.6304543911943035,52.44061303499696,26.44189250138175,140.47000427246093,148.885001373291,138.88300048828125,121.75420021057128,GEOJITFSL.BO,2024-10-18 11:10:30.171318
3,2024-10-16 00:00:00+05:30,133.8000030517578,146.9499969482422,130.89999389648438,144.60000610351562,282906,0.0,0.0,2024-10-16,149.5775016784668,11.027007015396242,160.60450869386304,138.55049466307057,171.63151570925928,127.52348764767432,-20.0026309612867,-24.85523193117071,6549376,854926.0320007274,455209.65264174796,92.44008417781474,53.34388184548558,140.81666564941406,150.73333740234375,134.68333435058594,156.86666870117188,124.76666259765625,166.78334045410156,118.63333129882812,-0.011184321060363036,-61.702101564368455,-1.7836960626139273,0.8043434366439903,-2.588039499257918,49.63161188961753,28.43831963984463,137.8000030517578,149.5775016784668,137.9740005493164,121.30370018005371,GEOJITFSL.BO,2024-10-18 11:10:30.171318
4,2024-10-15 00:00:00+05:30,138.0500030517578,138.4499969482422,131.6999969482422,133.60000610351562,199996,0.0,0.0,2024-10-15,150.1250015258789,11.038695049285627,161.16369657516452,139.08630647659328,172.20239162445014,128.04761142730766,-66.26928222995755,-45.80703970093964,6266470,558400.578322474,355280.5578020031,92.16546019904462,51.39410620599396,134.58333333333334,137.4666697184245,130.7166697184245,141.33333333333334,127.83333333333334,144.2166697184245,123.9666697184245,-0.22178927957407873,-87.70682782063024,-2.027467823638659,1.4513533114584698,-3.478821135097129,41.62822325169074,29.862338239316156,136.78000183105468,150.1250015258789,137.30000045776367,120.90070014953614,GEOJITFSL.BO,2024-10-18 11:10:30.171318
5,2024-10-14 00:00:00+05:30,139.9499969482422,140.25,136.35000610351562,137.3000030517578,14205,0.0,0.0,2024-10-14,151.90750122070312,11.107955823871105,163.01545704457422,140.79954539683203,174.12341286844534,129.6915895729609,-56.917505877430514,-26.388758138220663,6466466,40759.59468222416,304500.5526718854,92.01066313009353,54.934638429902805,137.96666971842447,139.58333333333331,135.68333943684894,141.86666361490884,134.0666758219401,143.4833272298177,131.78334554036456,-0.1649371535191295,-78.95979074899006,-1.2255170051985544,2.321058595232752,-3.5465756004313063,43.80210118036791,30.03273863987674,137.96000061035156,151.90750122070312,136.79600036621093,120.64760009765625,GEOJITFSL.BO,2024-10-18 11:10:30.171318
6,2024-10-11 00:00:00+05:30,134.9499969482422,141.5,134.9499969482422,137.85000610351562,31390,0.0,0.0,2024-10-11,153.15000076293944,10.772773967946636,163.9227747308861,142.3772267949928,174.6955486988327,131.60445282704617,-67.53744339466907,-20.74723755133317,6480671,90430.75923878256,370435.79216930066,91.99864238675158,53.98726438868967,138.1000010172526,141.250005086263,134.7000020345052,144.6500040690104,131.54999796549478,147.80000813802081,128.14999898274738,-0.14648298204324706,-77.65954722162,-0.544602141565008,3.2077024953405786,-3.7523046369055866,44.1201254757872,30.712676111044992,137.38999938964844,153.15000076293944,136.2600003051758,120.33530006408691,GEOJITFSL.BO,2024-10-18 11:10:30.171318
7,2024-10-10 00:00:00+05:30,141.9499969482422,141.9499969482422,134.89999389648438,135.64999389648438,83629,0.0,0.0,2024-10-10,154.18500061035155,10.20486523488954,164.3898658452411,143.980135375462,174.59473108013063,133.77527014057247,-88.54481273027096,-18.53070029268458,6449281,237079.91016351784,440437.0504019301,91.97173370224313,48.28619734334193,137.49999491373697,140.09999593098956,133.04999287923175,144.54999796549478,130.44999186197916,147.14999898274738,125.99998982747394,-0.13471348875794512,-82.86052133110019,0.28125980210427315,4.145778654566975,-3.8645188524627017,42.57142034076517,31.4449164646108,142.93999938964845,154.18500061035155,135.76000015258788,120.03790000915528,GEOJITFSL.BO,2024-10-18 11:10:30.171318
8,2024-10-09 00:00:00+05:30,141.64999389648438,142.89999389648438,138.0500030517578,139.5,66483,0.0,0.0,2024-10-09,155.22500076293946,9.229808525592162,164.45480928853164,145.99519223734728,173.68461781412378,136.76538371175513,-98.35891478750642,-5.667850276973802,6532910,193821.91840645304,491276.3354615331,91.90333455424019,47.280199652902894,140.1499989827474,142.249994913737,137.40000406901044,144.99998982747397,135.30000813802084,147.09998575846356,132.55001322428387,-0.13299911957659322,-73.75885271229465,1.5510197079172485,5.11190836768265,-3.5608886597654017,44.57911722758796,32.23348299922013,148.5800018310547,155.22500076293946,135.34800033569337,119.75390007019043,GEOJITFSL.BO,2024-10-18 11:10:30.171318
9,2024-10-08 00:00:00+05:30,132.0500030517578,142.1999969482422,128.39999389648438,139.5,162426,0.0,0.0,2024-10-08,156.26500091552734,8.508342456709261,164.7733433722366,147.75665845881807,173.28168582894585,139.24831600210882,-165.9210114159313,-13.839342385627605,6599393,473530.3599278995,565639.9397253031,91.8440069803068,41.685440524891554,136.6999969482422,145.0,131.1999969482422,150.5,122.89999389648438,158.8000030517578,117.39999389648438,-0.15562081106315487,-73.75885271229465,2.7740295967115856,6.002130532624,-3.2281009359124146,44.57911722758796,33.390887468138004,154.03000183105468,156.26500091552734,134.8270002746582,119.40870010375977,GEOJITFSL.BO,2024-10-18 11:10:30.171318
10,2024-10-07 00:00:00+05:30,141.0500030517578,147.6999969482422,134.14999389648438,134.4499969482422,270916,0.0,0.0,2024-10-07,157.24250106811525,7.549927800586021,164.79242886870128,149.6925732675292,172.34235666928728,142.1426454669432,-212.27156303982065,-4.704860404995608,6436967,761225.8418969371,588667.334674654,91.69843858816068,33.836598264635526,138.76666259765625,143.38333129882812,129.8333282470703,152.31666564941406,125.21665954589844,156.93333435058594,116.2833251953125,-0.18665795899658252,-99.29987629165542,4.297822111960215,6.809155766602104,-2.5113336546418887,41.45649074190756,34.5417575655428,156.95000305175782,157.24250106811525,134.29900024414061,118.99790008544922,GEOJITFSL.BO,2024-10-18 11:10:30.171318
