Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-09-16 00:00:00+05:30,996.0,1068.5,996.0,1058.1500244140625,2374426,0.0,0.0,2025-09-16,972.095004272461,27.53239582674345,999.6274000992045,944.5626084457175,1027.159795925948,917.0302126189741,216.16812935253034,262.3483743850218,84086730,3218834.473698428,841015.8633247662,1061.890567440009,89.81431411980535,1040.8833414713542,1085.7666829427085,1013.2666829427085,1113.3833414713542,968.3833414713542,1158.2666829427085,940.7666829427085,0.2880335805347564,-7.089024373929795,13.199615012142203,5.195217391642542,8.004397620499661,73.85446494662953,17.029617120632818,1004.0300048828125,972.095004272461,967.9766247558593,953.4011364746094,GESHIP.NS,2025-09-16 11:05:23.635945
2,2025-09-15 00:00:00+05:30,995.7000122070312,1008.0,992.0,995.7000122070312,212141,0.0,0.0,2025-09-15,967.8900024414063,18.704542426429335,986.5945448678357,949.1854600149769,1005.299087294265,930.4809175885476,121.42481461323237,137.7442856962189,81712304,270611.2720096446,246561.21073135067,1061.9175835210974,74.28492474327682,998.5666707356771,1005.1333414713542,989.1333414713542,1014.5666707356771,982.5666707356771,1021.1333414713542,973.1333414713542,-0.027672376752859943,-14.38595063505117,7.428320037908975,3.1941179865176266,4.234202051391348,61.005694375201315,14.506205884673872,987.4300048828125,967.8900024414063,967.3127233886719,951.865888671875,GESHIP.NS,2025-09-16 11:05:23.635945
3,2025-09-12 00:00:00+05:30,988.0999755859375,996.0,983.5,992.0,144971,0.0,0.0,2025-09-12,966.6450012207031,17.54904263553241,984.1940438562355,949.0959585851707,1001.7430864917679,931.5469159496382,112.31294734630032,112.52328137611381,81500163,184240.69589184152,240548.69541177718,1061.960340523733,69.82544027260427,990.5,997.5,985.0,1003.0,978.0,1010.0,972.5,0.04633309096233109,-8.432177016370927,6.077143280106952,2.135567473669789,3.941575806437163,59.922133711492634,14.06946872167485,978.6700073242188,966.6450012207031,967.2419714355469,951.025668334961,GESHIP.NS,2025-09-16 11:05:23.635945
4,2025-09-11 00:00:00+05:30,989.2999877929688,998.4000244140625,985.5499877929688,986.5499877929688,185012,0.0,0.0,2025-09-11,964.9875,16.56621372532037,981.5537137253203,948.4212862746796,998.1199274506407,931.8550725493592,132.6581692931118,113.30697320394728,81355192,233836.2038664845,254625.69529176108,1061.9912245646776,65.32046563693339,990.1666666666666,994.7833455403645,981.9333089192708,1003.0167032877604,977.3166300455729,1007.6333821614583,969.083272298177,0.01186138974937321,-15.612691448486828,4.619544795733077,1.1501735220604983,3.4693712736725786,58.338718704390566,14.349132964347934,974.5000122070312,964.9875,967.2462109375,950.0991485595703,GESHIP.NS,2025-09-16 11:05:23.635945
5,2025-09-10 00:00:00+05:30,984.9000244140625,994.0,977.0499877929688,987.75,122247,0.0,0.0,2025-09-10,964.3575012207032,15.930436083943935,980.2879373046471,948.4270651367592,996.2183733885911,932.4966290528153,139.93375426324243,100.10715669826237,81540204,154695.61629507493,259823.0681480802,1062.0337505621665,58.233020211899145,986.2666625976562,995.4833374023438,978.5333251953125,1003.2166748046875,969.316650390625,1012.433349609375,961.5833129882812,0.12587447683732253,-11.224489795918368,3.22012756270874,0.28283070364235346,2.9372968590663864,58.81380169097827,14.4824472996459,971.3900146484375,964.3575012207032,966.9585974121094,949.1787951660157,GESHIP.NS,2025-09-16 11:05:23.635945
6,2025-09-09 00:00:00+05:30,955.0,996.0,952.0,975.1500244140625,629071,0.0,0.0,2025-09-09,962.3125,15.385332963447818,977.6978329634478,946.9271670365522,993.0831659268956,931.5418340731044,107.2181663075117,57.561254580111985,81417957,785893.7940025753,286104.9311113315,1062.0614288762954,57.99578786176729,974.3833414713541,996.7666829427083,952.7666829427083,1018.3833414713541,930.3833414713541,1040.7666829427083,908.7666829427083,0.15410798321379984,-28.367313722363946,1.2614766066636776,-0.45149351112424313,1.7129701177879206,55.26159965612232,14.901599577102214,965.6000122070312,962.3125,966.6281311035157,947.9638391113281,GESHIP.NS,2025-09-16 11:05:23.635945
7,2025-09-08 00:00:00+05:30,971.5,973.5999755859375,948.4000244140625,951.9000244140625,144478,0.0,0.0,2025-09-08,960.0974975585938,16.582210871962044,976.6797084305558,943.5152866866317,993.2619193025179,926.9330758146697,27.590808907047563,-3.1235380741691965,80788886,176191.85078447624,161157.71538852056,1062.2283908379845,45.45061404831757,957.9666748046875,967.5333251953125,942.3333740234375,983.1666259765625,932.7667236328125,992.7332763671875,917.1334228515625,0.1594583469565321,-55.78943697133459,-0.024396743092097495,-0.8797360405712232,0.8553392974791257,47.5037373491024,15.352994337439783,962.6900024414062,960.0974975585938,966.4494506835938,946.9858520507812,GESHIP.NS,2025-09-16 11:05:23.635945
8,2025-09-05 00:00:00+05:30,973.0,974.0,961.5,971.1500244140625,102043,0.0,0.0,2025-09-05,959.4999969482421,17.100334085826677,976.6003310340689,942.3996628624154,993.7006651198955,925.2993287765888,78.61051021630416,29.710970090541252,80933364,126958.65184084442,157399.18153953162,1062.2770900205078,55.64203465121147,968.8833414713541,976.2666829427083,963.7666829427083,981.3833414713541,956.3833414713541,988.7666829427083,951.2666829427083,0.2310273259252031,-26.842068550281954,0.6194380855250756,-1.0935708649410045,1.7130089504660801,54.810955672004425,15.69321972662704,963.5900024414062,959.4999969482421,967.0165673828125,946.1481372070313,GESHIP.NS,2025-09-16 11:05:23.635945
9,2025-09-04 00:00:00+05:30,965.0,975.0,956.7999877929688,971.0,192956,0.0,0.0,2025-09-04,957.5449951171875,17.914043756626974,975.4590388738144,939.6309513605605,993.3730826304414,921.7169076039335,59.379824334554556,20.578041605720177,80831321,240032.62577381643,165009.31396420344,1062.3055083654467,57.210576923724304,967.5999959309896,978.4000040690105,960.1999918619792,985.8000081380209,949.3999837239584,996.6000162760417,941.999979654948,0.2643198917884612,-27.06766917293233,-0.46147699125344843,-1.5218231025575244,1.060346111304076,54.76060364628325,16.814137885349805,954.8299926757812,957.5449951171875,967.1599877929688,944.9487554931641,GESHIP.NS,2025-09-16 11:05:23.635945
10,2025-09-03 00:00:00+05:30,955.0,971.0,953.0,958.7999877929688,106256,0.0,0.0,2025-09-03,954.859994506836,19.724130563389124,974.5841250702251,935.1358639434468,994.3082556336142,915.4117333800577,15.19715797272186,-4.1110345112664115,80638365,130519.1513354382,146253.48601180018,1062.359382414852,47.83326382192208,960.9333292643229,968.8666585286458,950.8666585286458,978.9333292643229,942.9333292643229,986.8666585286458,932.8666585286458,0.20391497582993603,-45.413552191024436,-1.8236086322401661,-1.7869096303835432,-0.03669900185662289,50.60378214096309,18.021280517820475,947.5699951171875,954.859994506836,967.04248046875,943.7257202148437,GESHIP.NS,2025-09-16 11:05:23.635945
