Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-14 00:00:00+05:30,88.41999816894531,89.8499984741211,82.70999908447266,84.29000091552734,219505,0.0,0.0,2024-10-14,85.95500030517579,3.098300552674166,89.05330085784995,82.85669975250163,92.15160141052412,79.75839919982745,-62.721674693908625,41.19829544523124,10783008,273901.93656669755,329796.44989735476,81.6173599997415,72.38127844513812,85.61666615804036,88.52333323160806,81.38333384195963,92.7566655476888,78.47666676839192,95.6633326212565,74.24333445231119,-0.08023792190005734,-74.23164977658925,1.2698198777077891,1.4845302589472873,-0.21471038123949815,48.84573402377247,33.487760056661074,87.08000030517579,85.95500030517579,81.67100021362305,78.9194002532959,GFLLIMITED.NS,2024-10-14 10:51:16.398189
2,2024-10-11 00:00:00+05:30,90.3499984741211,92.4000015258789,87.72000122070312,88.30000305175781,139523,0.0,0.0,2024-10-11,85.99050025939941,3.0822450606120335,89.07274532001145,82.90825519878737,92.15499038062347,79.82601013817535,46.42261733553835,128.4758030316065,11002513,182381.65461444473,343770.078230019,81.61029217123743,77.78955398524263,89.47333526611328,91.22666931152344,86.54666900634766,94.15333557128906,84.7933349609375,95.90666961669922,81.86666870117188,-0.06892626885003039,-42.631954230856174,1.5904444385570855,1.5382078542571616,0.05223658429992395,55.61759006165557,35.4261841120227,86.49400024414062,85.99050025939941,81.56460021972656,78.82250022888184,GFLLIMITED.NS,2024-10-14 10:51:16.398189
3,2024-10-10 00:00:00+05:30,90.97000122070312,93.1500015258789,88.11000061035156,90.18000030517578,347346,0.0,0.0,2024-10-10,85.82050018310547,3.041656763576288,88.86215694668175,82.77884341952918,91.90381371025805,79.73718665595288,82.93923152670112,154.46126933233958,11142036,463710.7471631181,384117.18413391255,81.59902837577633,81.56866555129662,90.48000081380208,92.8500010172526,87.81000010172525,95.52000172932942,85.43999989827473,97.89000193277994,82.76999918619791,-0.0532569820239114,-27.817163909904625,1.5819189395829767,1.5251487081821804,0.05677023140079629,59.1899730458795,35.77306525669711,86.38000030517578,85.82050018310547,81.39300018310547,78.69400016784668,GFLLIMITED.NS,2024-10-14 10:51:16.398189
4,2024-10-09 00:00:00+05:30,84.25,93.70999908447266,83.5999984741211,89.16999816894531,476965,0.0,0.0,2024-10-09,85.51950035095214,2.8811714620743487,88.40067181302649,82.6383288888778,91.28184327510084,79.75715742680345,58.3447018903969,126.99724415280862,10794690,629622.0022975137,364218.79337661114,81.5629078005267,74.87477515440577,88.82666524251302,94.05333201090494,83.94333140055338,98.93666585286458,78.71666463216145,104.1633326212565,73.83333079020181,-0.07531912858175692,-33.57989676614038,1.3618840039752058,1.510956150331981,-0.14907214635677524,57.83903565410977,35.99218337345215,86.3740005493164,85.51950035095214,81.17600021362304,78.55470016479492,GFLLIMITED.NS,2024-10-14 10:51:16.398189
5,2024-10-08 00:00:00+05:30,81.19999694824219,84.37999725341797,81.19999694824219,83.45999908447266,85743,0.0,0.0,2024-10-08,85.25200042724609,2.7706438056781666,88.02264423292425,82.48135662156793,90.79328803860243,79.71071281588975,-94.53386670441186,12.108432191331119,10317725,105937.97747154512,297867.9911463855,81.518681709939,65.20714456677004,83.01333109537761,84.82666524251303,81.64666493733725,86.19333140055339,79.83333079020183,88.00666554768881,78.46666463216147,-0.09882256533598739,-74.1706345356162,1.159007910379259,1.5482241869211748,-0.3892162765419158,48.97129609618105,36.22815672995758,86.88800048828125,85.25200042724609,80.98180023193359,78.43850021362304,GFLLIMITED.NS,2024-10-14 10:51:16.398189
6,2024-10-07 00:00:00+05:30,89.05000305175781,89.9000015258789,81.0199966430664,81.36000061035156,199657,0.0,0.0,2024-10-07,85.258500289917,2.7663677370682564,88.02486802698525,82.49213255284874,90.79123576405351,79.72576481578048,-73.57516619983015,36.57813048704848,10231982,240475.09856386628,345850.4945650956,81.51665064965549,55.603995502545764,84.0933329264323,87.16666920979819,78.28666432698569,92.9733378092448,75.2133280436198,96.04667409261069,69.40665944417319,-0.08321145650442606,-90.75830540608459,1.4440527017403895,1.6455282560566535,-0.20147555431626407,45.02229255974799,38.869890757803184,87.66600036621094,85.258500289917,80.83600021362305,78.37490020751953,GFLLIMITED.NS,2024-10-14 10:51:16.398189
7,2024-10-04 00:00:00+05:30,90.31999969482422,92.8499984741211,86.62000274658203,87.7300033569336,197223,0.0,0.0,2024-10-04,85.21950035095215,2.8290099332895764,88.04851028424173,82.39049041766256,90.8775202175313,79.56148048437299,79.16422179919473,132.3358743429885,10431639,256141.7271707174,372194.34356540284,81.51703321177443,65.10360396313325,89.06666819254558,91.51333363850912,85.28333791097006,95.29666392008464,82.83667246500652,97.74332936604819,79.053342183431,-0.0684478571521295,-40.44231217732502,1.9939348570443656,1.6958971446357194,0.2980377124086462,57.57148839252357,41.71483509548306,88.33200073242188,85.21950035095215,80.72160018920898,78.32930023193359,GFLLIMITED.NS,2024-10-14 10:51:16.398189
8,2024-10-03 00:00:00+05:30,90.69000244140625,92.29000091552734,89.0,90.1500015258789,339827,0.0,0.0,2024-10-03,85.01550025939942,2.7852149810454954,87.80071524044492,82.23028527835392,90.5859302214904,79.44507029730843,149.83168409069162,163.98816363976312,10628862,453521.88282007165,401207.4976640741,81.50200896569194,69.53441239081099,90.48000081380208,91.96000162760416,88.67000071207681,93.77000172932942,87.18999989827473,95.2500025431315,85.37999979654947,-0.009744602986137293,-19.090161983667763,2.0403907572467688,1.6213877165335577,0.41900304071321104,63.84973932268737,42.31063613890578,87.58399963378906,85.01550025939942,80.47200012207031,78.22600021362305,GFLLIMITED.NS,2024-10-14 10:51:16.398189
9,2024-10-01 00:00:00+05:30,87.30000305175781,92.5,87.11000061035156,91.73999786376953,639366,0.0,0.0,2024-10-01,84.55450019836425,2.6504102246252073,87.20491042298946,81.90408997373905,89.85532064761466,79.25367974911384,235.29669054761254,170.6535104842041,10968689,868326.1706031914,388128.9013750747,81.46582447939629,64.49472994818635,90.4499994913737,93.78999837239584,88.3999989827474,95.83999888102214,85.06000010172527,99.17999776204428,83.00999959309897,0.011608263108736055,-6.173860982611671,1.830620222575746,1.516636956355255,0.3139832662204909,68.40054003969637,41.489855760756456,86.25599975585938,84.55450019836425,80.16660003662109,78.10000022888184,GFLLIMITED.NS,2024-10-14 10:51:16.398189
10,2024-09-30 00:00:00+05:30,84.69000244140625,89.80000305175781,83.33999633789062,87.3499984741211,248276,0.0,0.0,2024-09-30,83.98500022888183,2.2127461690227146,86.19774639790454,81.77225405985912,88.41049256692726,79.5595078908364,122.12562842869359,112.21142168036917,10329323,321049.70009466936,268079.5840680455,81.38430187365232,60.42311951479142,86.82999928792317,90.32000223795572,83.85999552408853,93.29000600179036,80.36999257405598,96.78000895182291,77.39998881022134,-0.10309914836751344,-36.63717758199408,1.3777231529005007,1.4381411398001323,-0.060417986899631515,61.33531741308914,40.6059384304418,84.68800048828125,83.98500022888183,79.81720001220702,77.98710021972656,GFLLIMITED.NS,2024-10-14 10:51:16.398189
