Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-04-18 00:00:00+05:30,34.20000076293945,34.54999923706055,33.400001525878906,33.79999923706055,48742,0.0,0.0,2024-04-18,33.17499990463257,2.281533508286147,35.456533412918716,30.893466396346426,37.73806692120486,28.611932888060277,-67.91966513630364,-21.167734784988802,9303223,30565.482674834515,75528.404480674,35.06159714568331,55.829953683049716,33.916666666666664,34.43333180745442,33.28333409627278,35.066664377848305,32.766668955485024,35.58332951863606,32.13333638509114,-0.10399120219637002,-54.76192206211598,-0.047043156147758225,-0.19962033210491723,0.152577175957159,48.99330996465065,18.558365350999164,34.17000045776367,33.17499990463257,35.82499984741211,34.311999778747555,GINNIFILA.NS,2024-04-18 10:46:44.863409
2,2024-04-16 00:00:00+05:30,32.5,34.599998474121094,32.20000076293945,33.70000076293945,109251,0.0,0.0,2024-04-16,33.03999996185303,2.322124787024956,35.36212474887798,30.717875174828073,37.684249535902936,28.395750387803115,-78.17823367092906,-34.21106429892023,9254481,68307.21111546135,86769.13493213386,35.06257974741541,45.662758409523356,33.5,34.79999923706055,32.400001525878906,35.89999771118164,31.10000228881836,37.19999694824219,30.000003814697266,-0.11309890873708073,-55.95237987111775,-0.02811108165050058,-0.23776462609420695,0.20965354444370637,48.696236358248626,19.96464104473024,34.390000915527345,33.03999996185303,35.98799987792969,34.22799978256226,GINNIFILA.NS,2024-04-18 10:46:44.863409
3,2024-04-15 00:00:00+05:30,32.400001525878906,34.150001525878906,31.399999618530273,32.20000076293945,180417,0.0,0.0,2024-04-15,32.93499994277954,2.3381335860463213,35.27313352882586,30.59686635673322,37.611267114872184,28.258732770686898,-94.34651362706975,-58.66372249376909,9145230,107781.58391810025,91384.615886302,35.06496261085031,46.61527480342347,32.58333396911621,33.76666831970215,31.016666412353516,35.333335876464844,29.833332061767578,36.51667022705078,28.266664505004883,-0.06560342974164618,-73.80951948447101,0.006401970750339103,-0.2901780122051335,0.2965799829554726,44.166892390353325,21.479091791825244,34.720000457763675,32.93499994277954,36.17599983215332,34.14849977493286,GINNIFILA.NS,2024-04-18 10:46:44.863409
4,2024-04-12 00:00:00+05:30,36.400001525878906,36.849998474121094,34.0,34.75,116523,0.0,0.0,2024-04-12,32.8399998664856,2.407149540460181,35.24714940694578,30.432850326025417,37.65429894740596,28.025700785565235,25.32278516406389,0.8197989306613812,9325647,75123.82440389875,87285.37387835242,35.073260437937314,52.41533164151874,35.199999491373696,36.39999898274739,33.5500005086263,38.04999796549479,32.3500010172526,39.249997456868485,30.700002034505204,-0.0930481347759568,-41.95403684821847,0.19821940949459105,-0.36432300794400163,0.5625424174385927,51.31889399313853,22.85252026380795,35.73000030517578,32.8399998664856,36.35299980163574,34.084499759674074,GINNIFILA.NS,2024-04-18 10:46:44.863409
5,2024-04-10 00:00:00+05:30,34.900001525878906,36.95000076293945,34.29999923706055,36.400001525878906,91031,0.0,0.0,2024-04-10,32.69749984741211,2.372233947591744,35.069733795003856,30.325265899820366,37.4419677425956,27.95303195222862,55.29764800037513,13.29603978250441,9442170,61475.48135618078,90325.76124696582,35.07386626050152,50.70473810946652,35.88333384195963,37.46666844685872,34.81666692097981,38.53333536783854,33.23333231608073,40.116669972737625,32.16666539510091,-0.13208774758141556,-22.222217512720423,0.1896642446991592,-0.5049586123036498,0.694622857002809,56.85011748827777,23.271615930219298,36.09000015258789,32.69749984741211,36.44199981689453,33.99849975585938,GINNIFILA.NS,2024-04-18 10:46:44.863409
6,2024-04-09 00:00:00+05:30,35.75,36.20000076293945,34.75,34.900001525878906,72289,0.0,0.0,2024-04-09,32.552499771118164,2.2176014960855492,34.770101267203714,30.334898275032614,36.98770276328926,28.117296778947065,48.27934842485309,-4.1501697077875965,9351139,46806.79292917928,97538.33121966208,35.07192181988415,46.46788986435438,35.28333409627279,35.81666819254558,34.366667429606125,36.73333485921224,33.833333333333336,37.26666895548503,32.91666666666667,-0.16479099375813203,-38.88888064726074,0.013337190333608362,-0.678614326554352,0.6919515168879604,52.53120113402616,23.50676545665109,35.80999984741211,32.552499771118164,36.460999755859376,33.88299974441529,GINNIFILA.NS,2024-04-18 10:46:44.863409
7,2024-04-08 00:00:00+05:30,36.849998474121094,37.79999923706055,35.0,35.349998474121094,112137,0.0,0.0,2024-04-08,32.54999961853027,2.214842067552597,34.76484168608287,30.335157550977677,36.97968375363546,28.120315483425077,83.46243055200097,7.356035013189055,9423428,73544.39084735964,110221.21579228278,35.07212223149626,51.65293767204676,36.04999923706055,37.099998474121094,34.29999923706055,38.849998474121094,33.25,39.89999771118164,31.5,-0.12490555842122153,-33.888915615311596,-0.06488967760915898,-0.851602205776342,0.7867125281671831,54.03791337847253,24.121121988076954,35.49999923706055,32.54999961853027,36.54899971008301,33.79149972915649,GINNIFILA.NS,2024-04-18 10:46:44.863409
8,2024-04-05 00:00:00+05:30,37.29999923706055,38.400001525878906,36.5,37.25,278258,0.0,0.0,2024-04-05,32.494999694824216,2.154487241150754,34.64948693597497,30.340512453673462,36.803974177125724,28.186025212522708,155.80948505538922,29.887320110265534,9535565,192302.6012350561,119390.42202851357,35.07161883531169,58.124774810572774,37.38333384195963,38.266667683919266,36.36666615804036,39.28333536783854,35.48333231608073,40.16666920979817,34.466664632161454,-0.1245969786510244,-12.77779202402072,-0.20837847802020804,-1.0482803378181378,0.8399018597979298,60.88453600450013,24.617897348489663,34.789999389648436,32.494999694824216,36.61899971008301,33.694499740600584,GINNIFILA.NS,2024-04-18 10:46:44.863409
9,2024-04-04 00:00:00+05:30,35.349998474121094,36.75,35.04999923706055,36.54999923706055,252841,0.0,0.0,2024-04-04,32.41499977111816,1.9922283090103616,34.407228080128526,30.4227714621078,36.399456389138884,28.43054315309744,181.77717698535224,3.528110741731256,9257307,171453.39694769031,101162.37722687793,35.061782172611366,47.8021833731914,36.11666615804037,37.18333307902019,35.483332316080734,37.81666692097982,34.416665395100914,38.88333384195964,33.78333155314128,-0.12118146012078498,-2.631588853957083,-0.576051736731209,-1.2582558027676203,0.6822040660364113,59.112262880515495,24.10963891409543,33.39999923706055,32.41499977111816,36.62999969482422,33.58599973678589,GINNIFILA.NS,2024-04-18 10:46:44.863409
10,2024-04-03 00:00:00+05:30,34.04999923706055,35.0,33.900001525878906,35.0,108008,0.0,0.0,2024-04-03,32.37249984741211,1.9066005174800127,34.27910036489212,30.465899329932096,36.18570088237213,28.559298812452084,208.13008000406887,-26.03337085463937,9004466,70135.0629495805,83589.62229667485,35.05565068785709,37.99708969363706,34.63333384195963,35.36666615804036,34.266667683919266,35.73333231608073,33.53333536783854,36.466664632161454,33.16666920979817,-0.20598520358087963,-0.0,-0.9691173983257784,-1.4288068192767232,0.4596894209509448,54.91183320468797,24.268251052617813,32.13999938964844,32.37249984741211,36.619999694824216,33.48349973678589,GINNIFILA.NS,2024-04-18 10:46:44.863409
