Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-10-17 00:00:00+05:30,6.869999885559082,6.889999866485596,6.440000057220459,6.5,7332,0.0,0.0,2025-10-17,6.136999988555909,0.324200995867752,6.461200984423661,5.8127989926881565,6.785401980291413,5.488597996820404,88.50779978532452,192.37318384000736,868253,11083.255322334131,45007.969767970986,7.219676482753213,72.27085939047818,6.609999974568685,6.77999989191691,6.3300000826517735,7.059999783833821,6.160000165303548,7.229999701182047,5.880000273386637,0.2129045737418925,-45.901649596069404,0.14030551128835178,0.0842108126239812,0.056094698664370585,56.72060757059287,20.190573118910127,6.509999847412109,6.136999988555909,6.060799961090088,5.905899958610535,GLFL.NS,2025-10-17 11:08:06.107315
2,2025-10-16 00:00:00+05:30,7.079999923706055,7.079999923706055,6.139999866485596,6.739999771118164,39661,0.0,0.0,2025-10-16,6.098499989509582,0.32454457134738723,6.42304456085697,5.773955418162195,6.747589132204356,5.449410846814808,134.9802901860034,229.99710616450633,875585,62166.306759310515,53489.1483793802,7.220966537405281,76.78697667960564,6.6533331871032715,7.166666507720947,6.226666450500488,7.5933332443237305,5.7133331298828125,8.106666564941406,5.286666393280029,0.19753085909559384,-32.786907458150374,0.13534729550122293,0.07018713795788854,0.06516015754333439,62.559295519917626,19.826333492446256,6.419999885559082,6.098499989509582,6.050399961471558,5.885499958992004,GLFL.NS,2025-10-17 11:08:06.107315
3,2025-10-15 00:00:00+05:30,6.5,7.340000152587891,6.309999942779541,6.449999809265137,41014,0.0,0.0,2025-10-15,6.05550000667572,0.2902353538765455,6.345735360552266,5.765264652799174,6.635970714428811,5.475029298922629,225.19453030682786,275.05158138396183,835924,61520.99545186079,51319.85878439762,7.2256758631006734,86.09623746739985,6.699999968210856,7.089999993642172,6.059999783833822,7.730000178019206,5.669999758402507,8.120000203450521,5.029999574025473,0.18668808146010657,-48.36957986503436,0.10331221911059174,0.05389709857205494,0.0494151205385368,57.670274358031136,19.434075433177473,6.303999900817871,6.05550000667572,6.0345999622344975,5.863399963378907,GLFL.NS,2025-10-17 11:08:06.107315
4,2025-10-14 00:00:00+05:30,6.760000228881836,6.769999980926514,5.75,6.699999809265137,99351,0.0,0.0,2025-10-14,6.026500010490418,0.27743703479806064,6.303937045288478,5.7490629756923575,6.5813740800865395,5.471625940894296,160.28462324888883,184.7340908718524,876938,154802.70965675032,48769.57461753182,7.233610230904683,84.91201020240977,6.40666659673055,7.0633331934611,6.043333212534586,7.4266665776570635,5.386666615804036,8.083333174387613,5.023333231608072,0.2712559172147506,-5.511824623045202,0.08929287938219233,0.04154331843742074,0.047749560944771584,64.40214158975004,18.355362678148698,6.199999904632568,6.026500010490418,6.029799966812134,5.842099967002869,GLFL.NS,2025-10-17 11:08:06.107315
5,2025-10-13 00:00:00+05:30,6.5,6.5,5.510000228881836,6.159999847412109,25973,0.0,0.0,2025-10-13,5.990000009536743,0.22773485874044877,6.217734868277192,5.762265150796295,6.445469727017641,5.5345302920558455,-96.64347109008008,41.39900802739575,777587,37207.82998604749,22261.290857727192,7.247168149457608,75.91928912655712,6.0566666920979815,6.603333155314127,5.613333384195963,7.0466664632161455,5.066666920979817,7.593332926432291,4.623333613077799,0.08581892801414195,-42.44605822010737,0.04536974170898134,0.029605928201227844,0.015763813507753494,53.51985802609867,18.575964780077822,6.083999919891357,5.990000009536743,6.0265999698638915,5.818299970626831,GLFL.NS,2025-10-17 11:08:06.107315
6,2025-10-10 00:00:00+05:30,6.75,6.75,5.75,6.050000190734863,9493,0.0,0.0,2025-10-10,5.977500009536743,0.22475427902810516,6.202254288564848,5.752745730508638,6.427008567592953,5.527991451480533,17.192730239979593,85.6686692720723,751614,13356.430061188172,18524.656075647115,7.254437735981768,82.64437533236135,6.183333396911621,6.616666793823242,5.616666793823242,7.183333396911621,5.183333396911621,7.616666793823242,4.616666793823242,0.06706148324465235,-50.359703345510404,0.04162920954154625,0.025664974824289467,0.015964234717256786,50.66722466180953,19.689812252769606,6.101999950408936,5.977500009536743,6.031799974441529,5.799799971580505,GLFL.NS,2025-10-17 11:08:06.107315
7,2025-10-09 00:00:00+05:30,6.25,6.25,5.659999847412109,6.159999847412109,5052,0.0,0.0,2025-10-09,5.971499991416931,0.22431829118919325,6.195818282606124,5.747181700227738,6.420136573795318,5.5228634090385444,-47.81015024543368,17.9659557851387,761107,7237.283220633423,19816.71257926185,7.257388546188046,80.23530619093097,6.023333231608073,6.386666615804037,5.796666463216146,6.613333384195964,5.433333079020183,6.976666768391928,5.206666310628256,0.08575074399502984,-31.034498350800924,0.047042748794763334,0.02167391614497527,0.025368832649788065,53.72921879460605,19.8869427442018,6.155999946594238,5.971499991416931,6.03919997215271,5.784199967384338,GLFL.NS,2025-10-17 11:08:06.107315
8,2025-10-08 00:00:00+05:30,5.789999961853027,6.400000095367432,5.789999961853027,5.929999828338623,8752,0.0,0.0,2025-10-08,5.954999995231629,0.22184635454206023,6.1768463497736885,5.733153640689569,6.398692704315749,5.511307286147508,-16.641287448521172,19.283420125947398,756055,12069.617719888996,22961.569918918958,7.2588212088634405,77.89584572390996,6.039999961853027,6.289999961853027,5.679999828338623,6.650000095367432,5.429999828338623,6.900000095367432,5.069999694824219,0.08885154369176938,-50.862088810110265,0.04242765106294488,0.015331707982528255,0.02709594308041663,47.578319048721234,20.697030381380497,6.165999984741211,5.954999995231629,6.048199977874756,5.767499966621399,GLFL.NS,2025-10-17 11:08:06.107315
9,2025-10-07 00:00:00+05:30,6.480000019073486,6.480000019073486,6.019999980926514,6.119999885559082,11626,0.0,0.0,2025-10-07,5.944000005722046,0.22850547277691308,6.172505478498959,5.715494532945133,6.401010951275872,5.48698906016822,48.922510953554074,74.60059152558665,764807,16546.771049642717,25684.557968676447,7.261833364282985,81.00393888473069,6.206666628519694,6.393333276112875,5.933333237965902,6.666666666666667,5.746666590372722,6.853333314259848,5.47333319981893,0.08516736896989024,-34.482771377928024,0.05852760128379497,0.008557722212424096,0.049969879071370876,52.980774590142744,22.15235188158234,6.232000064849854,5.944000005722046,6.061799983978272,5.7553999662399296,GLFL.NS,2025-10-17 11:08:06.107315
10,2025-10-06 00:00:00+05:30,6.320000171661377,6.380000114440918,6.050000190734863,6.25,3376,0.0,0.0,2025-10-06,5.9375,0.2250585058340822,6.162558505834082,5.712441494165918,6.387617011668165,5.487382988331835,64.66028909506753,81.57809345424192,776433,4906.976526527554,27969.004698434877,7.2652819915231115,85.12863186854024,6.226666768391927,6.40333334604899,6.073333422342936,6.5566666920979815,5.896666844685872,6.733333269755045,5.743333498636881,0.11123571487867821,-23.275863486436446,0.0595415076541741,-0.003934747555418623,0.06347625520959271,57.1000789759907,22.790207618020666,6.230000114440918,5.9375,6.07439998626709,5.743899965286255,GLFL.NS,2025-10-17 11:08:06.107315
