Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-09 00:00:00+05:30,144.64999389648438,151.0500030517578,144.36000061035156,150.1699981689453,116135,0.0,0.0,2024-10-09,153.83099975585938,6.4120556936292825,160.24305544948865,147.4189440622301,166.65511114311795,141.0068883686008,-33.36920026313371,-86.03300605254738,25721183,593336.6543901414,667196.8519506932,78.52289162942049,39.94962385730357,148.52666727701822,152.69333394368488,146.00333150227863,155.21666971842447,141.83666483561197,159.38333638509113,139.31332906087238,0.2609538050868593,-36.28140575079872,-5.094830996050632,-4.4787778564366265,-0.6160531396140057,44.03071380325098,20.129646967381827,145.30599975585938,153.83099975585938,165.9943994140625,154.15754737854004,GPTINFRA.NS,2024-10-09 10:50:55.684770
2,2024-10-08 00:00:00+05:30,138.0500030517578,144.49000549316406,131.14999389648438,143.86000061035156,84714,0.0,0.0,2024-10-08,153.9029998779297,6.3767708804744325,160.2797707584041,147.52622899745526,166.65654163887856,141.1494581169808,-138.36752687495724,-134.51281395754617,25605048,414619.8833653035,685661.9013408311,78.43796923061873,33.70946367658813,139.83333333333334,148.5166727701823,135.17666117350262,153.17334493001303,126.49332173665366,161.856684366862,121.83664957682294,0.17276072740647164,-62.22881647604144,-5.459578561746298,-4.324764571533125,-1.134813990213173,36.988514413724396,19.373548470889574,146.01799926757812,153.9029998779297,166.39499938964843,153.80106872558594,GPTINFRA.NS,2024-10-09 10:50:55.684770
3,2024-10-07 00:00:00+05:30,148.7899932861328,148.7899932861328,137.75,137.75,149262,0.0,0.0,2024-10-07,154.61949996948243,5.98177072642174,160.60127069590416,148.6377292430607,166.58304142232592,142.65595851663895,-187.8658442028825,-134.52404011893816,25520334,699512.9239699848,753422.405834713,78.38135633870668,41.35733904916004,141.42999776204428,145.10999552408856,134.07000223795575,152.4699910481771,130.39000447591147,156.14998881022137,123.03000895182294,0.19806866810940893,-100.0,-5.222405934605064,-4.041061073979831,-1.1813448606252326,28.950542528551992,16.946236295353035,149.03199768066406,154.61949996948243,166.92379943847655,153.48478553771972,GPTINFRA.NS,2024-10-09 10:50:55.684770
4,2024-10-04 00:00:00+05:30,148.14999389648438,153.10000610351562,143.6999969482422,145.0,104863,0.0,0.0,2024-10-04,155.6775001525879,4.538091091922263,160.21559124451016,151.13940906066563,164.75368233643243,146.60131796874336,-166.6485655408291,-112.42262949916997,25669596,517303.1930872843,766899.776300895,78.29069853660836,50.23241204930108,147.26666768391928,150.83333841959637,141.43332926432294,156.66667683919272,137.86665852864584,160.2333475748698,132.0333201090495,0.1732228763560188,-93.98146905363039,-4.237883254372889,-3.745724858823523,-0.492158395549366,33.685066071167284,15.002228692104628,153.00599670410156,155.6775001525879,167.41279937744142,153.18329566955566,GPTINFRA.NS,2024-10-09 10:50:55.684770
5,2024-10-03 00:00:00+05:30,150.00999450683594,153.89999389648438,149.0,149.75,104462,0.0,0.0,2024-10-03,156.74449996948243,4.402159683018773,161.1466596525012,152.34234028646367,165.54881933551997,147.9401806034449,-129.1319484932319,-98.35406935605613,25774459,532206.3429166208,829298.9221042976,78.21905555743619,56.697571405951614,150.88333129882812,152.76666259765625,147.86666870117188,155.7833251953125,145.98333740234375,157.66665649414062,142.9666748046875,0.16084206816201546,-95.3987738675968,-3.627200682645764,-3.622685259936181,-0.004515422709582939,37.40675935891698,13.684391767971345,155.947998046875,156.74449996948243,167.7607992553711,152.80208587646484,GPTINFRA.NS,2024-10-09 10:50:55.684770
6,2024-10-01 00:00:00+05:30,157.00999450683594,157.89999389648438,153.10000610351562,153.72999572753906,81187,0.0,0.0,2024-10-01,157.54150009155273,4.510782336052536,162.05228242760526,153.0307177555002,166.5630647636578,148.51993541944768,-46.879253992077615,-78.70999449245379,25878921,424619.55181708036,903572.0669012167,78.14244614338665,60.52488107642714,154.90999857584634,156.71999104817706,151.92000325520831,159.7099863688151,150.1100107828776,161.51997884114581,147.12001546223956,0.09192351039969106,-75.62094781993835,-3.2581873797126093,-3.621556404258785,0.3633690245461758,40.92474388545191,13.145909230270249,157.5919982910156,157.54150009155273,167.85979919433595,152.3352850341797,GPTINFRA.NS,2024-10-09 10:50:55.684770
7,2024-09-30 00:00:00+05:30,157.6199951171875,159.00999450683594,154.0,158.92999267578125,308827,0.0,0.0,2024-09-30,158.40500030517578,5.322677354944141,163.72767766011992,153.08232295023163,169.05035501506407,147.75964559528748,10.669308010828193,-66.59183986662215,25960108,1669844.401053833,1023310.1956722508,78.0794769327111,57.88451442708732,157.3133290608724,160.6266581217448,155.61666361490887,162.32332356770834,152.30333455403647,165.63665262858075,150.60666910807294,0.13128180885504015,-36.842147066766216,-3.1283413304920202,-3.712398660395329,0.5840573299033087,46.195584637753655,13.40734962750448,158.86000061035156,158.40500030517578,167.97219940185548,151.8635388183594,GPTINFRA.NS,2024-10-09 10:50:55.684770
8,2024-09-27 00:00:00+05:30,160.0,160.8000030517578,155.0,157.6199951171875,80505,0.0,0.0,2024-09-27,159.042000579834,6.095106555824289,165.13710713565828,152.9468940240097,171.23221369148257,146.85178746818542,21.925071260113153,-66.08849287796431,25651281,431706.9523881218,861676.6443268553,77.82245631577854,59.8453108812336,157.8066660563151,160.6133321126302,154.81332906087238,163.6066691080729,152.00666300455728,166.413335164388,149.01332600911456,-0.0316569075398229,-44.4187630943997,-3.4268208407031864,-3.8584129928711564,0.43159215216797,44.524182694352824,13.889685207600708,158.2760009765625,159.042000579834,168.054599609375,151.3171371459961,GPTINFRA.NS,2024-10-09 10:50:55.684770
9,2024-09-26 00:00:00+05:30,157.8000030517578,160.6999969482422,155.0,159.7100067138672,201381,0.0,0.0,2024-09-26,159.9835006713867,7.215275988407962,167.19877665979467,152.76822468297874,174.41405264820264,145.55294869457077,45.28483956343843,-64.73542115110192,25731786,1094222.144808326,969169.0673115386,77.75627394800503,53.721169863610754,158.47000122070312,161.94000244140625,156.24000549316406,164.1699981689453,152.77000427246094,167.63999938964844,150.54000854492188,-0.03639194426396613,-32.33078990890622,-3.628028623146861,-3.9663110309131486,0.3382824077662878,46.67206411608134,14.628830579869847,156.81600341796874,159.9835006713867,168.33419982910155,150.83138702392577,GPTINFRA.NS,2024-10-09 10:50:55.684770
10,2024-09-25 00:00:00+05:30,161.0,161.0,155.86000061035156,157.97000122070312,72671,0.0,0.0,2024-09-25,160.98500061035156,8.458345568795897,169.44334617914745,152.52665504155567,177.90169174794335,144.06830947275978,49.31223979922537,-68.80614999753696,25530405,390562.58508491697,937905.7979373417,77.58589374375079,44.855347777852025,158.27666727701822,160.69333394368488,155.55333455403644,163.41666666666666,153.13666788736978,165.83333333333331,150.413335164388,-0.08814278847135885,-51.00833341464348,-4.0364999015069145,-4.05088163285472,0.014381731347805626,44.6062393759392,15.401856485951285,155.44000244140625,160.98500061035156,168.75199981689454,150.36407264709473,GPTINFRA.NS,2024-10-09 10:50:55.684770
