Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-11-10 00:00:00+05:30,186.75,188.5,184.97000122070312,185.61000061035156,591360,0.0,0.0,2025-11-10,191.10399856567383,2.431528874772127,193.53552744044595,188.67246969090172,195.9670563152181,186.24094081612958,-133.9613906765541,-126.69730930433434,364437334,632010.8721785194,715018.9639603716,224.65645896490616,41.664018539253206,186.36000061035156,187.75,184.22000122070312,189.88999938964844,182.8300018310547,191.27999877929688,180.69000244140625,-0.31512214725644566,-93.92213234718749,-2.412042241601995,-2.1292403146992687,-0.2828019269027262,34.248723869819486,19.447597933972084,188.85599670410156,191.10399856567383,198.01995208740234,198.51829986572267,GSFC.NS,2025-11-10 11:12:42.184403
2,2025-11-07 00:00:00+05:30,187.49000549316406,187.88999938964844,185.69000244140625,186.7899932861328,841740,0.0,0.0,2025-11-07,191.50149841308593,2.115383698608688,193.61688211169462,189.38611471447723,195.7322658103033,187.27073101586856,-196.79101918333845,-126.36537555404549,365028694,905321.4368575087,735770.9869058345,224.6717129598568,42.00408820947526,186.78999837239584,187.88999430338544,185.68999735514325,188.98999532063803,184.59000142415366,190.08999125162762,183.49000040690106,-0.31745583325282717,-88.78704262507233,-2.1681133790921763,-2.058539832973587,-0.10957354611858916,35.96091757262762,18.110808300304143,189.88799743652345,191.50149841308593,198.21068664550782,198.6454071044922,GSFC.NS,2025-11-10 11:12:42.184403
3,2025-11-06 00:00:00+05:30,191.49000549316406,192.2100067138672,186.0,186.97999572753906,906931,0.0,0.0,2025-11-06,191.90699844360353,1.934248135565423,193.84124657916894,189.97275030803812,195.77549471473438,188.03850217247268,-246.11900571223032,-111.5460245449413,365870434,976428.8983953352,693383.3744179159,224.69278949519952,51.558918555301254,188.39666748046875,190.7933349609375,184.5833282470703,194.60667419433594,182.18666076660156,197.0033416748047,178.37332153320312,-0.36045046935377506,-89.68425549958882,-1.939171714416517,-2.0311464464439397,0.09197473202742268,36.23173998525535,16.85279865311759,191.147998046875,191.90699844360353,198.54579864501954,198.7643278503418,GSFC.NS,2025-11-10 11:12:42.184403
4,2025-11-04 00:00:00+05:30,193.39999389648438,194.10000610351562,191.25,191.5,405007,0.0,0.0,2025-11-04,192.3589988708496,1.7717130367665856,194.1307119076162,190.58728583408302,195.90242494438277,188.81557279731643,-43.15892956950107,-68.8388768434086,366777365,446583.3628623257,622621.9934235611,224.7154106590873,61.22772515078834,192.28333536783853,193.31667073567706,190.46666463216144,195.13334147135416,189.4333292643229,196.1666768391927,187.61665852864581,-0.34065475269231593,-58.13949362147584,-1.6353879794109218,-2.0541401294507953,0.4187521500398734,43.46219532263429,15.574482197208718,192.65599975585937,192.3589988708496,198.91148712158204,198.91787368774413,GSFC.NS,2025-11-10 11:12:42.184403
5,2025-11-03 00:00:00+05:30,190.88999938964844,194.49000549316406,190.88999938964844,193.39999389648438,650090,0.0,0.0,2025-11-03,192.60999908447266,1.9862214769661042,194.59622056143877,190.62377760750655,196.58244203840488,188.63755613054045,25.28740524844707,-63.94192946818207,367182372,723937.6664413656,666631.6510638699,224.7243102592708,58.54568031606341,192.92666625976562,194.9633331298828,191.3633270263672,196.52667236328125,189.32666015625,198.56333923339844,187.76332092285156,-0.3464981197207732,-28.965601427801722,-1.6668260731020155,-2.158828166960763,0.4920020938587477,47.13364854003615,15.800902419196682,192.99599914550782,192.60999908447266,199.20728454589843,199.06821395874024,GSFC.NS,2025-11-10 11:12:42.184403
6,2025-10-31 00:00:00+05:30,193.0,193.86000061035156,190.39999389648438,190.77000427246094,636071,0.0,0.0,2025-10-31,192.9114990234375,2.5029100523636405,195.41440907580113,190.40858897107387,197.9173191281648,187.9056789187102,-45.548207059793235,-79.46805915036556,366532282,698693.8440712203,652305.147219496,224.73778778737275,49.493236126836976,191.67666625976562,192.95333862304688,189.4933319091797,195.1366729736328,188.21665954589844,196.41334533691406,186.0333251953125,-0.3293280398425293,-65.24132037984914,-1.8689420302375481,-2.2818286904254497,0.41288666018790154,40.69432815360903,16.044739581337566,192.6239990234375,192.9114990234375,199.53735137939452,199.18646759033203,GSFC.NS,2025-11-10 11:12:42.184403
7,2025-10-30 00:00:00+05:30,194.5,194.9499969482422,192.39999389648438,193.08999633789062,491775,0.0,0.0,2025-10-30,193.1994987487793,2.573910395457014,195.7734091442363,190.62558835332229,198.34731953969333,188.05167795786525,67.11648267365553,-63.50272938249492,367168353,546760.9045180357,640707.9730065649,224.75209354394963,50.00532627505278,193.47999572753906,194.55999755859375,192.00999450683594,196.02999877929688,190.92999267578125,197.11000061035156,189.45999145507812,-0.2964389740989599,-33.24142982219828,-1.8403802695036404,-2.385050355472425,0.5446700859687845,45.20446341091027,16.017116256857236,192.79199829101563,193.1994987487793,199.83974060058594,199.3472329711914,GSFC.NS,2025-11-10 11:12:42.184403
8,2025-10-29 00:00:00+05:30,194.0,195.5,193.60000610351562,194.52000427246094,549882,0.0,0.0,2025-10-29,193.3609992980957,2.666351875896145,196.02735117399183,190.69464742219955,198.69370304988797,188.0282955463034,151.13403001898487,-55.50214304880814,367660128,615892.628251338,664194.7401286971,224.7624065574735,49.13359732263489,194.54000345865884,195.48000081380206,193.5800069173177,196.43999735514322,192.64000956217447,197.37999471028644,191.68001302083331,-0.29486140794528787,-19.305008689846137,-2.0044120781971912,-2.521217876964621,0.5168057987674297,48.26615737003197,16.691906300168384,192.7239990234375,193.3609992980957,199.96076202392578,199.46321517944335,GSFC.NS,2025-11-10 11:12:42.184403
9,2025-10-28 00:00:00+05:30,191.92999267578125,195.1999969482422,191.6999969482422,193.1999969482422,1089691,0.0,0.0,2025-10-28,193.44199905395507,2.7273231909025673,196.16932224485765,190.7146758630525,198.8966454357602,187.98735267214994,103.8993437148457,-69.26365343096136,367110246,1212220.7428112295,676270.2680980369,224.7734250822899,42.326983271433626,193.36666361490884,195.0333302815755,191.5333302815755,196.86666361490884,189.86666361490884,198.5333302815755,188.0333302815755,-0.33162395694348645,-48.275933543799226,-2.3248867347292617,-2.650419326656478,0.3255325919272165,45.07768620034385,17.88245734417432,192.25399780273438,193.44199905395507,200.0307211303711,199.58569931030274,GSFC.NS,2025-11-10 11:12:42.184403
10,2025-10-27 00:00:00+05:30,192.0,193.19000244140625,191.22000122070312,191.5399932861328,426475,0.0,0.0,2025-10-27,193.64749908447266,2.859755106619848,196.5072541910925,190.7877439778528,199.36700929771234,187.92798887123297,31.81927888204066,-83.57315062506464,366020555,470353.38911463635,542282.6494197387,224.79623776939005,29.756706699819347,191.98333231608072,192.74666341145831,190.7766621907552,193.95333353678384,190.0133310953776,194.71666463216144,188.80666097005206,-0.36536514959420546,-69.3954112917878,-2.5699651307111537,-2.731802474638282,0.16183734392712834,40.81832486835,19.04528752304439,191.86599731445312,193.64749908447266,200.14973785400392,199.7259735107422,GSFC.NS,2025-11-10 11:12:42.184403
