Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-20 00:00:00+05:30,78.0,80.9000015258789,74.0,74.12999725341797,106912,0.0,0.0,2024-09-20,79.09499969482422,1.446366522537197,80.54136621736143,77.64863317228702,81.98773273989862,76.20226664974983,-235.22909369569624,-102.46217845291615,3629348,34257.12581486282,37877.89038843231,198.93440905749785,31.561890366459025,76.3433329264323,78.68666585286459,71.78666432698569,83.2433344523112,69.44333140055339,85.5866673787435,64.88666280110678,-0.3591516762420886,-98.53935695359186,-1.934976413076285,-1.990178349044551,0.05520193596826606,28.785889217209814,26.585720566998365,78.04399871826172,79.09499969482422,85.3847998046875,94.51710014343261,GSS.NS,2024-09-20 10:48:49.525171
2,2024-09-19 00:00:00+05:30,79.02999877929688,80.19000244140625,77.11000061035156,77.43000030517578,131750,0.0,0.0,2024-09-19,79.43999977111817,0.9307613576698008,80.37076112878796,78.50923841344837,81.30152248645777,77.57847705577856,-188.977122663472,-79.80117204030023,3736260,44095.103830005384,38783.08153182468,199.24977975006357,28.45646373635566,78.2433344523112,79.37666829427084,76.29666646321616,81.32333628336589,75.16333262125652,82.45667012532553,73.21666463216147,-0.31805141635305395,-92.71186111919309,-1.6522563516739552,-2.0039788330366175,0.35172248136266226,35.617254761721895,26.734062124150263,79.4739990234375,79.43999977111817,85.80019989013672,95.16230010986328,GSS.NS,2024-09-20 10:48:49.525171
3,2024-09-18 00:00:00+05:30,80.80000305175781,81.98999786376953,79.0,79.02999877929688,138507,0.0,0.0,2024-09-18,79.60499992370606,0.8441603671834731,80.44916029088954,78.76083955652258,81.293320658073,77.91667918933912,7.1856464794817825,-59.41463692668755,3868010,47314.49212076647,37455.07595727951,199.63030884343374,27.861750371534242,80.0066655476888,81.0133310953776,78.02333323160806,82.99666341145833,77.01666768391927,84.00332895914713,75.03333536783853,-0.2955250816467074,-65.59324992726215,-1.5902551137384222,-2.0919094533772826,0.5016543396388604,39.8779674468027,28.600704796321438,79.9019989013672,79.60499992370606,86.20359985351563,95.76050010681152,GSS.NS,2024-09-20 10:48:49.525171
4,2024-09-17 00:00:00+05:30,79.97000122070312,80.69999694824219,79.04000091552734,79.93000030517578,225023,0.0,0.0,2024-09-17,79.6560001373291,0.8383853157944563,80.49438545312356,78.81761482153465,81.33277076891801,77.9792295057402,-6.332479947409353,-63.53879124497145,4006517,77744.05871692016,34990.22191640776,200.0276541717824,18.975628084625086,79.88999938964844,80.73999786376953,79.08000183105469,81.54999542236328,78.2300033569336,82.39999389648438,77.42000579833984,-0.2642667808515349,-50.33899072188278,-1.6443555737762239,-2.217323038286998,0.5729674645107741,42.53571278272955,29.4951530343319,80.01199951171876,79.6560001373291,86.59419982910157,96.36570014953614,GSS.NS,2024-09-20 10:48:49.525171
5,2024-09-16 00:00:00+05:30,82.9000015258789,82.9000015258789,79.12000274658203,79.69999694824219,58174,0.0,0.0,2024-09-16,79.77649993896485,1.0309235584970395,80.80742349746188,78.74557638046781,81.83834705595892,77.71465282197077,97.13512514864651,-57.66190486323573,3781494,20040.922844810684,24301.76271627966,200.67396331607227,33.63493283168742,80.57333374023438,82.02666473388672,78.24666595458984,84.35333251953125,76.7933349609375,85.8066635131836,74.46666717529297,-0.2984290283306202,-54.23735169560017,-1.777342592225196,-2.3605649044146917,0.5832223121894957,41.61228600232925,31.381897756228398,79.87999877929687,79.77649993896485,86.95279983520508,97.0034001159668,GSS.NS,2024-09-20 10:48:49.525171
6,2024-09-13 00:00:00+05:30,80.6500015258789,82.69000244140625,79.30000305175781,81.27999877929688,164625,0.0,0.0,2024-09-13,79.80499992370605,1.03656075031008,80.84156067401612,78.76843917339598,81.87812142432621,77.73187842308589,181.15761383603396,-54.051939918344075,3839668,57837.55974077929,25366.972684146902,200.8425038439917,34.64240736262403,81.09000142415364,82.87999979654947,79.49000040690103,84.48000081380208,77.7000020345052,86.26999918619791,76.1000010172526,-0.3081803080032326,-24.78037007240547,-1.8980249959622455,-2.506370482462066,0.6083454864998203,46.36497064180422,33.34597743058968,79.9,79.80499992370605,87.2265998840332,97.60340011596679,GSS.NS,2024-09-20 10:48:49.525171
7,2024-09-12 00:00:00+05:30,80.69999694824219,80.69999694824219,79.11000061035156,79.56999969482422,22225,0.0,0.0,2024-09-12,79.95,1.3947120409065805,81.34471204090659,78.55528795909342,82.73942408181317,77.16057591818684,47.150654173389334,-72.72093572042616,3675043,7644.0164104693895,17249.325919988805,201.31575307519887,20.07581151515123,79.79333241780598,80.47666422526041,78.88666788736978,81.38332875569661,78.20333607991536,82.06666056315103,77.29667154947916,-0.36928174661647273,-54.51329202208608,-2.179383329623974,-2.6584568540870204,0.4790735244630464,39.4104085777696,35.61246468426584,79.25,79.95,87.46739990234374,98.20210006713867,GSS.NS,2024-09-20 10:48:49.525171
8,2024-09-11 00:00:00+05:30,79.30000305175781,80.98999786376953,79.27999877929688,79.58000183105469,17337,0.0,0.0,2024-09-11,80.3125,2.069624710944615,82.38212471094461,78.24287528905539,84.45174942188923,76.17325057811077,81.18268653753381,-74.58219523523681,3697268,5963.598250901573,19650.65329736866,201.3808449604073,19.76335899116141,79.9499994913737,80.62000020345053,78.91000111897787,81.65999857584636,78.24000040690105,82.32999928792319,77.20000203450522,-0.368863140475241,-54.33626311006445,-2.338177296528812,-2.7782252352027816,0.4400479386739695,39.438177390193225,36.98485337232979,79.13999938964844,80.3125,87.71759994506836,98.75090003967286,GSS.NS,2024-09-20 10:48:49.525171
9,2024-09-10 00:00:00+05:30,81.38999938964844,81.38999938964844,79.0,79.2699966430664,12433,0.0,0.0,2024-09-10,80.71800003051757,2.635645987422925,83.35364601794049,78.08235404309465,85.98929200536342,75.44670805567172,79.05740839155409,-79.44715526680672,3679931,4260.055510101268,23072.41705898543,201.43166519551926,23.88376968649368,79.88666534423828,80.77333068847656,78.38333129882812,82.27666473388672,77.49666595458984,83.163330078125,75.99333190917969,-0.3427968293842237,-67.57147652762276,-2.5070398236868243,-2.8882372198712742,0.3811973961844499,38.184396949575074,38.57789801510466,79.26999969482422,80.71800003051757,87.99399993896485,99.28159996032714,GSS.NS,2024-09-20 10:48:49.525171
10,2024-09-09 00:00:00+05:30,81.88999938964844,81.88999938964844,79.05999755859375,79.80000305175781,19164,0.0,0.0,2024-09-09,81.133500289917,3.0220549930438114,84.1555552829608,78.11144529687319,87.17761027600461,75.08939030382938,154.0121890910582,-79.8061457102833,3692364,6610.275418793888,27775.50744620647,201.46822916048032,22.804062466322463,80.25,81.44000244140625,78.61000061035156,83.08000183105469,77.41999816894531,84.27000427246094,75.77999877929688,-0.3381990950554176,-59.99995640345982,-2.654718763069255,-2.9835365689173865,0.3288178058481317,39.482028831566744,40.29348455347759,79.32400054931641,81.133500289917,88.28860000610352,99.80339996337891,GSS.NS,2024-09-20 10:48:49.525171
11,2024-09-06 00:00:00+05:30,78.5999984741211,79.94999694824219,78.0,78.02999877929688,231381,0.0,0.0,2024-09-06,81.52900009155273,3.3392973645378343,84.86829745609056,78.1897027270149,88.2075948206284,74.85040536247706,-134.3379318483361,-103.94820650633267,3673200,78040.45243670349,33066.815453059615,201.5243864502527,20.986972711271264,78.65999857584636,79.31999715169272,77.37000020345053,80.60999552408855,76.71000162760417,81.2699940999349,75.42000325520834,-0.33819744996475976,-85.28573172433036,-2.855767145966851,-3.065741020379419,0.20997387441256787,32.3530650500018,42.17689767205519,78.96399993896485,81.52900009155273,88.58439987182618,100.3708999633789,GSS.NS,2024-09-20 10:48:49.525171
12,2024-09-05 00:00:00+05:30,80.2300033569336,81.44000244140625,78.0999984741211,79.0199966430664,14392,0.0,0.0,2024-09-05,82.06100006103516,3.5906134565657517,85.65161351760091,78.47038660446941,89.24222697416667,74.87977314790365,-15.834823170496255,-100.35956670553693,3904581,4915.737029106259,21823.406207148644,202.21644797458111,24.373160738331194,79.51999918619792,80.93999989827475,77.59999593098959,82.86000315348308,76.17999521891277,84.2800038655599,74.25999196370444,-0.22032312562965103,-74.68676950729238,-2.8955821980559904,-3.118234488982561,0.22265229092657046,34.46146516401032,42.41701962987308,79.26399993896484,82.06100006103516,88.89439987182617,101.01309997558593,GSS.NS,2024-09-20 10:48:49.525171
13,2024-09-04 00:00:00+05:30,80.44999694824219,80.80000305175781,78.05000305175781,80.2300033569336,14296,0.0,0.0,2024-09-04,82.58550033569335,3.877706282549739,86.46320661824309,78.70779405314362,90.34091290079283,74.83008777059388,-13.368528131797051,-104.475835977722,3918973,4957.718166117188,26050.323501659237,202.2594056277667,23.59839563711941,79.6933364868164,81.336669921875,78.586669921875,82.4433364868164,76.9433364868164,84.086669921875,75.836669921875,-0.21764908280957157,-67.66762715087494,-3.0001848619647546,-3.1738975617142033,0.1737126997494487,37.21383999929996,42.72109045152896,79.25,82.58550033569335,89.16860000610352,101.58090003967285,GSS.NS,2024-09-20 10:48:49.525171
14,2024-09-03 00:00:00+05:30,79.5,80.0,78.05000305175781,79.54000091552734,8503,0.0,0.0,2024-09-03,83.008500289917,4.064179304588306,87.0726795945053,78.94432098532869,91.13685889909361,74.88014168074038,-64.15020440408425,-116.84141415393489,3904677,2923.4000861971485,31323.47483554475,202.3016871557413,22.373969290962037,79.19666798909505,80.34333292643228,78.3933359781901,81.14666493733723,77.24667104085286,82.29332987467447,76.44333902994791,-0.23149311626686764,-78.8333257039388,-3.207817951032368,-3.2173257366515653,0.009507785619197406,34.44126406873788,42.39693485356143,79.18600006103516,83.008500289917,89.45199996948242,102.20809997558594,GSS.NS,2024-09-20 10:48:49.525171
