Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-02-14 00:00:00+05:30,399.8999938964844,406.20001220703125,386.54998779296875,401.70001220703125,121226,0.0,0.0,2025-02-14,423.85250091552734,18.198390632333304,442.05089154786066,405.65411028319403,460.249282180194,387.4557196508607,-85.49705622670837,-143.72440879304713,17771002,240146.03066873134,138241.6422682896,316.8032440421316,33.098542731279466,398.15000406901044,409.7500203450521,390.0999959309896,417.80002848307294,378.49997965494794,429.4000447591146,370.4499715169271,0.04985913701709083,-61.167638478246374,-11.601379159312273,-9.098049383468531,-2.503329775843742,38.74324223781031,32.8178605552131,402.1,423.85250091552734,441.30799987792966,431.68200042724607,GUFICBIO.NS,2025-02-14 10:49:20.557896
2,2025-02-13 00:00:00+05:30,401.75,420.0,398.0,406.0,49121,0.0,0.0,2025-02-13,426.7375,19.055147277305014,445.79264727730504,407.682352722695,464.84779455461006,388.62720544538996,-57.72256553717314,-121.54676521571513,17892228,98349.2439170428,112765.54516817915,316.6815696583054,35.89419257171903,408.0,418.0,396.0,430.0,386.0,440.0,374.0,-0.01944450315171172,-56.56133005022734,-11.334784108990846,-8.472216939507595,-2.862567169483251,40.17399604208641,31.442932169084674,405.5799987792969,426.7375,442.2019995117187,431.6695004272461,GUFICBIO.NS,2025-02-14 10:49:20.557896
3,2025-02-12 00:00:00+05:30,394.75,415.8999938964844,365.45001220703125,395.79998779296875,137913,0.0,0.0,2025-02-12,429.625,20.094516458654894,449.7195164586549,409.5304835413451,469.81403291730976,389.43596708269024,-158.27073931036472,-187.8591897751343,17843107,269189.90834235767,116369.62048096322,316.6296690093405,27.94908901829922,392.3833312988281,419.316650390625,368.8666687011719,442.83331298828125,341.933349609375,469.7666320800781,318.41668701171875,0.008807169077803855,-67.48796623090975,-11.245206151311208,-7.7565751471367825,-3.488631004174426,34.876724758296476,30.34085882818443,409.4200012207031,429.625,442.98399963378904,431.6700003051758,GUFICBIO.NS,2025-02-14 10:49:20.557896
4,2025-02-11 00:00:00+05:30,409.3500061035156,409.3500061035156,388.75,393.75,45175,0.0,0.0,2025-02-11,432.5625,19.16211679756882,451.72461679756884,413.40038320243116,470.8867335951376,394.2382664048624,-192.25320256563973,-183.54490546190573,17705194,87719.57531852131,78164.5485156146,316.5002967366403,31.456268355188485,397.28333536783856,405.8166707356771,385.2166646321615,417.8833414713542,376.68332926432294,426.41667683919275,364.61665852864587,-0.05474168972879952,-92.86224001240744,-9.955590652509102,-6.884417396093176,-3.0711732564159258,33.782506485877406,28.769059871298445,416.02000122070314,432.5625,444.0029998779297,431.7165005493164,GUFICBIO.NS,2025-02-14 10:49:20.557896
5,2025-02-10 00:00:00+05:30,415.25,418.79998779296875,409.1000061035156,413.25,18341,0.0,0.0,2025-02-10,436.35,18.56370724673861,454.9137072467386,417.7862927532614,473.4774144934772,399.2225855065228,-93.32773100914491,-130.48411075537732,17750369,37377.793943564095,75775.79181488793,316.4589252510856,29.289932629346254,413.71666463216144,418.33332316080725,408.63334147135413,423.41664632161456,404.0166829427083,428.0333048502604,398.933359781901,-0.049100250229755144,-73.81330286725284,-7.951757001666863,-6.116624081989194,-1.835132919677669,39.66992922669965,27.91411070515013,422.39000244140624,436.35,444.3420001220703,431.77050048828124,GUFICBIO.NS,2025-02-14 10:49:20.557896
6,2025-02-07 00:00:00+05:30,428.3500061035156,428.3500061035156,417.8999938964844,419.1000061035156,10363,0.0,0.0,2025-02-07,439.51499938964844,19.77464871460562,459.28964810425407,419.7403506750428,479.0642968188597,399.9657019604372,-27.719606775862484,-102.39929561212159,17768710,21418.100778513497,85375.29128271887,316.43787492156275,25.474713622440973,421.78333536783856,425.66667683919275,415.2166646321615,432.2333475748698,411.3333231608073,436.116689046224,404.76665242513025,0.11188445015762849,-67.67677079048909,-7.1862160850329815,-5.657840852069776,-1.5283752329632057,41.694087152848454,28.004576238170067,426.1600036621094,439.51499938964844,444.3579998779297,431.64800048828124,GUFICBIO.NS,2025-02-14 10:49:20.557896
7,2025-02-06 00:00:00+05:30,430.29998779296875,434.8500061035156,421.0,425.20001220703125,22062,0.0,0.0,2025-02-06,441.97999877929686,20.164774420159887,462.1447731994567,421.815224359137,482.30954761961664,401.6504499389771,16.184492504889175,-84.40959255642579,17779073,46261.09848034899,101364.58890877021,316.4252581070184,23.039462312351617,427.0166727701823,433.0333455403646,419.183339436849,440.86667887369794,413.1666666666667,446.88335164388025,405.33333333333337,0.15069466510018292,-60.25103587412453,-6.673346632491416,-5.275747043828974,-1.397599588662442,43.86104901380104,28.644446986810628,432.35,441.97999877929686,444.26399963378907,431.49300048828127,GUFICBIO.NS,2025-02-14 10:49:20.557896
8,2025-02-05 00:00:00+05:30,424.8500061035156,438.20001220703125,423.3500061035156,428.79998779296875,37894,0.0,0.0,2025-02-05,443.7524978637695,20.170210093527864,463.9227079572974,423.58228777024163,484.09291805082523,403.4120776767138,33.34015649809842,-75.45632942629932,17801135,80131.45111123606,115140.4615158755,316.3967911806304,23.630899909324242,430.1166687011719,436.8833312988281,422.0333251953125,444.9666748046875,415.26666259765625,451.73333740234375,407.1833190917969,0.14396823547996584,-55.23014814010849,-6.516365182500522,-4.926347146663363,-1.5900180358371587,45.14690631730736,29.534382216495178,431.6,443.7524978637695,444.1459991455078,431.3134912109375,GUFICBIO.NS,2025-02-14 10:49:20.557896
9,2025-02-04 00:00:00+05:30,429.8999938964844,437.29998779296875,421.3500061035156,425.6000061035156,34215,0.0,0.0,2025-02-04,445.8924987792969,20.762091224785742,466.65459000408265,425.1304075545111,487.41668122886836,404.3683163297254,3.860743427856434,-86.53938482647507,17763241,71811.82473254239,123892.71411703534,316.3462422509967,23.87559847875353,428.0833333333333,434.816660563151,418.8666788736979,444.03331502278644,412.1333516438802,450.76664225260413,402.91669718424475,0.1194361085386943,-59.6931641884429,-6.571191600710563,-4.528842637704073,-2.04234896300649,43.78666517641039,30.6421661869549,430.2100036621094,445.8924987792969,443.75699951171873,431.1364727783203,GUFICBIO.NS,2025-02-14 10:49:20.557896
10,2025-02-03 00:00:00+05:30,442.0,444.5,430.0,432.1000061035156,31968,0.0,0.0,2025-02-03,448.85999908447263,21.918277812961225,470.77827689743384,426.9417212715114,492.6965547103951,405.02344345855016,26.940239978516853,-55.28861442345642,17797456,68120.45363469458,136912.93646315858,316.3018617517043,23.291916330789604,435.53333536783856,441.0666707356771,426.5666707356771,450.03333536783856,421.03333536783856,455.5666707356771,412.0666707356771,0.10099624500356015,-53.87622945083469,-6.226672809143793,-4.0182553969524495,-2.208417412191343,45.935182815856116,31.76078067130332,427.2600036621094,448.85999908447263,443.54699951171875,431.08043212890624,GUFICBIO.NS,2025-02-14 10:49:20.557896
