Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-11-08 00:00:00+05:30,68.5,70.0,67.5,68.3499984741211,202718,0.0,0.0,2024-11-08,71.82049980163575,4.915212499953798,76.73571230158954,66.90528730168195,81.65092480154334,61.990074801728156,13.99911628711216,-101.06344099980862,44190887,274916.16212674737,577920.9975404709,66.9423706648279,45.411422104995545,68.61666615804036,69.73333231608072,67.23333231608072,71.11666615804036,66.11666615804036,72.23333231608072,64.73333231608072,-0.2609739352422532,-70.13352777651187,-2.6617302104256595,-2.78811811509656,0.12638790467090066,41.30762915387334,24.787597815786654,68.79799957275391,71.82049980163575,78.38599990844726,74.88539993286133,GULFPETRO.NS,2024-11-08 10:49:29.918276
2,2024-11-07 00:00:00+05:30,71.0,71.0,67.80000305175781,68.23999786376953,662327,0.0,0.0,2024-11-07,72.33849983215332,5.073570863052781,77.4120706952061,67.26492896910054,82.48564155825888,62.19135810604776,22.1098903770868,-102.83638163056969,43988169,896769.676522913,653672.2063939017,66.9407547751356,45.30775760126583,69.01333363850911,70.22666422526041,67.02666727701822,72.2133305867513,65.81333669026692,73.4266611735026,63.82667032877603,-0.24512279118186617,-71.36929701403629,-2.745060177895269,-2.8197150912642854,0.07465491336901664,41.06893474765821,25.026993258471524,69.21799926757812,72.33849983215332,78.6081999206543,74.87109992980957,GULFPETRO.NS,2024-11-08 10:49:29.918276
3,2024-11-06 00:00:00+05:30,70.0,73.5,69.1500015258789,70.91000366210938,1014306,0.0,0.0,2024-11-06,72.74500007629395,5.053564417634342,77.7985644939283,67.6914356586596,82.85212891156263,62.637871241025266,110.56427203860278,-84.54332620228294,44650496,1427072.2221619028,592897.8388616488,66.93586345178308,49.82564664767557,71.1866683959961,73.22333526611328,68.87333679199219,75.53666687011719,66.836669921875,77.57333374023438,64.5233383178711,-0.20163998431325017,-59.91756301211588,-2.7993225734407474,-2.8383788196065396,0.039056246165792174,45.213327984944016,25.37360547031635,69.3520004272461,72.74500007629395,78.83720001220703,74.82899993896484,GULFPETRO.NS,2024-11-08 10:49:29.918276
4,2024-11-05 00:00:00+05:30,67.4000015258789,72.0,66.5999984741211,69.75,402206,0.0,0.0,2024-11-05,73.05499992370605,5.124737594590427,78.17973751829648,67.93026232911562,83.3044751128869,62.80552473452519,36.943043988324604,-109.02937112375538,43636190,556624.3581479872,384354.24303658534,66.91281791524635,41.08188712705666,69.4499994913737,72.30000050862631,66.8999989827474,74.85000101725261,64.0499979654948,77.70000203450522,61.4999974568685,-0.19319838754806493,-68.55870260392874,-3.0893360210068437,-2.8481428811479876,-0.24119313985885604,42.88826391601649,26.148120645403917,68.35,73.05499992370605,78.83360000610351,74.75179988861083,GULFPETRO.NS,2024-11-08 10:49:29.918276
5,2024-11-04 00:00:00+05:30,70.58999633789062,70.58999633789062,66.3499984741211,66.73999786376953,303633,0.0,0.0,2024-11-04,73.39199981689453,5.117568196378574,78.5095680132731,68.27443162051595,83.62713620965167,63.15686342413738,-42.07713722143734,-135.18484853625205,43233984,402072.72138602356,341286.71425873484,66.90627893260738,32.44006234780673,67.89333089192708,69.43666330973306,65.19666544596353,72.13332875569661,63.65333302815755,73.6766611735026,60.956667582194,-0.22836042849818267,-85.3088524746069,-3.2995902103192094,-2.7878445961832736,-0.5117456141359358,36.38313194142864,26.33800934662688,67.5259994506836,73.39199981689453,78.85960006713867,74.68469989776611,GULFPETRO.NS,2024-11-08 10:49:29.918276
6,2024-10-31 00:00:00+05:30,68.9000015258789,71.0,68.02999877929688,70.44999694824219,306772,0.0,0.0,2024-10-31,74.06049995422363,5.075976113810155,79.13647606803379,68.98452384041347,84.21245218184394,63.90854772660332,-9.142147857136306,-121.79905743260406,43537617,428811.2263788112,326090.21247691265,66.90656874869809,37.98516190489744,69.82666524251302,71.62333170572916,68.65333048502603,72.79666646321614,66.85666402180989,74.59333292643228,65.68332926432291,-0.15178623628614116,-64.66333866018161,-3.2223458906385645,-2.6599081926492896,-0.5624376979892749,41.83713557402212,25.89853970938332,67.48399963378907,74.06049995422363,78.95520004272461,74.64169990539551,GULFPETRO.NS,2024-11-08 10:49:29.918276
7,2024-10-30 00:00:00+05:30,66.55000305175781,69.30000305175781,65.94999694824219,68.91000366210938,163745,0.0,0.0,2024-10-30,74.46200027465821,5.092912334419877,79.55491260907809,69.36908794023833,84.64782494349797,64.27617560581845,-53.8537878540278,-152.42835847339788,43230845,223882.30571497578,300409.959001438,66.90031794997458,29.18622196024029,68.05333455403645,70.15667215983072,66.8066660563151,71.40334065755208,64.70332845052083,73.50667826334634,63.45665995279947,-0.2260600032149379,-73.23313933642528,-3.4400050292055226,-2.5192987681519705,-0.9207062610535521,38.270399836448554,25.848378205085528,67.44199981689454,74.46200027465821,78.96820007324219,74.55619995117188,GULFPETRO.NS,2024-11-08 10:49:29.918276
8,2024-10-29 00:00:00+05:30,66.80000305175781,67.31999969482422,64.1500015258789,65.9000015258789,139824,0.0,0.0,2024-10-29,75.09599990844727,5.154261985327472,80.25026189377473,69.9417379231198,85.40452387910221,64.78747593779232,-94.30925206235888,-195.1223714862636,43067100,182825.4272695437,319541.8723230535,66.8984238562087,38.088874441677376,65.79000091552734,67.43000030517578,64.26000213623047,68.95999908447266,62.62000274658203,70.5999984741211,61.090003967285156,-0.2605334904241693,-89.98328920710344,-3.514887390112179,-2.2891222028885823,-1.2257651872235966,30.539618244329105,24.992955987035415,67.66399841308593,75.09599990844727,78.95639999389648,74.47859992980958,GULFPETRO.NS,2024-11-08 10:49:29.918276
9,2024-10-28 00:00:00+05:30,67.0,67.58999633789062,64.0999984741211,65.62999725341797,268097,0.0,0.0,2024-10-28,75.84299964904785,4.823347015106273,80.66634666415413,71.01965263394158,85.4896936792604,66.19630561883531,-114.21715257986261,-213.77771298613033,42927276,349111.20716166904,353720.98358643096,66.89922803191665,32.88343236328406,65.77333068847656,67.44666290283203,63.9566650390625,69.2633285522461,62.28333282470703,70.93666076660156,60.46666717529297,-0.2889207833253985,-91.48581705417931,-3.2610640298243396,-1.9826809060826833,-1.2783831237416563,29.807411400301206,23.041963551864228,68.29399871826172,75.84299964904785,79.01559997558594,74.42659992218017,GULFPETRO.NS,2024-11-08 10:49:29.918276
10,2024-10-25 00:00:00+05:30,70.38999938964844,71.3499984741211,65.81999969482422,66.52999877929688,235952,0.0,0.0,2024-10-25,76.72699966430665,4.459468763753837,81.18646842806048,72.26753090055281,85.64593719181433,67.80806213679897,-114.91168571925319,-203.82412932665397,43195373,311465.98803002434,354873.42769262136,66.90119120555917,33.16671627037621,67.89999898274739,69.97999827067056,64.44999949137369,73.42999776204427,62.370000203450516,75.50999704996744,58.92000071207681,-0.31662486286705294,-95.63077486478366,-2.8600918215645947,-1.6630851251472691,-1.1970066964173256,30.812771017075818,20.940894775526026,70.22799987792969,76.72699966430665,79.03520004272461,74.34129993438721,GULFPETRO.NS,2024-11-08 10:49:29.918276
