Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-10 00:00:00+05:30,600.0499877929688,600.0499877929688,577.9500122070312,580.25,1784,0.0,0.0,2024-09-10,592.1325012207031,15.408321280676503,607.5408225013797,576.7241799400266,622.9491437820561,561.3158586593502,-0.26950783217398966,-71.9175124989277,1531242,5365.458208978843,10576.112338111769,319.91784427303895,48.277885435977375,586.0833333333334,594.2166544596355,572.116678873698,608.1833089192709,563.9833577473959,616.316630045573,550.0167032877605,-0.1764550444709327,-74.12317215539379,-3.9766204345646656,-2.3058866133448426,-1.670733821219823,46.11196370061979,15.284483992070665,589.8900024414063,592.1325012207031,598.9060375976562,548.1307131958008,HERCULES.BO,2024-09-10 11:04:23.638903
2,2024-09-09 00:00:00+05:30,589.0,589.0,563.6500244140625,574.25,2400,0.0,0.0,2024-09-09,594.9325012207031,18.004781225177677,612.9372824458808,576.9277199955254,630.9420636710585,558.9229387703477,-78.84424371911317,-118.28905499443381,1529458,7143.467331437317,11878.775870395,319.83721798650845,41.082179882502956,575.6333414713541,587.6166585286458,562.2666829427083,600.9833170572916,550.2833658854166,612.9666341145833,536.9167073567708,-0.13418946372677285,-83.47625621650319,-3.559350426829269,-1.8882031580398864,-1.6711472687893827,44.01800018729354,15.957901057003802,588.15,594.9325012207031,598.4147351074218,547.5000668334961,HERCULES.BO,2024-09-10 11:04:23.638903
3,2024-09-06 00:00:00+05:30,608.1500244140625,609.0,574.9500122070312,582.9000244140625,5653,0.0,0.0,2024-09-06,597.5275024414062,18.597337193715404,616.1248396351216,578.9301652476909,634.7221768288371,560.3328280539754,-11.394792453551998,-66.37887600119979,1531858,17079.2925007672,13062.60300513442,319.7311742198041,47.66668774591323,588.9500122070312,602.9500122070312,568.9000244140625,623.0,554.9000244140625,637.0,534.8500366210938,-0.1515865136488916,-73.90940473894032,-2.380279728640403,-1.4704163408425406,-0.9098633877978624,46.43339051095482,16.08630084251092,588.5,597.5275024414062,598.1706066894532,546.9383627319336,HERCULES.BO,2024-09-10 11:04:23.638903
4,2024-09-05 00:00:00+05:30,612.0499877929688,627.7999877929688,599.25,606.0499877929688,6270,0.0,0.0,2024-09-05,597.7950012207032,18.413433153413937,616.2084343741171,579.3815680672892,634.6218675275311,560.9681349138752,92.38020214114896,25.30612099516523,1537511,19695.76278634229,12058.430631226227,319.4725465206431,58.01953424729244,611.0333251953125,622.816650390625,594.2666625976562,639.5833129882812,582.4833374023438,651.3666381835938,565.7166748046875,-0.08433965822877508,-35.80246913580247,-1.6865434402434403,-1.2429504938930749,-0.4435929463503654,53.76514747004141,16.71442846825882,587.9,597.7950012207032,597.9303259277344,546.4441561889648,HERCULES.BO,2024-09-10 11:04:23.638903
5,2024-09-04 00:00:00+05:30,573.0,609.5,573.0,606.0,6906,0.0,0.0,2024-09-04,595.7375030517578,19.69678655451252,615.4342896062703,576.0407164972453,635.1310761607829,556.3439299427328,18.821812822964453,-32.68554277547272,1531241,21691.82117754252,10149.09759244721,319.15983437365196,43.16344103935514,596.1666666666666,619.3333333333333,582.8333333333333,632.6666666666666,559.6666666666666,655.8333333333333,546.3333333333333,-0.11962100124439201,-28.597578509354438,-3.0527177152904414,-1.1320522573054836,-1.9206654579849578,53.75050147046106,17.37554860476688,582.7400024414062,595.7375030517578,597.4396630859375,545.705534362793,HERCULES.BO,2024-09-10 11:04:23.638903
6,2024-09-03 00:00:00+05:30,571.0999755859375,583.9500122070312,567.9500122070312,571.5499877929688,1928,0.0,0.0,2024-09-03,595.4600036621093,19.583362153687645,615.043365815797,575.8766415084217,634.6267279694846,556.2932793547341,-98.85186858925492,-116.46438528005245,1524335,5711.603706433755,7263.416696173382,318.81467153425484,22.688502534068448,574.4833374023438,581.0166625976562,565.0166625976562,590.4833374023438,558.4833374023438,597.0166625976562,549.0166625976562,-0.1374845776877112,-91.7506855967069,-4.750658440622146,-0.6518858928092441,-4.098772547812902,41.994716525091384,18.356318700877598,579.4099975585938,595.4600036621093,597.1427465820312,545.1079977416993,HERCULES.BO,2024-09-10 11:04:23.638903
7,2024-09-02 00:00:00+05:30,567.0499877929688,584.7000122070312,567.0499877929688,576.0,1587,0.0,0.0,2024-09-02,597.6250030517579,19.19044594639406,616.815448998152,578.4345571053638,636.005894944546,559.2441111589698,-112.89207542177871,-112.12059705379185,1526263,4738.012777009743,7651.369943608288,318.7297385509649,21.40628808702577,575.9166666666666,584.7833455403645,567.133321126302,593.5666910807291,558.2666422526041,602.433369954427,549.4832967122395,-0.0936397851587586,-87.85615912533406,-3.4597531906858876,0.37280724414398136,-3.832560434829869,43.31531936449584,17.64778273723195,584.3099975585938,597.6250030517579,597.1473510742187,544.9582888793946,HERCULES.BO,2024-09-10 11:04:23.638903
8,2024-08-30 00:00:00+05:30,583.7000122070312,584.1500244140625,574.9000244140625,579.9000244140625,2211,0.0,0.0,2024-08-30,599.4308898925781,18.74252851300525,618.1734184055833,580.6883613795728,636.9159469185886,561.9458328665676,-102.7427334426454,-98.04310872276486,1527850,6645.668699363187,8379.709235257924,318.6585532899899,26.73964663411209,579.6500244140625,584.4000244140625,575.1500244140625,588.9000244140625,570.4000244140625,593.6500244140625,565.9000244140625,-0.12631915003162184,-88.50905539772727,-2.192841562434296,1.3309473528514486,-3.5237889152857447,44.45294138046603,16.884744007152023,590.4299926757812,599.4308898925781,596.9695629882813,544.8077951049804,HERCULES.BO,2024-09-10 11:04:23.638903
9,2024-08-29 00:00:00+05:30,590.0999755859375,591.6500244140625,573.0499877929688,580.25,1413,0.0,0.0,2024-08-29,601.6304473876953,18.910391003811515,620.5408383915068,582.7200563838838,639.4512293953184,563.8096653800723,-96.02105148059609,-87.44864970344892,1530061,4249.65944466766,8813.219369231607,318.5578086664378,38.52110388090881,581.6500040690104,590.250020345052,571.6499837239583,600.2500406901041,563.0499674479166,608.8500569661458,553.0499471028645,-0.15077428229274398,-89.27875413742149,-0.9216792070058091,2.2118945816728846,-3.1335737886786936,44.5504464692512,16.406633111146306,597.4599853515625,601.6304473876953,596.4783068847656,544.5085153198243,HERCULES.BO,2024-09-10 11:04:23.638903
10,2024-08-28 00:00:00+05:30,591.2000122070312,601.0,584.5,589.3499755859375,3833,0.0,0.0,2024-08-28,603.8770874023437,18.905717375539627,622.7828047778834,584.971370026804,641.6885221534229,566.0656526512645,-37.238703175041145,-45.74908849231221,1531474,11708.706142695824,9954.109350372593,318.4932980804386,44.21845940662939,591.6166585286459,598.7333170572917,582.2333170572917,608.1166585286459,575.1166585286459,615.2333170572917,565.7333170572917,-0.1708994298724961,-67.76580824206977,0.6852913525718805,2.995288028842558,-2.3099966762706776,47.041582038522094,15.891744453909382,603.5599853515625,603.8770874023437,595.5170629882813,543.9797067260743,HERCULES.BO,2024-09-10 11:04:23.638903
