Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-09-30 00:00:00+05:30,558.0999755859375,569.0,555.0,557.4500122070312,1192,0.0,0.0,2024-09-30,579.5,15.019045327220837,594.5190453272209,564.4809546727791,609.5380906544417,549.4619093455583,-113.22060805599219,-103.0497532332519,178513,2004.1635922656196,2090.2609528086764,462.289104226579,33.73846389837877,560.4833374023438,565.9666748046875,551.9666748046875,574.4833374023438,546.4833374023438,579.9666748046875,537.9666748046875,-0.37092058649256066,-95.7685471952302,-5.736362791840065,-2.5942544335355135,-3.1421083583045517,42.52460625130306,15.644670816596419,562.6300048828125,579.5,579.3199951171875,526.6804974365234,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
2,2024-09-27 00:00:00+05:30,565.5,570.4000244140625,562.5,562.6500244140625,217,0.0,0.0,2024-09-27,580.7600006103515,14.100823771491573,594.8608243818431,566.6591768388599,608.9616481533346,552.5583530673684,-70.47278005830997,-88.06860985980434,179705,368.25534547777283,2111.7852929444407,462.1843700721231,47.559924922700205,565.183349609375,567.86669921875,559.9666748046875,573.0833740234375,557.2833251953125,575.7667236328125,552.066650390625,-0.3830039667320109,-89.65201824192769,-4.982311717695211,-1.8087273439593758,-3.173584373735835,44.266294722729995,15.85767763521852,564.8300048828125,580.7600006103515,579.3529943847657,525.2899972534179,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
3,2024-09-26 00:00:00+05:30,566.0499877929688,568.5,560.0999755859375,561.9500122070312,1254,0.0,0.0,2024-09-26,582.2949981689453,13.690648501837687,595.985646670783,568.6043496671076,609.6762951726207,554.9137011652699,-87.90303349639686,-100.54521629762911,179488,2125.4270585213962,2547.6677798111077,462.1642366372727,46.196819502818684,563.5166625976562,566.933349609375,558.5333251953125,571.9166870117188,555.1166381835938,575.3333740234375,550.13330078125,-0.35703520079754153,-90.90092385693939,-4.453530685312899,-1.015331250525417,-3.4381994347874816,43.97948937010976,16.591704602675264,567.25,582.2949981689453,579.7959936523438,523.906496887207,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
4,2024-09-25 00:00:00+05:30,565.0499877929688,572.5,561.0499877929688,566.0499877929688,1264,0.0,0.0,2024-09-25,583.4574981689453,12.832392810030537,596.2898909789759,570.6251053589148,609.1222837890064,557.7927125488843,-83.74832945187114,-92.46805450915552,180742,2158.0069700291606,2653.227960133535,462.0485428774703,46.24786991697955,566.5333251953125,572.0166625976562,560.566650390625,577.9833374023438,555.0833129882812,583.4666748046875,549.1166381835938,-0.36845492139791775,-83.58607637391596,-3.6401123933836743,-0.15578139182854656,-3.4843310015551276,45.245825461622,17.2347236346498,567.6699951171875,583.4574981689453,580.9409936523438,522.523996887207,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
5,2024-09-24 00:00:00+05:30,570.4000244140625,573.9000244140625,560.0,565.0499877929688,1902,0.0,0.0,2024-09-24,584.7599975585938,12.282800779096194,597.04279833769,572.4771967794976,609.3255991167862,560.1943960004014,-104.46468706777289,-96.63005959371932,179478,3241.517467505738,2777.033207659628,461.92685759604814,41.43047873131632,566.3166707356771,572.6333414713542,558.7333170572917,580.2166951497396,552.4166463216146,586.5333658854167,544.8332926432292,-0.38020974736583557,-85.37019613992447,-2.94732274561386,0.7153013585602354,-3.6626241041740957,44.88641649151097,17.98680454973773,569.9099975585938,584.7599975585938,581.8499938964844,521.0424969482422,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
6,2024-09-23 00:00:00+05:30,564.0499877929688,579.0499877929688,563.8499755859375,568.4500122070312,1201,0.0,0.0,2024-09-23,587.0124969482422,12.604576520701734,599.6170734689439,574.4079204275405,612.2216499896457,561.8033439068387,-103.98854419266493,-74.7992612050902,181380,2059.141878439605,2660.9121426981005,461.74497820194637,40.195326455675584,570.4499918619791,577.0500081380208,561.8499959309895,585.6500040690104,555.2499796549479,592.250020345052,546.6499837239583,-0.39250872972429535,-79.30414537788405,-1.9172008064903139,1.630957384603759,-3.548158191094073,45.83631142474285,18.796737842909348,573.5099975585938,587.0124969482422,583.1829943847656,519.6089971923828,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
7,2024-09-20 00:00:00+05:30,575.3499755859375,581.2000122070312,558.5,574.75,2181,0.0,0.0,2024-09-20,589.4199951171875,13.442986314054359,602.8629814312418,575.9770088031331,616.3059677452961,562.5340224890788,-107.0490603734702,-67.7720080022289,182581,3780.8167581135376,2811.3547087627244,461.62601058862776,64.05116868594376,571.4833374023438,584.4666748046875,561.7666625976562,594.183349609375,548.7833251953125,607.1666870117188,539.066650390625,-0.40820592661457616,-76.49373778696132,-0.9041349584442742,2.5179969323772773,-3.4221318908215514,47.568342187608714,19.885372178968098,577.8299926757812,589.4199951171875,584.388994140625,518.1569970703125,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
8,2024-09-19 00:00:00+05:30,593.4000244140625,593.4000244140625,556.8499755859375,564.0499877929688,916,0.0,0.0,2024-09-19,591.6249938964844,14.486360810442072,606.1113547069265,577.1386330860423,620.5977155173686,562.6522722756002,-135.44956254739097,-66.45358777937798,180400,1558.3465777141992,2568.989196425021,461.3965059804544,56.1924237439912,571.4333292643229,586.0166829427083,549.4666341145833,607.9833780924479,534.8832804361979,622.5667317708333,512.9165852864583,-0.31716086716407493,-90.54496402012757,-0.21385801201961385,3.373529905082665,-3.5873879171022787,44.245705879752826,21.05774761780059,581.1799926757812,591.6249938964844,585.0099938964844,516.6564971923829,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
9,2024-09-18 00:00:00+05:30,585.75,588.75,575.0999755859375,577.25,438,0.0,0.0,2024-09-18,592.8024932861329,13.008758295885873,605.8112515820187,579.793734990247,618.8200098779046,566.7849766943611,-91.44857257026408,-20.823182972276566,181316,762.5863649793835,2821.6498511027266,461.30896318749996,56.585823527821184,580.3666585286459,585.6333414713542,571.9833170572917,594.0166829427084,566.7166341145834,599.2833658854167,558.3332926432292,-0.3594937111024375,-78.19075672478276,1.7269350081411403,4.270376884358234,-2.543441876217094,47.70904836850198,22.320305782697123,588.389990234375,592.8024932861329,585.428994140625,515.2184973144531,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
10,2024-09-17 00:00:00+05:30,591.4000244140625,591.4000244140625,579.0,583.0499877929688,643,0.0,0.0,2024-09-17,594.4974945068359,13.083978398520925,607.5814729053568,581.413516108315,620.6654513038777,568.3295377097941,-69.68633310935732,0.1227851724860786,181754,1130.752996392745,3336.415722633562,461.2616655266465,54.52114650910074,584.4833374023438,589.9666748046875,577.566650390625,596.8833618164062,572.0833129882812,602.36669921875,565.1666259765625,-0.4971633427405303,-70.05613009650062,2.8855713088947823,4.906237353412507,-2.020666044517725,49.28299792771848,23.437876139922462,588.939990234375,594.4974945068359,584.7279943847657,513.6294973754883,HINDCOMPOS.BO,2024-09-30 11:05:18.020761
