Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2024-10-18 00:00:00+05:30,505.95001220703125,520.0,494.0,506.5,3489855,0.0,0.0,2024-10-18,511.51500396728517,7.903185450478041,519.4181894177632,503.61181851680715,527.3213748682413,495.70863306632907,-48.8763105770745,25.24751324505722,199992151,8492118.2575711,4422642.489838949,429.8165391673886,53.85577231097007,506.8333333333333,519.6666666666666,493.66666666666663,532.8333333333333,480.8333333333333,545.6666666666666,467.66666666666663,0.05952342524625181,-62.83390351480369,-0.31241682590382425,-0.6207729379777223,0.308356112073898,47.63378674361564,12.004057060929696,511.94000854492185,511.51500396728517,508.48272888183595,571.8939822387696,HINDZINC.NS,2024-10-18 10:51:47.412659
2,2024-10-17 00:00:00+05:30,511.20001220703125,516.9500122070312,502.1000061035156,508.20001220703125,886030,0.0,0.0,2024-10-17,510.6625045776367,9.273405544406351,519.9359101220431,501.38909903323037,529.2093156664494,492.115693488824,-22.239115057966895,41.401540595608026,203482006,2163277.826583726,3405273.5479059117,429.4718536213443,66.82562068778765,509.0833435058594,516.0666809082031,501.2166748046875,523.933349609375,494.23333740234375,530.9166870117188,486.3666687011719,0.07445515491338899,-58.88497740777025,-0.012529711768308971,-0.6978619659961968,0.6853322542278878,48.51181468394203,11.661388208087917,511.4700073242187,510.6625045776367,509.8347576904297,573.6456845092773,HINDZINC.NS,2024-10-18 10:51:47.412659
3,2024-10-16 00:00:00+05:30,514.4000244140625,519.9500122070312,508.6499938964844,510.3999938964844,972108,0.0,0.0,2024-10-16,509.5025039672852,10.905124825249422,520.4076287925346,498.5973791420358,531.312753617784,487.6922543167863,13.153863790652935,69.29222599271006,204368036,2383715.2697326937,3715772.4782364583,429.3819062645769,72.88054866125722,513.0,517.3500061035156,506.04998779296875,524.3000183105469,501.6999816894531,528.6500244140625,494.7499694824219,0.05584508836524396,-53.77468167427775,0.20418106869414032,-0.8691950295531687,1.073376098247309,49.61071368578096,12.014388323558483,511.5900024414062,509.5025039672852,511.41025817871093,575.7251272583007,HINDZINC.NS,2024-10-18 10:51:47.412659
4,2024-10-15 00:00:00+05:30,520.2999877929688,523.5499877929688,511.29998779296875,514.4000244140625,1233163,0.0,0.0,2024-10-15,508.52750396728516,11.665848931124183,520.1933528984093,496.861655036161,531.8592018295335,485.1958061050368,43.655161501177346,95.26400250462206,205340144,3047548.788097065,4048786.7803623993,429.28022261631446,78.1313406602077,516.4166666666666,521.5333455403645,509.2833455403645,528.6666666666666,504.16666666666663,533.7833455403645,497.0333455403645,0.05496510819902715,-44.483086664275355,0.2618780217083554,-1.137539054114996,1.3994170758233513,51.583469985500216,12.823964314799392,510.6000061035156,508.52750396728516,513.1047277832031,577.7656945800782,HINDZINC.NS,2024-10-18 10:51:47.412659
5,2024-10-14 00:00:00+05:30,506.70001220703125,522.7999877929688,506.6000061035156,520.2000122070312,1883076,0.0,0.0,2024-10-14,507.63000335693357,11.87881297964439,519.508816336578,495.75119037728916,531.3876293162224,483.8723773976448,33.1266072950736,100.87191022168611,206573307,4706167.790272102,4299096.278428732,429.1444857861895,82.87815223978927,516.5333353678385,526.4666646321614,510.26668294270826,532.7333170572916,500.3333536783854,542.6666463216145,494.06670125325513,0.037691683366148795,-31.010405043873018,-0.062162642780549504,-1.4873933230708336,1.425230680290284,54.50149988321736,13.415889119755674,509.8799987792969,507.63000335693357,515.3874621582031,580.0690545654297,HINDZINC.NS,2024-10-18 10:51:47.412659
6,2024-10-11 00:00:00+05:30,508.79998779296875,512.0,502.0,504.1499938964844,511306,0.0,0.0,2024-10-11,506.4500030517578,11.735742662160447,518.1857457139182,494.71426038959737,529.9214883760787,482.9785177274369,-70.5999795564875,35.69101128760885,204690231,1238425.415265378,4197328.40046789,428.92221642269567,82.98471952758501,506.0499979654948,510.0999959309896,500.0999959309896,516.0499979654949,496.0499979654948,520.0999959309896,490.0999959309896,-0.010070133615994924,-68.29268811380756,-1.047301948247707,-1.8437009931434045,0.7963990448956975,46.76303466229778,14.122768757468428,504.9199951171875,506.4500030517578,517.4731945800781,582.015478515625,HINDZINC.NS,2024-10-18 10:51:47.412659
7,2024-10-10 00:00:00+05:30,506.0,513.0,506.0,508.79998779296875,677683,0.0,0.0,2024-10-10,505.73250274658204,12.308453006950023,518.0409557535321,493.42404973963204,530.3494087604821,481.115596732682,-54.237898688735314,42.51120643028731,205201537,1656543.6510394795,4937054.146768518,428.8723219408667,85.2819391291374,509.26666259765625,512.5333251953125,505.5333251953125,516.2666625976562,502.26666259765625,519.5333251953125,498.5333251953125,0.024299406171268034,-57.49130550053805,-0.7120269534776753,-2.0428007543673288,1.3307738008896535,49.00533807197476,14.46057402034229,507.5399963378906,505.73250274658204,519.8654620361328,582.6653317260742,HINDZINC.NS,2024-10-18 10:51:47.412659
8,2024-10-09 00:00:00+05:30,509.1000061035156,514.9500122070312,503.8500061035156,505.45001220703125,910097,0.0,0.0,2024-10-09,504.12000274658203,13.895604913954758,518.0156076605368,490.2243978326273,531.9112125744915,476.3287929186725,-69.85211683015675,23.434203557941572,204523854,2210014.3566927155,5757181.770700777,428.80199867068694,81.33106071120076,508.0833435058594,512.3166809082031,501.2166748046875,519.183349609375,496.98333740234375,523.4166870117188,490.1166687011719,0.002948192342288522,-51.09086470170455,-0.7299390188655934,-2.3754942045897423,1.6455551857241488,47.31535272866869,15.190757743100738,510.36000366210936,504.12000274658203,522.0615496826172,583.2021475219726,HINDZINC.NS,2024-10-18 10:51:47.412659
9,2024-10-08 00:00:00+05:30,495.3999938964844,513.5999755859375,492.6499938964844,510.79998779296875,1747070,0.0,0.0,2024-10-08,503.1925018310547,14.411661037317648,517.6041628683723,488.78084079373707,532.01582390569,474.3691797564194,-96.59367432349072,0.664145340124496,205433951,4287364.279410035,6643973.624202792,428.71132579698195,78.43949974615437,505.6833190917969,518.7166442871094,497.76666259765625,526.63330078125,484.73333740234375,539.6666259765625,476.8166809082031,0.025282201874244178,-41.36363636363637,-0.4118903703476917,-2.7868830010207795,2.3749926306730877,49.76086847943287,15.977109444532912,513.2500061035156,503.1925018310547,524.1742047119141,583.5559756469727,HINDZINC.NS,2024-10-18 10:51:47.412659
10,2024-10-07 00:00:00+05:30,524.0,524.0,490.5,495.3999938964844,1936964,0.0,0.0,2024-10-07,501.65750274658205,15.173537518559202,516.8310402651413,486.48396522802284,532.0045777837005,471.3104277094636,-115.42367343587136,-14.924420415078549,203686881,4610061.794150077,7233125.960400981,428.5244858910426,75.56342636115944,503.2999979654948,516.0999959309896,482.5999959309896,536.7999979654949,469.7999979654948,549.5999959309896,449.0999959309896,-0.0108344705135976,-69.36362526633523,-0.5253424936580018,-3.380631158689051,2.855288665031049,41.707806629407564,16.698026750564182,515.5900085449218,501.65750274658205,525.597417602539,583.7507119750976,HINDZINC.NS,2024-10-18 10:51:47.412659
11,2024-10-04 00:00:00+05:30,523.1500244140625,526.6500244140625,509.8500061035156,517.25,1877538,0.0,0.0,2024-10-04,501.2300033569336,15.476534021369835,516.7065373783034,485.75346933556375,532.1830713996733,470.2769353141939,37.38506709851454,29.202208320130516,205623845,4665717.458468504,7888892.001963707,428.3553007907995,80.45083981267211,517.9166768391927,525.9833475748699,509.183329264323,534.7166951497396,501.11665852864587,542.7833658854167,492.3833109537761,-0.013663851733433279,-29.636341441761363,0.8540302093887249,-4.094453324946813,4.948483534335538,52.87406423634479,17.47439923398247,521.1200073242187,501.2300033569336,527.4819555664062,584.2812890625,HINDZINC.NS,2024-10-18 10:51:47.412659
