Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-08-07 00:00:00+05:30,700.0,705.0,680.0,689.8499755859375,1310,0.0,0.0,2025-08-07,694.1799957275391,13.125603434691962,707.305599162231,681.0543922928472,720.4312025969231,667.9287888581551,-80.97268891176611,-74.35018003664014,5762927,2324.0007945340744,3909.115716748076,640.5152256757865,44.14398276036073,691.6166585286459,703.2333170572917,678.2333170572917,716.6166585286459,666.6166585286459,728.2333170572917,653.2333170572917,-0.006340553354577633,-50.84418755073052,-1.0443964257782454,-1.6932027264914162,0.6488063007131708,45.62773977084999,18.10113798674813,704.8,694.1799957275391,712.9969995117187,653.4004992675781,HITECHGEAR.NS,2025-08-07 11:14:35.383379
2,2025-08-06 00:00:00+05:30,705.0,709.5,692.0,699.9000244140625,2026,0.0,0.0,2025-08-06,695.3399963378906,13.733867747429034,709.0738640853197,681.6061285904616,722.8077318327487,667.8722608430326,-5.625049165418988,-52.903724671868666,5764237,3646.580228831155,4305.394447301576,640.5111010986877,43.55177752218672,700.4666748046875,708.933349609375,691.433349609375,717.9666748046875,682.9666748046875,726.433349609375,673.933349609375,-0.004918529826519942,-37.792176085633116,-0.07234959128447827,-1.8554043016697088,1.7830547103852306,49.061029433430875,18.327998138741677,706.9400024414062,695.3399963378906,711.5959997558593,652.2764996337891,HITECHGEAR.NS,2025-08-07 11:14:35.383379
3,2025-08-05 00:00:00+05:30,724.2000122070312,727.9500122070312,692.0499877929688,706.5,1937,0.0,0.0,2025-08-05,696.3374938964844,14.768046127169255,711.1055400236536,681.5694477693152,725.8735861508229,666.8014016421458,75.85069539168187,-33.94758906883483,5766263,3519.266133048048,4470.098001919182,640.5034211865816,43.56324690688604,708.8333333333334,725.616678873698,689.7166544596355,744.7333577473959,672.9333089192709,761.5167032877605,653.816630045573,0.019659233589365954,-29.22077922077922,0.183483586339662,-2.3011679792660162,2.4846515656056782,51.420479566936955,19.13877424031039,709.9400024414062,696.3374938964844,709.9129992675781,651.196499633789,HITECHGEAR.NS,2025-08-07 11:14:35.383379
4,2025-08-04 00:00:00+05:30,700.0,728.0,681.0999755859375,720.5999755859375,3369,0.0,0.0,2025-08-04,697.1499938964844,15.769639993945145,712.9196338904295,681.3803539025392,728.6892738843746,665.6107139085941,96.782071444304,-33.59139685396032,5768200,6243.175987491514,4707.805969136965,640.4952606991994,44.10480418768708,709.8999837239584,738.6999918619792,691.7999674479167,756.8000081380209,662.9999593098959,785.6000162760417,644.8999430338542,-0.029312788543532507,-10.909122615665584,-0.14175007101925985,-2.9223308706674356,2.7805807996481757,56.843558115631104,20.01429985139373,707.6,697.1499938964844,708.2369995117188,650.2304998779297,HITECHGEAR.NS,2025-08-07 11:14:35.383379
5,2025-08-01 00:00:00+05:30,729.0,729.0,700.0,707.1500244140625,2052,0.0,0.0,2025-08-01,697.459994506836,16.306679055385413,713.7666735622214,681.1533154514506,730.0733526176068,664.8466363960652,127.96292581107727,-29.644787086228924,5764831,3731.6357100528326,4323.9634645483275,640.4780294185925,53.05250672863314,712.0500081380209,724.1000162760417,695.1000162760417,741.0500081380209,683.0500081380209,753.1000162760417,666.1000162760417,-0.09889847322656023,-29.294840494791668,-1.944633938964671,-3.6174760705794795,1.6728421316148085,52.396563923649595,20.957173586406558,702.8900024414063,697.459994506836,705.78,649.0854998779297,HITECHGEAR.NS,2025-08-07 11:14:35.383379
6,2025-07-31 00:00:00+05:30,685.2000122070312,709.2000122070312,685.2000122070312,700.5499877929688,782,0.0,0.0,2025-07-31,698.6874938964844,17.91881529796129,716.6063091944457,680.7686785985231,734.525124492407,662.8498633005618,67.41244525474121,-62.55911878087728,5762779,1408.8222636545656,4472.0454031722,640.4692929448374,48.564293196801366,698.3166707356771,711.433329264323,687.433329264323,722.3166707356771,674.3166707356771,735.433329264323,663.433329264323,-0.0943504518202051,-37.75642590645032,-2.8987910644984822,-4.035686603483182,1.1368955389846995,50.05135459185056,22.293591411853168,699.6799926757812,698.6874938964844,703.4409997558594,648.1739996337891,HITECHGEAR.NS,2025-08-07 11:14:35.383379
7,2025-07-30 00:00:00+05:30,698.0,720.0,690.0,714.9000244140625,5798,0.0,0.0,2025-07-30,700.9799957275391,20.861069614721927,721.841065342261,680.1189261128171,742.702134956983,659.2578564980952,169.31902049824484,-34.156768800927885,5763561,10659.426668170367,5237.851188051609,640.466292547597,47.67224946568743,708.3000081380209,726.6000162760417,696.6000162760417,738.3000081380209,678.3000081380209,756.6000162760417,666.6000162760417,-0.130661073140845,-19.35894305889423,-3.4264766403471185,-4.319910488229357,0.8934338478822381,55.57952504172905,23.276645836121226,699.239990234375,700.9799957275391,701.2490002441406,647.3675,HITECHGEAR.NS,2025-08-07 11:14:35.383379
8,2025-07-29 00:00:00+05:30,678.0,698.0,678.0,694.7999877929688,437,0.0,0.0,2025-07-29,702.1349945068359,22.26459705455357,724.3995915613895,679.8703974522824,746.6641886159431,657.6058003977288,31.44524760151023,-69.83727167765197,5757763,780.8211390325548,3882.4573180219195,640.438721967941,38.96406834767038,690.2666625976562,702.5333251953125,682.5333251953125,710.2666625976562,670.2666625976562,722.5333251953125,662.5333251953125,-0.23939426785718906,-45.12822077824519,-5.463418951801145,-4.5432689501999155,-0.9201500016012298,48.1277417254606,24.55488290641222,693.9699829101562,702.1349945068359,698.6379992675782,646.6154998779297,HITECHGEAR.NS,2025-08-07 11:14:35.383379
9,2025-07-28 00:00:00+05:30,690.0,710.0,686.0,697.0499877929688,1694,0.0,0.0,2025-07-28,704.2749938964844,23.54268684049839,727.8176807369828,680.732307055986,751.3603675774812,657.1896202154876,86.38877193443199,-47.77291292318186,5758200,3036.600458057843,4657.86636276926,640.4372042851319,36.296847151526414,697.6833292643229,709.3666585286458,685.3666585286458,721.6833292643229,673.6833292643229,733.3666585286458,661.3666585286458,-0.2555804914096647,-44.382731119791664,-6.008994229512496,-4.313231449799608,-1.6957627797128874,48.98185210587654,24.659164475024877,689.8699829101563,704.2749938964844,696.6079992675782,645.8734997558594,HITECHGEAR.NS,2025-08-07 11:14:35.383379
10,2025-07-25 00:00:00+05:30,685.0,697.5,676.0,691.0999755859375,2994,0.0,0.0,2025-07-25,707.3324951171875,26.357506253368413,733.6900013705559,680.974988863819,760.0475076239243,654.6174826104507,6.3491467013015805,-61.9615743461291,5756506,5321.119311721921,5063.182838947115,640.4310767623422,28.82154137322297,688.1999918619791,700.3999837239583,678.8999837239583,709.6999918619791,666.6999918619791,721.8999837239583,657.3999837239583,-0.2611313405365809,-55.517673804329256,-6.838041452802031,-3.8892907548713858,-2.9487506979306453,46.657277675792656,25.09789673476365,683.5699829101562,707.3324951171875,694.755,645.35,HITECHGEAR.NS,2025-08-07 11:14:35.383379
11,2025-07-24 00:00:00+05:30,695.9000244140625,703.0,688.25,698.3499755859375,1343,0.0,0.0,2025-07-24,709.9174957275391,27.203374757066456,737.1208704846056,682.7141209704725,764.324245241672,655.5107462134062,63.612169284558675,-38.94147225729935,5759500,2411.900892626541,4998.698720753413,640.4213820847681,29.93810439056095,696.5333251953125,704.816650390625,690.066650390625,711.2833251953125,681.7833251953125,719.566650390625,675.316650390625,-0.29974279259959374,-52.65580793943119,-7.2098803856723634,-3.1521030803887236,-4.05777730528364,49.1933493173778,24.772869505752094,681.0299926757813,709.9174957275391,693.1660009765625,645.1765002441406,HITECHGEAR.NS,2025-08-07 11:14:35.383379
12,2025-07-23 00:00:00+05:30,674.0,706.0,655.0999755859375,688.5499877929688,5404,0.0,0.0,2025-07-23,712.0474975585937,27.908610033570483,739.9561075921642,684.1388875250232,767.8647176257347,656.2302774914527,-49.35820861345795,-57.67176529178898,5758157,9568.880667088437,5645.398177785131,640.4164099100645,26.07254822552811,683.2166544596354,711.3333333333333,660.4333089192708,734.1166788736979,632.3166300455729,762.2333577473958,609.5332845052083,-0.30165159653805723,-63.45001220703125,-8.290721437822071,-2.137658754067813,-6.153062683754259,45.47324460844394,24.891173637133583,677.7,712.0474975585937,691.2110009765624,645.0595007324218,HITECHGEAR.NS,2025-08-07 11:14:35.383379
13,2025-07-22 00:00:00+05:30,687.5,687.5,652.0,674.2999877929688,3209,0.0,0.0,2025-07-22,713.6949981689453,27.41671737242512,741.1117155413704,686.2782807965202,768.5284329137955,658.861563424095,-132.84204095246778,-73.71960450094818,5752753,5564.590272105955,4664.5275554593045,640.3997799621351,18.402702589790508,671.2666625976562,690.5333251953125,655.0333251953125,706.7666625976562,635.7666625976562,726.0333251953125,619.5333251953125,-0.40199359222224856,-80.08929661342076,-8.583758207739379,-0.5993930831292487,-7.984365124610131,39.49108388725291,25.01857808631365,678.7800048828125,713.6949981689453,689.2220007324219,645.0335009765626,HITECHGEAR.NS,2025-08-07 11:14:35.383379
14,2025-07-21 00:00:00+05:30,704.9000244140625,704.9000244140625,660.25,665.5499877929688,4792,0.0,0.0,2025-07-21,716.0274993896485,25.827065144296768,741.8545645339452,690.2004342453517,767.681629678242,664.373369101055,-124.58464236482232,-58.34410657508804,5749544,8201.774270861577,4439.511876297642,640.3928234973379,18.60969593765074,676.9000040690104,693.5500081380208,648.8999837239583,721.5500284830729,632.2499796549479,738.2000325520833,604.2499593098958,-0.39735756514519893,-94.89157803087349,-7.425468038803956,1.396698198023284,-8.82216623682724,35.45342000988754,23.958076667579988,681.5300048828125,716.0274993896485,687.4810009765625,644.8240008544922,HITECHGEAR.NS,2025-08-07 11:14:35.383379
