Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-10-27 00:00:00+05:30,58.0,58.0,56.599998474121094,57.5,1971,0.0,0.0,2025-10-27,57.62850017547608,1.1482448233946525,58.77674499887073,56.48025535208142,59.92498982226538,55.33201052868677,51.0229648554618,-44.762349656186956,463999,1960.0916741295814,2337.1427701512366,67.06883558600512,44.83280186824654,57.36666615804037,58.13333384195964,56.733332316080734,58.76666768391927,55.96666463216146,59.533335367838546,55.33333079020183,-0.05139477256745229,-37.59396914781229,-0.6472374781268755,-0.7255485100315535,0.07831103190467803,46.284291960066426,19.896634927163795,57.54000015258789,57.62850017547608,58.62459991455078,61.16269992828369,HMT.BO,2025-10-27 11:54:30.249621
2,2025-10-24 00:00:00+05:30,57.349998474121094,58.5,57.0,57.209999084472656,2680,0.0,0.0,2025-10-24,57.7230001449585,1.2130565920843872,58.93605673704288,56.50994355287411,60.149113329127275,55.29688696078972,73.11240689717748,-38.404487447085316,462028,2651.726017911261,2431.4055441566506,67.07254543939843,34.36309631081383,57.56999969482422,58.13999938964844,56.63999938964844,59.06999969482422,56.06999969482422,59.63999938964844,55.13999938964844,-0.09717522582492467,-50.45046051275002,-0.7056889262307564,-0.7451262680077231,0.03943734177696667,44.648305891357246,20.50096049925128,57.42000045776367,57.7230001449585,58.594599914550784,61.23959995269775,HMT.BO,2025-10-27 11:54:30.249621
3,2025-10-23 00:00:00+05:30,58.70000076293945,59.0,57.349998474121094,57.790000915527344,1634,0.0,0.0,2025-10-23,57.942000198364255,1.481285325930071,59.42328552429433,56.46071487243418,60.904570850224395,54.979429546504115,127.53301887287861,-26.245722455704524,464708,1633.1522309645466,2376.325425717998,67.07774736200992,29.196599360949577,58.04666646321615,58.7433344523112,57.093332926432296,59.696667989095054,56.39666493733724,60.39333597819011,55.44333140055339,-0.08717011819632693,-37.946417167487226,-0.7412715396795448,-0.7549856034519646,0.013714063772419793,47.32510118436288,21.44614860466872,57.124000549316406,57.942000198364255,58.539199905395506,61.28839996337891,HMT.BO,2025-10-27 11:54:30.249621
4,2025-10-21 00:00:00+05:30,58.5,58.5,56.5099983215332,57.79999923706055,1587,0.0,0.0,2025-10-21,58.20300006866455,1.8636269203671283,60.066626989031676,56.339373148297426,61.93025390939881,54.475746227930294,84.7962321384407,-35.71365322682315,466342,1586.4510424310172,2562.1187244063603,67.0807350973373,24.862001676853097,57.60333251953125,58.6966667175293,56.7066650390625,59.59333419799805,55.61333084106445,60.686668395996094,54.7166633605957,-0.23889731314852092,-37.861918205784576,-0.8327180729916321,-0.7584141193950695,-0.07430395359656261,47.37056921054135,22.72277398324957,56.816000366210936,58.20300006866455,58.5231999206543,61.301899948120116,HMT.BO,2025-10-27 11:54:30.249621
5,2025-10-20 00:00:00+05:30,56.88999938964844,57.400001525878906,56.099998474121094,57.400001525878906,2905,0.0,0.0,2025-10-20,58.53600006103515,2.3255881857375225,60.861588246772676,56.21041187529763,63.1871764325102,53.88482368956011,12.975955259863953,-50.041864400838726,464755,2883.8983969694564,2806.035644900196,67.08363561001137,29.871760017604274,56.96666717529297,57.833335876464844,56.53333282470703,58.26667022705078,55.666664123535156,59.133338928222656,55.23332977294922,-0.2699148152775638,-60.100124630391605,-0.9381650893832472,-0.7398381309959288,-0.1983269583873184,45.422969225098505,23.68550542878933,56.43800048828125,58.53600006103515,58.466799926757815,61.28719997406006,HMT.BO,2025-10-27 11:54:30.249621
6,2025-10-17 00:00:00+05:30,56.5,57.0,55.5,56.900001525878906,2846,0.0,0.0,2025-10-17,58.882500076293944,2.642143930208565,61.52464400650251,56.240356146085375,64.16678793671107,53.59821221587681,-48.21333837095954,-62.31568235561228,461850,2800.7161051083,2786.569956882881,67.08917865572849,30.176247918485004,56.46666717529297,57.43333435058594,55.93333435058594,57.96666717529297,54.96666717529297,58.93333435058594,54.43333435058594,-0.35505166908649644,-68.44736770041325,-1.0195608874594058,-0.6902563913990991,-0.32930449606030665,42.97349322566366,23.734302538220007,56.258000183105466,58.882500076293944,58.436799926757814,61.24969997406006,HMT.BO,2025-10-27 11:54:30.249621
7,2025-10-16 00:00:00+05:30,56.25,57.0,55.5,55.72999954223633,2359,0.0,0.0,2025-10-16,59.24749984741211,2.849917286272262,62.09741713368437,56.39758256113985,64.94733441995663,53.54766527486758,-97.5537848530322,-72.47474920702183,459004,2273.7300175375767,2783.0334198265264,67.09489583192456,24.968192382792793,56.076666514078774,56.65333302815755,55.15333302815755,57.576666514078774,54.576666514078774,58.15333302815755,53.65333302815755,-0.3244138520858792,-87.97994960015743,-1.059081857913597,-0.6079302673840224,-0.45115159052957454,36.811322539082134,23.39910577428074,56.31800003051758,59.24749984741211,58.45459991455078,61.21109996795654,HMT.BO,2025-10-27 11:54:30.249621
8,2025-10-15 00:00:00+05:30,56.5,56.5,55.0099983215332,56.25,3060,0.0,0.0,2025-10-15,59.726999855041505,3.0281363305092523,62.75513618555076,56.69886352453225,65.78327251606001,53.670727194023,-141.94145413003406,-76.65839364932599,461363,2976.911119136648,2910.3592703987633,67.10018397283505,19.58384092981828,55.91999944051107,56.83000055948894,55.33999888102214,57.41000111897787,54.42999776204427,58.320002237955734,53.84999720255534,-0.35272257413505465,-84.48058300402333,-0.9784065132437334,-0.49514236975162884,-0.48326414349210456,38.52956256442195,23.03812464388461,56.65400009155273,59.726999855041505,58.49559989929199,61.18219997406006,HMT.BO,2025-10-27 11:54:30.249621
9,2025-10-14 00:00:00+05:30,56.5,57.25,55.20000076293945,55.90999984741211,511,0.0,0.0,2025-10-14,60.32699985504151,3.4608683620235277,63.78786821706503,56.86613149301798,67.24873657908856,53.40526313099445,-145.19288601649902,-72.01136008931503,458303,494.11985598099216,2893.721308214292,67.10673682451507,19.3520846932132,56.12000020345052,57.03999964396159,54.990000406901046,58.16999944051107,54.070000966389976,59.08999888102214,52.9400011698405,-0.31688675946069356,-90.89744674462018,-0.9115054501773159,-0.3743263338786027,-0.5371791162987132,36.73670788636038,22.19424640616608,57.00400009155273,60.32699985504151,58.54419990539551,61.15019996643066,HMT.BO,2025-10-27 11:54:30.249621
10,2025-10-13 00:00:00+05:30,56.29999923706055,58.0,56.0,56.5,2553,0.0,0.0,2025-10-13,60.8754997253418,3.5908467719085366,64.46634649725033,57.28465295343326,68.05719326915887,53.69380618152472,-107.59971093919373,-54.23881967138956,458814,2494.716374287908,3493.6216712726173,67.1078661730388,15.037353982425344,56.833333333333336,57.66666666666667,55.66666666666667,58.833333333333336,54.833333333333336,59.66666666666667,53.66666666666667,-0.04687281264784897,-94.37570265097878,-0.7785562642513923,-0.2400315548039244,-0.5385247094474679,38.54835254766908,21.369563443883564,57.322000122070314,60.8754997253418,58.589399871826174,61.11869995117188,HMT.BO,2025-10-27 11:54:30.249621
