Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-22 00:00:00+05:30,55.58000183105469,55.58000183105469,52.810001373291016,52.810001373291016,1286,0.0,0.0,2025-01-22,58.10200023651123,3.766477647278324,61.86847788378955,54.33552258923291,65.63495553106787,50.56904494195458,-54.943553191722415,-53.81522258090624,228977,2543.5827649982307,1872.843743856393,44.952752042574225,22.438437345166918,53.73333485921224,54.65666834513347,51.886667887369796,56.503335316975914,50.96333440144857,57.42666880289714,49.116667429606125,-0.04408813748165704,-81.89770093963205,-0.8567988835539992,-0.14365590144514062,-0.7131429821088586,40.70695138470939,18.112962778870028,55.59000015258789,58.10200023651123,55.740000076293946,48.7715998840332,ICDSLTD.BO,2025-01-22 11:03:51.190761
2,2025-01-21 00:00:00+05:30,55.58000183105469,55.58000183105469,54.150001525878906,55.58000183105469,638,0.0,0.0,2025-01-21,58.503000259399414,3.5965000811891676,62.099500340588584,54.906500178210244,65.69600042177775,51.31000009702108,-12.3335467636501,-34.156552587306315,230263,1328.0913915715223,1705.1589885709336,44.9379289359264,30.15982523564034,55.10333506266276,56.05666859944661,54.62666829427083,56.53333536783854,53.67333475748698,57.48666890462239,53.19666798909505,-0.1605266477827911,-65.57376181720005,-0.5989356360555291,0.03462984408207405,-0.6335654801376032,46.007090430787834,19.086493979135724,56.05199966430664,58.503000259399414,55.64240005493164,48.60719985961914,ICDSLTD.BO,2025-01-22 11:03:51.190761
3,2025-01-20 00:00:00+05:30,58.70000076293945,58.9900016784668,54.0,57.0,243,0.0,0.0,2025-01-20,58.856000137329104,3.6407063192758646,62.49670645660497,55.21529381805324,66.13741277588083,51.574587498777376,22.95813907085784,-10.948602377928129,230901,518.7640301203926,1799.4258878207863,44.927959254008165,41.30443275800666,56.663333892822266,59.32666778564453,54.336666107177734,61.65333557128906,51.67333221435547,64.31666946411133,49.34666442871094,,-56.62043412012444,-0.532520831900797,0.19302121411647483,-0.7255420460172719,49.04695791916013,20.504577482705635,55.48399963378906,58.856000137329104,55.482799987792966,48.42219985961914,ICDSLTD.BO,2025-01-22 11:03:51.190761
4,2025-01-17 00:00:00+05:30,55.720001220703125,58.9900016784668,55.720001220703125,56.279998779296875,63,0.0,0.0,2025-01-17,59.30250015258789,3.936667065809121,63.23916721839701,55.36583308677877,67.17583428420613,51.429166020969646,15.120822362403912,-3.308048672618622,230658,132.79549894310057,2119.5913522458845,44.92365025543699,58.46118203475417,56.9966672261556,58.27333323160808,55.003332773844406,60.26666768391927,53.72666676839193,61.54333368937175,51.733332316080734,,-61.16016312275938,-0.5792695639488272,0.3744067256207928,-0.95367628956962,47.41095281241903,22.031744332703997,54.67399978637695,59.30250015258789,55.27099998474121,48.22289985656738,ICDSLTD.BO,2025-01-22 11:03:51.190761
5,2025-01-16 00:00:00+05:30,52.369998931884766,57.84000015258789,52.369998931884766,56.279998779296875,1887,0.0,0.0,2025-01-16,59.95850028991699,4.464284583352703,64.42278487326969,55.49421570656429,68.8870694566224,51.02993112321158,-31.655585104552443,-17.439904932620287,230721,3977.5413731052504,2616.2903155715803,44.92259924062333,53.21236210755825,55.496665954589844,58.62333297729492,53.1533317565918,60.96666717529297,50.02666473388672,64.09333419799805,47.68333053588867,,-61.16016312275938,-0.5594360845478974,0.6128257980131978,-1.172261882561095,47.41095281241904,23.08009748569537,54.2879997253418,59.95850028991699,55.065400009155276,48.03829986572266,ICDSLTD.BO,2025-01-22 11:03:51.190761
6,2025-01-15 00:00:00+05:30,50.119998931884766,55.15999984741211,50.119998931884766,55.119998931884766,577,0.0,0.0,2025-01-15,60.79700050354004,5.243850127413856,66.0408506309539,55.55315037612618,71.28470075836775,50.30930024871233,-77.6645748495504,-36.402080741181244,228834,1191.1699803335955,2275.9775511881626,44.8910284150786,30.774014206549765,53.46666590372721,56.81333287556966,51.77333196004231,58.506666819254555,48.42666498819987,61.853333791097,46.73333104451497,,-68.47415759794401,-0.5255669164581107,0.9058912686534716,-1.4314581851115822,44.95577811434478,24.562911618950185,54.18000030517578,60.79700050354004,54.82240005493164,47.85369987487793,ICDSLTD.BO,2025-01-22 11:03:51.190761
7,2025-01-14 00:00:00+05:30,51.599998474121094,54.650001525878906,51.5,52.7400016784668,640,0.0,0.0,2025-01-14,61.52000064849854,5.414014466855719,66.93401511535426,56.10598618164282,72.34802958220997,50.6919717147871,-107.77231701034853,-38.61593598223674,228257,1264.1797793904939,2547.1794439018045,44.8823265534178,27.995603909140613,52.96333440144857,54.42666880289714,51.276667277018234,56.113335927327476,49.813332875569664,57.576670328776046,48.12666575113933,,-91.43645448208383,-0.35999857360624077,1.263755814931367,-1.6237543885376078,39.581891393121715,25.84281133590553,54.89000015258789,61.52000064849854,54.600000076293945,47.68049987792969,ICDSLTD.BO,2025-01-22 11:03:51.190761
8,2025-01-13 00:00:00+05:30,53.0,53.0,52.95000076293945,52.95000076293945,137,0.0,0.0,2025-01-13,62.19650039672852,5.0950984812892655,67.29159887801778,57.101401915439254,72.38669735930705,52.006303434149984,-152.06931318522143,-35.395662297762215,228897,271.69100738722585,2867.929360029632,44.874905108505494,19.344865766220906,52.96666717529297,52.983333587646484,52.93333435058594,53.016666412353516,52.91666793823242,53.03333282470703,52.88333511352539,,-100.0,0.09182727020900927,1.6696944120657689,-1.5778671418567596,39.90105902961169,27.659595395799865,56.581999969482425,62.19650039672852,54.42520004272461,47.531599845886234,ICDSLTD.BO,2025-01-22 11:03:51.190761
9,2025-01-10 00:00:00+05:30,55.7400016784668,55.7400016784668,52.959999084472656,54.349998474121094,354,0.0,0.0,2025-01-10,62.70500030517578,4.607911920505779,67.31291222568156,58.09708838467,71.92082414618734,53.489176464164224,-175.6730732496777,-18.56416621295434,229034,720.5954647965617,3516.9889481902333,44.87327216754963,18.77201026688499,54.34999974568685,55.740000406901046,52.959997812906906,57.13000233968099,51.56999715169271,58.52000300089519,50.179995218912765,,-89.32412493451731,0.6482282169227531,2.0641611975299585,-1.4159329806072054,41.99743477615906,29.035830898042626,58.172000122070315,62.70500030517578,54.22860000610351,47.382099838256835,ICDSLTD.BO,2025-01-22 11:03:51.190761
10,2025-01-09 00:00:00+05:30,58.65999984741211,58.66999816894531,55.7400016784668,55.7400016784668,2312,0.0,0.0,2025-01-09,62.85700035095215,4.3613451083742225,67.21834545932637,58.495655242577925,71.5796905677006,54.1343101342037,-167.8109719580942,7.304457127883194,229388,4826.624726524085,4216.087319038651,44.86831777028276,18.612027496933806,56.71666717529297,57.69333267211914,54.763336181640625,59.646663665771484,53.78667068481445,60.623329162597656,51.83333969116211,,-100.0,1.2128898329486262,2.41814444268176,-1.2052546097331338,44.13526143611035,30.52081400008964,59.8140007019043,62.85700035095215,54.021600036621095,47.213599853515625,ICDSLTD.BO,2025-01-22 11:03:51.190761
