Trading Day,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,date_only,RollingMean,RollingStd,UpperBand1,LowerBand1,UpperBand2,LowerBand2,CCI_10,CCI_40,OBV,VPT,VPT_signal,VWAP,MFI_14,PP,R1,S1,R2,S2,R3,S3,CMF,%R,macd,macd_signal,macde_histogram,rsi,ADX,sma_5,sma_20,sma_50,sma_100,symbol,created_on
1,2025-01-10 00:00:00+05:30,692.0,699.0,657.6500244140625,674.7999877929688,52898,0.0,0.0,2025-01-10,723.734994506836,30.924382025950585,754.6593765327865,692.8106124808854,785.5837585587371,661.8862304549348,-136.53571421587853,-138.83939065393162,17780645,88939.03876417688,69816.66239106678,578.0247817046991,40.62951320424559,677.1500040690104,696.6499837239583,655.3000081380208,718.4999796549479,635.8000284830729,737.9999593098958,613.9500325520833,-0.09608941050260902,-84.02425032209058,-15.072114755154416,-10.731537857624089,-4.340576897530328,39.10901029568998,17.411127714824097,693.8199829101562,723.734994506836,745.123994140625,714.1094952392579,IGARASHI.NS,2025-01-10 10:51:23.072035
2,2025-01-09 00:00:00+05:30,695.7999877929688,716.75,691.0499877929688,695.0999755859375,29826,0.0,0.0,2025-01-09,727.4124938964844,29.11936690162066,756.5318607981051,698.2931269948638,785.6512276997257,669.1737600932431,-63.37749112839875,-98.69624319874501,17833543,51655.95556486602,65036.06829778925,577.9353193923687,37.46248335917373,700.9666544596354,710.883321126302,685.1833089192708,726.6666666666666,675.2666422526041,736.5833333333333,659.4832967122395,-0.14776662878815158,-78.53935327422752,-12.837295621079988,-9.646393633241505,-3.1909019878384832,42.485883319927375,16.216790045188844,704.3099853515625,727.4124938964844,745.4819946289062,713.8164953613282,IGARASHI.NS,2025-01-10 10:51:23.072035
3,2025-01-08 00:00:00+05:30,706.0,712.5,690.0,705.7999877929688,26879,0.0,0.0,2025-01-08,731.8674957275391,30.689099398800852,762.55659512634,701.1783963287382,793.2456945251408,670.4892969299374,-62.30447136148857,-99.31652821702305,17863369,47268.61385168653,68381.09648102005,577.8742174768184,34.87494745542861,702.7666625976562,715.5333251953125,693.0333251953125,725.2666625976562,680.2666625976562,738.0333251953125,670.5333251953125,-0.13977104441143762,-68.8121490318373,-11.78078665447299,-8.848668136281884,-2.932118518191107,44.36061230265565,15.948447329429463,714.3499877929687,731.8674957275391,745.6519946289062,713.264995727539,IGARASHI.NS,2025-01-10 10:51:23.072035
4,2025-01-07 00:00:00+05:30,687.5,715.0,683.5999755859375,711.5499877929688,26688,0.0,0.0,2025-01-07,735.5174957275391,31.74842678061127,767.2659225081503,703.7690689469279,799.0143492887617,672.0206421663165,-67.7629137354386,-103.77880554933597,17890248,47315.0776902375,73659.21713835343,577.8140670803889,44.24598795776046,703.3833211263021,723.1666666666667,691.7666422526042,734.7833455403646,671.9832967122396,754.5666910807292,660.3666178385417,-0.17862420498921508,-70.78883793989066,-11.303427336487289,-8.115638506734106,-3.187788829753183,45.3593702343036,15.439662795272337,723.9699951171875,735.5174957275391,744.9139953613281,712.4054956054688,IGARASHI.NS,2025-01-10 10:51:23.072035
5,2025-01-06 00:00:00+05:30,727.25,732.0,676.0,681.8499755859375,60242,0.0,0.0,2025-01-06,739.7599975585938,33.96868053212246,773.7286780907162,705.7913170264713,807.6973586228387,671.8226364943489,-98.53401476588976,-123.82623188005635,17863560,102344.92782856894,80245.2520003824,577.75160243953,51.26513064897808,696.6166585286459,717.2333170572917,661.2333170572917,752.6166585286459,640.6166585286459,773.2333170572917,605.2333170572917,-0.24499864698601304,-95.19311832443718,-11.087286583361788,-7.318691299295809,-3.768595284065979,38.74466407781674,14.89174098925697,724.7299926757812,739.7599975585938,744.7349951171875,711.5464959716796,IGARASHI.NS,2025-01-10 10:51:23.072035
6,2025-01-03 00:00:00+05:30,748.0,751.8499755859375,726.1500244140625,727.25,21815,0.0,0.0,2025-01-03,746.2824981689453,34.77837587296506,781.0608740419103,711.5041222959802,815.8392499148754,676.7257464230152,71.63452469869509,-46.4741380896148,17923802,39529.11218315631,74720.33304333576,577.6417343445232,51.77819761420357,735.0833333333334,744.0166422526042,718.3166910807292,760.7832845052084,709.3833821614584,769.7165934244792,692.6167399088542,-0.19699158071231615,-66.27471335579136,-7.717570529298655,-6.3765424782793145,-1.3410280510193404,46.783703958410996,14.301671352009652,729.9599975585937,746.2824981689453,745.3579956054688,711.251996459961,IGARASHI.NS,2025-01-10 10:51:23.072035
7,2025-01-02 00:00:00+05:30,758.0,759.7999877929688,737.7000122070312,745.2999877929688,31449,0.0,0.0,2025-01-02,750.6824981689454,37.6886507146516,788.371148883597,712.9938474542937,826.0597995982486,675.3051967396422,103.36421534897933,-18.156195734807206,17945617,58400.43307268935,83518.13825838063,577.5845331507805,47.209644972652384,747.5999959309896,757.499979654948,735.4000040690105,769.6999715169271,725.5000203450521,779.5999552408855,713.300028483073,-0.2119427930284699,-49.29447829864052,-7.757594492840553,-6.04128546552448,-1.7163090273160737,50.66461511781579,15.400748206270348,725.45,750.6824981689454,744.12099609375,710.5004962158204,IGARASHI.NS,2025-01-10 10:51:23.072035
8,2025-01-01 00:00:00+05:30,715.3499755859375,765.0,707.1500244140625,753.9000244140625,59585,0.0,0.0,2025-01-01,754.8849975585938,41.54555776109856,796.4305553196923,713.3394397974953,837.9761130807909,671.7938820363967,53.54781181441775,-28.42666014196496,17977066,111925.44096348734,89797.56455480344,577.4920391307226,40.75505389443945,742.0166829427084,776.8833414713542,719.0333658854167,799.8666585286459,684.1667073567709,834.7333170572917,661.1833902994792,-0.1622956551447315,-41.75209029791189,-9.468948297094471,-5.612208208695461,-3.85674008839901,52.59489023841403,16.075705696492584,718.9900024414062,754.8849975585938,743.20099609375,709.6229962158203,IGARASHI.NS,2025-01-10 10:51:23.072035
9,2024-12-31 00:00:00+05:30,707.0,719.75,702.1500244140625,715.3499755859375,23176,0.0,0.0,2024-12-31,758.4349975585938,44.39281463753679,802.8278121961305,714.042182921057,847.2206268336673,669.6493682835202,-45.40743726375473,-92.10731810146545,17917481,41308.09450160998,84265.59545263246,577.3075193447336,40.421974082237355,712.4166666666666,722.6833089192708,705.0833333333333,730.0166422526041,694.8166910807291,740.2832845052083,687.4833577473958,-0.27431894638760446,-77.6794465083393,-12.363504148601578,-4.648023186595708,-7.71548096200587,43.66040749093046,16.80258299365499,710.5799926757812,758.4349975585938,742.2599951171875,707.9979962158203,IGARASHI.NS,2025-01-10 10:51:23.072035
10,2024-12-30 00:00:00+05:30,704.0,717.9500122070312,700.0,708.0,23010,0.0,0.0,2024-12-30,763.825,45.41874809600789,809.243748096008,718.4062519039921,854.6624961920159,672.9875038079842,-62.68943024952228,-103.35932870346008,17894305,40590.835378300246,95004.97069038809,577.2513349580563,34.666827630716256,708.6500040690104,717.3000081380208,699.3499959309895,726.6000162760416,690.6999918619791,735.250020345052,681.3999837239583,-0.06789349362247374,-84.98419048491898,-12.085491238312898,-2.7191529460942405,-9.366338292218657,41.71560814046295,16.5275041861309,706.6400024414063,763.825,742.2469958496093,706.4214965820313,IGARASHI.NS,2025-01-10 10:51:23.072035
